우리산업(215360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-05-06,17000,19550,15600,15600,1690760,142462.0,9132163.0
2015-05-07,16350,17900,16000,16800,942417,153420.0,9132163.0
2015-05-08,16950,17800,16450,17750,383330,162096.0,9132163.0
2015-05-11,17850,18500,17050,18000,473743,164379.0,9132163.0
2015-05-12,17950,18200,17400,17600,199870,160726.0,9132163.0
2015-05-13,17650,18200,17200,17500,101837,159813.0,9132163.0
2015-05-14,17700,17950,16800,17300,216658,157986.0,9132163.0
2015-05-15,17300,17550,17200,17200,80565,157073.0,9132163.0
2015-05-18,17300,17300,16600,16850,114635,153877.0,9132163.0
2015-05-19,16600,16800,16100,16350,129567,149311.0,9132163.0
2015-05-20,16350,17000,15600,16700,277924,152507.0,9132163.0
2015-05-21,16900,17500,16700,17050,175354,155703.0,9132163.0
2015-05-22,17200,17350,16250,16250,135683,148398.0,9132163.0
2015-05-26,16400,16950,15750,15850,112294,144745.0,9132163.0
2015-05-27,15950,16150,15500,15700,86883,143375.0,9132163.0
2015-05-28,15900,16650,15750,16500,100993,150681.0,9132163.0
2015-05-29,16650,17850,16350,17800,260373,162553.0,9132163.0
2015-06-01,17800,18100,17350,17550,92157,160269.0,9132163.0
2015-06-02,17550,17700,16150,16900,133307,154334.0,9132163.0
2015-06-03,17000,18200,16550,18100,395943,165292.0,9132163.0
2015-06-04,18350,18500,17800,18100,165568,165292.0,9132163.0
2015-06-05,18100,19850,17900,19000,451194,173511.0,9132163.0
2015-06-08,19250,19350,17900,18150,235034,165749.0,9132163.0
2015-06-09,17900,18400,17550,18200,109860,166205.0,9132163.0
2015-06-10,18200,18250,17400,17500,103407,159813.0,9132163.0
2015-06-11,17600,19450,17500,19250,279788,175794.0,9132163.0
2015-06-12,19250,19450,18100,18100,229612,165292.0,9132163.0
2015-06-15,17800,18600,17700,18300,83575,167119.0,9132163.0
2015-06-16,18300,18300,17250,17650,121673,161183.0,9132163.0
2015-06-17,17900,18000,17300,17750,87490,162096.0,9132163.0
2015-06-18,17800,17850,17300,17300,59297,157986.0,9132163.0
2015-06-19,17500,17750,17400,17600,33281,160726.0,9132163.0
2015-06-22,17500,17650,17300,17400,54370,158900.0,9132163.0
2015-06-23,17350,18200,17200,17950,82235,163922.0,9132163.0
2015-06-24,18150,18250,17800,18000,44003,164379.0,9132163.0
2015-06-25,18050,18050,17500,17800,63813,162553.0,9132163.0
2015-06-26,17750,17750,17200,17350,96931,158443.0,9132163.0
2015-06-29,16850,17450,16650,17150,62131,156617.0,9132163.0
2015-06-30,17150,17150,16450,16950,83580,154790.0,9132163.0
2015-07-01,16600,17050,16500,16750,76346,152964.0,9132163.0
2015-07-02,16900,17000,16550,16800,103535,153420.0,9132163.0
2015-07-03,17000,17750,16900,17650,107036,161183.0,9132163.0
2015-07-06,17350,17650,17000,17250,52274,157530.0,9132163.0
2015-07-07,17450,17500,16650,17100,66939,156160.0,9132163.0
2015-07-08,17200,17200,16450,17150,75773,156617.0,9132163.0
2015-07-09,16700,16850,16400,16800,61328,153420.0,9132163.0
2015-07-10,16900,16900,16300,16300,58887,148854.0,9132163.0
2015-07-13,16300,16400,16000,16200,79517,147941.0,9132163.0
2015-07-14,16300,16600,16000,16050,70900,146571.0,9132163.0
2015-07-15,16050,16200,15650,15700,82545,143375.0,9132163.0
2015-07-16,15850,16050,15650,16050,62448,146571.0,9132163.0
2015-07-17,16000,16200,15550,16200,66867,147941.0,9132163.0
2015-07-20,16200,17050,16050,16850,154326,153877.0,9132163.0
2015-07-21,16900,17300,16600,17250,69018,157530.0,9132163.0
2015-07-22,17250,17250,16750,17000,41411,155247.0,9132163.0
2015-07-23,17100,17500,16950,17450,64683,159356.0,9132163.0
2015-07-24,17200,18950,17200,18700,314626,170771.0,9132163.0
2015-07-27,18600,19450,18400,19100,229477,174424.0,9132163.0
2015-07-28,18900,19250,18350,19000,133109,173511.0,9132163.0
2015-07-29,19050,19250,18500,18950,107257,173054.0,9132163.0
2015-07-30,18950,19000,18250,18500,106103,168945.0,9132163.0
2015-07-31,18750,19700,18150,19600,202548,178990.0,9132163.0
2015-08-03,19600,20200,19200,19350,138888,176707.0,9132163.0
2015-08-04,19500,19950,18700,19950,87117,182187.0,9132163.0
2015-08-05,19950,20000,19500,19750,79062,180360.0,9132163.0
2015-08-06,19950,20000,18050,18150,370793,165749.0,9132163.0
2015-08-07,17850,18350,17700,18100,95068,165292.0,9132163.0
2015-08-10,18250,18250,16950,16950,225102,154790.0,9132163.0
2015-08-11,17100,17350,16950,17000,74621,155247.0,9132163.0
2015-08-12,16900,17100,16600,17100,57958,156160.0,9132163.0
2015-08-13,17200,17200,16800,17150,26906,156617.0,9132163.0
2015-08-17,17400,17400,16850,16900,38052,154334.0,9132163.0
2015-08-18,17100,17150,16500,16500,46657,150681.0,9132163.0
2015-08-19,16450,16650,15250,15550,120317,142005.0,9132163.0
2015-08-20,15200,15800,14100,14200,185128,129677.0,9132163.0
2015-08-21,13500,13900,12800,13250,108739,121001.0,9132163.0
2015-08-24,13200,14000,13100,13650,67885,124654.0,9132163.0
2015-08-25,13700,14100,13050,13550,68624,123741.0,9132163.0
2015-08-26,13700,14300,13550,14100,82955,128763.0,9132163.0
2015-08-27,14300,14350,13850,14100,41927,128763.0,9132163.0
2015-08-28,14250,14600,14150,14200,51859,129677.0,9132163.0
2015-08-31,14150,14350,13900,13900,22952,126937.0,9132163.0
2015-09-01,13900,14300,13650,13950,31852,127394.0,9132163.0
2015-09-02,13700,13950,13250,13650,114094,124654.0,9132163.0
2015-09-03,13800,14150,13300,14000,144613,127850.0,9132163.0
2015-09-04,14000,14050,13400,13550,41845,123741.0,9132163.0
2015-09-07,13550,14050,13300,13500,55683,123284.0,9132163.0
2015-09-08,13500,13600,12800,13150,79147,120088.0,9132163.0
2015-09-09,13200,13450,13000,13150,156553,120088.0,9132163.0
2015-09-10,13150,13600,13000,13450,56556,122828.0,9132163.0
2015-09-11,13450,13600,13200,13400,31535,122371.0,9132163.0
2015-09-14,13400,13550,13100,13350,48335,121914.0,9132163.0
2015-09-15,13550,13550,13250,13350,37500,121914.0,9132163.0
2015-09-16,13450,14750,13400,14500,208704,132416.0,9132163.0
2015-09-17,14500,15750,14300,15150,275487,138352.0,9132163.0
2015-09-18,15150,15600,14800,14900,86775,136069.0,9132163.0
2015-09-21,14700,15450,14400,15350,83443,140179.0,9132163.0
2015-09-22,15500,16250,15150,16150,86329,147484.0,9132163.0
2015-09-23,16000,19800,16000,17800,1240977,162553.0,9132163.0
2015-09-24,17750,17800,16350,17500,344756,159813.0,9132163.0
2015-09-25,17800,19050,17250,18400,723832,168032.0,9132163.0
2015-09-30,18400,20000,18200,19550,892719,178534.0,9132163.0
2015-10-01,19650,20150,18550,19400,515726,177164.0,9132163.0
2015-10-02,19500,19650,18350,18800,268873,171685.0,9132163.0
2015-10-05,18800,19000,17900,18700,271104,170771.0,9132163.0
2015-10-06,18900,19550,17550,17750,336477,162096.0,9132163.0
2015-10-07,17600,18100,17400,17500,113579,159813.0,9132163.0
2015-10-08,17550,17650,16900,17150,113175,156617.0,9132163.0
