지엠피(018290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,41058,41058,41058,41059,0,44352.0,660000.0
1999-01-05,41556,41556,41556,41539,1000,44880.0,660000.0
1999-01-06,41556,41556,41556,41539,0,44880.0,660000.0
1999-01-07,41660,41660,41660,41665,1000,45012.0,660000.0
1999-01-08,41867,41867,41867,41849,1000,45210.0,660000.0
1999-01-11,40945,40945,40945,40932,1000,44220.0,660000.0
1999-01-12,40320,40320,40320,40325,700,43560.0,660000.0
1999-01-13,39717,39717,39717,39719,1000,42900.0,660000.0
1999-01-14,39407,39407,39407,39408,500,42570.0,660000.0
1999-01-15,39110,39110,39110,39097,500,42240.0,660000.0
1999-01-18,38194,38194,38194,38180,500,41250.0,660000.0
1999-01-19,37879,37879,37879,37884,500,40920.0,660000.0
1999-01-20,37568,37568,37568,37574,500,40590.0,660000.0
1999-01-21,37276,37276,37276,37264,500,40260.0,660000.0
1999-01-22,36961,36961,36961,36967,500,39930.0,660000.0
1999-01-25,36359,36359,36359,36346,500,39270.0,660000.0
1999-01-26,36043,36656,36043,36656,550,39600.0,660000.0
1999-01-27,32268,32268,32268,32255,0,34848.0,660000.0
1999-01-28,28730,32380,28730,32381,700,34980.0,660000.0
1999-01-29,32945,32945,32945,32932,170,35574.0,660000.0
1999-02-01,34817,34817,34817,34822,750,37620.0,660000.0
1999-02-02,34817,34817,34817,34822,0,37620.0,660000.0
1999-02-03,35447,35447,35447,35429,1000,38280.0,660000.0
1999-02-04,35739,35739,35739,35740,500,38610.0,660000.0
1999-02-05,35739,35739,35739,35740,500,38610.0,660000.0
1999-02-08,36049,36049,36049,36050,1000,38940.0,660000.0
1999-02-09,36049,36049,36049,36050,100,38940.0,660000.0
1999-02-10,36049,36049,36049,36050,0,38940.0,660000.0
1999-02-11,36049,36049,36049,36050,500,38940.0,660000.0
1999-02-12,36049,36049,36049,36050,1000,38940.0,660000.0
1999-02-18,36049,36049,36049,36050,500,,
1999-02-19,40292,40292,40292,40297,1000,25674.0,660000.0
1999-02-22,41322,41322,41322,41327,500,26334.0,660000.0
1999-02-23,41961,41961,41961,41948,1000,26730.0,660000.0
1999-02-24,42986,42986,42986,42992,1000,27390.0,660000.0
1999-02-25,43499,43499,43499,43500,1000,27720.0,660000.0
1999-02-26,43499,43499,43499,43500,0,27720.0,660000.0
1999-03-02,42469,42469,42469,42470,1000,27060.0,660000.0
1999-03-03,42469,42469,42469,42470,1000,27060.0,660000.0
1999-03-04,42469,42469,42469,42470,1000,,
1999-03-05,42469,42469,42469,42470,1000,,
1999-03-08,42469,42469,42469,42470,0,27060.0,660000.0
1999-03-09,42986,42986,42986,42992,1000,27390.0,660000.0
1999-03-10,42986,42986,42986,42992,0,27390.0,660000.0
1999-03-11,42986,42986,42986,42992,1000,27390.0,660000.0
1999-03-12,43499,43499,43499,43500,1000,,
1999-03-15,43499,43499,43499,43500,0,,
1999-03-16,43499,43499,43499,43500,500,47040.0,1120000.0
1999-03-17,43499,43499,43499,43500,0,47040.0,1120000.0
1999-03-18,43499,43499,43499,43500,0,,
1999-03-19,43499,43499,43499,43500,0,,
1999-03-22,43499,43499,43499,43500,2000,47040.0,1120000.0
1999-03-23,43499,43499,43499,43500,0,,
1999-03-24,43499,43499,43499,43500,1000,47040.0,1120000.0
1999-03-25,43499,43499,43499,43500,0,,
1999-03-26,38325,44035,38325,44022,6000,47600.0,1120000.0
1999-03-29,44543,44543,44543,44544,440,48160.0,1120000.0
1999-03-30,45046,45046,45046,45052,1000,48720.0,1120000.0
1999-03-31,45573,45573,45573,45574,2000,49280.0,1120000.0
1999-04-01,45573,45573,45573,45574,0,49280.0,1120000.0
1999-04-02,45573,45573,45573,45574,0,,
1999-04-06,45573,45573,45573,45574,0,,
1999-04-07,45573,45573,45573,45574,0,,
1999-04-08,46635,46635,46635,46618,2000,50400.0,1120000.0
1999-04-09,47121,47121,47121,47126,3000,50960.0,1120000.0
