이크레더블(092130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-10-24,3243,3243,2762,2763,167538,33948.0,2460000.0
2008-10-27,2352,2352,2352,2353,8876,28905.0,2460000.0
2008-10-28,2002,2242,2002,2162,395867,26568.0,2460000.0
2008-10-29,2292,2482,1841,1882,384326,23124.0,2460000.0
2008-10-30,2082,2162,2062,2162,83167,26568.0,2460000.0
2008-10-31,2282,2482,2162,2473,114323,30381.0,2460000.0
2008-11-03,2472,2682,2462,2553,56413,31365.0,2460000.0
2008-11-04,2572,2572,2222,2523,22369,30996.0,2460000.0
2008-11-05,2552,2742,2482,2633,32502,32349.0,2460000.0
2008-11-06,2502,2702,2492,2683,12684,32964.0,2460000.0
2008-11-07,2682,3083,2622,3043,34979,37392.0,2460000.0
2008-11-10,3193,3303,3013,3063,31695,37638.0,2460000.0
2008-11-11,2963,3103,2963,3063,9740,37638.0,2460000.0
2008-11-12,2973,3163,2923,3163,15201,38868.0,2460000.0
2008-11-13,3053,3123,3003,3053,5489,37515.0,2460000.0
2008-11-14,3083,3383,2983,3314,29396,40713.0,2460000.0
2008-11-17,3373,3463,3313,3334,29364,40959.0,2460000.0
2008-11-18,3333,3343,3193,3193,7666,39237.0,2460000.0
2008-11-19,3163,3223,2903,2923,27460,35916.0,2460000.0
2008-11-20,2883,2883,2662,2743,10439,33702.0,2460000.0
2008-11-21,2572,2943,2552,2903,10709,35670.0,2460000.0
2008-11-24,2762,2903,2712,2723,10895,33456.0,2460000.0
2008-11-25,2722,2913,2702,2703,12746,33210.0,2460000.0
2008-11-26,2662,2823,2662,2823,6604,34686.0,2460000.0
2008-11-27,2843,2933,2782,2903,12522,35670.0,2460000.0
2008-11-28,2903,2983,2802,2813,5351,34563.0,2460000.0
2008-12-01,2792,2953,2682,2923,20390,35916.0,2460000.0
2008-12-02,2903,3093,2762,3033,49261,37269.0,2460000.0
2008-12-03,3203,3203,2903,2903,25051,35670.0,2460000.0
2008-12-04,2913,3003,2782,2793,11319,34317.0,2460000.0
2008-12-05,2802,2843,2702,2803,11995,34440.0,2460000.0
2008-12-08,2893,2953,2722,2883,66433,35424.0,2460000.0
2008-12-09,2903,3243,2863,3013,34735,37023.0,2460000.0
2008-12-10,3043,3403,3043,3263,39177,40098.0,2460000.0
2008-12-11,3283,3373,3223,3273,17744,40221.0,2460000.0
2008-12-12,3283,3343,3103,3113,13471,38253.0,2460000.0
2008-12-15,3163,3233,3153,3223,7411,39606.0,2460000.0
2008-12-16,3273,3273,3133,3253,6932,39975.0,2460000.0
2008-12-17,3383,3383,3203,3243,4745,39852.0,2460000.0
2008-12-18,3103,3323,3103,3243,16927,39852.0,2460000.0
2008-12-19,3163,3313,3163,3203,3576,39360.0,2460000.0
2008-12-22,3213,3353,3093,3133,33550,38499.0,2460000.0
2008-12-23,3163,3183,3083,3133,7139,38499.0,2460000.0
2008-12-24,3063,3173,3003,3003,6053,36900.0,2460000.0
2008-12-26,3093,3093,2652,2763,34361,33948.0,2460000.0
2008-12-29,2833,2833,2722,2763,3856,33948.0,2460000.0
2008-12-30,13500,15000,13500,14500,7707,35670.0,2460000.0
2009-01-02,2863,3083,2833,2943,4667,36162.0,2460000.0
2009-01-05,2903,3003,2863,2863,5207,35178.0,2460000.0
2009-01-06,2823,3023,2823,3003,8262,36900.0,2460000.0
2009-01-07,3083,3083,2983,3003,4242,36900.0,2460000.0
2009-01-08,3003,3003,2873,2943,9908,36162.0,2460000.0
2009-01-09,2883,3153,2883,3023,13588,37146.0,2460000.0
2009-01-12,3053,3083,2953,3083,9843,37884.0,2460000.0
2009-01-13,3083,3163,3023,3093,3743,38007.0,2460000.0
2009-01-14,3143,3193,3033,3173,6287,38991.0,2460000.0
2009-01-15,3053,3173,3053,3163,3515,38868.0,2460000.0
2009-01-16,3113,3203,3113,3203,4592,39360.0,2460000.0
2009-01-19,3243,3243,3133,3213,2975,39483.0,2460000.0
2009-01-20,3143,3213,3113,3123,4912,38376.0,2460000.0
2009-01-21,3103,3453,3073,3123,1883,38376.0,2460000.0
2009-01-22,3133,3223,3133,3203,5570,39360.0,2460000.0
2009-01-23,3143,3303,3083,3243,6876,39852.0,2460000.0
2009-01-28,3303,3563,3293,3484,10802,42804.0,2460000.0
2009-01-29,3563,3573,3433,3564,5202,43788.0,2460000.0
2009-01-30,3703,3703,3443,3554,83910,43665.0,2460000.0
2009-02-02,3563,3603,3473,3484,7998,42804.0,2460000.0
2009-02-03,3453,3553,3453,3454,53737,42435.0,2460000.0
2009-02-04,3463,3753,3463,3574,26910,43911.0,2460000.0
2009-02-05,3623,3723,3593,3704,8535,45510.0,2460000.0
2009-02-06,3703,3753,3523,3554,7313,43665.0,2460000.0
2009-02-09,3593,3683,3473,3534,5394,43419.0,2460000.0
2009-02-10,3513,3613,3363,3434,11099,42189.0,2460000.0
2009-02-11,3413,3433,3283,3384,5482,41574.0,2460000.0
2009-02-12,3463,3463,3343,3404,3242,41820.0,2460000.0
2009-02-13,3373,3463,3243,3424,3078,42066.0,2460000.0
2009-02-16,3423,3423,3303,3364,3737,41328.0,2460000.0
2009-02-17,3393,3393,3193,3203,4516,39360.0,2460000.0
2009-02-18,3203,3513,3173,3514,11929,43173.0,2460000.0
2009-02-19,3553,3603,3443,3504,5759,43050.0,2460000.0
2009-02-20,3433,3593,3363,3434,6597,42189.0,2460000.0
2009-02-23,3433,3433,3313,3414,2090,41943.0,2460000.0
2009-02-24,3323,3383,3263,3283,3280,40344.0,2460000.0
2009-02-25,3283,3483,3283,3404,9734,41820.0,2460000.0
2009-02-26,3403,3473,3363,3464,6821,42558.0,2460000.0
2009-02-27,3413,3693,3413,3634,11774,44649.0,2460000.0
2009-03-02,3543,3703,3543,3604,15468,44280.0,2460000.0
2009-03-03,3443,3643,3443,3604,5202,44280.0,2460000.0
2009-03-04,3563,3844,3563,3834,21662,47109.0,2460000.0
2009-03-05,3864,4004,3814,3874,5928,47601.0,2460000.0
2009-03-06,3804,3894,3723,3874,7205,47601.0,2460000.0
2009-03-09,3884,4044,3814,3954,16756,48585.0,2460000.0
2009-03-10,4074,4204,3954,4124,20122,50676.0,2460000.0
2009-03-11,4204,4244,3994,4004,8791,49200.0,2460000.0
2009-03-12,3994,4024,3854,4004,11002,49200.0,2460000.0
2009-03-13,4044,4044,3944,4004,4754,49200.0,2460000.0
2009-03-16,4044,4064,3884,4004,13746,49200.0,2460000.0
2009-03-17,3914,4064,3914,3964,4546,48708.0,2460000.0
2009-03-18,3964,4054,3934,4004,12372,49200.0,2460000.0
2009-03-19,4054,4154,3984,4144,5013,50922.0,2460000.0
2009-03-20,4024,4394,4024,4285,8226,52644.0,2460000.0
2009-03-23,4284,4384,4224,4335,4116,53259.0,2460000.0
2009-03-24,4304,4484,4234,4345,4592,53382.0,2460000.0
2009-03-25,4404,4404,4234,4315,2917,53013.0,2460000.0
2009-03-26,4314,4314,4144,4265,7053,52398.0,2460000.0
2009-03-27,4184,4434,4134,4335,5805,53259.0,2460000.0
2009-03-30,4214,4444,4064,4224,7377,51906.0,2460000.0
2009-03-31,4124,4284,4114,4144,4700,50922.0,2460000.0
2009-04-01,4244,4264,4004,4235,5341,52029.0,2460000.0
2009-04-02,4244,4254,4064,4204,6938,51660.0,2460000.0
2009-04-03,4204,4254,3984,4204,26245,51660.0,2460000.0
2009-04-06,4204,4795,4204,4755,20922,58425.0,2460000.0
2009-04-07,4845,4905,4594,4865,6737,59778.0,2460000.0
2009-04-08,4765,4865,4664,4845,5027,59532.0,2460000.0
2009-04-09,4905,5135,4765,5075,12642,62361.0,2460000.0
2009-04-10,5075,5475,4975,5426,14178,66666.0,2460000.0
2009-04-13,5465,6206,5465,5826,10435,71586.0,2460000.0
2009-04-14,6006,6006,5445,5766,7174,70848.0,2460000.0
2009-04-15,5766,5826,5525,5796,3351,71217.0,2460000.0
2009-04-16,6306,6306,5906,6187,7821,76014.0,2460000.0
2009-04-17,6036,6176,5966,6167,7709,75768.0,2460000.0
2009-04-20,6166,6206,5786,6006,11627,73800.0,2460000.0
2009-04-21,5976,5976,5776,5906,8988,72570.0,2460000.0
2009-04-22,5906,6006,5766,5806,4446,71340.0,2460000.0
2009-04-23,5926,5926,5706,5856,3988,71955.0,2460000.0
2009-04-24,5806,5846,5706,5806,2900,71340.0,2460000.0
2009-04-27,5736,5806,5465,5646,11418,69372.0,2460000.0
2009-04-28,5796,5796,5465,5626,4158,69126.0,2460000.0
2009-04-29,5625,5646,5405,5526,7398,67896.0,2460000.0
2009-04-30,5425,5595,5405,5526,6900,67896.0,2460000.0
2009-05-04,5806,5806,5505,5576,5226,68511.0,2460000.0
2009-05-06,5525,5806,5505,5756,3333,70725.0,2460000.0
2009-05-07,5806,5806,5585,5746,4181,70602.0,2460000.0
2009-05-08,5615,5796,5615,5776,4550,70971.0,2460000.0
2009-05-11,5776,5796,5565,5636,5010,69249.0,2460000.0
2009-05-12,5575,5615,5405,5506,8535,67650.0,2460000.0
2009-05-13,5475,5716,5475,5676,8253,69741.0,2460000.0
2009-05-14,5676,6476,5585,6407,13746,78720.0,2460000.0
2009-05-15,7067,7367,6817,7368,30288,90528.0,2460000.0
2009-05-18,7938,7978,7037,7598,22444,93357.0,2460000.0
2009-05-19,7598,8729,7347,8609,38251,105780.0,2460000.0
2009-05-20,8919,8919,8408,8639,14028,106149.0,2460000.0
2009-05-21,8729,9209,8599,8809,10828,108240.0,2460000.0
2009-05-22,8789,9089,8308,8709,9425,107010.0,2460000.0
2009-05-25,8809,8809,7788,8409,8508,103320.0,2460000.0
2009-05-26,8368,8368,7808,8009,22739,98400.0,2460000.0
2009-05-27,8008,8489,7858,8369,8552,102828.0,2460000.0
2009-05-28,8208,8328,7918,7968,5303,97908.0,2460000.0
2009-05-29,7978,8118,7708,7968,1503,97908.0,2460000.0
2009-06-01,8148,8479,7808,8409,10517,103320.0,2460000.0
2009-06-02,8759,8759,8348,8509,6151,104550.0,2460000.0
2009-06-03,8609,8799,8479,8609,3885,105780.0,2460000.0
2009-06-04,8609,8609,8398,8499,2900,104427.0,2460000.0
2009-06-05,8418,8609,8418,8499,4191,104427.0,2460000.0
2009-06-08,8609,8609,8408,8499,5870,104427.0,2460000.0
2009-06-09,8609,8609,8208,8509,5580,104550.0,2460000.0
2009-06-10,8428,8569,8148,8279,8803,101721.0,2460000.0
2009-06-11,8078,8288,7988,8229,5045,101106.0,2460000.0
2009-06-12,8068,8368,8068,8299,2390,101967.0,2460000.0
2009-06-15,8408,8428,8168,8349,2962,102582.0,2460000.0
2009-06-16,8499,8499,8168,8429,1257,103566.0,2460000.0
2009-06-17,8388,8839,8358,8609,13855,105780.0,2460000.0
2009-06-18,8619,8789,8408,8609,2822,105780.0,2460000.0
2009-06-19,8479,8699,8208,8369,3705,102828.0,2460000.0
