레고켐바이오(141080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-05-10,19900,20500,16950,17500,3873112,100997.0,5771250.0
2013-05-13,16950,18600,16500,17850,1408721,103017.0,5771250.0
2013-05-14,17800,18300,16900,16900,619465,97534.0,5771250.0
2013-05-15,16800,17250,16000,16300,532093,94071.0,5771250.0
2013-05-16,16600,18100,16250,16650,846222,96091.0,5771250.0
2013-05-20,16450,16650,15600,15700,446802,90609.0,5771250.0
2013-05-21,15900,16500,15850,16250,253977,93783.0,5771250.0
2013-05-22,16400,18200,16400,17500,813980,100997.0,5771250.0
2013-05-23,17850,18500,17550,17850,555208,103017.0,5771250.0
2013-05-24,18100,18850,17900,18400,388569,127013.0,6902882.0
2013-05-27,18350,18450,17700,18150,153923,125287.0,6902882.0
2013-05-28,18350,19000,18200,19000,413203,131155.0,6902882.0
2013-05-29,18950,19350,18550,18550,269928,128048.0,6902882.0
2013-05-30,18950,19200,17550,17800,227282,122871.0,6902882.0
2013-05-31,17850,17850,16550,17500,196857,121352.0,6934382.0
2013-06-03,17300,17400,16600,16700,113278,115804.0,6934382.0
2013-06-04,16900,16950,16300,16500,94259,114417.0,6934382.0
2013-06-05,16700,16750,15300,15350,204303,106443.0,6934382.0
2013-06-07,15600,15700,14550,15500,106818,107483.0,6934382.0
2013-06-10,15550,16200,15050,15750,101390,109217.0,6934382.0
2013-06-11,15800,16300,15500,16300,100147,113030.0,6934382.0
2013-06-12,16000,16200,15650,16000,83679,110950.0,6934382.0
2013-06-13,15800,16000,14900,15150,110736,105056.0,6934382.0
2013-06-14,15300,15300,13050,13700,417658,95001.0,6934382.0
2013-06-17,13650,13800,12450,13150,210206,91187.0,6934382.0
2013-06-18,13000,14000,12800,13650,170907,94654.0,6934382.0
2013-06-19,13650,13650,12650,12650,146383,87720.0,6934382.0
2013-06-20,12500,13000,12100,13000,89246,90147.0,6934382.0
2013-06-21,12600,12750,12000,12700,302679,88067.0,6934382.0
2013-06-24,12550,13300,12550,12800,99494,88760.0,6934382.0
2013-06-25,12700,12900,11150,11650,141748,80786.0,6934382.0
2013-06-26,11750,12000,11300,11800,78021,81826.0,6934382.0
2013-06-27,12000,12550,11900,12550,110284,87026.0,6934382.0
2013-06-28,12700,12700,12200,12450,61051,86333.0,6934382.0
2013-07-01,12650,13100,12600,12750,98362,88413.0,6934382.0
