로보스타(090360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-10-17,7800,8970,7500,8970,5381442,69966.0,7800000.0
2011-10-18,10300,10300,9560,10300,1190795,80340.0,7800000.0
2011-10-19,10950,11800,10600,11800,4796173,92040.0,7800000.0
2011-10-20,12400,12800,10050,10650,5467248,83070.0,7800000.0
2011-10-21,10800,11300,9390,10000,3999056,78000.0,7800000.0
2011-10-24,9810,10300,9460,9990,2906237,77922.0,7800000.0
2011-10-25,9790,10550,9000,9210,3864209,71838.0,7800000.0
2011-10-26,9210,9420,8540,8810,1444469,68718.0,7800000.0
2011-10-27,9010,9170,8400,8510,1178375,66378.0,7800000.0
2011-10-28,8670,8690,7710,7840,1357228,61152.0,7800000.0
2011-10-31,7870,8400,7730,7860,884506,61308.0,7800000.0
2011-11-01,7730,8440,7710,8150,1453278,63570.0,7800000.0
2011-11-02,7830,7920,7580,7830,599962,61074.0,7800000.0
2011-11-03,8000,8480,7850,7970,1646320,62166.0,7800000.0
2011-11-04,8270,8410,8100,8110,894324,63258.0,7800000.0
2011-11-07,8190,8270,7870,7870,529856,61386.0,7800000.0
2011-11-08,7960,7970,7480,7480,600766,58344.0,7800000.0
2011-11-09,7550,7690,7050,7170,529233,55926.0,7800000.0
2011-11-10,6820,7050,6590,6710,360583,52338.0,7800000.0
2011-11-11,6760,7090,6710,6900,251601,53820.0,7800000.0
2011-11-14,7050,7200,6990,7080,193410,55224.0,7800000.0
2011-11-15,7050,7050,6750,6770,205733,52806.0,7800000.0
2011-11-16,6820,6920,6390,6390,280941,49842.0,7800000.0
2011-11-17,6430,6870,6220,6840,242443,53352.0,7800000.0
2011-11-18,6800,6930,6580,6930,168774,54054.0,7800000.0
2011-11-21,6940,6940,6600,6600,150047,51480.0,7800000.0
2011-11-22,6400,6700,6390,6670,84718,52026.0,7800000.0
2011-11-23,6740,7230,6650,7000,510789,54600.0,7800000.0
2011-11-24,7010,7630,6950,7500,647464,58500.0,7800000.0
2011-11-25,7510,7660,6990,7140,346862,55692.0,7800000.0
2011-11-28,7300,7500,7160,7500,411000,58500.0,7800000.0
2011-11-29,7620,7850,7410,7620,795506,59436.0,7800000.0
2011-11-30,7660,7740,7460,7490,268858,58422.0,7800000.0
2011-12-01,7650,7660,7260,7300,322718,56940.0,7800000.0
2011-12-02,7250,7410,7110,7310,208294,57018.0,7800000.0
2011-12-05,7600,8050,7480,7870,1072024,61386.0,7800000.0
2011-12-06,7840,7910,7420,7530,477588,58734.0,7800000.0
2011-12-07,7530,7660,7350,7610,310312,59358.0,7800000.0
2011-12-08,7640,7650,7320,7320,252958,57096.0,7800000.0
