액트로(290740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-28,10508,10609,8909,9138,2742218,90001.0,5000054.0
2018-08-29,9239,9340,8960,9239,668021,91001.0,5000054.0
2018-08-30,9188,9290,8833,8935,458177,88001.0,5000054.0
2018-08-31,8934,9061,8782,9036,299454,89001.0,5000054.0
2018-09-03,8934,8960,8706,8757,274359,86251.0,5000054.0
2018-09-04,8757,8883,8655,8706,195233,85751.0,5000054.0
2018-09-05,8757,8909,8630,8757,178650,86251.0,5000054.0
2018-09-06,8833,8934,8655,8884,197758,87501.0,5000054.0
2018-09-07,8909,8909,8655,8655,153044,85251.0,5000054.0
2018-09-10,8579,8655,8325,8326,132300,82001.0,5000054.0
2018-09-11,8223,8376,7944,8021,171602,79001.0,5000054.0
2018-09-12,8097,8274,7995,8173,124869,80501.0,5000054.0
2018-09-13,8300,8883,8198,8681,358182,85501.0,5000054.0
2018-09-14,8630,8757,8401,8452,137370,83251.0,5000054.0
2018-09-17,8553,8757,8401,8732,149151,86001.0,5000054.0
2018-09-18,8782,8807,8553,8681,121186,85501.0,5000054.0
2018-09-19,8706,8757,8401,8427,106561,83001.0,5000054.0
2018-09-20,8452,8528,8300,8300,70796,81751.0,5000054.0
2018-09-21,8427,8553,8274,8427,66264,83001.0,5000054.0
2018-09-27,8427,8579,8350,8402,50305,82751.0,5000054.0
2018-09-28,8427,8427,8198,8224,60687,81001.0,5000054.0
2018-10-01,8223,8553,8173,8529,81523,84001.0,5000054.0
2018-10-02,8528,8706,8427,8579,90656,84501.0,5000054.0
2018-10-04,8579,8655,8350,8427,74494,83001.0,5000054.0
2018-10-05,8427,8503,8325,8326,47980,82001.0,5000054.0
2018-10-08,8325,8528,8325,8376,40715,82501.0,5000054.0
2018-10-10,8376,8782,8325,8732,141696,86001.0,5000054.0
2018-10-11,8579,9163,8553,8579,413359,84501.0,5000054.0
2018-10-12,8706,8960,8528,8935,184303,88001.0,5000054.0
2018-10-15,9036,9061,8579,8579,141910,84501.0,5000054.0
2018-10-16,8655,8833,8528,8655,94257,85251.0,5000054.0
2018-10-17,8706,8883,8528,8529,117077,84001.0,5000054.0
2018-10-18,8579,8630,8071,8148,143637,80251.0,5000054.0
2018-10-19,8147,8274,7995,8275,53526,81501.0,5000054.0
