인터로조(119610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-28,5155,5155,4392,4393,2083354,44289.0,4814000.0
2010-07-29,4249,4301,4044,4140,1052973,41737.0,4814000.0
2010-07-30,4182,4200,4009,4012,455847,40438.0,4814000.0
2010-08-02,4034,4215,3952,3974,690010,40052.0,4814000.0
2010-08-03,3999,4019,3857,3930,326879,39619.0,4814000.0
2010-08-04,3961,4215,3857,3869,1096196,38993.0,4814000.0
2010-08-05,3914,3957,3743,3869,264546,38993.0,4814000.0
2010-08-06,3891,3895,3771,3773,112244,38031.0,4814000.0
2010-08-09,3776,3899,3771,3786,167430,38175.0,4814000.0
2010-08-10,3790,3819,3690,3691,141636,37212.0,4814000.0
2010-08-11,3695,3709,3537,3558,142479,35864.0,4814000.0
2010-08-12,3547,3609,3427,3448,91088,34757.0,4814000.0
2010-08-13,3484,3895,3455,3801,356445,38319.0,4814000.0
2010-08-16,3743,3790,3638,3676,83741,37068.0,4814000.0
2010-08-17,3699,3699,3619,3625,61573,36538.0,4814000.0
2010-08-18,3585,3676,3460,3676,100890,37068.0,4814000.0
2010-08-19,3666,3790,3614,3705,72979,37357.0,4814000.0
2010-08-20,3666,3743,3599,3734,39219,37645.0,4814000.0
2010-08-23,3728,3756,3676,3676,58829,37068.0,4814000.0
2010-08-24,3628,3648,3542,3543,86843,35720.0,4814000.0
2010-08-25,3499,3648,3447,3458,114332,38734.0,5350000.0
2010-08-26,3470,3532,3460,3496,31133,39162.0,5350000.0
2010-08-27,3494,3560,3447,3472,14862,38894.0,5350000.0
2010-08-30,3470,3590,3470,3558,30674,39858.0,5350000.0
2010-08-31,3555,3599,3489,3505,34798,39269.0,5350000.0
2010-09-01,3508,3619,3503,3601,23114,40339.0,5350000.0
2010-09-02,3638,3638,3580,3605,8442,40392.0,5350000.0
2010-09-03,3643,3766,3638,3676,34840,41195.0,5350000.0
2010-09-06,3723,3723,3638,3648,12619,40874.0,5350000.0
2010-09-07,3638,3638,3580,3605,22124,40392.0,5350000.0
2010-09-08,3604,3656,3550,3581,7544,40125.0,5350000.0
2010-09-09,3560,3648,3537,3576,6597,40072.0,5350000.0
2010-09-10,3580,3652,3570,3615,6225,40500.0,5350000.0
2010-09-13,3619,3652,3570,3586,10902,40178.0,5350000.0
2010-09-14,3585,3643,3575,3576,11082,40072.0,5350000.0
2010-09-15,3609,3609,3565,3581,11505,40125.0,5350000.0
2010-09-16,3560,3580,3527,3529,17664,39536.0,5350000.0
2010-09-17,3527,3609,3527,3610,20148,40446.0,5350000.0
2010-09-20,3599,3656,3575,3615,19482,40500.0,5350000.0
