비디아이(148140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-01-16,15650,15650,15650,15650,100,65104.0,4160000.0
2017-01-17,15650,15650,15650,15650,0,65104.0,4160000.0
2017-01-18,15650,15650,15650,15650,0,,
2017-01-19,15650,15650,15650,15650,0,,
2017-01-20,15650,15650,15650,15650,0,,
2017-01-23,15650,15650,15650,15650,0,,
2017-01-24,14500,14500,14500,14500,100,60320.0,4160000.0
2017-01-25,16650,16650,16650,16650,10,69264.0,4160000.0
2017-01-26,15150,15150,15150,15150,0,63024.0,4160000.0
2017-01-31,14300,14300,14300,14300,100,59488.0,4160000.0
2017-02-01,14300,14300,14300,14300,0,59488.0,4160000.0
2017-02-02,14300,14300,14300,14300,0,,
2017-02-03,14300,14300,14300,14300,0,,
2017-02-06,14300,14300,14300,14300,0,,
2017-02-07,14300,14300,14300,14300,0,,
2017-02-08,14300,14300,14300,14300,0,,
2017-02-09,14300,14300,14300,14300,0,,
2017-02-10,13650,13650,13650,13650,100,56784.0,4160000.0
2017-02-13,15650,15650,15650,15650,10,65104.0,4160000.0
2017-02-14,14300,14300,14300,14300,0,59488.0,4160000.0
2017-02-15,14300,14300,14300,14300,0,,
2017-02-16,14300,14300,14300,14300,0,,
2017-02-17,14300,14300,14300,14300,0,,
2017-02-20,14300,14300,14300,14300,0,,
2017-02-21,14300,14300,14300,14300,0,,
2017-02-22,14300,14300,14300,14300,0,,
2017-02-23,14300,14300,14300,14300,0,,
2017-02-24,14300,14300,14300,14300,0,,
2017-02-27,14300,14300,14300,14300,0,,
2017-02-28,14300,14300,14300,14300,0,,
2017-03-02,14300,14300,14300,14300,0,,
2017-03-03,14300,14300,14300,14300,0,,
2017-03-06,14300,14300,14300,14300,0,,
2017-03-07,14300,14300,14300,14300,0,,
2017-03-08,14300,14300,14300,14300,0,,
2017-03-09,14300,14300,14300,14300,0,,
2017-03-10,14300,14300,14300,14300,0,,
2017-03-13,14300,14300,14300,14300,0,,
2017-03-14,14300,14300,14300,14300,0,,
2017-03-15,14300,14300,14300,14300,0,,
2017-03-16,14300,14300,14300,14300,0,,
2017-03-17,14300,14300,14300,14300,1,59488.0,4160000.0
2017-03-20,14300,14300,14300,14300,0,,
2017-03-21,14300,14300,14300,14300,0,,
2017-03-22,14300,14300,14300,14300,0,,
2017-03-23,14300,14300,14300,14300,0,,
2017-03-24,14300,14300,14300,14300,0,,
2017-03-27,14300,14300,14300,14300,0,,
2017-03-28,14300,14300,14300,14300,0,,
2017-03-29,14300,14300,14300,14300,0,,
2017-03-30,14300,14300,14300,14300,0,,
2017-03-31,14300,14300,14300,14300,0,,
2017-04-03,14300,14300,14300,14300,0,,
2017-04-04,14300,14300,14300,14300,0,,
2017-04-05,14300,14300,14300,14300,0,,
2017-04-06,14300,14300,14300,14300,0,,
2017-04-07,13500,13500,13500,13500,100,56160.0,4160000.0
2017-04-10,13500,13500,13500,13500,0,56160.0,4160000.0
2017-04-11,13500,13500,13500,13500,0,,
2017-04-12,13500,13500,13500,13500,0,,
2017-04-13,13500,13500,13500,13500,100,56160.0,4160000.0
2017-04-14,13500,13500,13500,13500,0,,
2017-04-17,13500,13500,13500,13500,0,,
2017-04-18,13500,13500,13500,13500,0,,
2017-04-19,13500,13500,13500,13500,0,,
2017-04-20,13500,13500,13500,13500,0,,
2017-04-21,13500,13500,13500,13500,0,,
2017-04-24,13500,13500,13500,13500,0,,
2017-04-25,13400,13400,13400,13400,100,55744.0,4160000.0
2017-04-26,13400,13400,13400,13400,0,55744.0,4160000.0
2017-04-27,13400,13400,13400,13400,0,,
2017-04-28,13400,13400,13400,13400,0,,
2017-05-02,13400,13400,13400,13400,0,,
2017-05-04,13400,13400,13400,13400,0,,
2017-05-08,13400,13400,13400,13400,0,,
2017-05-10,13400,13400,13400,13400,0,,
2017-05-11,13400,13400,13400,13400,0,,
2017-05-12,13400,13400,13400,13400,0,,
2017-05-15,13400,13400,13400,13400,0,,
2017-05-16,13400,13400,13400,13400,0,,
2017-05-17,13400,13400,13400,13400,0,,
2017-05-18,13400,13400,13400,13400,0,,
2017-05-19,13400,13400,13400,13400,0,,
2017-05-22,13400,13400,13400,13400,0,,
2017-05-23,13400,13400,13400,13400,0,,
2017-05-24,12600,12600,12600,12600,1,52416.0,4160000.0
2017-05-25,12600,12600,12600,12600,0,52416.0,4160000.0
2017-05-26,12600,12600,12600,12600,0,,
2017-05-29,12600,12600,12600,12600,0,,
2017-05-30,12600,12600,12600,12600,0,,
2017-05-31,12600,12600,12600,12600,0,,
2017-06-01,12600,12600,12600,12600,0,,
2017-06-02,12600,12600,12600,12600,0,,
2017-06-05,12600,12600,12600,12600,1,52416.0,4160000.0
2017-06-07,12600,12600,12600,12600,0,,
2017-06-08,12600,12600,12600,12600,0,,
2017-06-09,12600,12600,12600,12600,0,,
2017-06-12,12600,12600,12600,12600,0,,
2017-06-13,12600,12600,12600,12600,0,,
2017-06-14,12600,12600,12600,12600,0,,
2017-06-15,12600,12600,12600,12600,0,,
2017-06-16,12600,12600,12600,12600,0,,
2017-06-19,12600,12600,12600,12600,0,,
2017-06-20,12600,12600,12600,12600,0,,
2017-06-21,12600,12600,12600,12600,0,,
2017-06-22,12600,12600,12600,12600,0,,
2017-06-23,12600,12600,12600,12600,0,,
2017-06-26,12600,12600,12600,12600,0,,
2017-06-27,12600,12600,12600,12600,0,,
2017-06-28,12600,12600,12600,12600,0,,
2017-06-29,12600,12600,12600,12600,0,,
2017-06-30,12600,12600,12600,12600,0,,
2017-07-03,12600,12600,12600,12600,0,,
2017-07-04,12600,12600,12600,12600,0,,
2017-07-05,12600,12600,12600,12600,0,,
2017-07-06,12600,12600,12600,12600,0,,
2017-07-07,12600,12600,12600,12600,0,,
2017-07-10,12000,12000,12000,12000,100,49920.0,4160000.0
2017-07-11,12000,13800,12000,13800,96,57408.0,4160000.0
2017-07-12,12000,12000,11750,11750,101,48880.0,4160000.0
2017-07-13,11950,11950,10000,10000,102,41600.0,4160000.0
2017-07-14,8520,11500,8520,10000,106,41600.0,4160000.0
2017-07-17,10550,11400,10550,11400,101,47424.0,4160000.0
2017-07-18,13000,13000,13000,13000,151,54080.0,4160000.0
2017-07-19,11350,13000,11350,13000,103,54080.0,4160000.0
2017-07-20,11150,11250,11050,11050,169,45968.0,4160000.0
2017-07-21,10200,10200,10200,10200,1,42432.0,4160000.0
2017-07-24,10800,11600,10800,11600,101,48256.0,4160000.0
2017-07-25,11050,11050,11050,11050,0,45968.0,4160000.0
2017-07-26,10000,10000,10000,10000,1,41600.0,4160000.0
2017-07-27,9500,9500,9500,9500,1,39520.0,4160000.0
2017-07-28,10900,10900,9010,9010,2,37482.0,4160000.0
2017-07-31,8000,10350,8000,10000,5,41600.0,4160000.0
2017-08-01,10550,11450,10000,10000,150,41600.0,4160000.0
2017-08-02,11050,11500,11050,11500,68,47840.0,4160000.0
2017-08-03,13200,13200,13200,13200,1,54912.0,4160000.0
2017-08-04,11250,14950,11250,14950,64,62192.0,4160000.0
2017-08-07,12750,13850,12750,13850,26,57616.0,4160000.0
2017-08-08,11800,12950,11800,12950,115,53872.0,4160000.0
2017-08-09,11350,11350,11050,11050,103,45968.0,4160000.0
2017-08-10,9410,11850,9410,9420,4,39187.0,4160000.0
2017-08-11,8060,10750,8060,8060,16,33530.0,4160000.0
2017-08-14,7010,9260,7010,7040,7,29286.0,4160000.0
2017-08-16,8090,8090,8080,8080,2,33613.0,4160000.0
2017-08-17,8800,8800,8800,8800,1,36608.0,4160000.0
2017-08-18,9000,10100,9000,10100,2,42016.0,4160000.0
2017-08-21,10100,10100,10100,10100,0,42016.0,4160000.0
2017-08-22,10100,10100,10100,10100,0,,
2017-08-23,10100,10100,10100,10100,0,,
2017-08-24,8600,8600,8600,8600,1,35776.0,4160000.0
2017-08-25,9890,9890,9890,9890,11,41142.0,4160000.0
2017-08-28,8500,8500,8500,8500,1,35360.0,4160000.0
2017-08-29,9530,9650,9000,9000,116,37440.0,4160000.0
2017-08-30,10350,10350,8000,8500,4,35360.0,4160000.0
2017-08-31,9770,9770,9770,9770,96,40643.0,4160000.0
