강스템바이오텍(217730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-21,6806,8848,6711,8848,4419368,129329.0,13817150.0
2015-12-22,9642,11249,8526,8527,6412657,124631.0,13817150.0
2015-12-23,8706,8838,7657,7666,1067338,112057.0,13817150.0
2015-12-24,7789,8356,7723,7912,858477,115650.0,13817150.0
2015-12-28,7855,8167,7600,7629,276963,111504.0,13817150.0
2015-12-29,7657,9878,7657,9170,4446469,134026.0,13817150.0
2015-12-30,9311,10871,9311,10304,2376822,150607.0,13817150.0
2016-01-04,11863,13376,11249,11722,2569972,171333.0,13817150.0
2016-01-05,11532,12667,10918,12005,1266473,175478.0,13817150.0
2016-01-06,12478,13896,11296,13423,1724916,196204.0,13817150.0
2016-01-07,12903,13517,12572,13234,816671,193440.0,13817150.0
2016-01-08,12667,13754,12336,13565,952715,198276.0,13817150.0
2016-01-11,13659,14226,12903,13093,733378,191368.0,13817150.0
2016-01-12,13045,13470,12525,12809,463279,187222.0,13817150.0
2016-01-13,13328,14652,13281,13707,1580123,200349.0,13817150.0
2016-01-14,13234,13423,12856,13329,434268,194822.0,13817150.0
2016-01-15,13659,14132,12903,12951,498738,189295.0,13817150.0
2016-01-18,12572,14510,12478,14274,1603900,208639.0,13817150.0
2016-01-19,15314,15881,14699,14841,1233110,216929.0,13817150.0
2016-01-20,15125,15786,14605,15787,1246421,230746.0,13817150.0
2016-01-21,15314,15692,15030,15361,528750,224529.0,13817150.0
2016-01-22,15408,15597,14888,15172,238929,221765.0,13817150.0
2016-01-25,15172,15455,14652,15314,314098,223838.0,13817150.0
2016-01-26,15219,16448,15077,16070,592337,234892.0,13817150.0
2016-01-27,16259,16732,16070,16307,438564,238346.0,13817150.0
2016-01-28,16259,18339,16164,17914,829855,261835.0,13817150.0
2016-01-29,18197,19237,17913,18906,648078,276343.0,13817150.0
2016-02-01,19048,20087,17677,18906,695273,276343.0,13817150.0
2016-02-02,19000,19946,18055,19521,356691,285324.0,13817150.0
2016-02-03,19331,19898,19237,19521,271554,285324.0,13817150.0
2016-02-04,19804,20796,19757,20608,459806,301214.0,13817150.0
2016-02-05,21080,21080,19709,20088,378454,293614.0,13817150.0
2016-02-11,19000,19331,17015,17016,839596,248709.0,13817150.0
2016-02-12,16495,17110,13612,15172,1134459,221765.0,13817150.0
2016-02-15,15550,15928,14368,14889,498284,217620.0,13817150.0
2016-02-16,15219,16542,15219,16212,701012,236964.0,13817150.0
2016-02-17,16353,16353,15030,15030,346013,219693.0,13817150.0
2016-02-18,15597,15975,14463,15030,383747,219693.0,13817150.0
2016-02-19,15361,15408,14132,14416,495887,210712.0,13817150.0
2016-02-22,14463,16070,13848,15220,879532,222456.0,13817150.0
2016-02-23,15786,15786,14321,14605,427446,213475.0,13817150.0
2016-02-24,14605,14652,13990,14085,349061,205876.0,13817150.0
