이라이콤(041520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-07-04,3598,4023,3598,4023,4672,47970.0,9750000.0
2003-07-07,4023,4506,3925,4506,1006524,53722.0,9750000.0
2003-07-08,4841,4874,4113,4162,608155,49628.0,9750000.0
2003-07-09,4236,4236,3737,3786,291962,45142.0,9750000.0
2003-07-10,3794,3909,3606,3606,128871,42998.0,9750000.0
2003-07-11,3533,3533,3197,3214,228662,38318.0,9750000.0
2003-07-14,3189,3435,3189,3296,243038,39292.0,9750000.0
2003-07-15,3353,3459,3296,3304,139529,39390.0,9750000.0
2003-07-16,3287,3623,3271,3492,254461,41632.0,9750000.0
2003-07-18,3385,3582,3312,3312,208294,39488.0,9750000.0
2003-07-21,3353,3475,3246,3426,200855,40852.0,9750000.0
2003-07-22,3467,3655,3067,3116,710514,37148.0,9750000.0
2003-07-23,3181,3181,2752,2821,216577,33638.0,9750000.0
2003-07-24,2739,2915,2739,2846,105415,33930.0,9750000.0
2003-07-25,2739,2846,2682,2694,123055,32126.0,9750000.0
2003-07-28,2715,3017,2658,3017,223559,35978.0,9750000.0
2003-07-29,3058,3075,2895,2973,107227,35441.0,9750000.0
2003-07-30,2993,3206,2993,3022,153910,36026.0,9750000.0
2003-07-31,2952,3026,2862,2903,66563,34612.0,9750000.0
2003-08-01,2862,3251,2797,3251,409631,38756.0,9750000.0
2003-08-04,3251,3313,3107,3271,294939,39000.0,9750000.0
2003-08-05,3353,3447,2997,3062,712879,36514.0,9750000.0
2003-08-06,3017,3046,2866,3017,125107,35978.0,9750000.0
2003-08-07,3017,3321,3017,3271,367182,39000.0,9750000.0
2003-08-08,3353,3598,3320,3475,876810,41438.0,9750000.0
2003-08-11,3516,3639,3238,3312,658542,39488.0,9750000.0
2003-08-12,3435,3708,3426,3708,363368,44216.0,9750000.0
2003-08-13,3937,4130,3721,3721,1197630,44362.0,9750000.0
2003-08-14,3766,4162,3631,4089,700786,48750.0,9750000.0
2003-08-18,4089,4244,4007,4130,456156,49238.0,9750000.0
2003-08-19,4244,4375,3933,3978,563663,47434.0,9750000.0
2003-08-20,3974,3974,3565,3578,442378,42656.0,9750000.0
2003-08-21,3582,3848,3582,3704,284669,44168.0,9750000.0
2003-08-22,3717,3737,3565,3614,139296,43095.0,9750000.0
2003-08-25,3557,4044,3557,4003,398327,47726.0,9750000.0
2003-08-26,3999,3999,3794,3999,171905,47678.0,9750000.0
2003-08-27,4130,4211,3974,3974,347460,47385.0,9750000.0
2003-08-28,4007,4048,3668,3843,206007,45825.0,9750000.0
2003-08-29,3843,4301,3807,4187,639686,49920.0,9750000.0
2003-09-01,4211,4498,4007,4089,1110637,48750.0,9750000.0
2003-09-02,4081,4130,3888,4003,290931,47726.0,9750000.0
2003-09-03,4064,4138,3946,3970,382935,47336.0,9750000.0
2003-09-04,3974,4301,3901,4301,1342481,51285.0,9750000.0
2003-09-05,4326,4408,4154,4252,730442,50700.0,9750000.0
2003-09-08,4211,4236,4007,4162,492147,49628.0,9750000.0
2003-09-09,4211,4318,4056,4072,674622,48555.0,9750000.0
2003-09-15,4081,4146,3745,3745,475591,44655.0,9750000.0
2003-09-16,3745,3921,3737,3811,427578,45435.0,9750000.0
2003-09-17,3762,3910,3762,3778,327083,45045.0,9750000.0
2003-09-18,3778,3803,3516,3631,322604,43290.0,9750000.0
2003-09-19,3627,3778,3480,3557,168745,42412.0,9750000.0
2003-09-22,3333,3513,3132,3132,343607,37342.0,9750000.0
2003-09-23,3034,3140,2846,3140,308229,37440.0,9750000.0
2003-09-24,3136,3475,3136,3279,948274,39098.0,9750000.0
2003-09-25,3148,3475,3091,3394,576646,40462.0,9750000.0
2003-09-26,3353,3508,3279,3475,578206,41438.0,9750000.0
2003-09-29,3533,3704,3451,3704,753971,44168.0,9750000.0
2003-09-30,3762,3762,3480,3508,390661,41828.0,9750000.0
