웨이브일렉트로(095270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-09-12,10100,10200,8600,8600,3580812,85312.0,9920000.0
2007-09-13,8100,8480,7360,7460,2368081,74003.0,9920000.0
2007-09-14,7620,8170,7360,7450,2284456,73904.0,9920000.0
2007-09-17,7750,7940,7470,7680,1079500,76186.0,9920000.0
2007-09-18,7680,7740,7060,7150,925977,70928.0,9920000.0
2007-09-19,7370,7430,6700,7030,976536,69738.0,9920000.0
2007-09-20,7040,7090,6510,6510,683398,64579.0,9920000.0
2007-09-21,6520,6740,6130,6200,855056,61504.0,9920000.0
2007-09-27,6260,6550,6200,6360,979421,63091.0,9920000.0
2007-09-28,6360,6390,5850,6020,1031404,59718.0,9920000.0
2007-10-01,6080,6170,5820,5860,470346,58131.0,9920000.0
2007-10-02,5940,6080,5750,5760,537717,57139.0,9920000.0
2007-10-04,5760,5920,5730,5760,400851,57139.0,9920000.0
2007-10-05,5850,6050,5840,6000,483757,59670.0,9945000.0
2007-10-08,6220,6220,5670,5670,480172,56388.0,9945000.0
2007-10-09,5680,5720,5330,5370,397134,53405.0,9945000.0
2007-10-10,5450,5590,5230,5250,458539,52211.0,9945000.0
2007-10-11,5220,5450,5090,5300,365302,52708.0,9945000.0
2007-10-12,5360,5400,5190,5220,189953,51913.0,9945000.0
2007-10-15,5270,5330,4805,4805,483888,47786.0,9945000.0
2007-10-16,4735,4850,4375,4450,425860,44255.0,9945000.0
2007-10-17,4450,4880,4260,4800,576355,47736.0,9945000.0
2007-10-18,4895,4895,4615,4620,172137,45946.0,9945000.0
2007-10-19,5290,5310,5150,5310,752472,52808.0,9945000.0
2007-10-22,5310,5990,4520,5150,1918617,51217.0,9945000.0
2007-10-23,5320,5380,4655,4710,788094,46841.0,9945000.0
2007-10-24,4775,5050,4690,4695,342831,46692.0,9945000.0
2007-10-25,4655,4845,4540,4605,214643,45797.0,9945000.0
2007-10-26,4605,4690,4490,4495,246522,44703.0,9945000.0
2007-10-29,4530,4770,4530,4675,208068,46493.0,9945000.0
2007-10-30,4655,4980,4590,4890,169631,48631.0,9945000.0
2007-10-31,4950,4985,4800,4855,135879,48283.0,9945000.0
2007-11-01,4860,5050,4850,4925,217996,48979.0,9945000.0
2007-11-02,4785,4800,4530,4780,98557,47537.0,9945000.0
2007-11-05,4790,4960,4685,4690,61617,46642.0,9945000.0
2007-11-06,4670,4700,4420,4505,101371,44802.0,9945000.0
2007-11-07,4530,4550,4310,4310,113227,42863.0,9945000.0
2007-11-08,4250,4350,4105,4105,106755,40824.0,9945000.0
2007-11-09,4115,4200,4080,4110,98779,40874.0,9945000.0
2007-11-12,4005,4100,3765,3835,176459,38139.0,9945000.0
2007-11-13,3860,3860,3685,3700,336237,36796.0,9945000.0
2007-11-14,3770,3785,3560,3600,303507,35802.0,9945000.0
2007-11-15,3590,3670,3500,3500,214959,34808.0,9945000.0
2007-11-16,3460,3495,3340,3385,231864,33664.0,9945000.0
2007-11-19,3695,3890,3620,3625,595685,36051.0,9945000.0
2007-11-20,3500,3500,3295,3360,273935,33415.0,9945000.0
2007-11-21,3350,3470,3265,3370,248251,33515.0,9945000.0
2007-11-22,3350,3350,3170,3235,133435,32172.0,9945000.0
2007-11-23,3300,3300,2970,3000,184261,29835.0,9945000.0
2007-11-26,3030,3085,3000,3085,132114,30680.0,9945000.0
2007-11-27,3010,3150,2990,3110,117008,30929.0,9945000.0
2007-11-28,3120,3185,3085,3110,97099,30929.0,9945000.0
2007-11-29,3155,3190,3105,3150,104642,31327.0,9945000.0
2007-11-30,3210,3230,3130,3150,246772,31327.0,9945000.0
2007-12-03,3170,3280,3150,3240,111058,32222.0,9945000.0
2007-12-04,3240,3300,3210,3250,82413,32321.0,9945000.0
2007-12-05,3295,3680,3270,3500,453018,34808.0,9945000.0
2007-12-06,3505,3685,3460,3505,172804,34857.0,9945000.0
2007-12-07,3585,3595,3400,3420,123785,34012.0,9945000.0
2007-12-10,3370,3480,3350,3430,80857,34111.0,9945000.0
2007-12-11,3400,3620,3400,3570,87221,35504.0,9945000.0
2007-12-12,3550,3620,3410,3610,142098,35901.0,9945000.0
2007-12-13,3640,3815,3550,3615,128924,35951.0,9945000.0
2007-12-14,3610,3745,3600,3650,110975,36299.0,9945000.0
2007-12-17,3620,3680,3540,3560,133689,35484.0,9967500.0
2007-12-18,3500,3800,3460,3510,318503,34986.0,9967500.0
2007-12-20,3565,3600,3455,3455,96209,34438.0,9967500.0
2007-12-21,3490,3520,3365,3420,105356,34089.0,9967500.0
2007-12-24,3480,3480,3395,3430,132667,34189.0,9967500.0
2007-12-26,3400,3470,3350,3410,70812,33989.0,9967500.0
2007-12-27,3390,3500,3200,3405,105638,33939.0,9967500.0
2007-12-28,3500,3640,3360,3540,92949,35285.0,9967500.0
2008-01-02,3600,3900,3520,3760,156877,37478.0,9967500.0
2008-01-03,3710,4080,3710,3995,244112,39820.0,9967500.0
2008-01-04,3935,4040,3880,4000,121105,39870.0,9967500.0
2008-01-07,3860,4030,3820,3990,100184,39770.0,9967500.0
2008-01-08,4200,4350,4000,4050,306790,40368.0,9967500.0
2008-01-09,4000,4000,3780,3900,107186,38873.0,9967500.0
2008-01-10,3920,3940,3855,3855,69688,38425.0,9967500.0
2008-01-11,3900,4150,3855,4045,210672,40319.0,9967500.0
2008-01-14,4045,4280,4045,4185,190881,41714.0,9967500.0
2008-01-15,4285,4285,4000,4000,162746,39870.0,9967500.0
2008-01-16,3835,3940,3600,3600,137429,35883.0,9967500.0
2008-01-17,3610,3875,3605,3790,131795,37777.0,9967500.0
2008-01-18,3760,3940,3615,3925,82784,39122.0,9967500.0
2008-01-21,3925,4085,3720,3730,61375,37179.0,9967500.0
2008-01-22,3730,3810,3175,3330,151332,33192.0,9967500.0
2008-01-23,3295,3450,3295,3330,111528,33192.0,9967500.0
