줌인터넷(239340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-06-09,2004,2004,1944,1944,199795,9288.0,4800000.0
2016-06-10,1954,1959,1939,1949,75326,9312.0,4800000.0
2016-06-13,1954,1954,1944,1949,133029,9312.0,4800000.0
2016-06-14,1949,1959,1944,1944,76927,9288.0,4800000.0
2016-06-15,1949,1959,1944,1949,16381,9312.0,4800000.0
2016-06-16,1949,1969,1944,1949,9508,9312.0,4800000.0
2016-06-17,1944,1964,1944,1964,18029,9384.0,4800000.0
2016-06-20,1959,1979,1959,1974,13656,9432.0,4800000.0
2016-06-21,1989,2009,1969,1995,49831,9528.0,4800000.0
2016-06-22,1994,2009,1984,2010,53805,9600.0,4800000.0
2016-06-23,2009,2009,1989,1989,12076,9504.0,4800000.0
2016-06-24,1994,1994,1984,1984,14630,9480.0,4800000.0
2016-06-27,1999,1999,1984,1989,63,9504.0,4800000.0
2016-06-28,1989,1989,1989,1989,2780,9504.0,4800000.0
2016-06-29,1989,2009,1989,1995,5965,9528.0,4800000.0
2016-06-30,2004,2009,1999,2005,32150,9576.0,4800000.0
2016-07-01,2009,2039,2009,2025,49290,9672.0,4800000.0
2016-07-04,2029,2029,2009,2015,3456,9624.0,4800000.0
2016-07-05,2014,2029,2009,2010,7115,9600.0,4800000.0
2016-07-06,2009,2039,2009,2030,9402,9696.0,4800000.0
2016-07-07,2014,2029,2014,2015,1884,9624.0,4800000.0
2016-07-08,2029,2039,2019,2020,39,9648.0,4800000.0
2016-07-11,2029,2039,2019,2040,11660,9744.0,4800000.0
2016-07-12,2039,2356,2024,2135,117926,10200.0,4800000.0
2016-07-13,2260,2260,2095,2095,162825,10008.0,4800000.0
2016-07-14,2100,2125,2059,2080,18999,9936.0,4800000.0
2016-07-15,2079,2089,2074,2090,4583,9984.0,4800000.0
2016-07-18,2089,2110,2079,2105,8925,10056.0,4800000.0
2016-07-19,2089,2165,2074,2075,43371,9912.0,4800000.0
2016-07-20,2110,2155,2039,2115,140395,10104.0,4800000.0
2016-07-21,2120,2145,2074,2110,31527,10080.0,4800000.0
2016-07-22,2130,2130,2064,2095,24486,10008.0,4800000.0
2016-07-25,2084,2110,2084,2095,2980,10008.0,4800000.0
2016-07-26,2110,2110,2089,2100,1926,10032.0,4800000.0
2016-07-27,2290,2290,2095,2100,13836,10032.0,4800000.0
2016-07-28,2120,2190,2079,2120,813,10128.0,4800000.0
2016-07-29,2135,2135,2079,2130,1255,10176.0,4800000.0
2016-08-01,2130,2130,2074,2115,2537,10104.0,4800000.0
2016-08-02,2120,2120,2074,2105,18409,10056.0,4800000.0
2016-08-03,2110,2110,2059,2110,23543,10080.0,4800000.0
2016-08-04,2140,2140,2089,2110,5453,10080.0,4800000.0
2016-08-05,2220,2220,2084,2115,13795,10104.0,4800000.0
2016-08-08,2125,2125,2110,2110,3,10080.0,4800000.0
2016-08-09,2110,2110,2089,2100,333,10032.0,4800000.0
2016-08-10,2195,2195,2074,2130,7096,10176.0,4800000.0
2016-08-11,2170,2170,2084,2085,10713,9960.0,4800000.0
2016-08-12,2110,2110,2059,2100,33641,10032.0,4800000.0
2016-08-16,2100,2105,2079,2105,2975,10056.0,4800000.0
2016-08-17,2145,2145,2084,2090,2113,9984.0,4800000.0
2016-08-18,2145,2145,2079,2120,13042,10128.0,4800000.0
2016-08-19,2084,2130,2084,2115,29,10104.0,4800000.0
2016-08-22,2084,2125,2059,2075,7996,9912.0,4800000.0
2016-08-23,2190,2190,2084,2105,8122,10056.0,4800000.0
2016-08-24,2089,2130,2089,2100,1611,10032.0,4800000.0
2016-08-25,2120,2306,2079,2110,88873,10080.0,4800000.0
2016-08-26,2130,2130,2089,2105,28988,10056.0,4800000.0
2016-08-29,2110,2115,2089,2095,47282,10008.0,4800000.0
2016-08-30,2074,2095,2019,2080,29822,9936.0,4800000.0
2016-08-31,2130,2130,2059,2080,26055,9936.0,4800000.0
2016-09-01,2079,2079,2064,2070,86608,9888.0,4800000.0
2016-09-02,2100,2100,2069,2080,9010,9936.0,4800000.0
2016-09-05,2095,2110,2074,2080,59507,9936.0,4800000.0
2016-09-06,2105,2105,2064,2085,8779,9960.0,4800000.0
2016-09-07,2094,2100,2069,2085,17710,9960.0,4800000.0
