심텍(222800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-08-07,14100,15500,11250,11350,4197012,205110.0,18071407.0
2015-08-10,12800,12950,11550,11600,2568479,209628.0,18071407.0
2015-08-11,11900,12900,11800,12050,1848946,217760.0,18071407.0
2015-08-12,11800,12850,11500,12550,1184131,226796.0,18071407.0
2015-08-13,12650,14400,12650,13650,1721579,246675.0,18071407.0
2015-08-17,13600,13650,12750,12900,440915,233121.0,18071407.0
2015-08-18,12900,13100,11800,12000,542434,216857.0,18071407.0
2015-08-19,12350,12400,11300,11600,704059,209628.0,18071407.0
2015-08-20,11800,12250,11550,11550,556889,208725.0,18071407.0
2015-08-21,11000,11300,10600,10900,535877,196978.0,18071407.0
2015-08-24,10650,11100,9350,9350,700396,168968.0,18071407.0
2015-08-25,9600,11150,9310,10650,966847,192460.0,18071407.0
2015-08-26,10650,11500,10500,11450,537260,206918.0,18071407.0
2015-08-27,11500,12150,11350,11750,609034,212339.0,18071407.0
2015-08-28,11850,11900,11500,11750,208678,212339.0,18071407.0
2015-08-31,11600,12300,11450,11800,253050,213243.0,18071407.0
2015-09-01,11750,12800,11600,12000,678415,216857.0,18071407.0
2015-09-02,11850,12150,11000,11650,539049,210532.0,18071407.0
2015-09-03,11800,12350,11650,12150,472459,219568.0,18071407.0
2015-09-04,12200,12450,11300,11700,326628,211435.0,18071407.0
2015-09-07,11800,11950,11300,11500,157478,207821.0,18071407.0
2015-09-08,11700,12350,11400,11800,658965,213243.0,18071407.0
2015-09-09,12050,12350,11850,12350,490378,223182.0,18071407.0
2015-09-10,12150,12750,11950,12150,395654,219568.0,18071407.0
2015-09-11,12200,12250,11550,11950,418914,215953.0,18071407.0
2015-09-14,12000,12000,11400,11500,296232,207821.0,18071407.0
2015-09-15,11450,11750,11300,11600,231477,209628.0,18071407.0
2015-09-16,11700,12400,11600,12200,472729,220471.0,18071407.0
2015-09-17,12200,12250,11700,11900,265036,215050.0,18071407.0
2015-09-18,11950,12000,11750,11950,193388,215953.0,18071407.0
2015-09-21,11750,11850,10900,10950,497499,197882.0,18071407.0
2015-09-22,10900,11200,10700,11000,303471,241400.0,21945415.0
2015-09-23,10800,11000,9900,9900,641240,217260.0,21945415.0
2015-09-24,10000,10100,9800,9800,549258,215065.0,21945415.0
2015-09-25,9890,10100,9490,9990,759475,219235.0,21945415.0
2015-09-30,9890,10700,9860,10450,1015223,229330.0,21945415.0
2015-10-01,10550,11100,10400,10850,730195,238108.0,21945415.0
2015-10-02,10850,11250,10750,10900,531582,239205.0,21945415.0
2015-10-05,10950,11200,10800,10950,389992,240302.0,21945415.0
2015-10-06,11050,11100,10600,10650,210565,233719.0,21945415.0
2015-10-07,10750,10850,10550,10600,86064,232621.0,21945415.0
2015-10-08,10650,11400,10650,11200,572467,245789.0,21945415.0
2015-10-12,11200,11250,10900,11050,94699,242497.0,21945415.0
2015-10-13,11000,11100,10500,10800,173374,237010.0,21945415.0
2015-10-14,10800,10800,10250,10400,162538,228232.0,21945415.0
2015-10-15,10500,10750,10250,10650,87309,233719.0,21945415.0
2015-10-16,10650,10800,10400,10600,155730,232621.0,21945415.0
2015-10-19,10600,10650,10250,10350,119895,227135.0,21945415.0
2015-10-20,10250,10500,10250,10450,98538,229330.0,21945415.0
2015-10-21,10400,10400,9840,9970,547650,218796.0,21945415.0
2015-10-22,9970,9970,9520,9680,310942,212432.0,21945415.0
2015-10-23,9680,9770,9610,9700,100792,212871.0,21945415.0
2015-10-26,9810,9810,9500,9590,173654,210457.0,21945415.0
2015-10-27,9460,9560,8080,8340,1617219,183025.0,21945415.0
2015-10-28,8340,8540,8270,8300,337377,182147.0,21945415.0
2015-10-29,8380,8680,8260,8370,232132,183683.0,21945415.0
2015-10-30,8370,8460,7880,7970,368550,174905.0,21945415.0
2015-11-02,8000,8230,7930,8120,218337,178197.0,21945415.0
2015-11-03,8130,8250,7750,7850,390083,172272.0,21945415.0
2015-11-04,7860,8010,7860,8000,131071,175563.0,21945415.0
2015-11-05,8010,8350,7940,8320,191025,182586.0,21945415.0
2015-11-06,8350,8500,7950,8050,225165,176661.0,21945415.0
2015-11-09,7970,8050,7810,7890,141078,173149.0,21945415.0
2015-11-10,7700,7810,7390,7470,308420,163932.0,21945415.0
2015-11-11,7620,7780,7390,7590,247170,166566.0,21945415.0
2015-11-12,7560,7640,7470,7530,136675,165249.0,21945415.0
2015-11-13,7430,7490,7110,7230,262217,158665.0,21945415.0
2015-11-16,7080,7150,6960,6960,152235,152740.0,21945415.0
2015-11-17,7040,7260,7000,7230,97337,158665.0,21945415.0
2015-11-18,7220,7340,6920,6950,221982,152521.0,21945415.0
2015-11-19,7030,7080,6870,6900,192987,151423.0,21945415.0
2015-11-20,6930,7360,6880,6900,368605,151423.0,21945415.0
2015-11-23,6960,7030,6880,6890,186962,151204.0,21945415.0
2015-11-24,6920,6950,6620,6700,352211,147034.0,21945415.0
2015-11-25,6700,6770,6530,6640,267918,145718.0,21945415.0
2015-11-26,6640,6970,6630,6900,244905,151423.0,21945415.0
2015-11-27,6990,7080,6800,6820,173486,149668.0,21945415.0
2015-11-30,6840,6930,6700,6930,97172,152082.0,21945415.0
2015-12-01,6920,7170,6800,7120,276583,156251.0,21945415.0
2015-12-02,7240,7280,6710,6730,354506,147693.0,21945415.0
2015-12-03,6740,6790,6640,6700,99534,147034.0,21945415.0
2015-12-04,6610,6800,6610,6750,67584,148132.0,21945415.0
2015-12-07,6770,6830,6590,6590,91231,144620.0,21945415.0
2015-12-08,6500,6610,6360,6430,139574,141109.0,21945415.0
2015-12-09,6300,6520,6300,6360,89828,139573.0,21945415.0
2015-12-10,6320,6480,6130,6360,157491,139573.0,21945415.0
2015-12-11,6360,6400,6070,6070,135032,133209.0,21945415.0
2015-12-14,5980,5990,5690,5740,259572,125967.0,21945415.0
2015-12-15,5660,5810,5660,5790,93719,127064.0,21945415.0
2015-12-16,5820,6350,5770,6150,158186,134964.0,21945415.0
2015-12-17,6220,7230,6090,6470,1542150,141987.0,21945415.0
2015-12-18,6460,6670,6300,6580,232707,144401.0,21945415.0
2015-12-21,6500,6630,6310,6340,258948,139134.0,21945415.0
2015-12-22,6340,6430,6230,6280,82590,137817.0,21945415.0
2015-12-23,6280,6340,6120,6330,86905,138914.0,21945415.0
2015-12-24,6330,6360,6230,6300,70002,138256.0,21945415.0
2015-12-28,6340,6440,6240,6440,154744,141328.0,21945415.0
2015-12-29,6610,6720,6320,6320,159263,138695.0,21945415.0
2015-12-30,6340,6570,6150,6550,130848,143742.0,21945415.0
2016-01-04,6570,6870,6540,6770,242697,148570.0,21945415.0
2016-01-05,6710,6850,6670,6770,120896,148570.0,21945415.0
2016-01-06,6730,6850,6490,6520,175714,143084.0,21945415.0
2016-01-07,6430,6550,6280,6280,106685,137817.0,21945415.0
2016-01-08,6150,6290,6010,6090,162413,133648.0,21945415.0
2016-01-11,5980,6050,5920,5950,110005,130575.0,21945415.0
2016-01-12,5920,6100,5920,6070,106499,133209.0,21945415.0
2016-01-13,6040,6150,5980,5980,94614,131234.0,21945415.0
2016-01-14,5850,6030,5820,5990,91217,131453.0,21945415.0
2016-01-15,6010,6390,5920,6000,158684,131672.0,21945415.0
2016-01-18,5890,6030,5850,6020,72643,132111.0,21945415.0
2016-01-19,6010,6230,5990,6160,130282,135184.0,21945415.0
2016-01-20,6160,6190,5740,5740,195920,125967.0,21945415.0
2016-01-21,5740,5860,5630,5680,60351,124650.0,21945415.0
2016-01-22,5690,5800,5530,5610,136216,123114.0,21945415.0
2016-01-25,5610,5710,5600,5710,109479,125308.0,21945415.0
2016-01-26,5630,5700,5560,5600,76967,122894.0,21945415.0
2016-01-27,5680,5710,5480,5530,109501,121358.0,21945415.0
2016-01-28,5510,5600,5410,5540,104479,121578.0,21945415.0
2016-01-29,5530,5610,5420,5600,103596,122894.0,21945415.0
2016-02-01,5620,5700,5580,5650,64866,123992.0,21945415.0
2016-02-02,5690,5750,5580,5640,93525,123772.0,21945415.0
2016-02-03,5600,6560,5580,6390,1114593,140231.0,21945415.0
2016-02-04,6350,7140,6280,6960,1128438,152740.0,21945415.0
2016-02-05,6950,7190,6850,7000,241012,153618.0,21945415.0
2016-02-11,6900,6900,6530,6600,202555,144840.0,21945415.0
2016-02-12,6500,6690,6200,6410,216530,140670.0,21945415.0
2016-02-15,6460,6840,6460,6750,255271,148132.0,21945415.0
2016-02-16,6750,7040,6630,6800,389608,149229.0,21945415.0
2016-02-17,7200,7490,7130,7400,2510745,162396.0,21945415.0
2016-02-18,7400,7680,7240,7480,728777,164152.0,21945415.0
