피앤텔(054340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-10,53632,53632,53632,53633,280269,90720.0,16800000.0
2002-01-11,47273,53533,47273,47673,540844,80640.0,16800000.0
2002-01-14,46684,53334,43403,53335,449211,90216.0,16800000.0
2002-01-15,49653,54623,49163,49163,208754,83160.0,16800000.0
2002-01-16,49652,50452,47772,47872,112280,80976.0,16800000.0
2002-01-17,47672,50352,46182,47773,90820,80808.0,16800000.0
2002-01-18,47872,49752,47872,47872,56486,80976.0,16800000.0
2002-01-21,48763,53533,47872,53533,356706,90552.0,16800000.0
2002-01-22,53427,55117,51437,54427,254817,92064.0,16800000.0
2002-01-23,54720,59690,52140,55420,316766,93744.0,16800000.0
2002-01-24,55811,60081,55811,59592,219383,100800.0,16800000.0
2002-01-25,62072,65052,60082,60982,224292,103152.0,16800000.0
2002-01-28,60277,66037,59687,64558,147354,109200.0,16800000.0
2002-01-29,67534,72304,64164,72305,220575,122304.0,16800000.0
2002-01-30,70512,76372,69522,72603,225256,122808.0,16800000.0
2002-01-31,72603,81243,71013,81244,1042687,137424.0,16800000.0
2002-02-01,89185,89185,71514,73795,499580,124824.0,16800000.0
2002-02-04,74784,74784,66544,66544,184883,112560.0,16800000.0
2002-02-05,66540,73990,61670,73000,253694,123480.0,16800000.0
2002-02-06,64250,73000,64250,67140,134276,113568.0,16800000.0
2002-02-07,61871,67141,61871,62571,94256,105840.0,16800000.0
2002-02-08,65550,70020,64550,68531,194342,115920.0,16800000.0
2002-02-14,73994,73994,63563,63664,357489,107688.0,16800000.0
2002-02-15,66743,70214,66543,68034,300172,115080.0,16800000.0
2002-02-18,68033,74294,66343,69524,204401,117600.0,16800000.0
2002-02-19,70017,74186,70017,70517,290979,119280.0,16800000.0
2002-02-20,69520,70020,66640,67041,156884,113400.0,16800000.0
2002-02-21,68533,74193,67143,73894,333970,124992.0,16800000.0
2002-02-22,73886,76466,71506,74986,281559,126840.0,16800000.0
2002-02-25,75683,78263,73392,75483,279465,127680.0,16800000.0
2002-02-26,76368,76368,72098,73199,212643,123816.0,16800000.0
2002-02-27,73492,77463,72902,75483,353153,127680.0,16800000.0
2002-02-28,76472,78952,74582,76973,274044,130200.0,16800000.0
2002-03-04,77963,85213,76973,82733,575003,139944.0,16800000.0
2002-03-05,83418,84418,79948,80449,379453,136080.0,16800000.0
2002-03-06,79552,85113,79552,84223,396940,142464.0,16800000.0
2002-03-07,85514,94254,85414,94254,759105,159432.0,16800000.0
2002-03-08,99312,105272,96432,101803,2400647,172200.0,16800000.0
2002-03-11,102788,113718,99808,109748,2870055,185640.0,16800000.0
2002-03-12,110235,111225,99306,101306,1223431,171360.0,16800000.0
2002-03-13,102289,109739,102289,103789,1233397,175560.0,16800000.0
2002-03-14,104775,108745,102285,104286,633061,176400.0,16800000.0
2002-03-15,104776,105766,97126,98327,1082121,166320.0,16800000.0
2002-03-18,96829,101299,96829,100810,714473,170520.0,16800000.0
2002-03-19,102288,111228,101298,108259,1140039,183120.0,16800000.0
2002-03-20,108251,115701,103290,113721,1337595,192360.0,16800000.0
2002-03-21,113723,116203,100312,100313,1028679,169680.0,16800000.0
2002-03-22,102285,106265,97426,102796,864075,173880.0,16800000.0
2002-03-25,103290,114711,100800,113721,1456949,192360.0,16800000.0
2002-03-26,113218,114708,102788,105279,696445,178080.0,16800000.0
2002-03-27,106273,117693,106273,117694,1389969,199080.0,16800000.0
2002-03-28,125138,131588,123148,131599,632850,222600.0,16800000.0
2002-03-29,131101,134081,123151,134082,1849378,226800.0,16800000.0
2002-04-01,134080,138050,118190,118190,929538,199920.0,16800000.0
2002-04-02,119176,124136,114206,123156,662079,208320.0,16800000.0
2002-04-03,119182,131102,119182,128122,827385,216720.0,16800000.0
2002-04-04,124638,139038,119178,130109,1520875,220080.0,16800000.0
2002-04-08,133082,133582,124642,128122,560650,216720.0,16800000.0
2002-04-09,129110,133580,117190,118190,975898,199920.0,16800000.0
2002-04-10,114708,120168,104278,105279,636570,178080.0,16800000.0
2002-04-11,107258,110738,103288,108259,483280,183120.0,16800000.0
2002-04-12,102285,108745,102285,104286,388701,176400.0,16800000.0
2002-04-15,106271,109251,106271,107762,337756,182280.0,16800000.0
2002-04-16,109250,118190,108250,115211,637678,194880.0,16800000.0
2002-04-17,118683,123153,115213,119184,667639,201600.0,16800000.0
2002-04-18,120173,123653,117693,120673,394116,204120.0,16800000.0
2002-04-19,116694,117684,106755,108755,598846,183960.0,16800000.0
2002-04-22,107759,108749,97819,99320,690758,168000.0,16800000.0
2002-04-23,95842,100802,93362,100313,307055,169680.0,16800000.0
2002-04-24,96526,102286,88586,98327,419247,166320.0,16800000.0
2002-04-25,90381,93751,86901,88891,269331,150360.0,16800000.0
2002-04-26,88394,93364,87894,91275,232761,154392.0,16800000.0
2002-04-29,84617,88287,82427,85018,207368,143808.0,16800000.0
2002-04-30,84022,86402,82432,84322,242077,142632.0,16800000.0
2002-05-02,85413,94353,85413,94354,471612,159600.0,16800000.0
2002-05-03,93445,93445,89876,92566,218460,156576.0,16800000.0
2002-05-06,91375,91375,86904,86905,225355,147000.0,16800000.0
2002-05-07,84224,85414,81344,85415,383138,144480.0,16800000.0
2002-05-08,88394,90284,85414,88395,332929,149520.0,16800000.0
2002-05-09,91371,93361,86401,87401,244873,147840.0,16800000.0
2002-05-10,87401,90971,85411,87401,404067,147840.0,16800000.0
2002-05-13,87500,93750,87400,90381,1042807,152880.0,16800000.0
2002-05-14,92464,92464,88094,88395,457100,149520.0,16800000.0
2002-05-15,89879,90569,88389,89090,299808,150696.0,16800000.0
2002-05-16,87694,89684,86904,86905,281743,147000.0,16800000.0
2002-05-17,89381,89881,86901,88792,507541,150192.0,16800000.0
2002-05-20,89877,91767,87987,87997,511996,148848.0,16800000.0
2002-05-21,87495,87495,79445,79456,448308,134400.0,16800000.0
2002-05-22,79953,80443,76573,78363,565176,132552.0,16800000.0
2002-05-23,78362,80152,76772,76973,474718,130200.0,16800000.0
2002-05-24,73003,77964,73003,76774,474563,129864.0,16800000.0
2002-05-27,74483,76773,72503,72503,168537,122640.0,16800000.0
2002-05-28,69620,73490,67530,68531,426879,115920.0,16800000.0
2002-05-29,66642,67832,62862,66842,600138,113064.0,16800000.0
2002-05-30,65736,65736,58887,60287,851351,101976.0,16800000.0
2002-05-31,60775,66335,58686,66346,284856,112224.0,16800000.0
2002-06-03,63563,68534,62373,68034,331660,115080.0,16800000.0
2002-06-04,67431,72001,65151,71312,399014,120624.0,16800000.0
2002-06-05,71596,73986,71306,72007,273196,121800.0,16800000.0
2002-06-07,69620,71900,65650,67041,250057,113400.0,16800000.0
2002-06-10,68233,71513,68133,71014,165358,120120.0,16800000.0
2002-06-11,70020,71800,69520,71510,139106,120960.0,16800000.0
2002-06-12,70020,73090,70020,73000,164078,123480.0,16800000.0
2002-06-14,71514,74484,71514,72305,98116,122304.0,16800000.0
2002-06-17,72303,73693,71803,72503,192818,122640.0,16800000.0
2002-06-18,73594,74984,71514,72404,187554,122472.0,16800000.0
2002-06-19,72202,72202,63762,63863,199263,108024.0,16800000.0
2002-06-20,62570,64950,60080,62671,78541,106008.0,16800000.0
2002-06-21,62568,63058,60178,63068,77818,106680.0,16800000.0
2002-06-24,60180,69520,59590,68531,236525,115920.0,16800000.0
2002-06-25,67332,68432,60582,65352,112192,110544.0,16800000.0
2002-06-26,63554,63554,57595,59095,197194,99960.0,16800000.0
2002-06-27,61665,61665,57095,59095,98905,99960.0,16800000.0
2002-06-28,60780,65551,60080,65551,180117,110880.0,16800000.0
2002-07-02,63563,66743,61573,65154,151670,110208.0,16800000.0
2002-07-03,64064,68924,62274,67935,289905,114912.0,16800000.0
2002-07-04,69615,73485,69215,70716,417575,119616.0,16800000.0
2002-07-05,71506,73486,70507,70517,469036,119280.0,16800000.0
2002-07-08,73492,74092,68922,71212,366678,120456.0,16800000.0
2002-07-09,72003,74093,71313,73993,422451,125160.0,16800000.0
2002-07-10,74982,77462,73002,74093,713362,125328.0,16800000.0
2002-07-11,73488,73488,70308,71709,270849,121296.0,16800000.0
2002-07-12,72500,73000,70110,71510,210941,120960.0,16800000.0
2002-07-15,70612,72002,70212,71212,184115,120456.0,16800000.0
2002-07-16,71511,72701,70511,71312,268970,120624.0,16800000.0
