상상인이안1호스팩(307870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-12,2000,2000,1985,1995,522610,9476.0,4750000.0
2018-12-13,1995,1995,1980,1995,93115,9476.0,4750000.0
2018-12-14,1990,1995,1985,1995,64614,9476.0,4750000.0
2018-12-17,1995,1995,1990,1995,7305,9476.0,4750000.0
2018-12-18,1995,1995,1980,1985,51746,9429.0,4750000.0
2018-12-19,1985,1990,1980,1985,61936,9429.0,4750000.0
2018-12-20,1985,1990,1985,1990,10004,9452.0,4750000.0
2018-12-21,1990,1990,1990,1990,4911,9452.0,4750000.0
2018-12-24,1985,2000,1985,1995,90335,9476.0,4750000.0
2018-12-26,2000,2000,1990,2000,11266,9500.0,4750000.0
2018-12-27,1995,1995,1995,1995,1000,9476.0,4750000.0
2018-12-28,1985,1995,1985,1995,2881,9476.0,4750000.0
2019-01-02,1990,1990,1985,1985,823,9429.0,4750000.0
2019-01-03,1985,2000,1985,2000,128,9500.0,4750000.0
2019-01-04,2000,2000,1985,1990,2627,9452.0,4750000.0
2019-01-07,1990,2000,1990,1990,8343,9452.0,4750000.0
2019-01-08,1990,2000,1990,1990,103,9452.0,4750000.0
2019-01-09,1990,2000,1990,2000,12,9500.0,4750000.0
2019-01-10,2000,2000,1995,1995,3011,9476.0,4750000.0
2019-01-11,1995,2000,1995,1995,834,9476.0,4750000.0
2019-01-14,1990,2000,1990,2000,2577,9500.0,4750000.0
2019-01-15,2005,2005,1990,1995,2407,9476.0,4750000.0
2019-01-16,1990,2005,1990,2005,23984,9524.0,4750000.0
2019-01-17,2000,2005,1995,1995,1143,9476.0,4750000.0
2019-01-18,2000,2005,2000,2005,5010,9524.0,4750000.0
2019-01-21,2000,2000,1995,2000,111,9500.0,4750000.0
2019-01-22,2000,2000,1995,1995,14082,9476.0,4750000.0
2019-01-23,2000,2000,2000,2000,10016,9500.0,4750000.0
2019-01-24,2000,2000,2000,2000,8,9500.0,4750000.0
2019-01-25,1990,2000,1990,2000,36479,9500.0,4750000.0
2019-01-28,1995,2000,1995,2000,2643,9500.0,4750000.0
2019-01-29,2000,2000,1995,2000,3756,9500.0,4750000.0
2019-01-30,2000,2000,2000,2000,2475,9500.0,4750000.0
2019-01-31,2010,2010,2000,2000,4,9500.0,4750000.0
2019-02-01,2000,2005,1995,2005,3759,9524.0,4750000.0
2019-02-07,2005,2010,2005,2010,8400,9548.0,4750000.0
2019-02-08,2010,2010,2000,2000,967,9500.0,4750000.0
2019-02-11,2015,2015,2015,2015,1,9571.0,4750000.0
2019-02-12,2015,2015,2000,2000,1844,9500.0,4750000.0
2019-02-13,2005,2010,2005,2005,7014,9524.0,4750000.0
2019-02-14,2015,2015,2000,2000,3507,9500.0,4750000.0
2019-02-15,2015,2015,2005,2010,15004,9548.0,4750000.0
2019-02-18,2010,2010,2000,2010,278,9548.0,4750000.0
2019-02-19,2010,2010,2005,2005,167,9524.0,4750000.0
2019-02-20,2010,2010,2000,2000,4057,9500.0,4750000.0
