미래에셋벤처투자(100790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-15,6150,6500,5310,5310,9931195,162843.0,30667215.0
2019-03-18,5250,6900,5230,6900,11960951,211604.0,30667215.0
2019-03-19,7500,8400,7450,7850,17206352,240738.0,30667215.0
2019-03-20,8180,8200,7090,7700,7493805,236138.0,30667215.0
2019-03-21,7730,8090,7250,7700,4829261,236138.0,30667215.0
2019-03-22,7480,7580,7060,7190,2877955,220497.0,30667215.0
2019-03-25,7070,7490,6920,6930,2870874,212524.0,30667215.0
2019-03-26,6940,7120,6610,6700,2115396,205470.0,30667215.0
2019-03-27,6940,7000,6550,6600,1737515,202404.0,30667215.0
2019-03-28,6510,6610,6190,6290,1279887,192897.0,30667215.0
2019-03-29,6360,6560,6240,6270,1681506,192283.0,30667215.0
2019-04-01,6380,6890,6290,6690,2974345,205164.0,30667215.0
2019-04-02,6790,6960,6600,6800,1776165,208537.0,30667215.0
2019-04-03,6940,7810,6740,7620,9505756,233684.0,30667215.0
2019-04-04,7620,8030,7430,7670,4153282,235218.0,30667215.0
2019-04-05,7750,7840,7480,7790,1746976,238898.0,30667215.0
2019-04-08,7900,8900,7760,8150,7655267,249938.0,30667215.0
2019-04-09,8280,8630,7870,7880,3089959,241658.0,30667215.0
2019-04-10,7810,8010,7450,7940,1797205,243498.0,30667215.0
2019-04-11,7830,8070,7780,7960,853070,244111.0,30667215.0
2019-04-12,7860,8320,7860,8190,1602638,251164.0,30667215.0
2019-04-15,8270,8830,8210,8760,3820285,268645.0,30667215.0
2019-04-16,8580,8610,8230,8300,1772353,254538.0,30667215.0
2019-04-17,8300,8420,8120,8140,738848,249631.0,30667215.0
2019-04-18,8100,8240,7560,7710,1466205,236444.0,30667215.0
2019-04-19,7670,7840,7610,7620,474941,233684.0,30667215.0
2019-04-22,7700,7840,7470,7490,492955,229697.0,30667215.0
2019-04-23,7410,7540,7110,7260,728971,222644.0,30667215.0
2019-04-24,7350,7770,7200,7750,843548,237671.0,30667215.0
2019-04-25,7700,7740,7300,7300,487354,223871.0,30667215.0
2019-04-26,7190,7520,7150,7330,464362,224791.0,30667215.0
2019-04-29,7330,7450,7220,7330,243220,224791.0,30667215.0
2019-04-30,7490,7780,7450,7540,1698336,231231.0,30667215.0
2019-05-02,7490,7520,7290,7400,398014,226937.0,30667215.0
2019-05-03,7410,7580,7390,7460,315840,228777.0,30667215.0
2019-05-07,7250,7380,7150,7290,422095,223564.0,30667215.0
2019-05-08,7120,7190,6760,6760,635040,207310.0,30667215.0
2019-05-09,6740,7040,6650,6890,606416,211297.0,30667215.0
2019-05-10,6930,6970,6640,6790,283055,208230.0,30667215.0
2019-05-13,6660,6760,6350,6350,530698,194737.0,30667215.0
2019-05-14,6200,6370,6000,6370,576684,195350.0,30667215.0
2019-05-15,6450,7030,6380,6910,971834,211910.0,30667215.0
2019-05-16,6970,6970,6450,6480,395074,198724.0,30667215.0
2019-05-17,6680,6680,6310,6340,245426,194430.0,30667215.0
2019-05-20,6300,6440,6100,6100,291512,187070.0,30667215.0
2019-05-21,6030,6280,6030,6080,260391,186457.0,30667215.0
2019-05-22,6190,6230,6080,6110,169645,187377.0,30667215.0
2019-05-23,6120,6380,5850,6270,599288,192283.0,30667215.0
2019-05-24,6170,6860,6140,6380,884192,195657.0,30667215.0
2019-05-27,6340,7140,6310,6960,2262456,213444.0,30667215.0
2019-05-28,6830,6950,6590,6820,618536,209150.0,30667215.0
