이더블유케이(258610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-22,10000,13000,10000,11950,6511341,78710.0,6586600.0
2017-08-23,12250,12300,11000,11000,1426736,72453.0,6586600.0
2017-08-24,11000,11100,10300,10850,1042615,71465.0,6586600.0
2017-08-25,10900,11200,10600,10850,775947,71465.0,6586600.0
2017-08-28,11100,11150,10300,10400,543841,68501.0,6586600.0
2017-08-29,10400,10550,10000,10000,429639,65866.0,6586600.0
2017-08-30,10100,10200,9660,9770,432152,64351.0,6586600.0
2017-08-31,9840,9890,9650,9710,182501,63956.0,6586600.0
2017-09-01,9900,10250,9750,10150,538362,66854.0,6586600.0
2017-09-04,9790,10300,9770,10000,279978,65866.0,6586600.0
2017-09-05,10000,10100,9360,9370,251060,61716.0,6586600.0
2017-09-06,9300,9370,8600,8620,410117,56776.0,6586600.0
2017-09-07,8690,8860,8500,8500,132535,60508.0,7118600.0
2017-09-08,8530,8590,7960,8030,221943,57162.0,7118600.0
2017-09-11,8020,8080,7690,7710,154340,54884.0,7118600.0
2017-09-12,7860,8690,7720,7900,638458,56237.0,7118600.0
2017-09-13,7920,7970,7610,7610,129737,54173.0,7118600.0
2017-09-14,7580,7800,7510,7530,72704,53603.0,7118600.0
2017-09-15,7530,7780,7500,7640,95872,54386.0,7118600.0
2017-09-18,7640,7700,7540,7550,57996,53745.0,7118600.0
2017-09-19,7670,8140,7610,7660,242099,54528.0,7118600.0
2017-09-20,7680,7720,7420,7670,73594,54600.0,7118600.0
2017-09-21,7370,7370,6960,7010,306352,49901.0,7118600.0
2017-09-22,7010,7060,6270,6400,158004,45559.0,7118600.0
2017-09-25,6400,6450,5800,6000,127656,42712.0,7118600.0
2017-09-26,5910,6250,5910,6090,56247,43352.0,7118600.0
2017-09-27,6180,6500,6010,6090,106685,43352.0,7118600.0
2017-09-28,6110,6420,6090,6100,75216,43423.0,7118600.0
2017-09-29,6140,6460,6110,6360,88983,46943.0,7380944.0
2017-10-10,6360,6470,6300,6320,66492,46648.0,7380944.0
2017-10-11,6280,6410,6010,6090,73582,44950.0,7380944.0
2017-10-12,6190,6260,5910,5910,114270,43621.0,7380944.0
2017-10-13,5930,6020,5700,5710,89117,42145.0,7380944.0
2017-10-16,5710,5910,5530,5560,87507,41038.0,7380944.0
2017-10-17,5950,7220,5700,7220,3267145,53290.0,7380944.0
2017-10-18,7220,7340,6790,7070,2180878,52183.0,7380944.0
2017-10-19,7390,7640,6460,6550,2273835,48345.0,7380944.0
2017-10-20,6400,6710,5770,6220,763168,45909.0,7380944.0
2017-10-23,6260,6320,6090,6200,272947,45762.0,7380944.0
2017-10-24,6210,6340,6140,6140,222986,45319.0,7380944.0
2017-10-25,6120,6300,6100,6150,271502,45393.0,7380944.0
2017-10-26,6160,7990,6150,7660,6234633,56538.0,7380944.0
2017-10-27,7430,7480,7260,7480,986963,55209.0,7380944.0
2017-10-30,7510,8360,7420,7780,2721460,57424.0,7380944.0
2017-10-31,7890,8150,7670,8100,703626,59786.0,7380944.0
2017-11-01,8370,9000,7700,7700,2193636,56833.0,7380944.0
2017-11-02,7660,7690,7330,7520,489581,55505.0,7380944.0
2017-11-03,7590,7880,7500,7650,496278,56464.0,7380944.0
2017-11-06,7610,7740,7300,7450,255202,54988.0,7380944.0
2017-11-07,7490,8590,7460,7960,2591088,58752.0,7380944.0
2017-11-08,8020,8330,7720,8330,633129,61483.0,7380944.0
2017-11-09,8500,9320,8140,8170,2553043,60302.0,7380944.0
2017-11-10,8210,8430,8040,8310,438175,61336.0,7380944.0
2017-11-13,8340,8620,8230,8230,593044,60745.0,7380944.0
2017-11-14,8150,8170,7740,7810,389242,57645.0,7380944.0
2017-11-15,7920,8000,7410,7440,277881,54914.0,7380944.0
2017-11-16,7390,7650,7350,7530,214209,55579.0,7380944.0
2017-11-17,7580,7620,7430,7460,152574,55062.0,7380944.0
2017-11-20,7350,7350,6860,6860,561781,50633.0,7380944.0
2017-11-21,6920,7010,6630,6700,285441,49452.0,7380944.0
2017-11-22,6680,6870,6640,6730,198188,49674.0,7380944.0
2017-11-23,6780,7170,6780,7090,345326,52331.0,7380944.0
2017-11-24,7090,7140,6860,6870,221574,50707.0,7380944.0
2017-11-27,6800,6870,6430,6430,325957,47459.0,7380944.0
2017-11-28,6570,6650,6110,6200,203999,45762.0,7380944.0
2017-11-29,6300,6330,6160,6220,118731,45909.0,7380944.0
2017-11-30,6300,6380,6200,6240,100512,46057.0,7380944.0
2017-12-01,6300,6660,6300,6580,280528,48567.0,7380944.0
2017-12-04,6580,6650,6480,6480,112378,47829.0,7380944.0
2017-12-05,6520,6740,6390,6690,170829,49379.0,7380944.0
2017-12-06,6710,6770,6550,6630,189674,48936.0,7380944.0
2017-12-07,6630,6720,6250,6400,146974,47238.0,7380944.0
2017-12-08,6320,6490,6220,6220,72911,45909.0,7380944.0
2017-12-11,6200,6450,6200,6330,41810,46721.0,7380944.0
2017-12-12,6270,6860,6270,6680,474798,49305.0,7380944.0
2017-12-13,6710,6730,6540,6580,120269,48567.0,7380944.0
2017-12-14,6630,6720,6510,6690,90126,49379.0,7380944.0
2017-12-15,6760,6760,6490,6630,146088,48936.0,7380944.0
2017-12-18,6630,6630,6360,6370,106300,47017.0,7380944.0
2017-12-19,6310,6500,6020,6160,125560,45467.0,7380944.0
2017-12-20,6080,6410,5960,6000,116759,44286.0,7380944.0
2017-12-21,5930,6000,5670,6000,104073,44286.0,7380944.0
2017-12-22,5900,6030,5810,5850,40115,43179.0,7380944.0
2017-12-26,5850,6050,5820,5970,114245,44064.0,7380944.0
2017-12-27,6220,6250,5850,5860,149384,43252.0,7380944.0
2017-12-28,5880,6150,5590,5950,122649,43917.0,7380944.0
2018-01-02,6020,6190,6000,6190,106334,45688.0,7380944.0
2018-01-03,6220,6390,6050,6290,108688,46426.0,7380944.0
2018-01-04,6320,6380,6120,6180,74099,45614.0,7380944.0
2018-01-05,6190,6260,6110,6120,69686,45171.0,7380944.0
2018-01-08,6150,6210,6050,6090,56294,44950.0,7380944.0
2018-01-09,6120,6180,5970,6050,81270,44655.0,7380944.0
2018-01-10,6010,6260,5960,6260,168781,46205.0,7380944.0
2018-01-11,6370,6420,6130,6240,297966,46057.0,7380944.0
2018-01-12,6220,6290,6090,6200,128713,45762.0,7380944.0
2018-01-15,6190,6190,6020,6040,98257,44581.0,7380944.0
2018-01-16,6030,6150,5950,6130,68914,45245.0,7380944.0
2018-01-17,6160,6280,6100,6170,99679,45540.0,7380944.0
2018-01-18,6190,6490,6190,6240,371151,46057.0,7380944.0
2018-01-19,6300,6440,6260,6280,119533,46352.0,7380944.0
2018-01-22,6340,6430,6140,6420,150573,47386.0,7380944.0
2018-01-23,6490,6650,6300,6390,240963,47164.0,7380944.0
2018-01-24,6420,6470,6210,6310,101313,46574.0,7380944.0
2018-01-25,6360,6370,6210,6340,86145,46795.0,7380944.0
2018-01-26,6380,6620,6260,6580,187486,48567.0,7380944.0
2018-01-29,6600,6810,6480,6740,223129,49748.0,7380944.0
2018-01-30,6800,6820,6600,6600,135828,48714.0,7380944.0
2018-01-31,6570,6570,6330,6460,116304,47681.0,7380944.0
2018-02-01,6490,6590,6400,6430,85954,47459.0,7380944.0
2018-02-02,6450,6460,6250,6290,94807,46426.0,7380944.0
2018-02-05,6160,6200,5990,6000,94806,44286.0,7380944.0
2018-02-06,5740,5780,5590,5720,105630,42219.0,7380944.0
2018-02-07,5890,5930,5710,5720,51112,42219.0,7380944.0
2018-02-08,5780,5890,5740,5840,21099,43105.0,7380944.0
2018-02-09,5690,6010,5690,5940,51127,43843.0,7380944.0
2018-02-12,5950,6020,5760,5820,62520,42957.0,7380944.0
2018-02-13,5830,5940,5550,5620,54235,41481.0,7380944.0
2018-02-14,5610,5680,5150,5220,235682,38529.0,7380944.0
2018-02-19,5300,5380,5230,5340,69618,39414.0,7380944.0
2018-02-20,5340,5460,5220,5220,74271,38529.0,7380944.0
2018-02-21,5230,5430,5230,5400,54675,39857.0,7380944.0
2018-02-22,5460,5470,5370,5440,36652,40152.0,7380944.0
2018-02-23,5440,5450,5320,5350,37998,39488.0,7380944.0
2018-02-26,5350,5460,5310,5370,39316,39636.0,7380944.0
2018-02-27,5440,5440,5230,5260,48688,38824.0,7380944.0
2018-02-28,5290,5290,5190,5220,76367,38529.0,7380944.0
2018-03-02,5180,5290,5120,5290,58185,39045.0,7380944.0
2018-03-05,5250,5310,5110,5280,66474,38971.0,7380944.0
2018-03-06,5290,5470,5250,5470,90542,40374.0,7380944.0
2018-03-07,5390,5550,5290,5350,63611,39488.0,7380944.0
2018-03-08,5350,5450,5320,5370,24405,39636.0,7380944.0
2018-03-09,5430,5540,5320,5460,34616,40300.0,7380944.0
2018-03-12,5480,5780,5480,5650,65227,41702.0,7380944.0
2018-03-13,5630,5680,5520,5580,16738,41186.0,7380944.0
2018-03-14,5580,5670,5450,5550,23454,40964.0,7380944.0
2018-03-15,5510,5670,5510,5560,17046,41038.0,7380944.0
2018-03-16,5560,5660,5390,5660,81452,41776.0,7380944.0
2018-03-19,5810,5830,5500,5590,62429,41259.0,7380944.0
2018-03-20,5530,5630,5520,5550,18882,40964.0,7380944.0
2018-03-21,5530,5580,5430,5440,30034,40152.0,7380944.0
2018-03-22,5450,5590,5260,5350,36818,39488.0,7380944.0
2018-03-23,5300,5410,5190,5240,41010,38676.0,7380944.0
2018-03-26,5170,5390,5120,5380,34963,39709.0,7380944.0
2018-03-27,5370,5450,5290,5310,25078,39193.0,7380944.0
2018-03-28,5270,5350,5270,5340,24708,39414.0,7380944.0
2018-03-29,5340,5400,5260,5260,13746,38824.0,7380944.0
2018-03-30,5240,5400,5210,5340,20341,39414.0,7380944.0
2018-04-02,5310,5600,5310,5510,54949,40669.0,7380944.0
2018-04-03,5510,5650,5430,5610,39987,41407.0,7380944.0
2018-04-04,5600,5660,5490,5530,28768,40817.0,7380944.0
2018-04-05,5510,5680,5490,5590,20718,41259.0,7380944.0
2018-04-06,5540,5590,5430,5430,19146,40079.0,7380944.0
2018-04-09,5430,5440,5270,5300,30786,39119.0,7380944.0
2018-04-10,5270,5380,5230,5380,28292,39709.0,7380944.0
2018-04-11,5390,5390,5270,5270,22274,38898.0,7380944.0
2018-04-12,5270,5370,5230,5310,23047,39193.0,7380944.0
2018-04-13,5440,5510,5330,5340,47631,39414.0,7380944.0
2018-04-16,5470,5470,5190,5280,42090,38971.0,7380944.0
2018-04-17,5280,5330,5180,5250,18844,38750.0,7380944.0
2018-04-18,5230,5380,5230,5350,27940,39488.0,7380944.0
2018-04-19,5390,5390,5230,5310,42135,39193.0,7380944.0
2018-04-20,5290,5480,5290,5450,34911,40226.0,7380944.0
2018-04-23,5490,5490,5310,5400,46504,39857.0,7380944.0
2018-04-24,5460,5690,5380,5550,98793,40964.0,7380944.0
2018-04-25,5500,5580,5410,5490,32627,40521.0,7380944.0
2018-04-26,5500,7130,5500,5940,5256227,43843.0,7380944.0
2018-04-27,5840,6020,5710,5730,576369,42293.0,7380944.0
2018-04-30,5670,6200,5670,5960,683510,43990.0,7380944.0
2018-05-02,6270,7300,6140,6560,2197453,48419.0,7380944.0
2018-05-03,6560,6860,6280,6430,544975,47459.0,7380944.0
2018-05-04,6500,6790,6250,6700,290749,49452.0,7380944.0
2018-05-08,6740,6880,6230,6230,279257,45983.0,7380944.0
2018-05-09,6330,6490,5890,6130,164042,45245.0,7380944.0
2018-05-10,6300,6450,6050,6350,109226,46869.0,7380944.0
2018-05-11,6400,6580,6100,6560,154209,48419.0,7380944.0
2018-05-14,6700,6750,6450,6520,187540,48124.0,7380944.0
2018-05-15,6520,6830,6470,6650,379506,49083.0,7380944.0
2018-05-16,6400,6570,6100,6180,331624,45614.0,7380944.0
2018-05-17,6290,6530,6200,6320,146251,46648.0,7380944.0
2018-05-18,6320,6470,6250,6470,75274,47755.0,7380944.0
2018-05-21,6500,6500,6180,6220,111137,45909.0,7380944.0
2018-05-23,6220,6300,6000,6240,96974,46057.0,7380944.0
2018-05-24,6270,6330,6000,6060,85617,44729.0,7380944.0
2018-05-25,5690,5890,5600,5790,126252,42736.0,7380944.0
2018-05-28,6020,6440,6020,6220,200751,45909.0,7380944.0
2018-05-29,6170,6330,6080,6090,61640,44950.0,7380944.0
2018-05-30,6200,6300,6050,6140,74289,45319.0,7380944.0
2018-05-31,6170,6250,6020,6080,48976,44876.0,7380944.0
2018-06-01,6080,6230,5990,6080,85196,44876.0,7380944.0
2018-06-04,6060,6150,5980,6020,55758,44433.0,7380944.0
2018-06-05,6030,6030,5890,5950,56476,43917.0,7380944.0
2018-06-07,6070,6410,6070,6290,166341,46426.0,7380944.0
2018-06-08,6290,6350,6090,6300,82371,46500.0,7380944.0
2018-06-11,6260,6820,6250,6410,347226,47312.0,7380944.0
2018-06-12,6410,6510,6120,6160,123262,45467.0,7380944.0
2018-06-14,6050,6200,5930,6200,137543,45762.0,7380944.0
2018-06-15,6200,6360,6100,6200,87493,45762.0,7380944.0
2018-06-18,6220,6580,6170,6580,258712,48567.0,7380944.0
2018-06-19,6560,6850,6060,6120,367522,45171.0,7380944.0
2018-06-20,6100,6310,6090,6200,81316,45762.0,7380944.0
2018-06-21,6160,6700,6050,6600,177790,48714.0,7380944.0
2018-06-22,6550,7200,6200,6310,765008,46574.0,7380944.0
2018-06-25,6290,7100,6290,7100,421118,52405.0,7380944.0
2018-06-26,6930,7190,6770,6970,295595,51445.0,7380944.0
2018-06-27,7090,7270,6700,6710,274911,49526.0,7380944.0
2018-06-28,6650,7850,6600,6640,3417610,49009.0,7380944.0
2018-06-29,6670,6680,6150,6190,546607,45688.0,7380944.0
2018-07-02,6110,6170,5700,5760,328989,42514.0,7380944.0
2018-07-03,5760,5800,5360,5600,189596,41333.0,7380944.0
2018-07-04,5580,5710,5450,5500,76357,40595.0,7380944.0
2018-07-05,5500,5560,5170,5200,136645,38381.0,7380944.0
2018-07-06,5220,5510,5220,5360,96557,39562.0,7380944.0
2018-07-09,5310,5440,5170,5170,58410,38159.0,7380944.0
2018-07-10,5200,5550,5200,5370,49309,39636.0,7380944.0
2018-07-11,5300,5430,5220,5300,35379,39119.0,7380944.0
2018-07-12,5290,5400,5240,5390,35721,39783.0,7380944.0
2018-07-13,5410,5460,5340,5400,37417,39857.0,7380944.0
2018-07-16,5430,5460,5350,5380,20571,39709.0,7380944.0
2018-07-17,5480,5480,5210,5210,52583,38455.0,7380944.0
2018-07-18,5210,5290,5140,5140,32679,37938.0,7380944.0
2018-07-19,5100,5190,4910,4940,83052,36462.0,7380944.0
2018-07-20,4840,5050,4840,4985,45114,36794.0,7380944.0
2018-07-23,4990,5060,4745,4900,34588,36167.0,7380944.0
2018-07-24,4900,4900,4680,4750,39624,35059.0,7380944.0
2018-07-25,4765,4820,4600,4695,38853,34654.0,7380944.0
2018-07-26,4680,4750,4670,4705,17803,34727.0,7380944.0
2018-07-27,4765,4770,4635,4700,28176,34690.0,7380944.0
2018-07-30,4720,4780,4650,4685,15961,34580.0,7380944.0
2018-07-31,4745,4800,4680,4770,22901,35207.0,7380944.0
2018-08-01,5000,5990,4930,5260,3650360,38824.0,7380944.0
2018-08-02,5170,5350,5100,5350,395497,39488.0,7380944.0
2018-08-03,5330,5410,5210,5240,127132,38676.0,7380944.0
2018-08-06,5250,5430,5140,5140,144218,37938.0,7380944.0
2018-08-07,5140,5210,5020,5060,55895,37348.0,7380944.0
2018-08-08,5080,5120,5000,5040,63765,37200.0,7380944.0
2018-08-09,5040,5090,4985,5070,50694,37421.0,7380944.0
2018-08-10,5070,5070,4905,4915,67111,36277.0,7380944.0
2018-08-13,4950,4980,4755,4755,41352,35096.0,7380944.0
2018-08-14,4680,5090,4680,4825,36790,35613.0,7380944.0
2018-08-16,4940,4940,4735,4900,22535,36167.0,7380944.0
2018-08-17,4910,5040,4910,4995,34179,36868.0,7380944.0
2018-08-20,4960,5060,4915,4955,26809,36573.0,7380944.0
2018-08-21,5030,5200,4955,5080,45988,37495.0,7380944.0
2018-08-22,5080,5170,5010,5010,33812,36979.0,7380944.0
2018-08-23,5070,5120,4990,5040,25643,37200.0,7380944.0
2018-08-24,4990,5080,4920,5050,29383,37274.0,7380944.0
2018-08-27,5050,5050,4950,5010,18533,36979.0,7380944.0
2018-08-28,5040,5040,4915,4955,22668,36573.0,7380944.0
2018-08-29,4915,5000,4905,4910,32004,36240.0,7380944.0
2018-08-30,4915,4985,4905,4905,39132,36204.0,7380944.0
2018-08-31,4935,5030,4870,4990,35240,36831.0,7380944.0
2018-09-03,4960,5040,4960,5040,34354,37200.0,7380944.0
2018-09-04,5040,5220,5030,5090,67451,37569.0,7380944.0
2018-09-05,5090,5200,5080,5110,40254,37717.0,7380944.0
2018-09-06,5070,5200,5050,5050,35609,37274.0,7380944.0
2018-09-07,5030,5260,5000,5150,56392,38012.0,7380944.0
2018-09-10,5160,5240,5130,5210,64590,38455.0,7380944.0
2018-09-11,5280,5280,5150,5240,72074,38676.0,7380944.0
2018-09-12,5290,5290,5150,5200,31671,38381.0,7380944.0
