이오테크닉스(039030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-24,11698,11698,11698,11698,98548,115848.0,6436000.0
2000-08-25,11048,11308,10301,10300,167038,102011.0,6436000.0
2000-08-28,10301,11243,9618,10918,409635,108125.0,6436000.0
2000-08-29,11048,11926,10398,11373,191054,112630.0,6436000.0
2000-08-30,11503,11893,10918,11048,109275,109412.0,6436000.0
2000-08-31,10918,10918,9943,10365,61959,102654.0,6436000.0
2000-09-01,10593,10983,10398,10560,116984,104585.0,6436000.0
2000-09-04,10561,10691,10073,10430,50949,103298.0,6436000.0
2000-09-05,10463,11341,10463,10755,172095,106516.0,6436000.0
2000-09-06,11048,12023,10951,11308,484960,111986.0,6436000.0
2000-09-07,10983,10983,10268,10593,142388,104907.0,6436000.0
2000-09-08,10723,11861,10431,11860,315023,117457.0,6436000.0
2000-09-14,11633,11731,10788,11503,124926,113917.0,6436000.0
2000-09-15,11308,12543,11048,11373,217906,112630.0,6436000.0
2000-09-18,10788,10918,10008,10203,95972,101045.0,6436000.0
2000-09-19,10236,10658,9748,10235,118705,101367.0,6436000.0
2000-09-20,9943,10788,9943,10723,85799,106194.0,6436000.0
2000-09-21,10463,10788,9846,10333,49043,102332.0,6436000.0
2000-09-22,10333,10333,9099,9098,48532,90104.0,6436000.0
2000-09-25,8026,9326,8026,8741,157010,86564.0,6436000.0
2000-09-26,8774,9261,8189,9163,107000,90748.0,6436000.0
2000-09-27,8774,10203,8774,10138,98292,100402.0,6436000.0
2000-09-28,10333,10658,9748,10398,95278,102976.0,6436000.0
2000-09-29,10268,10561,9748,10528,63166,104263.0,6436000.0
2000-10-02,10333,10658,9878,10593,20990,104907.0,6436000.0
2000-10-04,10301,10723,10268,10528,12659,104263.0,6436000.0
2000-10-05,10528,11698,10528,11698,48015,115848.0,6436000.0
2000-10-06,11698,11763,11048,11633,44402,115204.0,6436000.0
2000-10-09,11503,11698,11243,11503,26377,113917.0,6436000.0
2000-10-10,11308,11861,10983,11373,40770,112630.0,6436000.0
2000-10-11,11373,11373,10008,10398,28039,102976.0,6436000.0
2000-10-12,9488,10268,9488,10235,17977,101367.0,6436000.0
2000-10-13,9423,9976,9228,9748,12689,96540.0,6436000.0
2000-10-16,9164,10593,9164,10398,27601,102976.0,6436000.0
2000-10-17,10008,10106,9164,9748,15966,96540.0,6436000.0
2000-10-18,9228,9618,8644,9423,37226,93322.0,6436000.0
2000-10-19,8644,9716,8644,9715,19920,96218.0,6436000.0
2000-10-20,10041,10333,9748,9878,46068,97827.0,6436000.0
2000-10-23,9716,9716,8871,9358,13645,92678.0,6436000.0
2000-10-24,9099,9228,8936,9098,10683,90104.0,6436000.0
2000-10-25,8449,9034,8449,9033,8597,89460.0,6436000.0
2000-10-26,9034,9034,8124,8643,16036,85599.0,6436000.0
2000-10-27,8774,9099,8514,8903,8916,88173.0,6436000.0
2000-10-30,8774,8774,8124,8318,16515,82381.0,6436000.0
2000-10-31,7799,8319,7344,8318,15030,82381.0,6436000.0
2000-11-01,8644,8741,8189,8383,8667,83024.0,6436000.0
2000-11-02,8481,9358,8059,9098,128112,90104.0,6436000.0
2000-11-03,9099,9164,8481,8643,23279,85599.0,6436000.0
2000-11-06,8644,8904,8449,8643,45176,85599.0,6436000.0
2000-11-07,8839,8839,8189,8448,42995,83668.0,6436000.0
2000-11-08,7994,9423,7994,8676,199208,85921.0,6436000.0
2000-11-09,8904,9099,8124,8968,272078,88817.0,6436000.0
2000-11-10,8969,9618,8969,9423,204177,93322.0,6436000.0
2000-11-13,9488,9748,8319,8383,154128,83024.0,6436000.0
2000-11-14,8774,9358,8644,9358,846759,92678.0,6436000.0
2000-11-15,9488,9976,8611,8838,613866,87530.0,6436000.0
2000-11-16,8904,9261,8449,8838,207977,87530.0,6436000.0
2000-11-17,8839,9034,8546,8708,117076,86242.0,6436000.0
2000-11-20,8774,9358,8676,8903,291067,88173.0,6436000.0
2000-11-21,8839,8839,7994,8351,151864,82703.0,6436000.0
2000-11-22,8189,8546,8156,8253,128807,81737.0,6436000.0
2000-11-23,7994,8189,7506,7733,104728,76588.0,6436000.0
2000-11-24,7734,7994,7474,7863,74322,77876.0,6436000.0
2000-11-27,7896,8254,7896,8221,75159,81415.0,6436000.0
2000-11-28,7994,7994,7474,7766,71914,76910.0,6436000.0
2000-11-29,7474,7474,6889,7051,124307,69831.0,6436000.0
2000-11-30,6954,7474,6824,6888,175550,68222.0,6436000.0
2000-12-01,6661,7214,6401,7083,106513,70152.0,6436000.0
2000-12-04,7344,7344,6824,6953,100685,68865.0,6436000.0
2000-12-05,6954,7214,6824,7148,66734,70796.0,6436000.0
2000-12-06,7279,7636,7149,7343,211697,72727.0,6436000.0
2000-12-07,7149,7344,6791,6953,60420,68865.0,6436000.0
2000-12-08,6824,7084,6486,6693,185032,66291.0,6436000.0
2000-12-11,6759,6889,6531,6693,70379,66291.0,6436000.0
2000-12-12,6694,6759,6499,6531,73102,64682.0,6436000.0
2000-12-13,6434,6726,6265,6563,112311,65004.0,6436000.0
2000-12-14,6434,7084,6343,6921,509845,68543.0,6436000.0
2000-12-15,6824,6856,6629,6791,141121,67256.0,6436000.0
2000-12-18,6564,6759,6473,6498,69982,64360.0,6436000.0
2000-12-19,6304,6492,5719,5803,165704,57473.0,6436000.0
2000-12-20,5622,5979,5108,5108,137527,50587.0,6436000.0
2000-12-21,4653,4653,4497,4497,146291,44537.0,6436000.0
2000-12-22,4497,5037,3958,4607,208732,45631.0,6436000.0
2000-12-26,4244,4510,4153,4289,49587,42478.0,6436000.0
2001-01-02,3899,4653,3899,4555,94497,45116.0,6436000.0
2001-01-03,4419,4842,4263,4672,98946,46275.0,6436000.0
2001-01-04,4991,5232,4881,5218,83648,51681.0,6436000.0
2001-01-05,5199,5297,4842,5036,105015,49879.0,6436000.0
2001-01-08,4842,5167,4842,5134,73699,50844.0,6436000.0
2001-01-09,5134,5719,5134,5719,119063,56637.0,6436000.0
2001-01-10,5719,6077,5037,5036,232889,49879.0,6436000.0
2001-01-11,5069,5232,4556,5140,160644,50909.0,6436000.0
2001-01-12,5167,5602,5167,5394,218933,53419.0,6436000.0
2001-01-15,5459,6038,5401,6037,305123,59790.0,6436000.0
2001-01-16,6109,6174,5719,5914,227781,58568.0,6436000.0
2001-01-17,5654,6109,5524,5654,114298,55993.0,6436000.0
2001-01-18,5752,5830,5459,5634,98838,55800.0,6436000.0
2001-01-19,5654,5810,5596,5654,119642,55993.0,6436000.0
2001-01-22,5719,6330,5719,6329,140275,62687.0,6436000.0
2001-01-26,6401,7084,6116,6433,292957,63716.0,6436000.0
