웹케시(053580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-25,31700,34600,28250,28500,3260466,188964.0,6630322.0
2019-01-28,28700,30850,27500,30200,1182048,200236.0,6630322.0
2019-01-29,30350,30450,27300,27300,742224,181008.0,6630322.0
2019-01-30,27550,28100,26600,27150,412393,180013.0,6630322.0
2019-01-31,27200,27450,25850,26200,346823,173714.0,6630322.0
2019-02-01,26200,26350,24900,25650,234260,170068.0,6630322.0
2019-02-07,25850,26700,24800,26200,237717,173714.0,6630322.0
2019-02-08,26000,26600,25750,26250,116557,174046.0,6630322.0
2019-02-11,26400,27100,26050,27000,157570,179019.0,6630322.0
2019-02-12,26950,27200,26350,26350,82215,174709.0,6630322.0
2019-02-13,26600,27300,26200,27000,82362,179019.0,6630322.0
2019-02-14,27150,27500,26550,26600,58919,176367.0,6630322.0
2019-02-15,27000,27800,26700,27600,173182,182997.0,6630322.0
2019-02-18,27850,29200,27800,28900,292809,191616.0,6630322.0
2019-02-19,29100,29300,28400,28600,115883,189627.0,6630322.0
2019-02-20,28900,30550,28300,30450,265580,205953.0,6763655.0
2019-02-21,30600,32600,30600,32600,337911,220495.0,6763655.0
2019-02-22,32800,33250,30850,32150,164961,217452.0,6763655.0
2019-02-25,32050,33850,31350,33250,240831,224892.0,6763655.0
2019-02-26,33350,33750,30550,32500,314937,219819.0,6763655.0
2019-02-27,32500,33600,32100,32350,153957,218804.0,6763655.0
2019-02-28,32050,33000,31850,32150,94506,217452.0,6763655.0
2019-03-04,32150,33200,31100,31100,124150,210350.0,6763655.0
2019-03-05,31500,31500,29250,30550,143596,206630.0,6763655.0
2019-03-06,33000,36500,32150,33750,689113,228273.0,6763655.0
2019-03-07,33750,40150,33650,38650,1016804,261415.0,6763655.0
2019-03-08,38950,40000,37000,38750,446450,262092.0,6763655.0
2019-03-11,38700,41700,37800,41500,425520,280692.0,6763655.0
2019-03-12,41050,42200,40650,41350,133562,279677.0,6763655.0
2019-03-13,41300,43400,41050,41050,236859,277648.0,6763655.0
2019-03-14,41700,42650,40050,41350,200208,279677.0,6763655.0
2019-03-15,41450,43500,40650,42450,210326,287117.0,6763655.0
2019-03-18,42750,43500,41400,42300,120261,286103.0,6763655.0
2019-03-19,43100,45400,42300,45400,237172,307070.0,6763655.0
2019-03-20,45400,45700,42500,44150,188573,298615.0,6763655.0
2019-03-21,44700,44700,41500,43700,146545,295572.0,6763655.0
2019-03-22,43700,43700,41600,42450,81755,287117.0,6763655.0
2019-03-25,41200,41850,39800,40400,125325,273252.0,6763655.0
2019-03-26,41400,42400,40800,41700,101935,282044.0,6763655.0
2019-03-27,41700,45200,41400,43500,192370,294219.0,6763655.0
2019-03-28,43900,49100,43650,47150,390474,318906.0,6763655.0
2019-03-29,47900,48700,45450,47200,145317,319245.0,6763655.0
2019-04-01,49000,51000,48350,48650,211301,329052.0,6763655.0
2019-04-02,48900,50700,48850,49950,110115,337845.0,6763655.0
2019-04-03,49950,50400,48500,49300,97056,333448.0,6763655.0
2019-04-04,49000,49400,47250,48850,122188,330405.0,6763655.0
2019-04-05,49000,53800,48500,53300,241472,360503.0,6763655.0
2019-04-08,53100,54800,51500,53400,127721,361179.0,6763655.0
2019-04-09,53600,53700,51600,52300,79848,353739.0,6763655.0
2019-04-10,52300,52900,50500,51000,108107,344946.0,6763655.0
2019-04-11,51300,54900,51300,54200,154247,366590.0,6763655.0
2019-04-12,54900,59800,52500,57100,321123,386205.0,6763655.0
2019-04-15,56600,60000,55200,59200,159341,400408.0,6763655.0
2019-04-16,59300,59300,57600,58300,73231,394321.0,6763655.0
2019-04-17,58300,58700,56300,58000,116204,392292.0,6763655.0
2019-04-18,58000,60300,57800,58000,112811,392292.0,6763655.0
2019-04-19,58500,61000,58500,61000,89449,412583.0,6763655.0
2019-04-22,61500,62800,58200,58600,138191,396350.0,6763655.0
2019-04-23,58600,59600,54500,56500,222764,382147.0,6763655.0
2019-04-24,56700,58200,53900,56000,161126,378765.0,6763655.0
2019-04-25,56200,57800,55100,57800,92643,390939.0,6763655.0
2019-04-26,58000,58500,54800,56200,100176,380117.0,6763655.0
2019-04-29,55700,56200,52300,56000,155979,378765.0,6763655.0
2019-04-30,56000,57200,53700,53900,95538,364561.0,6763655.0
2019-05-02,53900,55100,52900,55000,70127,372001.0,6763655.0
2019-05-03,55000,62000,55000,61100,320981,413259.0,6763655.0
2019-05-07,60100,64800,59300,63000,189058,426110.0,6763655.0
2019-05-08,61400,65400,61300,64600,140731,436932.0,6763655.0
2019-05-09,64600,66100,61100,61600,138408,416641.0,6763655.0
2019-05-10,60700,64400,60700,63200,110170,427463.0,6763655.0
2019-05-13,63000,63700,60400,62200,109155,420699.0,6763655.0
2019-05-14,60500,61800,59600,61400,155441,415288.0,6763655.0
2019-05-15,62400,65000,60400,63700,98961,430845.0,6763655.0
2019-05-16,63700,68500,63000,66100,122398,447078.0,6763655.0
2019-05-17,66900,67800,64800,66800,74629,451812.0,6763655.0
2019-05-20,67000,67500,64600,64600,54083,436932.0,6763655.0
2019-05-21,64600,64700,61700,64100,63432,433550.0,6763655.0
