이노인스트루먼트(215790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-05-08,11250,11275,11025,11150,1784845,15610.0,7000000.0
2015-05-11,11150,11325,11075,11250,175978,15750.0,7000000.0
2015-05-12,11275,11300,11175,11250,36988,15750.0,7000000.0
2015-05-13,11200,11725,11200,11550,102985,16170.0,7000000.0
2015-05-14,11875,11975,11375,11825,101388,16555.0,7000000.0
2015-05-15,11750,12125,11750,11825,55344,16555.0,7000000.0
2015-05-18,11600,11700,11425,11650,43423,16310.0,7000000.0
2015-05-19,11450,11650,11350,11450,51886,16030.0,7000000.0
2015-05-20,11750,11750,11375,11700,34175,16380.0,7000000.0
2015-05-21,11425,11650,11425,11650,15592,16310.0,7000000.0
2015-05-22,11450,11650,11400,11550,26556,16170.0,7000000.0
2015-05-26,11425,11425,11225,11275,34520,15785.0,7000000.0
2015-05-27,11075,11225,11075,11175,23533,15645.0,7000000.0
2015-05-28,11175,11375,11125,11250,10235,15750.0,7000000.0
2015-05-29,11175,11350,11175,11350,14376,15890.0,7000000.0
2015-06-01,11400,11400,11175,11350,6121,15890.0,7000000.0
2015-06-02,11350,11500,11250,11350,33922,15890.0,7000000.0
2015-06-03,11350,11450,11350,11400,18583,15960.0,7000000.0
2015-06-04,11250,12150,11250,11650,57386,16310.0,7000000.0
2015-06-05,11650,11750,11525,11650,17123,16310.0,7000000.0
2015-06-08,11200,11250,10975,11050,582114,15470.0,7000000.0
2015-06-09,11050,11100,11000,11075,141166,15505.0,7000000.0
2015-06-10,11050,11075,10950,11000,131941,15400.0,7000000.0
2015-06-11,11000,11000,10850,10925,73669,15295.0,7000000.0
2015-06-12,10850,10900,10775,10875,42996,15225.0,7000000.0
2015-06-15,10800,10950,10775,10900,98644,15260.0,7000000.0
2015-06-16,10900,10900,10525,10675,32751,14945.0,7000000.0
2015-06-17,10675,10725,10525,10625,39864,14875.0,7000000.0
2015-06-18,10500,10550,10300,10550,51289,14770.0,7000000.0
2015-06-19,10300,10500,10200,10375,88372,14525.0,7000000.0
2015-06-22,10500,10600,10500,10575,83384,14805.0,7000000.0
2015-06-23,10575,10650,10400,10550,23959,14770.0,7000000.0
2015-06-24,10525,10575,10375,10500,22233,14700.0,7000000.0
2015-06-25,10325,10575,10325,10575,57331,14805.0,7000000.0
2015-06-26,10575,10675,10550,10675,51925,14945.0,7000000.0
2015-06-29,10600,11000,10600,10950,89051,15330.0,7000000.0
2015-06-30,11000,11100,10850,11000,85310,15400.0,7000000.0
2015-07-01,11000,11175,11000,11150,20990,15610.0,7000000.0
2015-07-02,11200,11200,10925,11200,24647,15680.0,7000000.0
2015-07-03,11025,11100,10750,11050,28372,15470.0,7000000.0
2015-07-06,11050,11125,10925,11000,11332,15400.0,7000000.0
2015-07-07,11000,11050,10825,11050,14104,15470.0,7000000.0
2015-07-08,11000,11125,10500,10975,63108,15365.0,7000000.0
2015-07-09,10800,11000,10800,11000,29834,15400.0,7000000.0
2015-07-10,10850,11100,10850,11000,24124,15400.0,7000000.0
2015-07-13,11000,11200,11000,11050,58381,15470.0,7000000.0
2015-07-14,11200,11200,10950,10950,26438,15330.0,7000000.0
2015-07-15,11000,11100,10950,10950,26610,15330.0,7000000.0
2015-07-16,11225,11225,10925,10975,7370,15365.0,7000000.0
2015-07-17,11050,11050,10925,10975,4026,15365.0,7000000.0
2015-07-20,11000,11050,10950,10950,29822,15330.0,7000000.0
2015-07-21,11000,14225,11000,12500,564633,17500.0,7000000.0
2015-07-22,11950,13400,11650,12275,92613,17185.0,7000000.0
2015-07-23,12250,13200,12250,12400,109979,17360.0,7000000.0
2015-07-24,12500,12875,12275,12475,89063,17465.0,7000000.0
2015-07-27,12225,12575,12225,12500,50349,17500.0,7000000.0
2015-07-28,12375,12825,11925,12325,80799,17255.0,7000000.0
2015-07-29,12675,13225,12075,13000,46123,18200.0,7000000.0
2015-07-30,12600,13500,12600,13000,14848,18200.0,7000000.0
2015-07-31,13000,13675,12875,13075,53016,18305.0,7000000.0
2015-08-03,13275,13675,13000,13200,27537,18480.0,7000000.0
2015-08-04,13400,13850,12950,13750,119156,19250.0,7000000.0
2015-08-05,13950,14100,13025,13750,104092,19250.0,7000000.0
2015-08-06,13949,14000,13300,13975,64163,19565.0,7000000.0
2015-08-07,13950,13950,13125,13700,10727,19180.0,7000000.0
2015-08-10,13825,13825,13049,13525,29402,18935.0,7000000.0
2015-08-11,13525,13950,13225,13425,15817,18795.0,7000000.0
2015-08-12,13725,13725,13025,13125,10954,18375.0,7000000.0
2015-08-13,13275,13275,12250,12500,17954,17500.0,7000000.0
2015-08-17,12575,12950,12025,12050,13855,16870.0,7000000.0
2015-08-18,12050,12250,11750,12050,8067,16870.0,7000000.0
2015-08-19,11775,13275,11750,12425,86117,17395.0,7000000.0
2015-08-20,12750,12850,12050,12200,10995,17080.0,7000000.0
2015-08-21,11100,12725,11100,12000,24640,16800.0,7000000.0
2015-08-24,11950,12050,11400,11950,16333,16730.0,7000000.0
2015-08-25,11925,11925,11250,11775,25566,16485.0,7000000.0
2015-08-26,12350,12950,11825,12225,51873,17115.0,7000000.0
2015-08-27,12875,12875,12000,12200,23492,17080.0,7000000.0
2015-08-28,11800,12500,11800,12050,25678,16870.0,7000000.0
2015-08-31,11675,12950,11675,12075,42813,16905.0,7000000.0
2015-09-01,12825,12825,11925,11950,57221,16730.0,7000000.0
2015-09-02,11950,12325,11325,11375,48378,15925.0,7000000.0
2015-09-03,11500,11650,11000,11200,21791,15680.0,7000000.0
2015-09-04,11250,11950,11125,11500,72818,16100.0,7000000.0
2015-09-07,11725,11750,11200,11450,15229,16030.0,7000000.0
2015-09-08,11475,11700,11375,11475,3845,16065.0,7000000.0
2015-09-09,11525,11925,11325,11375,7272,15925.0,7000000.0
2015-09-10,11425,11850,11375,11375,2048,15925.0,7000000.0
2015-09-11,11250,11850,11200,11225,40589,15715.0,7000000.0
2015-09-14,11275,11275,10700,11125,63013,15575.0,7000000.0
2015-09-15,11150,11300,10975,11125,8808,15575.0,7000000.0
2015-09-16,11175,11175,10725,11125,7446,15575.0,7000000.0
2015-09-17,10650,11200,10650,11175,34023,15645.0,7000000.0
2015-09-18,11000,11125,10800,11100,66590,15540.0,7000000.0
2015-09-21,10775,10975,10775,10775,55821,15085.0,7000000.0
2015-09-22,10800,11400,10800,10875,11836,15225.0,7000000.0
2015-09-23,11400,11400,10900,11125,17690,15575.0,7000000.0
2015-09-24,11025,11025,10775,10875,15547,15225.0,7000000.0
2015-09-25,10650,10850,10625,10750,23899,15050.0,7000000.0
2015-09-30,10675,10825,10550,10775,91083,15085.0,7000000.0
2015-10-01,11475,11475,10700,10900,14408,15260.0,7000000.0
2015-10-02,10750,11000,10750,10950,5727,15330.0,7000000.0
2015-10-05,10875,11000,10875,11000,12629,15400.0,7000000.0
2015-10-06,11325,11325,10650,10850,15219,15190.0,7000000.0
2015-10-07,10650,10875,10650,10850,65898,15190.0,7000000.0
2015-10-08,10700,10750,10575,10650,44569,14910.0,7000000.0
2015-10-12,10625,10800,10625,10700,9275,14980.0,7000000.0
2015-10-13,10900,10900,10550,10650,78002,14910.0,7000000.0
2015-10-14,10750,10750,10650,10725,27508,15015.0,7000000.0
2015-10-15,11075,11075,10625,10700,16033,14980.0,7000000.0
2015-10-16,10800,10800,10550,10700,2919,14980.0,7000000.0
2015-10-19,10825,10825,10625,10725,13291,15015.0,7000000.0
2015-10-20,10625,10775,10625,10725,2196,15015.0,7000000.0
2015-10-21,10775,10775,10550,10725,7121,15015.0,7000000.0
2015-10-22,10750,10750,10550,10725,13241,15015.0,7000000.0
2015-10-23,10550,10825,10450,10825,37982,15155.0,7000000.0
2015-10-26,10600,10850,10600,10650,16837,14910.0,7000000.0
2015-10-27,10750,10750,10525,10700,13558,14980.0,7000000.0
2015-10-28,10575,10700,10575,10700,12055,14980.0,7000000.0
2015-10-29,10525,10725,10525,10725,45510,15015.0,7000000.0
2015-10-30,10600,10725,10600,10725,28014,15015.0,7000000.0
2015-11-02,10650,10750,10575,10675,50648,14945.0,7000000.0
2015-11-03,10575,10800,10575,10625,6945,14875.0,7000000.0
2015-11-04,10575,10675,10150,10400,33969,14560.0,7000000.0
2015-11-05,10375,10575,10375,10575,21868,14805.0,7000000.0
2015-11-06,10350,10600,10250,10525,13112,14735.0,7000000.0
2015-11-09,10325,10525,10325,10400,16686,14560.0,7000000.0
2015-11-10,10350,10375,10200,10375,17546,14525.0,7000000.0
2015-11-11,10300,10400,10225,10400,19217,14560.0,7000000.0
2015-11-12,10325,10475,10325,10475,3836,14665.0,7000000.0
2015-11-13,10275,10500,10250,10475,5805,14665.0,7000000.0
2015-11-16,10250,10275,10200,10200,20791,14280.0,7000000.0
2015-11-17,10150,10250,10125,10200,12060,14280.0,7000000.0
2015-11-18,10150,10200,10124,10125,14914,14175.0,7000000.0
2015-11-19,10025,10200,10025,10200,2626,14280.0,7000000.0
2015-11-20,10200,10400,10000,10400,57499,14560.0,7000000.0
2015-11-23,10275,10275,10024,10125,15313,14175.0,7000000.0
2015-11-24,10075,10124,10000,10125,16461,14175.0,7000000.0
2015-11-25,10000,10124,10000,10125,15029,14175.0,7000000.0
2015-11-26,10200,10200,10100,10100,16001,14140.0,7000000.0
2015-11-27,10050,10100,10050,10050,115,14070.0,7000000.0
2015-11-30,10050,10075,10025,10050,8473,14070.0,7000000.0
2015-12-01,10025,10075,10025,10050,3546,14070.0,7000000.0
2015-12-02,10050,10275,10000,10250,18700,14350.0,7000000.0
2015-12-03,10224,10224,10075,10225,4001,14315.0,7000000.0
