엠젠플러스(032790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,241544.0,241544.0,241544.0,241494.0,0.0,1868.0,400000.0
1999-01-05,241544.0,241544.0,241544.0,241494.0,17000.0,1868.0,400000.0
1999-01-06,224963.0,270496.0,222921.0,270440.0,16210.0,2092.0,400000.0
1999-01-07,268927.0,268927.0,268927.0,268901.0,60.0,2080.0,400000.0
1999-01-08,268927.0,268927.0,268927.0,268901.0,0.0,2080.0,400000.0
1999-01-11,274046.0,279748.0,274046.0,279232.0,33030.0,2160.0,400000.0
1999-01-12,279815.0,312382.0,279262.0,312326.0,134020.0,2416.0,400000.0
1999-01-13,349598.0,349598.0,275088.0,275097.0,6400.0,2128.0,400000.0
1999-01-14,307638.0,307638.0,307638.0,307683.0,9800.0,2380.0,400000.0
1999-01-15,344381.0,344381.0,344381.0,344390.0,1940.0,2664.0,400000.0
1999-01-18,385195.0,385195.0,385195.0,385246.0,12100.0,2980.0,400000.0
1999-01-19,408443.0,408443.0,359862.0,359900.0,15340.0,2784.0,400000.0
1999-01-20,341330.0,402877.0,341330.0,402830.0,1970.0,3116.0,400000.0
1999-01-21,355215.0,450901.0,355215.0,450912.0,4040.0,3488.0,400000.0
1999-01-22,397650.0,439033.0,397168.0,397142.0,9310.0,3072.0,400000.0
1999-01-25,350068.0,350068.0,350068.0,350077.0,100.0,2708.0,400000.0
1999-01-26,362024.0,392024.0,362024.0,391964.0,4400.0,3032.0,400000.0
1999-01-27,361995.0,438464.0,361995.0,438507.0,330.0,3392.0,400000.0
1999-01-28,413740.0,439584.0,413740.0,439537.0,500.0,3400.0,400000.0
1999-01-29,492336.0,492336.0,492336.0,492289.0,1700.0,3808.0,400000.0
1999-02-01,550707.0,550707.0,506734.0,550716.0,11100.0,4260.0,400000.0
1999-02-02,491280.0,568840.0,491280.0,568822.0,2470.0,4400.0,400000.0
1999-02-03,501590.0,501590.0,501590.0,501590.0,5000.0,3880.0,400000.0
1999-02-04,441566.0,558411.0,441566.0,441611.0,13280.0,3416.0,400000.0
1999-02-05,494355.0,494355.0,388901.0,388859.0,2370.0,3008.0,400000.0
1999-02-08,435434.0,435434.0,435434.0,435402.0,160.0,3368.0,400000.0
1999-02-09,434903.0,434903.0,383740.0,383693.0,500.0,2968.0,400000.0
1999-02-10,426613.0,426613.0,341315.0,341807.0,1030.0,2644.0,400000.0
1999-02-11,382678.0,382678.0,363074.0,372318.0,2030.0,2880.0,400000.0
1999-02-12,327863.0,416757.0,327863.0,416787.0,1300.0,3224.0,400000.0
1999-02-18,382620.0,382620.0,382620.0,382663.0,4000.0,2960.0,400000.0
1999-02-19,421465.0,421465.0,421465.0,421444.0,10.0,3260.0,400000.0
1999-02-22,416308.0,416308.0,416308.0,416266.0,0.0,3220.0,400000.0
1999-02-23,416294.0,465897.0,413727.0,464361.0,1630.0,3592.0,400000.0
1999-02-24,519722.0,519722.0,519722.0,519696.0,10.0,4020.0,400000.0
1999-02-25,460188.0,460188.0,460188.0,460226.0,0.0,3560.0,400000.0
1999-02-26,511982.0,511982.0,511982.0,511935.0,10.0,3960.0,400000.0
1999-03-02,571447.0,571447.0,465447.0,465391.0,510.0,3600.0,400000.0
1999-03-03,519691.0,519691.0,413692.0,457643.0,120.0,3540.0,400000.0
1999-03-04,402877.0,402877.0,402877.0,402830.0,1020.0,3116.0,400000.0
1999-03-05,362057.0,387362.0,354795.0,387307.0,1630.0,2996.0,400000.0
1999-03-08,387862.0,387862.0,387862.0,387828.0,10.0,3000.0,400000.0
1999-03-09,343907.0,343907.0,343907.0,343881.0,2000.0,2660.0,400000.0
1999-03-10,341327.0,341327.0,341327.0,341285.0,0.0,2640.0,400000.0
1999-03-11,382174.0,382174.0,341323.0,382141.0,12270.0,2956.0,400000.0
1999-03-12,382174.0,382174.0,382174.0,382141.0,0.0,2956.0,400000.0
1999-03-15,382174.0,382174.0,382174.0,382141.0,0.0,,
1999-03-16,382620.0,382620.0,382620.0,382663.0,1000.0,2960.0,400000.0
