골프존(215000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-03,51500,59200,51500,59200,7189,371505.0,6275415.0
2015-04-06,68000,68000,68000,68000,11716,426728.0,6275415.0
2015-04-07,78200,78200,78200,78200,5463,490737.0,6275415.0
2015-04-08,89900,89900,89900,89900,7207,564160.0,6275415.0
2015-04-09,103300,103300,103300,103300,13107,648250.0,6275415.0
2015-04-10,118700,118700,118700,118700,52623,744892.0,6275415.0
2015-04-13,123400,136500,118600,133900,552679,840278.0,6275415.0
2015-04-14,129500,140700,123500,135500,300278,850319.0,6275415.0
2015-04-15,133000,134500,128400,128500,107056,806391.0,6275415.0
2015-04-16,130000,134100,124000,131500,182349,825217.0,6275415.0
2015-04-17,129500,134400,126600,130200,53751,817059.0,6275415.0
2015-04-20,126500,128800,124600,124700,82914,782544.0,6275415.0
2015-04-21,124000,124900,120400,124900,49722,783799.0,6275415.0
2015-04-22,127100,136000,122100,131000,95515,822079.0,6275415.0
2015-04-23,129900,132800,126200,132800,38315,833375.0,6275415.0
2015-04-24,131700,132800,129000,132800,20826,833375.0,6275415.0
2015-04-27,130400,130700,126700,127000,23196,796978.0,6275415.0
2015-04-28,127500,128000,125300,126800,38987,795723.0,6275415.0
2015-04-29,126900,129200,123000,126900,28904,796350.0,6275415.0
2015-04-30,127100,127800,120400,125500,60316,787565.0,6275415.0
2015-05-04,125300,136500,122200,127100,59640,797605.0,6275415.0
2015-05-06,126800,130000,123800,126000,23500,790702.0,6275415.0
2015-05-07,123600,127900,123600,126900,28384,796350.0,6275415.0
2015-05-08,125700,128000,124000,128000,18457,803253.0,6275415.0
2015-05-11,127600,131500,126200,128700,11249,807646.0,6275415.0
2015-05-12,130500,130500,125800,127000,16751,796978.0,6275415.0
2015-05-13,125800,127700,123600,127600,46630,800743.0,6275415.0
2015-05-14,127400,128800,125100,125900,19206,790075.0,6275415.0
2015-05-15,126000,126900,123000,123800,16640,776896.0,6275415.0
2015-05-18,122600,125000,120500,122000,18405,765601.0,6275415.0
2015-05-19,121000,124900,120900,124900,15011,783799.0,6275415.0
2015-05-20,125000,129400,123100,126200,20281,791957.0,6275415.0
2015-05-21,127000,127000,123700,125200,14280,785682.0,6275415.0
2015-05-22,125900,125900,122100,123000,8631,771876.0,6275415.0
2015-05-26,123100,124000,120700,124000,20827,778151.0,6275415.0
2015-05-27,122400,125000,121600,123000,10776,771876.0,6275415.0
2015-05-28,121100,124800,120700,123100,18053,772504.0,6275415.0
2015-05-29,122000,128100,122000,127800,37413,801998.0,6275415.0
2015-06-01,128300,141600,127000,133500,73447,837768.0,6275415.0
2015-06-02,134000,137900,130500,135000,41978,847181.0,6275415.0
2015-06-03,135000,137700,131000,136700,23807,857849.0,6275415.0
2015-06-04,135700,138000,133900,136700,12923,857849.0,6275415.0
2015-06-05,137400,137400,130000,136700,10475,857849.0,6275415.0
2015-06-08,134600,137800,134000,137000,16725,859732.0,6275415.0
2015-06-09,138000,140400,134800,140400,27247,881068.0,6275415.0
2015-06-10,140500,141600,138100,140900,11538,884206.0,6275415.0
2015-06-11,142200,161500,141200,152000,61528,953863.0,6275415.0
2015-06-12,150400,156300,144600,145200,32229,911190.0,6275415.0
2015-06-15,145200,145800,137600,145200,26482,911190.0,6275415.0
2015-06-16,145200,145200,139800,143400,7043,899895.0,6275415.0
2015-06-17,145000,145000,140000,141000,9728,884834.0,6275415.0
2015-06-18,141100,143600,139900,140000,13547,878558.0,6275415.0
2015-06-19,141700,141700,135900,139100,25926,872910.0,6275415.0
2015-06-22,140500,140500,134700,135800,24283,852201.0,6275415.0
2015-06-23,135800,136500,130100,132500,26480,831492.0,6275415.0
2015-06-24,132600,133100,129000,131500,22909,825217.0,6275415.0
2015-06-25,132000,132000,129100,129400,11045,812039.0,6275415.0
2015-06-26,129800,130500,126500,130500,28861,818942.0,6275415.0
2015-06-29,127500,130000,127000,127000,6769,796978.0,6275415.0
2015-06-30,127100,131900,123000,128000,12170,803253.0,6275415.0
2015-07-01,128000,131900,128000,131900,8966,827727.0,6275415.0
2015-07-02,132600,132600,129200,130500,11824,818942.0,6275415.0
2015-07-03,130000,131500,127000,127000,7309,796978.0,6275415.0
2015-07-06,126100,127200,122600,123500,16803,775014.0,6275415.0
2015-07-07,126200,126200,120000,123300,9640,773759.0,6275415.0
2015-07-08,123300,125100,119900,123700,5863,776269.0,6275415.0
2015-07-09,123600,123900,118100,122200,17538,766856.0,6275415.0
2015-07-10,124600,124600,119500,122900,10221,771249.0,6275415.0
2015-07-13,121200,123900,121200,121500,6774,762463.0,6275415.0
2015-07-14,121600,124900,121300,123000,8954,771876.0,6275415.0
2015-07-15,123100,128500,123100,127000,6004,796978.0,6275415.0
2015-07-16,127900,128200,125700,127800,14129,801998.0,6275415.0
2015-07-17,127900,128400,122100,127000,23748,796978.0,6275415.0
2015-07-20,124500,128200,124500,127800,6181,801998.0,6275415.0
2015-07-21,129200,129200,126400,127600,8827,800743.0,6275415.0
2015-07-22,127200,128600,126600,127600,9593,800743.0,6275415.0
2015-07-23,127600,128300,126500,128000,8515,803253.0,6275415.0
2015-07-24,129300,129300,125800,126100,6203,791330.0,6275415.0
2015-07-27,126300,128400,123200,128400,8727,805763.0,6275415.0
2015-07-28,128000,128000,120100,123600,26589,775641.0,6275415.0
2015-07-29,122500,129400,113100,114000,31012,715397.0,6275415.0
2015-07-30,110600,113800,102000,109500,34287,687158.0,6275415.0
2015-07-31,109500,112300,109300,110100,13435,690923.0,6275415.0
2015-08-03,111800,111900,108600,110900,5991,695944.0,6275415.0
2015-08-04,111500,111600,109500,111000,7100,696571.0,6275415.0
2015-08-05,110400,112200,106700,111900,7738,702219.0,6275415.0
2015-08-06,113100,119900,111000,115000,7398,721673.0,6275415.0
