원익IPS(240810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-02,18550,18600,16000,16650,5172035,687203.0,41273436.0
2016-05-03,16850,17400,16200,17200,2039838,709903.0,41273436.0
2016-05-04,17100,18350,16800,17950,2585367,740858.0,41273436.0
2016-05-09,17950,18150,17350,17900,1002894,738795.0,41273436.0
2016-05-10,18000,18150,17600,17850,753750,736731.0,41273436.0
2016-05-11,17950,18350,17700,18150,763921,749113.0,41273436.0
2016-05-12,18100,19300,17850,19050,1280895,786259.0,41273436.0
2016-05-13,18950,19700,18800,19550,1176400,806896.0,41273436.0
2016-05-16,19600,20500,19550,20300,1105077,837851.0,41273436.0
2016-05-17,20400,20450,19300,19850,1129696,819278.0,41273436.0
2016-05-18,19900,20300,19200,19850,798105,819278.0,41273436.0
2016-05-19,19950,20050,19050,19200,807577,792450.0,41273436.0
2016-05-20,19250,20500,18900,20350,838831,839914.0,41273436.0
2016-05-23,20350,20950,20050,20750,642829,856424.0,41273436.0
2016-05-24,20900,22000,20750,22000,1356120,908016.0,41273436.0
2016-05-25,22200,23900,21750,23400,1697747,965798.0,41273436.0
2016-05-26,23550,24250,22200,23550,976991,971989.0,41273436.0
2016-05-27,23400,23500,22800,22800,539781,941034.0,41273436.0
2016-05-30,22500,23800,22500,23150,463562,955480.0,41273436.0
2016-05-31,23150,23200,22200,22200,805575,916270.0,41273436.0
2016-06-01,22200,23100,22200,22750,441879,938971.0,41273436.0
2016-06-02,22950,24150,22950,24100,714242,994690.0,41273436.0
2016-06-03,24250,24800,23750,24650,610313,1017390.0,41273436.0
2016-06-07,24650,25000,23600,23850,476965,984371.0,41273436.0
2016-06-08,23550,24550,22300,24450,1280180,1009136.0,41273436.0
2016-06-09,24350,24450,23500,23800,510681,982308.0,41273436.0
2016-06-10,23900,24000,23000,23300,356100,961671.0,41273436.0
2016-06-13,23100,23800,22550,23200,237648,957544.0,41273436.0
