오뚜기(007310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,24700,25650,23700,24700,15110,84968.0,3440000.0
1999-01-05,24800,27000,24500,26400,65790,90816.0,3440000.0
1999-01-06,26400,27900,26400,27400,53750,94256.0,3440000.0
1999-01-07,27400,28500,26600,27000,52440,92880.0,3440000.0
1999-01-08,27000,27850,26500,27000,61990,92880.0,3440000.0
1999-01-11,27000,29500,27000,28100,80400,96664.0,3440000.0
1999-01-12,28100,29200,27100,27500,58120,94600.0,3440000.0
1999-01-13,27600,29500,27000,29000,147150,99760.0,3440000.0
1999-01-14,29000,29000,25200,26700,46870,91848.0,3440000.0
1999-01-15,27700,27900,26350,27100,40940,93224.0,3440000.0
1999-01-18,27500,28100,26800,27300,44390,93912.0,3440000.0
1999-01-19,27050,27900,26600,26700,32320,91848.0,3440000.0
1999-01-20,26400,27000,25700,25700,20130,88408.0,3440000.0
1999-01-21,25500,25800,23900,25000,28220,86000.0,3440000.0
1999-01-22,23800,24300,23500,23900,29210,82216.0,3440000.0
1999-01-25,23900,23900,22500,23000,17320,79120.0,3440000.0
1999-01-26,24000,24000,22500,22500,21740,77400.0,3440000.0
1999-01-27,22800,23300,21700,22800,12230,78432.0,3440000.0
1999-01-28,22800,24200,22800,23200,21830,79808.0,3440000.0
1999-01-29,23300,24800,23100,24800,20180,85312.0,3440000.0
1999-02-01,24800,25300,23800,25100,20730,86344.0,3440000.0
1999-02-02,25100,25100,24200,24500,12330,84280.0,3440000.0
1999-02-03,23300,25000,23300,24900,15610,85656.0,3440000.0
1999-02-04,23800,24500,23800,24200,9990,83248.0,3440000.0
1999-02-05,23800,24200,23500,23700,8690,81528.0,3440000.0
1999-02-08,23300,24000,23000,23400,7860,80496.0,3440000.0
1999-02-09,23400,23400,19900,21000,24320,72240.0,3440000.0
1999-02-10,21500,22100,20100,21700,10380,74648.0,3440000.0
1999-02-11,21800,22300,21000,21000,9270,72240.0,3440000.0
1999-02-12,23200,23200,21300,22150,5060,76196.0,3440000.0
1999-02-18,22000,22300,21150,21700,9420,74648.0,3440000.0
1999-02-19,21400,21400,20500,21000,7610,72240.0,3440000.0
1999-02-22,21500,21900,21100,21800,11040,74992.0,3440000.0
1999-02-23,22000,22600,21500,21600,10420,74304.0,3440000.0
1999-02-24,21650,22000,21000,21000,4180,72240.0,3440000.0
1999-02-25,20700,21800,20700,21100,4550,72584.0,3440000.0
1999-02-26,21100,22500,21100,22400,6880,77056.0,3440000.0
1999-03-02,22400,23300,22400,23000,4370,79120.0,3440000.0
1999-03-03,23650,23650,22650,23400,9790,80496.0,3440000.0
1999-03-04,23400,23400,23000,23300,3010,80152.0,3440000.0
1999-03-05,23300,23900,22700,23900,6340,82216.0,3440000.0
1999-03-08,23900,24750,23500,24300,28100,83592.0,3440000.0
1999-03-09,24300,24800,23500,24200,10850,83248.0,3440000.0
1999-03-10,24200,24200,23200,24000,8190,82560.0,3440000.0
1999-03-11,23200,24200,23200,23500,8040,80840.0,3440000.0
1999-03-12,23500,24200,23500,23800,19900,81872.0,3440000.0
1999-03-15,23800,25100,23800,25000,39840,86000.0,3440000.0
1999-03-16,25000,27000,25000,25100,167760,86344.0,3440000.0
1999-03-17,25500,25600,24600,24600,35220,84624.0,3440000.0
1999-03-18,24600,25000,23000,23000,30630,79120.0,3440000.0
1999-03-19,22100,24800,22100,24600,60440,84624.0,3440000.0
1999-03-22,24000,25400,23650,24200,11690,83248.0,3440000.0
1999-03-23,24450,24450,23500,24300,16800,83592.0,3440000.0
1999-03-24,24200,24850,24000,24850,16460,85484.0,3440000.0
1999-03-25,24300,25800,24300,24900,24670,85656.0,3440000.0
1999-03-26,24900,25000,24300,24450,12240,84108.0,3440000.0
1999-03-29,24800,24800,23650,24300,6690,83592.0,3440000.0
1999-03-30,24000,24650,24000,24400,23070,83936.0,3440000.0
1999-03-31,24600,24600,24000,24300,8740,83592.0,3440000.0
1999-04-01,24500,25100,24000,24600,20960,84624.0,3440000.0
1999-04-02,24700,25200,24500,24500,14840,84280.0,3440000.0
1999-04-06,25000,26500,25000,26400,66390,90816.0,3440000.0
1999-04-07,26400,27000,25850,26000,72370,89440.0,3440000.0
1999-04-08,25750,27400,25750,27000,39860,92880.0,3440000.0
1999-04-09,27000,27500,26700,26800,45160,92192.0,3440000.0
1999-04-12,27000,27000,25550,25800,12860,88752.0,3440000.0
1999-04-13,25900,27000,25500,26000,27770,89440.0,3440000.0
1999-04-14,26250,27500,26000,27000,46350,92880.0,3440000.0
1999-04-15,27500,27800,26650,26800,33910,92192.0,3440000.0
1999-04-16,27400,27400,26000,26000,22600,89440.0,3440000.0
1999-04-19,26800,26800,25100,25800,25640,88752.0,3440000.0
1999-04-20,25800,26400,25600,25800,26540,88752.0,3440000.0
1999-04-21,25800,26400,25400,25400,20290,87376.0,3440000.0
1999-04-22,25500,25900,25100,25100,11090,86344.0,3440000.0
1999-04-23,25150,25900,24600,24900,32680,85656.0,3440000.0
1999-04-26,25500,25600,25000,25500,21110,87720.0,3440000.0
1999-04-27,25800,26500,25000,25000,41400,86000.0,3440000.0
1999-04-28,25800,28750,25600,28700,91620,98728.0,3440000.0
1999-04-29,29000,29500,27500,27500,49400,94600.0,3440000.0
1999-04-30,28000,28250,26800,27100,29170,93224.0,3440000.0
1999-05-03,27400,29000,27300,28500,49080,98040.0,3440000.0
1999-05-04,28700,31600,28500,31000,146860,106640.0,3440000.0
1999-05-06,31500,34000,31000,33500,88960,115240.0,3440000.0
1999-05-07,34000,34000,32100,32900,39750,113176.0,3440000.0
1999-05-10,32500,33400,31900,32200,39090,110768.0,3440000.0
1999-05-11,33000,34000,31500,31500,66050,108360.0,3440000.0
1999-05-12,31500,31800,30100,30500,33720,104920.0,3440000.0
1999-05-13,30500,30500,29100,29100,54670,100104.0,3440000.0
1999-05-14,29100,29100,27500,27600,19350,94944.0,3440000.0
1999-05-17,26400,29000,26000,26700,47740,91848.0,3440000.0
1999-05-18,26700,27000,25400,26500,36520,91160.0,3440000.0
1999-05-19,26800,27200,26150,27000,48230,92880.0,3440000.0
1999-05-20,26800,27000,25000,27000,25560,92880.0,3440000.0
1999-05-21,26500,27000,26000,27000,25550,92880.0,3440000.0
1999-05-24,26500,27000,26200,27000,14670,92880.0,3440000.0
1999-05-25,26400,28000,26400,27600,29000,94944.0,3440000.0
1999-05-26,28000,28600,27800,28000,30120,96320.0,3440000.0
1999-05-27,28300,28500,27400,27400,25560,94256.0,3440000.0
1999-05-28,27500,28000,26500,27000,23360,92880.0,3440000.0
1999-05-31,26500,27050,26500,27000,26190,92880.0,3440000.0
1999-06-01,26800,27200,26100,27100,23960,93224.0,3440000.0
1999-06-02,26600,28000,26600,27550,37240,94772.0,3440000.0
1999-06-03,27500,27900,26200,26700,36230,91848.0,3440000.0
1999-06-04,26700,27450,26100,26200,31990,90128.0,3440000.0
1999-06-07,26250,26950,26200,26500,26670,91160.0,3440000.0
1999-06-08,26600,28400,26500,28400,82180,97696.0,3440000.0
1999-06-09,27900,28000,26800,26800,18660,92192.0,3440000.0
1999-06-10,26200,27750,26200,27000,63330,92880.0,3440000.0
1999-06-11,27200,28400,26850,26900,60450,92536.0,3440000.0
1999-06-14,27000,27850,27000,27400,34990,94256.0,3440000.0
1999-06-15,27600,27800,25000,26600,14960,91504.0,3440000.0
1999-06-16,26600,26900,26200,26600,25370,91504.0,3440000.0
1999-06-17,26900,26950,26200,26200,17350,90128.0,3440000.0
1999-06-18,26400,26400,25200,26300,35070,90472.0,3440000.0
1999-06-21,25700,26200,25050,25400,26170,87376.0,3440000.0
1999-06-22,25400,26800,24400,26250,81550,90300.0,3440000.0
1999-06-23,26500,27500,26300,27000,51850,92880.0,3440000.0
1999-06-24,26550,28300,26550,26900,54360,92536.0,3440000.0
1999-06-25,27100,27500,26250,26500,13130,91160.0,3440000.0
1999-06-28,26550,27900,26400,27000,43850,92880.0,3440000.0
1999-06-29,27100,28200,27100,28200,35830,97008.0,3440000.0
1999-06-30,28500,30700,28000,29100,169010,100104.0,3440000.0
1999-07-01,29600,30700,29200,30400,103790,104576.0,3440000.0
1999-07-02,30500,33400,30000,30800,100740,105952.0,3440000.0
1999-07-05,31100,32000,30000,30800,61400,105952.0,3440000.0
1999-07-06,31100,31100,30000,30000,50910,103200.0,3440000.0
1999-07-07,29100,30300,29100,29300,25860,100792.0,3440000.0
1999-07-08,29500,30000,27700,28500,18900,98040.0,3440000.0
1999-07-09,27600,29900,27600,28900,25200,99416.0,3440000.0
1999-07-12,29700,30000,28500,28500,23080,98040.0,3440000.0
