기아자동차(000270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,13402,13402,13402,13401,416890,106413.0,75738616.0
1999-01-05,11542,14117,11542,13401,4157000,106413.0,75738616.0
1999-01-06,14308,14308,13449,13449,1297660,106791.0,75738616.0
1999-01-07,13211,13831,12591,13735,1194400,109064.0,75738616.0
1999-01-08,13354,13449,13068,13353,1102630,106034.0,75738616.0
1999-01-11,13449,13545,13354,13353,1185000,106034.0,75738616.0
1999-01-12,13735,13735,12400,13067,1304560,103762.0,75738616.0
1999-01-13,13354,15023,13258,15023,1941610,119288.0,75738616.0
1999-01-14,15548,15738,14308,15547,3551770,123454.0,75738616.0
1999-01-15,14785,15548,14498,15070,1671930,119667.0,75738616.0
1999-01-18,15262,16215,15262,15261,2109110,121182.0,75738616.0
1999-01-19,14308,14308,13640,13830,1441660,109821.0,75738616.0
1999-01-20,13831,13831,13258,13353,1489260,106034.0,75738616.0
1999-01-21,13354,13354,12400,12447,907990,98839.0,75738616.0
1999-01-22,12209,12877,11542,12733,787620,101111.0,75738616.0
1999-01-25,10826,11589,10826,10921,1159360,86721.0,75738616.0
1999-01-26,10778,11446,10397,10492,1818320,83312.0,75738616.0
1999-01-27,10492,10778,9538,10540,1442090,83691.0,75738616.0
1999-01-28,10588,10588,10015,10206,2030130,81040.0,75738616.0
1999-01-29,10206,10206,10206,10206,0,81040.0,75738616.0
1999-02-01,10206,10206,10206,10206,0,,
1999-02-02,10206,10206,10206,10206,0,,
1999-02-03,10206,10206,10206,10206,0,,
1999-02-04,10206,10206,10206,10206,0,,
1999-02-05,10206,10206,10206,10206,0,,
1999-02-08,10206,10206,10206,10206,0,,
1999-02-09,10206,10206,10206,10206,0,,
1999-02-10,10206,10206,10206,10206,0,,
1999-02-11,10206,10206,10206,10206,0,,
1999-02-12,10206,10206,10206,10206,0,,
1999-02-18,10206,10206,10206,10206,0,,
1999-02-19,10206,10206,10206,10206,0,,
1999-02-22,10206,10206,10206,10206,0,,
1999-02-23,10206,10206,10206,10206,0,,
1999-02-24,10206,10206,10206,10206,0,,
1999-02-25,10206,10206,10206,10206,0,,
1999-02-26,10206,10206,10206,10206,0,,
1999-03-02,10206,10206,10206,10206,0,,
1999-03-03,10206,10206,10206,10206,0,,
1999-03-04,10206,10206,10206,10206,0,,
1999-03-05,8680,8680,8680,8680,6140,68877.0,7568950.0
1999-03-08,7383,7583,7383,7382,340510,58584.0,7568950.0
1999-03-09,7383,7383,7039,7249,409260,57524.0,7568950.0
1999-03-10,7297,7345,7049,7058,133190,56010.0,7568950.0
1999-03-11,7154,7154,6820,6867,145250,54496.0,7568950.0
1999-03-12,6925,7631,6868,7583,275520,60173.0,7568950.0
1999-03-15,7726,7726,7249,7344,173350,58281.0,7568950.0
1999-03-16,7154,7345,7154,7172,78120,56919.0,7568950.0
1999-03-17,7173,7173,6963,6963,99710,55253.0,7568950.0
1999-03-18,6963,7106,6772,6772,114370,53740.0,7568950.0
1999-03-19,6820,6963,6696,6696,103770,53134.0,7568950.0
1999-03-22,6782,6868,6744,6743,210170,53512.0,7568950.0
1999-03-23,6772,6782,6505,6505,170480,51620.0,7568950.0
1999-03-24,6505,6706,5542,6486,307850,51469.0,7568950.0
1999-03-25,6438,6438,6248,6247,121190,49577.0,7568950.0
1999-03-26,6238,6238,6019,6104,162560,48441.0,7568950.0
1999-03-29,6210,6438,5914,5913,395280,46927.0,7568950.0
1999-03-30,6582,6801,6582,6800,531240,53967.0,7568950.0
1999-03-31,6887,7650,6887,7525,848740,59719.0,7568950.0
1999-04-01,7345,7507,7182,7392,373870,58659.0,7568950.0
1999-04-02,7249,7297,6963,7058,251990,56010.0,7568950.0
1999-04-06,7345,7822,7345,7745,501560,61460.0,7568950.0
1999-04-07,7822,7955,7726,7802,506970,61914.0,7568950.0
1999-04-08,7898,7965,7869,7869,304660,62444.0,7568950.0
1999-04-09,7917,7917,7631,7640,228230,60627.0,7568950.0
1999-04-12,7726,7726,7440,7440,185640,59038.0,7568950.0
1999-04-13,7345,7917,7249,7916,395030,62822.0,7568950.0
1999-04-14,8203,8775,8203,8498,567140,67439.0,7568950.0
1999-04-15,8775,9538,8775,9538,788760,75690.0,7568950.0
1999-04-16,9825,10969,9825,10969,839700,87043.0,7568950.0
1999-04-19,11065,11160,10492,11160,1469580,88557.0,7568950.0
1999-04-20,11065,11065,9729,9967,1171390,79096.0,7568950.0
1999-04-21,8489,9491,8489,8966,2578090,2820000.0,300000000.0
1999-04-22,9157,9157,8394,8594,1106960,2703000.0,300000000.0
1999-04-23,9062,9634,8966,8966,1840960,2820000.0,300000000.0
1999-04-26,8871,8871,8594,8680,866130,2730000.0,300000000.0
1999-04-27,8775,9252,8775,8908,969170,2802000.0,300000000.0
1999-04-28,8957,8957,8585,8651,964470,2721000.0,300000000.0
1999-04-29,8585,9329,8403,9013,1507640,2835000.0,300000000.0
1999-04-30,9634,9634,9157,9204,1536150,2895000.0,300000000.0
1999-05-03,9205,9205,8842,8928,465950,2808000.0,300000000.0
1999-05-04,8966,9157,8966,9061,802890,2850000.0,300000000.0
1999-05-06,9062,9443,9062,9443,1277640,2970000.0,300000000.0
1999-05-07,9443,9443,9081,9080,862170,2856000.0,300000000.0
1999-05-10,9348,9825,9081,9824,1952080,3090000.0,300000000.0
1999-05-11,9825,9825,9538,9538,1676230,3000000.0,300000000.0
1999-05-12,9357,9357,9109,9214,655750,2898000.0,300000000.0
1999-05-13,9062,9205,8766,9156,924700,2880000.0,300000000.0
1999-05-14,9233,9233,8489,8584,695670,2700000.0,300000000.0
1999-05-17,8585,8585,8003,8002,463600,2517000.0,300000000.0
1999-05-18,7726,7917,7421,7916,994940,2490000.0,300000000.0
1999-05-19,8108,8394,8031,8031,553850,2526000.0,300000000.0
1999-05-20,8060,8060,7535,7554,406910,2376000.0,300000000.0
1999-05-21,7554,7726,7535,7630,321690,2400000.0,300000000.0
1999-05-24,7631,7631,7440,7449,205080,2343000.0,300000000.0
1999-05-25,7392,7631,7392,7630,194240,2400000.0,300000000.0
1999-05-26,7631,7631,7459,7630,357710,2400000.0,300000000.0
1999-05-27,7631,7688,7535,7535,475590,2370000.0,300000000.0
1999-05-28,7535,7535,7354,7440,267230,2340000.0,300000000.0
1999-05-31,7440,7678,7392,7640,396620,2403000.0,300000000.0
1999-06-01,7535,7631,7488,7516,222570,2364000.0,300000000.0
1999-06-02,7516,7688,7450,7487,332120,2355000.0,300000000.0
1999-06-03,7154,7469,7154,7172,683830,2256000.0,300000000.0
