한국종합기술(023350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-04-28,9300,10000,7910,7910,5436584,86614.0,10950000.0
2011-04-29,8120,9090,7890,8450,4120219,92528.0,10950000.0
2011-05-02,8620,9640,8440,8800,2920386,96360.0,10950000.0
2011-05-03,8950,9290,8000,8160,1360054,89352.0,10950000.0
2011-05-04,8220,8450,7930,8010,700153,87710.0,10950000.0
2011-05-06,7690,7760,7110,7250,773934,79388.0,10950000.0
2011-05-09,7200,7810,6970,7100,1000498,77745.0,10950000.0
2011-05-11,7320,7590,7100,7130,676642,78074.0,10950000.0
2011-05-12,7070,7240,7020,7090,275762,77636.0,10950000.0
2011-05-13,7230,7410,7140,7240,346782,79278.0,10950000.0
2011-05-16,7240,7330,7030,7060,230953,77307.0,10950000.0
2011-05-17,7040,7400,7000,7090,510943,77636.0,10950000.0
2011-05-18,7170,7260,7060,7060,258181,77307.0,10950000.0
2011-05-19,7100,7260,7060,7200,296287,78840.0,10950000.0
2011-05-20,7330,7650,7040,7080,554321,77526.0,10950000.0
2011-05-23,6960,6990,6420,6430,371820,70408.0,10950000.0
2011-05-24,6250,6390,6040,6090,272556,66686.0,10950000.0
2011-05-25,6100,6200,5820,5850,251288,64058.0,10950000.0
2011-05-26,5890,6020,5670,5830,226276,63838.0,10950000.0
2011-05-27,5830,6200,5830,6020,164599,65919.0,10950000.0
2011-05-30,6130,6330,5950,6300,181385,68985.0,10950000.0
2011-05-31,6300,6410,6200,6400,138763,70080.0,10950000.0
2011-06-01,6380,6420,6180,6210,89953,68000.0,10950000.0
2011-06-02,6100,6160,5980,5990,81239,65590.0,10950000.0
2011-06-03,5950,6090,5820,5840,81769,63948.0,10950000.0
2011-06-07,5780,5950,5780,5900,35291,64605.0,10950000.0
2011-06-08,5980,5980,5730,5760,56582,63072.0,10950000.0
2011-06-09,5730,5850,5600,5680,70645,62196.0,10950000.0
2011-06-10,5690,5830,5460,5480,79744,60006.0,10950000.0
2011-06-13,5490,5530,5180,5200,42262,56940.0,10950000.0
2011-06-14,5350,5350,5080,5100,61388,55845.0,10950000.0
2011-06-15,5110,5340,5050,5230,70464,57268.0,10950000.0
2011-06-16,5230,5730,5150,5330,137737,58364.0,10950000.0
2011-06-17,5400,5500,5140,5150,110970,56392.0,10950000.0
2011-06-20,5270,5270,5080,5120,72299,56064.0,10950000.0
2011-06-21,5150,5230,5000,5040,113774,55188.0,10950000.0
2011-06-22,5060,5270,5060,5130,67140,56174.0,10950000.0
2011-06-23,5190,5390,5100,5330,78907,58364.0,10950000.0
2011-06-24,5330,5390,5250,5310,45947,58144.0,10950000.0
2011-06-27,5310,6000,5310,5810,206767,63620.0,10950000.0
2011-06-28,5820,5990,5690,5890,66775,64496.0,10950000.0
2011-06-29,6050,6050,5630,5690,121025,62306.0,10950000.0
2011-06-30,5730,5790,5470,5510,82260,60334.0,10950000.0
