현대해상(001450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2000,2060,1955,1955,797000,174777.0,8940000.0
1999-01-05,2000,2020,1920,1950,1175100,174330.0,8940000.0
1999-01-06,1960,2190,1960,2140,2092700,191316.0,8940000.0
1999-01-07,2200,2270,2060,2170,1976400,193998.0,8940000.0
1999-01-08,2160,2165,2080,2080,884500,185952.0,8940000.0
1999-01-11,2100,2160,2050,2125,1308500,189975.0,8940000.0
1999-01-12,2145,2155,2015,2060,1289600,184164.0,8940000.0
1999-01-13,2050,2100,2000,2070,1161900,185058.0,8940000.0
1999-01-14,2050,2055,1960,1960,1223600,175224.0,8940000.0
1999-01-15,1960,2030,1910,2000,842700,178800.0,8940000.0
1999-01-18,2010,2060,2000,2030,817200,181482.0,8940000.0
1999-01-19,2030,2030,1960,2000,989900,178800.0,8940000.0
1999-01-20,2015,2075,1910,1930,1409300,172542.0,8940000.0
1999-01-21,1930,1960,1750,1750,575700,156450.0,8940000.0
1999-01-22,1680,1770,1680,1700,654000,151980.0,8940000.0
1999-01-25,1715,1720,1620,1620,331300,144828.0,8940000.0
1999-01-26,1670,1690,1560,1570,476500,140358.0,8940000.0
1999-01-27,1560,1670,1560,1670,366600,149298.0,8940000.0
1999-01-28,1690,1730,1650,1650,653400,147510.0,8940000.0
1999-01-29,1650,1710,1650,1655,236200,147957.0,8940000.0
1999-02-01,1720,1720,1670,1700,269200,151980.0,8940000.0
1999-02-02,1700,1700,1630,1635,393300,146169.0,8940000.0
1999-02-03,1635,1635,1570,1600,273200,143040.0,8940000.0
1999-02-04,1580,1650,1580,1600,785000,143040.0,8940000.0
1999-02-05,1630,1740,1580,1675,1191600,149745.0,8940000.0
1999-02-08,1720,1750,1650,1680,763000,150192.0,8940000.0
1999-02-09,1650,1680,1570,1600,500500,143040.0,8940000.0
1999-02-10,1580,1615,1550,1610,255100,143934.0,8940000.0
1999-02-11,1610,1645,1600,1610,240500,143934.0,8940000.0
1999-02-12,1660,1680,1610,1660,484100,148404.0,8940000.0
1999-02-18,1745,1745,1660,1670,574200,149298.0,8940000.0
1999-02-19,1580,1640,1580,1620,299500,144828.0,8940000.0
1999-02-22,1580,1590,1540,1540,182300,137676.0,8940000.0
1999-02-23,1540,1580,1500,1510,196400,134994.0,8940000.0
1999-02-24,1510,1565,1500,1515,255100,135441.0,8940000.0
1999-02-25,1460,1540,1460,1495,119500,133653.0,8940000.0
1999-02-26,1500,1560,1500,1540,218200,137676.0,8940000.0
1999-03-02,1560,1610,1555,1600,804500,143040.0,8940000.0
1999-03-03,1630,1630,1565,1605,208200,143487.0,8940000.0
1999-03-04,1555,1630,1555,1620,266600,144828.0,8940000.0
1999-03-05,1620,1690,1620,1680,599500,150192.0,8940000.0
1999-03-08,1720,1835,1700,1820,1102000,162708.0,8940000.0
1999-03-09,1850,1850,1725,1800,809200,160920.0,8940000.0
1999-03-10,1750,1850,1730,1850,355000,165390.0,8940000.0
1999-03-11,1860,1920,1800,1840,996200,164496.0,8940000.0
1999-03-12,1870,1920,1840,1860,613500,166284.0,8940000.0
1999-03-15,2135,2135,1900,1940,1329000,173436.0,8940000.0
1999-03-16,1900,1980,1870,1950,650200,174330.0,8940000.0
1999-03-17,1990,1995,1900,1910,687000,170754.0,8940000.0
1999-03-18,1880,1930,1780,1850,777400,165390.0,8940000.0
1999-03-19,1810,1900,1810,1875,762100,167625.0,8940000.0
1999-03-22,1900,2000,1860,1955,1279800,174777.0,8940000.0
1999-03-23,1970,1970,1905,1915,436900,171201.0,8940000.0
1999-03-24,1950,1970,1900,1915,682600,171201.0,8940000.0
1999-03-25,1915,1950,1800,1895,1198700,169413.0,8940000.0
1999-03-26,1885,2030,1885,1980,1484200,177012.0,8940000.0
1999-03-29,1950,2080,1900,2050,1898400,183270.0,8940000.0
1999-03-30,2060,2120,2050,2090,1848500,186846.0,8940000.0
