STX엔진(077970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-05-10,16343,18759,13906,13920,1451978,83240.0,19539938.0
2004-05-11,14054,15997,12580,14214,2146834,84999.0,19539938.0
2004-05-12,14673,14968,13070,13071,1155307,78160.0,19539938.0
2004-05-13,12597,15034,12434,15031,1206489,89884.0,19539938.0
2004-05-14,16178,16470,13692,14051,3392648,84022.0,19539938.0
2004-05-17,14052,14150,11942,11943,692577,71418.0,19539938.0
2004-05-18,10946,11586,10164,10293,893306,61551.0,19539938.0
2004-05-19,10589,11635,10457,10930,773903,65361.0,19539938.0
2004-05-20,10292,11077,10031,10032,444438,59988.0,19539938.0
2004-05-21,10230,11047,10129,10130,566589,60574.0,19539938.0
2004-05-24,10341,11011,10292,10849,438217,64873.0,19539938.0
2004-05-25,10587,10782,10327,10358,193794,61942.0,19539938.0
2004-05-27,10751,10914,10473,10734,731242,64189.0,19539938.0
2004-05-28,10916,10948,10559,10751,339903,64286.0,19539938.0
2004-05-31,10782,10800,10097,10358,235855,61942.0,19539938.0
2004-06-01,10277,10503,10128,10473,365340,62626.0,19539938.0
2004-06-02,10293,10655,10279,10440,131960,62430.0,19539938.0
2004-06-03,10557,10669,9838,9901,100471,59206.0,19539938.0
2004-06-04,9804,10117,9676,9934,67870,59401.0,19539938.0
2004-06-07,9935,10294,9838,10277,115915,61453.0,19539938.0
2004-06-08,10280,11782,10179,11306,981607,67608.0,19539938.0
2004-06-09,11637,11668,10559,10587,236602,63309.0,19539938.0
2004-06-10,10735,11194,10457,10816,384912,64677.0,19539938.0
2004-06-11,11048,11079,10116,10113,263203,60476.0,19539938.0
2004-06-14,9705,10230,9705,9966,313340,59597.0,19539938.0
2004-06-15,9561,11049,9561,10424,445327,62332.0,19539938.0
2004-06-16,10818,11979,10293,10391,1950900,62137.0,19539938.0
2004-06-17,10456,10848,9837,10293,268690,61551.0,19539938.0
2004-06-18,10130,10294,9741,9836,201042,58815.0,19539938.0
2004-06-21,9802,10407,9754,10342,282361,61844.0,19539938.0
2004-06-22,10341,10751,10000,10130,274776,60574.0,19539938.0
2004-06-23,10130,10686,10067,10228,384738,61160.0,19539938.0
2004-06-24,10946,10946,10066,10130,293621,60574.0,19539938.0
2004-06-25,10146,10556,10066,10358,318703,61942.0,19539938.0
2004-06-28,10455,10945,10326,10473,371902,62626.0,19539938.0
2004-06-29,10521,10539,10243,10358,160303,61942.0,19539938.0
2004-06-30,10280,10361,10002,10048,299914,60085.0,19539938.0
2004-07-01,9954,10099,9888,9885,218374,59108.0,19539938.0
2004-07-02,9886,10115,9820,9966,218167,59597.0,19539938.0
2004-07-05,10031,10195,9739,10195,189920,60965.0,19539938.0
2004-07-06,10049,10407,10049,10130,156075,60574.0,19539938.0
2004-07-07,9707,10017,9707,9934,84796,59401.0,19539938.0
2004-07-08,9867,10079,9818,9819,107361,58718.0,19539938.0
2004-07-09,9741,9870,9741,9836,70690,58815.0,19539938.0
2004-07-12,9839,9954,9755,9770,70530,58424.0,19539938.0
2004-07-13,9656,9886,9656,9803,157559,58620.0,19539938.0
2004-07-14,9724,9804,9348,9345,48830,55884.0,19539938.0
2004-07-15,9346,9541,7956,8725,211240,52172.0,19539938.0
2004-07-16,8494,8807,8234,8561,79608,51195.0,19539938.0
2004-07-19,8331,9297,8331,8888,65450,53149.0,19539938.0
2004-07-20,8693,9149,8693,8823,24900,52758.0,19539938.0
2004-07-21,8824,9120,8824,9117,29300,54516.0,19539938.0
2004-07-22,9149,9149,8822,8823,30088,52758.0,19539938.0
2004-07-23,8629,8823,8531,8692,19530,51976.0,19539938.0
2004-07-26,8496,8659,8367,8382,11795,50120.0,19539938.0
2004-07-27,8203,8397,7939,8120,48960,48557.0,19539938.0
2004-07-28,8007,8320,8007,8087,43690,48361.0,19539938.0
2004-07-29,8088,8203,7515,7516,32503,44942.0,19539938.0
2004-07-30,7841,7841,7417,7418,33644,44356.0,19539938.0
2004-08-02,7678,7775,6944,7140,48624,42695.0,19539938.0
