현대로템(064350),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-10-30,33700,38750,33500,38750,16962211,3293750.0,85000000.0
2013-10-31,40450,41150,35600,36450,8952654,3098250.0,85000000.0
2013-11-01,36450,38250,36100,37350,2685352,3174750.0,85000000.0
2013-11-04,38900,39400,36450,36700,2261819,3119500.0,85000000.0
2013-11-05,36050,36700,34600,35050,2254062,2979250.0,85000000.0
2013-11-06,35050,36250,34500,35000,1258031,2975000.0,85000000.0
2013-11-07,35300,35400,33750,33800,1265278,2873000.0,85000000.0
2013-11-08,33250,35050,32850,34350,1250427,2919750.0,85000000.0
2013-11-11,34950,35350,34100,34450,650733,2928250.0,85000000.0
2013-11-12,34550,35850,34250,35850,766202,3047250.0,85000000.0
2013-11-13,36050,36050,34000,34200,873530,2907000.0,85000000.0
2013-11-14,34050,34050,32400,33550,1120559,2851750.0,85000000.0
2013-11-15,33500,34000,33300,33500,501548,2847500.0,85000000.0
2013-11-18,33550,34550,33500,34100,621179,2898500.0,85000000.0
2013-11-19,34200,34450,33700,33800,367999,2873000.0,85000000.0
2013-11-20,33800,34200,33550,33700,349307,2864500.0,85000000.0
2013-11-21,33700,33800,32650,32750,375291,2783750.0,85000000.0
2013-11-22,32950,33200,31650,31650,654528,2690250.0,85000000.0
2013-11-25,31500,32100,31100,31800,513819,2703000.0,85000000.0
2013-11-26,32200,32950,32100,32450,688714,2758250.0,85000000.0
2013-11-27,32100,32300,31600,31700,397652,2694500.0,85000000.0
2013-11-28,31750,33200,31550,33150,698694,2817750.0,85000000.0
2013-11-29,32250,32900,31450,31950,2366739,2715750.0,85000000.0
2013-12-02,31850,32150,31550,31600,653579,2686000.0,85000000.0
2013-12-03,31600,32700,31600,32500,814436,2762500.0,85000000.0
2013-12-04,32400,32600,31850,32550,367975,2766750.0,85000000.0
2013-12-05,32800,33200,32550,33050,579978,2809250.0,85000000.0
2013-12-06,32650,33300,32600,33200,376660,2822000.0,85000000.0
2013-12-09,33400,33450,32650,33100,348969,2813500.0,85000000.0
2013-12-10,32850,32900,32000,32000,343482,2720000.0,85000000.0
2013-12-11,31700,32000,31400,31400,400609,2669000.0,85000000.0
2013-12-12,31000,31600,30950,31350,295035,2664750.0,85000000.0
2013-12-13,32100,32450,31100,31200,335425,2652000.0,85000000.0
2013-12-16,31050,31200,29600,29650,732684,2520250.0,85000000.0
2013-12-17,30000,30000,29150,29200,434318,2482000.0,85000000.0
2013-12-18,29200,29700,28600,29500,492037,2507500.0,85000000.0
2013-12-19,29850,30150,29300,29900,342326,2541500.0,85000000.0
2013-12-20,29700,30100,29550,30100,239758,2558500.0,85000000.0
2013-12-23,30450,30650,29800,29800,283382,2533000.0,85000000.0
2013-12-24,29800,29850,29300,29400,317305,2499000.0,85000000.0
2013-12-26,29450,29600,28600,28650,450991,2435250.0,85000000.0
2013-12-27,28700,29150,28550,28650,312091,2435250.0,85000000.0
2013-12-30,29000,29200,28750,28800,342769,2448000.0,85000000.0
2014-01-02,29100,30400,29050,30300,804798,2575500.0,85000000.0
2014-01-03,30300,30650,29900,30400,480768,2584000.0,85000000.0
2014-01-06,30200,30400,29650,29850,306619,2537250.0,85000000.0
2014-01-07,29500,30150,29500,30000,206683,2550000.0,85000000.0
2014-01-08,30050,31000,30050,30750,555590,2613750.0,85000000.0
2014-01-09,30800,31000,30400,30900,349508,2626500.0,85000000.0
2014-01-10,30900,31400,30450,30700,262974,2609500.0,85000000.0
2014-01-13,30500,30650,30000,30600,152034,2601000.0,85000000.0
2014-01-14,30100,30750,30000,30150,199070,2562750.0,85000000.0
2014-01-15,30350,30500,29900,29900,218510,2541500.0,85000000.0
2014-01-16,30100,30200,29750,29800,193879,2533000.0,85000000.0
2014-01-17,29800,30000,29400,29400,189277,2499000.0,85000000.0
2014-01-20,29100,29300,28900,29300,213839,2490500.0,85000000.0
2014-01-21,29300,30200,29000,30100,313691,2558500.0,85000000.0
2014-01-22,30000,30500,29950,30250,309596,2571250.0,85000000.0
2014-01-23,30250,30450,29350,29400,448259,2499000.0,85000000.0
2014-01-24,29300,29500,29000,29300,191966,2490500.0,85000000.0
2014-01-27,28600,28700,28050,28050,517428,2384250.0,85000000.0
2014-01-28,28050,28100,27150,27400,556062,2329000.0,85000000.0
2014-01-29,27850,29000,27700,28850,515884,2452250.0,85000000.0
2014-02-03,28400,29100,28350,28750,267617,2443750.0,85000000.0
2014-02-04,28100,28600,28000,28400,254499,2414000.0,85000000.0
2014-02-05,28500,29150,28450,28750,294985,2443750.0,85000000.0
2014-02-06,28750,30650,28750,30250,834475,2571250.0,85000000.0
2014-02-07,30300,30650,29900,30400,491895,2584000.0,85000000.0
2014-02-10,30550,30650,30100,30150,243822,2562750.0,85000000.0
2014-02-11,30250,31350,30150,30350,546123,2579750.0,85000000.0
2014-02-12,30450,30600,29600,30100,364135,2558500.0,85000000.0
2014-02-13,29850,30100,29700,29950,159970,2545750.0,85000000.0
2014-02-14,29900,30450,26050,26850,4414473,2282250.0,85000000.0
2014-02-17,27500,28150,27300,28000,1626329,2380000.0,85000000.0
2014-02-18,28200,28250,27650,28050,393327,2384250.0,85000000.0
2014-02-19,28300,28400,27900,28300,441599,2405500.0,85000000.0
2014-02-20,28200,29000,28000,28600,434383,2431000.0,85000000.0
2014-02-21,28850,29250,28150,28300,505592,2405500.0,85000000.0
2014-02-24,28400,28600,28000,28400,285832,2414000.0,85000000.0
2014-02-25,28450,29150,28100,29050,596646,2469250.0,85000000.0
2014-02-26,29100,29200,28700,28950,271632,2460750.0,85000000.0
2014-02-27,28950,29700,28650,29550,417486,2511750.0,85000000.0
2014-02-28,29600,29750,29300,29400,271453,2499000.0,85000000.0
2014-03-03,29300,29300,28600,29000,358000,2465000.0,85000000.0
2014-03-04,28650,29250,28550,28750,281593,2443750.0,85000000.0
2014-03-05,28950,29450,28700,29000,487648,2465000.0,85000000.0
2014-03-06,29000,29100,28700,28800,238124,2448000.0,85000000.0
2014-03-07,28500,28600,27550,27750,1042376,2358750.0,85000000.0
2014-03-10,27700,27950,27450,27650,282298,2350250.0,85000000.0
2014-03-11,27800,28100,27650,27750,336020,2358750.0,85000000.0
2014-03-12,27650,27950,27600,27650,241799,2350250.0,85000000.0
2014-03-13,27750,28850,27700,28600,401522,2431000.0,85000000.0
2014-03-14,28300,29400,28200,29000,534082,2465000.0,85000000.0
2014-03-17,29150,29400,28700,28700,257127,2439500.0,85000000.0
2014-03-18,28900,29550,28800,29400,395646,2499000.0,85000000.0
2014-03-19,29650,30050,29400,29500,421989,2507500.0,85000000.0
2014-03-20,29250,29400,28850,29000,232429,2465000.0,85000000.0
2014-03-21,29500,29950,29350,29850,283417,2537250.0,85000000.0
2014-03-24,30350,30350,29700,30000,284157,2550000.0,85000000.0
2014-03-25,29850,29950,29450,29550,202782,2511750.0,85000000.0
2014-03-26,29550,29800,29300,29500,196113,2507500.0,85000000.0
2014-03-27,29300,29850,29300,29750,230975,2528750.0,85000000.0
2014-03-28,29750,30100,29550,29950,239375,2545750.0,85000000.0
2014-03-31,30200,30200,29450,29800,303279,2533000.0,85000000.0
2014-04-01,29950,30100,29600,29600,215564,2516000.0,85000000.0
2014-04-02,29550,29650,28650,28750,763260,2443750.0,85000000.0
2014-04-03,28950,29200,28750,28850,321789,2452250.0,85000000.0
2014-04-04,28750,28750,27950,28200,518183,2397000.0,85000000.0
2014-04-07,28100,28700,28100,28250,322152,2401250.0,85000000.0
2014-04-08,28300,28550,28250,28350,179291,2409750.0,85000000.0
2014-04-09,28500,28500,27950,28100,439390,2388500.0,85000000.0
2014-04-10,28250,28500,27900,28200,383516,2397000.0,85000000.0
2014-04-11,27900,28250,27850,28200,186101,2397000.0,85000000.0
2014-04-14,28150,28500,28050,28500,211770,2422500.0,85000000.0
2014-04-15,28600,28600,28150,28200,191726,2397000.0,85000000.0
2014-04-16,28300,28550,28200,28400,196161,2414000.0,85000000.0
2014-04-17,28600,28650,28200,28250,143399,2401250.0,85000000.0
2014-04-18,28250,28700,28200,28650,211356,2435250.0,85000000.0
2014-04-21,29150,29500,28600,28950,447619,2460750.0,85000000.0
2014-04-22,29100,29150,28700,28800,228630,2448000.0,85000000.0
2014-04-23,28850,28900,28300,28400,218215,2414000.0,85000000.0
2014-04-24,28500,28500,27850,28000,341312,2380000.0,85000000.0
2014-04-25,28050,28150,27700,27700,237962,2354500.0,85000000.0
2014-04-28,27400,27850,27400,27600,156706,2346000.0,85000000.0
2014-04-29,27450,27850,27400,27450,190098,2333250.0,85000000.0
2014-04-30,27600,28150,27600,28050,253976,2384250.0,85000000.0
2014-05-02,27750,27900,27300,27400,330627,2329000.0,85000000.0
2014-05-07,27550,27600,26850,27150,387186,2307750.0,85000000.0
2014-05-08,27050,27250,26100,26400,484106,2244000.0,85000000.0
2014-05-09,26650,26900,26500,26700,202848,2269500.0,85000000.0
2014-05-12,26550,26950,26550,26850,174650,2282250.0,85000000.0
2014-05-13,26900,27150,26700,27150,167355,2307750.0,85000000.0
2014-05-14,27150,27500,27050,27100,136195,2303500.0,85000000.0
2014-05-15,27050,27150,26900,26950,224501,2290750.0,85000000.0
2014-05-16,26950,27000,26500,26550,244181,2256750.0,85000000.0
2014-05-19,26550,27350,26450,27000,310092,2295000.0,85000000.0
2014-05-20,26900,27100,26300,26350,297848,2239750.0,85000000.0
