제주항공(089590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-06,49500,51500,46100,48100,2404916,1246115.0,25906758.0
2015-11-09,48700,49150,44450,45000,351566,1165804.0,25906758.0
2015-11-10,44000,46800,42750,42750,261417,1107514.0,25906758.0
2015-11-11,43300,45750,43000,44700,276432,1158032.0,25906758.0
2015-11-12,45600,46400,44650,45700,158760,1183939.0,25906758.0
2015-11-13,44900,45450,43600,44050,78358,1141193.0,25906758.0
2015-11-16,42300,43400,40900,42100,162720,1090675.0,25906758.0
2015-11-17,42700,42700,39050,42000,193625,1088084.0,25906758.0
2015-11-18,42000,42450,41050,41050,51385,1063472.0,25906758.0
2015-11-19,41050,41700,39750,40300,134253,1044042.0,25906758.0
2015-11-20,40300,40400,39700,39850,57577,1032384.0,25906758.0
2015-11-23,39750,39750,37250,37850,261757,980571.0,25906758.0
2015-11-24,37850,39050,37000,38800,172750,1005182.0,25906758.0
2015-11-25,38250,38850,37650,38500,95445,997410.0,25906758.0
2015-11-26,38650,39450,38000,39300,87142,1018136.0,25906758.0
2015-11-27,39700,41000,39350,40750,121138,1055700.0,25906758.0
2015-11-30,40200,41200,40000,40950,78215,1060882.0,25906758.0
2015-12-01,40950,40950,39950,40150,67909,1040156.0,25906758.0
2015-12-02,40050,40150,38450,40150,141335,1040156.0,25906758.0
2015-12-03,39950,39950,39150,39200,26855,1015545.0,25906758.0
2015-12-04,39000,39350,38300,38900,16220,1007773.0,25906758.0
2015-12-07,37000,38050,36550,37250,333592,965027.0,25906758.0
2015-12-08,37850,38300,37550,37850,102783,980571.0,25906758.0
2015-12-09,37300,38400,37250,38050,37434,985752.0,25906758.0
2015-12-10,37800,38350,37550,38000,42732,984457.0,25906758.0
2015-12-11,37600,40000,37600,39850,215527,1032384.0,25906758.0
2015-12-14,39000,41650,39000,40550,177237,1050519.0,25906758.0
2015-12-15,40550,41000,38850,39250,57834,1016840.0,25906758.0
2015-12-16,39950,39950,37800,39250,74056,1016840.0,25906758.0
2015-12-17,40500,41000,39600,40850,132353,1058291.0,25906758.0
2015-12-18,41000,41900,40850,41900,147271,1085493.0,25906758.0
2015-12-21,41350,42800,41350,42800,64958,1108809.0,25906758.0
2015-12-22,43000,43000,41400,41500,60047,1075130.0,25906758.0
2015-12-23,42100,42100,40100,40500,69234,1049224.0,25906758.0
2015-12-24,40000,40450,39200,39650,96464,1027203.0,25906758.0
2015-12-28,40150,40500,38000,40000,84600,1036270.0,25906758.0
2015-12-29,39800,39800,38700,39000,40343,1010364.0,25906758.0
2015-12-30,39250,40200,38500,40100,45069,1038861.0,25906758.0
2016-01-04,39250,40900,38650,40900,54353,1059586.0,25906758.0
