키위미디어그룹(012170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,16770601,17003528,16537674,16770567,1002400,21600.0,3000000.0
1999-01-05,17119924,18400994,16770547,17935148,1617900,23100.0,3000000.0
1999-01-06,18378000,18867148,17702498,18377962,1183100,23670.0,3000000.0
1999-01-07,18634296,18867226,17935508,18145122,1516800,23370.0,3000000.0
1999-01-08,17748746,18377652,17725456,17958394,1281300,23130.0,3000000.0
1999-01-11,19100036,20497610,18284788,20264688,4088000,26100.0,3000000.0
1999-01-12,20730838,21895476,19915542,21080200,5023800,27150.0,3000000.0
1999-01-13,21196560,22337900,20963612,20963590,3932300,27000.0,3000000.0
1999-01-14,19798762,20707192,18401244,18401208,2392100,23700.0,3000000.0
1999-01-15,18633956,19565622,18517494,19262830,1613200,24810.0,3000000.0
1999-01-18,19496072,21778780,19496072,21196430,3418700,27300.0,3000000.0
1999-01-19,21196560,21196560,19449598,19449560,1481700,25050.0,3000000.0
1999-01-20,19332708,19798574,16770547,17935148,1314000,23100.0,3000000.0
1999-01-21,17236394,19099784,17236394,17935148,1204900,23100.0,3000000.0
1999-01-22,18168036,18400968,17003440,17003406,846600,21900.0,3000000.0
1999-01-25,15606124,17469550,15606124,15722597,898100,20250.0,3000000.0
1999-01-26,15839025,17003672,14790855,14790856,828900,19050.0,3000000.0
1999-01-27,15140245,16304887,14208568,16304887,1274200,21000.0,3000000.0
1999-01-28,16304748,17189864,16304748,16770567,1206100,21600.0,3000000.0
1999-01-29,16328505,17004004,16305219,16538109,686000,21300.0,3000000.0
1999-02-01,16537639,17236416,16071782,16956916,1030300,21840.0,3000000.0
1999-02-02,17236606,17399654,16421345,16491235,1199400,21240.0,3000000.0
1999-02-03,16305013,16537953,15443177,16444744,750400,21180.0,3000000.0
1999-02-04,16538142,16887526,16025660,16538109,913300,21300.0,3000000.0
1999-02-05,17003350,18167950,16537488,17236246,1205800,22200.0,3000000.0
1999-02-08,17469318,18517466,17352866,17935148,2262800,23100.0,3000000.0
1999-02-09,17935328,17935328,16304833,16328133,1178900,21030.0,3000000.0
1999-02-10,16328323,17003804,15629538,16421498,928700,21150.0,3000000.0
1999-02-11,16421498,17236742,16421498,16421498,552700,21150.0,3000000.0
1999-02-12,16421592,17003956,16421592,16561354,730200,21330.0,3000000.0
1999-02-18,17213512,17213512,15839239,15839207,1036300,20400.0,3000000.0
1999-02-19,15606399,15606399,15140549,15606368,624400,20100.0,3000000.0
1999-02-22,14953991,15815837,14953991,15140307,414700,19500.0,3000000.0
1999-02-23,15140138,15605958,14441351,14674246,754900,18900.0,3000000.0
1999-02-24,14348176,15140130,14091957,14091956,520700,18150.0,3000000.0
1999-02-25,13556458,13742805,12857679,13043986,782800,16800.0,3000000.0
1999-02-26,13975469,14208390,13299970,13742506,1055600,17700.0,3000000.0
1999-03-02,13975683,15792484,13859226,14767611,4528100,19020.0,3000000.0
1999-03-03,15023614,15373008,14045318,14115202,1562100,18180.0,3000000.0
1999-03-04,14324965,14581185,13998866,14255058,864600,18360.0,3000000.0
1999-03-05,12135304,13952102,12135304,12810765,993200,16500.0,3000000.0
1999-03-08,12810765,12810765,12810765,12810765,0,16500.0,3000000.0
1999-03-09,10900792,10900792,10900792,10900792,0,14040.0,3000000.0
1999-03-10,9270522,9270522,9270522,9270532,0,11940.0,3000000.0
1999-03-11,7895976,7895976,7895976,7895977,13700,10155.0,3000000.0
1999-03-12,6708190,6708190,6708190,6708151,6300,8640.0,3000000.0
1999-03-15,5706672,5706672,5706672,5706673,338900,7350.0,3000000.0
1999-03-16,4868007,6032567,4868007,5031018,31908400,6465.0,3000000.0
1999-03-17,5310915,5310915,4938232,5217747,7074600,6720.0,3000000.0
1999-03-18,4984461,4984461,4448727,4448728,3368000,5715.0,3000000.0
1999-03-19,4332441,4425612,3983087,3983048,7544000,5130.0,3000000.0
1999-03-22,4076067,4169241,3959603,4076031,3485400,5250.0,3000000.0
1999-03-23,4099886,4099886,3960125,4006675,2016200,5145.0,3000000.0
1999-03-24,3959645,4052818,3843180,3866437,1824800,4965.0,3000000.0
1999-03-25,3843044,3843044,3703286,3726581,2650300,4800.0,3000000.0
1999-03-26,3796889,4192909,3796889,3890064,2624200,5010.0,3000000.0
1999-03-29,3983041,3983041,3796699,3796700,1233000,4890.0,3000000.0
1999-03-30,3819889,3889767,3819889,3866437,825100,4980.0,3000000.0
1999-03-31,3842995,3912873,3749827,3749827,859900,4830.0,3000000.0
1999-04-01,3773513,4309252,3750221,4309253,1290900,5550.0,3000000.0
