아세아제지(002310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,8240,8400,8160,8290,84890,36476.0,4400000.0
1999-01-05,8330,8700,8200,8500,173930,37400.0,4400000.0
1999-01-06,8700,9480,8520,9410,330020,41404.0,4400000.0
1999-01-07,9600,10500,9500,9620,275420,42328.0,4400000.0
1999-01-08,9510,9620,9260,9500,131840,41800.0,4400000.0
1999-01-11,10100,10900,9810,10900,291860,47960.0,4400000.0
1999-01-12,11450,12200,10950,11800,409340,51920.0,4400000.0
1999-01-13,11900,12400,11200,11800,246910,51920.0,4400000.0
1999-01-14,10700,11400,10500,10900,174220,47960.0,4400000.0
1999-01-15,10600,11500,10400,11250,125950,49500.0,4400000.0
1999-01-18,10000,12500,10000,11500,277400,50600.0,4400000.0
1999-01-19,11400,11700,10700,10800,78250,47520.0,4400000.0
1999-01-20,10900,11100,10400,10600,94530,46640.0,4400000.0
1999-01-21,10200,10900,9620,9910,98600,43604.0,4400000.0
1999-01-22,10000,10000,9390,9610,75580,42284.0,4400000.0
1999-01-25,9700,9800,9100,9100,43760,40040.0,4400000.0
1999-01-26,9210,9580,8800,8800,49820,38720.0,4400000.0
1999-01-27,8610,9350,8610,9200,54590,40480.0,4400000.0
1999-01-28,9300,9600,9200,9500,65510,41800.0,4400000.0
1999-01-29,10000,10200,9600,9610,117470,42284.0,4400000.0
1999-02-01,9700,10100,9700,10000,64030,44000.0,4400000.0
1999-02-02,10100,10500,9800,10300,108690,45320.0,4400000.0
1999-02-03,10300,10600,9850,9850,86960,43340.0,4400000.0
1999-02-04,10000,10000,9360,9820,54190,43208.0,4400000.0
1999-02-05,9820,9990,9510,9530,50120,41932.0,4400000.0
1999-02-08,9660,10000,9220,9220,64750,40568.0,4400000.0
1999-02-09,9250,9700,8980,8980,87570,39512.0,4400000.0
1999-02-10,8620,9300,8620,9200,41500,40480.0,4400000.0
1999-02-11,9000,9500,9000,9450,52380,41580.0,4400000.0
1999-02-12,9450,9800,9450,9690,52370,42636.0,4400000.0
1999-02-18,9750,9750,9310,9310,29590,40964.0,4400000.0
1999-02-19,9500,9500,8650,9150,20330,40260.0,4400000.0
1999-02-22,9050,9100,8900,8980,13660,39512.0,4400000.0
1999-02-23,9210,9790,9150,9300,65740,40920.0,4400000.0
1999-02-24,9700,9700,9200,9480,46860,41712.0,4400000.0
1999-02-25,9200,9300,8910,9200,31510,40480.0,4400000.0
1999-02-26,9400,9650,9300,9600,30540,42240.0,4400000.0
1999-03-02,9690,10100,9600,9900,74380,43560.0,4400000.0
1999-03-03,9800,10800,9800,10350,205030,45540.0,4400000.0
1999-03-04,10500,10650,10000,10300,177650,45320.0,4400000.0
1999-03-05,10600,11000,10250,10400,211040,45760.0,4400000.0
1999-03-08,10650,11300,10450,11000,259150,48400.0,4400000.0
1999-03-09,11200,11250,10500,10650,122060,46860.0,4400000.0
1999-03-10,10600,10650,10300,10350,72400,45540.0,4400000.0
1999-03-11,10350,10700,10000,10400,77290,45760.0,4400000.0
1999-03-12,10450,11000,10450,10700,99870,47080.0,4400000.0
1999-03-15,11000,11400,10900,11000,153760,48400.0,4400000.0
1999-03-16,11150,11200,10900,11150,83370,49060.0,4400000.0
1999-03-17,11200,11300,10850,11000,136870,48400.0,4400000.0
1999-03-18,11000,11300,10400,10400,77660,45760.0,4400000.0
1999-03-19,10200,10700,10200,10700,52080,47080.0,4400000.0
1999-03-22,10450,10750,10300,10400,39260,45760.0,4400000.0
1999-03-23,10250,10700,10250,10500,66330,46200.0,4400000.0
1999-03-24,10300,10700,10300,10500,58890,46200.0,4400000.0
1999-03-25,10550,11200,10500,10800,75860,47520.0,4400000.0
1999-03-26,11000,11000,10650,10650,52270,46860.0,4400000.0
1999-03-29,10500,10600,10300,10600,49180,46640.0,4400000.0
1999-03-30,10800,10950,10500,10900,65410,47960.0,4400000.0
1999-03-31,11100,12100,10900,11950,299400,52580.0,4400000.0
1999-04-01,12150,12300,11550,12000,166510,52800.0,4400000.0
1999-04-02,12100,12200,11700,11900,131850,52360.0,4400000.0
1999-04-06,12200,12950,12200,12900,139940,56760.0,4400000.0
1999-04-07,12900,13000,12600,12650,82310,55660.0,4400000.0
1999-04-08,12650,13200,12550,12650,73150,55660.0,4400000.0
1999-04-09,13000,13000,12250,12400,81820,54560.0,4400000.0
1999-04-12,12400,12400,11650,12400,79870,54560.0,4400000.0
1999-04-13,12300,12650,12000,12400,71580,54560.0,4400000.0
1999-04-14,12700,13800,12600,12800,218280,56320.0,4400000.0
1999-04-15,12700,13250,12700,13050,135190,57420.0,4400000.0
1999-04-16,13100,13200,12200,12350,69500,54340.0,4400000.0
1999-04-19,12600,13200,12350,12550,178430,55220.0,4400000.0
1999-04-20,13200,14400,12900,14400,244920,63360.0,4400000.0
1999-04-21,14400,15300,13500,13750,161830,60500.0,4400000.0
1999-04-22,13850,14200,13300,13700,60320,60280.0,4400000.0
1999-04-23,13800,14250,13500,13600,80800,59840.0,4400000.0
1999-04-26,13700,14500,13500,14300,156530,62920.0,4400000.0
1999-04-27,15000,15000,14100,14400,95120,63360.0,4400000.0
1999-04-28,14700,15500,14400,14700,155570,64680.0,4400000.0
1999-04-29,15300,15300,14400,14500,114610,63800.0,4400000.0
1999-04-30,14500,14700,13850,14100,97290,62040.0,4400000.0
1999-05-03,14500,15350,14500,15300,192210,67320.0,4400000.0
1999-05-04,15500,16200,15000,15600,223700,68640.0,4400000.0
1999-05-06,16000,16850,15700,16200,182520,71280.0,4400000.0
1999-05-07,17300,17300,15500,16500,210740,72600.0,4400000.0
1999-05-10,16400,16900,16000,16600,179670,73040.0,4400000.0
1999-05-11,17000,17100,15900,15900,150310,69960.0,4400000.0
1999-05-12,16100,16200,14900,15250,82420,67100.0,4400000.0
1999-05-13,14800,15200,14500,14500,80510,63800.0,4400000.0
1999-05-14,14500,14700,13650,14000,105890,61600.0,4400000.0
1999-05-17,14150,14300,13500,13500,47460,59400.0,4400000.0
1999-05-18,13550,14200,13300,14200,79040,62480.0,4400000.0
1999-05-19,14500,14550,14200,14400,39310,63360.0,4400000.0
1999-05-20,14200,14200,13250,13250,47840,58300.0,4400000.0
1999-05-21,13450,13500,13000,13100,37710,57640.0,4400000.0
1999-05-24,12800,13100,12500,12600,47560,55440.0,4400000.0
1999-05-25,12700,13200,12700,13200,28020,58080.0,4400000.0
1999-05-26,13200,13900,13200,13850,37980,60940.0,4400000.0
1999-05-27,13950,13950,13700,13850,38840,60940.0,4400000.0
1999-05-28,13850,13850,13550,13800,30220,60720.0,4400000.0
1999-05-31,13700,14050,13600,13600,24970,59840.0,4400000.0
1999-06-01,13200,13500,13100,13400,21070,58960.0,4400000.0
1999-06-02,13800,13800,13200,13700,30120,60280.0,4400000.0
1999-06-03,13600,13900,13300,13550,46370,59620.0,4400000.0
