대우조선해양(042660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-02-02,17500,20125,17500,20125,4318040,790140.0,196308140.0
2001-02-05,20950,21000,17600,20000,3414470,785233.0,196308140.0
2001-02-06,23000,23000,21050,22450,3426920,881424.0,196308140.0
2001-02-07,22250,22250,20300,20350,1712750,798974.0,196308140.0
2001-02-08,19000,20400,19000,19350,1778840,759713.0,196308140.0
2001-02-09,19000,19900,19000,19100,1454450,749897.0,196308140.0
2001-02-12,18625,19000,18025,18050,1847030,708672.0,196308140.0
2001-02-13,17750,17925,15800,16400,3408260,643891.0,196308140.0
2001-02-14,16400,17350,16200,16300,1872680,639965.0,196308140.0
2001-02-15,16350,16700,15400,15750,2166170,618371.0,196308140.0
2001-02-16,15800,16150,15275,15450,1965900,606592.0,196308140.0
2001-02-19,15300,15925,15249,15325,1554060,601684.0,196308140.0
2001-02-20,15800,17600,15750,17600,4650230,691005.0,196308140.0
2001-02-21,17250,17250,15850,16050,2443110,630149.0,196308140.0
2001-02-22,15974,17000,15550,16750,2223840,657632.0,196308140.0
2001-02-23,16350,16825,16300,16450,867340,645854.0,196308140.0
2001-02-26,16349,16975,16274,16575,673210,650761.0,196308140.0
2001-02-27,16575,16800,15800,16000,887660,628186.0,196308140.0
2001-02-28,15900,16500,15650,16500,790110,647817.0,196308140.0
2001-03-02,16049,16750,16049,16100,654530,632112.0,196308140.0
2001-03-05,16150,16500,15825,16400,607960,643891.0,196308140.0
2001-03-06,16750,18000,16600,17050,4202830,669411.0,196308140.0
2001-03-07,17300,17550,16550,16700,2320780,655669.0,196308140.0
2001-03-08,16600,16850,16600,16800,807350,659595.0,196308140.0
2001-03-09,16800,17750,16250,17350,2028160,681189.0,196308140.0
2001-03-12,16900,17550,16650,16700,1024530,655669.0,196308140.0
2001-03-13,16050,16350,15699,16250,873890,638001.0,196308140.0
2001-03-14,16500,16700,16400,16550,777300,649780.0,196308140.0
