신도리코(029530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,43154,44135,42173,44134,68860,444717.0,9882600.0
1999-01-05,44625,50019,44625,50019,135210,504013.0,9882600.0
1999-01-06,49921,51490,48548,50313,192170,506977.0,9882600.0
1999-01-07,51000,51981,48058,50509,67580,508954.0,9882600.0
1999-01-08,50019,50608,48058,48057,81740,484247.0,9882600.0
1999-01-11,49038,49529,47567,49038,41350,494130.0,9882600.0
1999-01-12,49038,50019,47371,48548,34810,489189.0,9882600.0
1999-01-13,48548,48842,47077,47371,13970,477330.0,9882600.0
1999-01-14,47371,48058,45115,46096,11480,464482.0,9882600.0
1999-01-15,45606,47273,45606,46096,10930,464482.0,9882600.0
1999-01-18,46587,47567,46096,46096,18460,464482.0,9882600.0
1999-01-19,46587,46636,45802,45900,13940,462506.0,9882600.0
1999-01-20,46096,47960,45704,46880,33940,472388.0,9882600.0
1999-01-21,47567,47567,44135,46292,17260,466459.0,9882600.0
1999-01-22,46096,46096,43154,43153,48700,434834.0,9882600.0
1999-01-25,42663,42663,41781,42173,17140,424952.0,9882600.0
1999-01-26,43154,44135,43154,43153,18690,434834.0,9882600.0
1999-01-27,45017,45017,42565,44625,14620,449658.0,9882600.0
1999-01-28,43154,44429,42663,44428,12420,447682.0,9882600.0
1999-01-29,43252,44135,43154,43644,12460,439776.0,9882600.0
1999-02-01,45115,45115,43644,44526,6680,448670.0,9882600.0
1999-02-02,43840,43938,42762,43644,8350,439776.0,9882600.0
1999-02-03,42860,43056,41683,42663,9730,429893.0,9882600.0
1999-02-04,41683,42663,41683,42565,5260,428905.0,9882600.0
1999-02-05,43448,43448,41192,41682,6880,420010.0,9882600.0
1999-02-08,41683,42173,41192,41192,8460,415069.0,9882600.0
1999-02-09,41094,41192,39427,41192,17570,415069.0,9882600.0
1999-02-10,39231,40702,38250,40701,18700,410128.0,9882600.0
1999-02-11,40113,40408,39231,39230,10120,395304.0,9882600.0
1999-02-12,40212,40702,39231,40652,11720,409634.0,9882600.0
1999-02-18,40653,40653,38348,40211,29940,405187.0,9882600.0
1999-02-19,39231,39231,37269,38740,17750,390363.0,9882600.0
1999-02-22,37269,38740,36877,38691,5800,389869.0,9882600.0
1999-02-23,38544,39623,38250,38691,8890,389869.0,9882600.0
1999-02-24,37563,39672,37563,37759,5090,380480.0,9882600.0
1999-02-25,38740,38740,36288,37269,7320,375539.0,9882600.0
1999-02-26,37269,38740,37269,38250,4850,385421.0,9882600.0
1999-03-02,38250,39231,38250,38642,10570,389374.0,9882600.0
1999-03-03,38642,39133,38054,38053,5520,383445.0,9882600.0
1999-03-04,37760,38201,36779,37563,9730,378504.0,9882600.0
1999-03-05,38152,39231,37563,39132,37860,394316.0,9882600.0
1999-03-08,40212,41339,38250,40211,30660,405187.0,9882600.0
1999-03-09,40310,41192,40310,41192,18160,415069.0,9882600.0
1999-03-10,41192,41192,40604,41192,8930,415069.0,9882600.0
1999-03-11,40310,42173,40310,40701,26590,410128.0,9882600.0
1999-03-12,40800,41977,40751,40750,8040,410622.0,9882600.0
1999-03-15,41192,42124,40849,40898,15620,412104.0,9882600.0
1999-03-16,40702,41634,40212,41192,11920,415069.0,9882600.0
1999-03-17,41388,42271,41388,42271,19600,425940.0,9882600.0
1999-03-18,41192,43056,40800,41682,6900,420010.0,9882600.0
1999-03-19,41683,43154,40702,42859,8710,431870.0,9882600.0
1999-03-22,41683,42614,41192,42565,12020,428905.0,9882600.0
1999-03-23,42565,43546,42418,43153,43020,434834.0,9882600.0
1999-03-24,43154,44037,42467,43153,24600,434834.0,9882600.0
1999-03-25,43056,44674,43056,44134,34760,444717.0,9882600.0
1999-03-26,45508,45508,44135,45115,16840,454600.0,9882600.0
1999-03-29,44135,44135,43154,43644,10760,439776.0,9882600.0
1999-03-30,45115,45115,43889,44625,23860,449658.0,9882600.0
1999-03-31,44674,45017,42663,43840,42830,441752.0,9882600.0
1999-04-01,43154,45998,43154,45115,15750,454600.0,9882600.0
1999-04-02,45115,45115,44135,45115,9840,454600.0,9882600.0
1999-04-06,45066,45115,44135,45115,21740,454600.0,9882600.0
1999-04-07,45115,47960,45115,47076,54150,474365.0,9882600.0
1999-04-08,46587,51000,46587,49332,75110,497095.0,9882600.0
1999-04-09,49038,49725,47077,47567,42800,479306.0,9882600.0
1999-04-12,47665,47665,46390,46929,27170,472882.0,9882600.0
1999-04-13,47567,48058,45213,46880,86700,472388.0,9882600.0
1999-04-14,48058,48058,46194,47076,9560,474365.0,9882600.0
1999-04-15,46096,48548,46096,48548,35900,489189.0,9882600.0
1999-04-16,47077,49333,47077,49038,70200,494130.0,9882600.0
1999-04-19,49038,49038,47665,48057,65800,484247.0,9882600.0
1999-04-20,48548,49529,47077,48548,20450,489189.0,9882600.0
1999-04-21,47273,48548,47273,47959,35440,483259.0,9882600.0
1999-04-22,47960,48548,46194,47273,17570,476341.0,9882600.0
1999-04-23,46390,47567,46390,47175,17160,475353.0,9882600.0
1999-04-26,46587,47862,46587,47861,20430,482271.0,9882600.0
1999-04-27,47862,51000,47862,51000,66190,513895.0,9882600.0
1999-04-28,51000,54923,50706,53942,65860,543543.0,9882600.0
1999-04-29,53942,53942,49921,50019,19320,504013.0,9882600.0
1999-04-30,50019,50019,48058,48057,38730,484247.0,9882600.0
1999-05-03,48058,49038,47567,49038,35330,494130.0,9882600.0
1999-05-04,49038,51981,49038,51490,21820,518836.0,9882600.0
1999-05-06,50510,52471,50510,51490,36560,518836.0,9882600.0
1999-05-07,51490,53550,50019,51000,45300,513895.0,9882600.0
1999-05-10,51000,54727,50019,53451,55630,538602.0,9882600.0
1999-05-11,53452,55413,51000,51000,56320,513895.0,9882600.0
1999-05-12,51000,52569,50313,51980,44810,523778.0,9882600.0
1999-05-13,51981,51981,50019,50215,30050,505989.0,9882600.0
1999-05-14,50706,51785,48058,48548,29970,489189.0,9882600.0
1999-05-17,48548,48548,45213,46096,33990,464482.0,9882600.0
1999-05-18,46096,47077,45115,46096,16620,464482.0,9882600.0
1999-05-19,46587,52962,46096,52863,120510,532672.0,9882600.0
1999-05-20,52765,52765,47371,49038,29810,494130.0,9882600.0
1999-05-21,49038,49823,48058,48940,13550,493142.0,9882600.0
1999-05-24,46881,49038,46881,47763,7300,481283.0,9882600.0
1999-05-25,43154,50019,43154,48940,41720,493142.0,9882600.0
1999-05-26,47567,49529,47077,48548,23750,489189.0,9882600.0
1999-05-27,47175,49038,47175,48057,27050,484247.0,9882600.0
1999-05-28,48842,49137,47273,49038,11350,494130.0,9882600.0
1999-05-31,48548,49235,48352,48695,34720,490671.0,9882600.0
1999-06-01,46685,50313,46685,49528,38630,499071.0,9882600.0
