삼성공조(006660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2880,3100,2860,3020,54400,24160.0,800000.0
1999-01-05,3120,3300,3060,3250,258100,26000.0,800000.0
1999-01-06,3305,3640,3300,3600,385400,28800.0,800000.0
1999-01-07,3530,3730,3500,3570,154800,28560.0,800000.0
1999-01-08,3570,3570,3400,3520,78100,28160.0,800000.0
1999-01-11,3595,3595,3400,3490,71600,27920.0,800000.0
1999-01-12,3590,3590,3320,3590,341000,28720.0,800000.0
1999-01-13,3500,3690,3400,3510,192100,28080.0,800000.0
1999-01-14,3510,3510,3250,3330,87500,26640.0,800000.0
1999-01-15,3320,3430,3270,3430,31100,27440.0,800000.0
1999-01-18,3400,3500,3380,3470,46100,27760.0,800000.0
1999-01-19,3520,3540,3450,3500,73900,28000.0,800000.0
1999-01-20,3490,3570,3400,3440,100400,27520.0,800000.0
1999-01-21,3400,3480,3250,3310,61600,26480.0,800000.0
1999-01-22,3200,3240,3020,3020,60800,24160.0,800000.0
1999-01-25,3000,3000,2840,2910,20000,23280.0,800000.0
1999-01-26,2990,2990,2840,2930,56900,23440.0,800000.0
1999-01-27,2990,3100,2990,3100,37500,24800.0,800000.0
1999-01-28,3080,3100,3000,3000,23400,24000.0,800000.0
1999-01-29,3090,3150,3000,3130,9600,25040.0,800000.0
1999-02-01,3190,3190,3070,3070,6900,24560.0,800000.0
1999-02-02,3075,3200,3075,3150,25400,25200.0,800000.0
1999-02-03,3070,3070,3000,3070,33400,24560.0,800000.0
1999-02-04,2920,3070,2920,3070,3400,24560.0,800000.0
1999-02-05,3070,3100,2930,3010,159100,24080.0,800000.0
1999-02-08,3060,3140,3030,3040,21000,24320.0,800000.0
1999-02-09,3000,3000,2930,2950,20300,23600.0,800000.0
1999-02-10,2970,2970,2910,2965,19400,23720.0,800000.0
1999-02-11,3070,3100,2995,2995,9000,23960.0,800000.0
1999-02-12,3080,3100,3000,3020,12700,24160.0,800000.0
1999-02-18,2950,3050,2950,3010,4200,24080.0,800000.0
1999-02-19,3025,3025,3025,3025,500,24200.0,800000.0
1999-02-22,2920,2950,2850,2950,4900,23600.0,800000.0
1999-02-23,2900,2950,2860,2950,21000,23600.0,800000.0
1999-02-24,3000,3000,3000,3000,200,24000.0,800000.0
1999-02-25,2990,2990,2990,2990,0,23920.0,800000.0
1999-02-26,2700,2900,2700,2900,4600,23200.0,800000.0
1999-03-02,2900,3000,2900,3000,32200,24000.0,800000.0
1999-03-03,3050,3050,2995,2995,11500,23960.0,800000.0
1999-03-04,2910,2995,2900,2900,5500,23200.0,800000.0
1999-03-05,2900,2920,2900,2900,24000,23200.0,800000.0
1999-03-08,3000,3150,2900,3150,45200,25200.0,800000.0
1999-03-09,3050,3180,3020,3150,9700,25200.0,800000.0
1999-03-10,3100,3100,2800,3090,220900,24720.0,800000.0
1999-03-11,3010,3090,3010,3030,17600,24240.0,800000.0
1999-03-12,3040,3100,3040,3040,44600,24320.0,800000.0
1999-03-15,3050,3150,3050,3100,43500,24800.0,800000.0
1999-03-16,3160,3200,3130,3200,71300,25600.0,800000.0
1999-03-17,3210,3350,3150,3200,30000,25600.0,800000.0
1999-03-18,3225,3250,3200,3210,57200,25680.0,800000.0
1999-03-19,3250,3250,3200,3250,5700,26000.0,800000.0
1999-03-22,3200,3500,3000,3250,41400,26000.0,800000.0
1999-03-23,3165,3330,3165,3250,19600,26000.0,800000.0
1999-03-24,3340,3340,3200,3300,33300,26400.0,800000.0
1999-03-25,3300,3400,3300,3400,14300,27200.0,800000.0
1999-03-26,3300,3390,3300,3390,9200,27120.0,800000.0
1999-03-29,3300,3300,3300,3300,20500,26400.0,800000.0
1999-03-30,3280,3390,3280,3390,11800,27120.0,800000.0
1999-03-31,3390,3500,3390,3480,112800,27840.0,800000.0
1999-04-01,3410,3560,3410,3550,57200,28400.0,800000.0
1999-04-02,3600,3600,3550,3550,38600,28400.0,800000.0
1999-04-06,3750,3850,3750,3850,63000,30800.0,800000.0
1999-04-07,3940,4040,3900,4000,96500,32000.0,800000.0
1999-04-08,3950,3950,3810,3910,116800,31280.0,800000.0
1999-04-09,3910,3980,3840,3860,34800,30880.0,800000.0
1999-04-12,3870,3960,3830,3960,52100,31680.0,800000.0
1999-04-13,3850,3940,3800,3810,61000,30480.0,800000.0
1999-04-14,3870,3980,3860,3940,193700,31520.0,800000.0
1999-04-15,4000,4490,3950,4490,298300,35920.0,800000.0
1999-04-16,4250,4650,4110,4500,190900,36000.0,800000.0
1999-04-19,4300,4500,4300,4500,23700,36000.0,800000.0
1999-04-20,4750,4750,4350,4500,94800,36000.0,800000.0
1999-04-21,4450,4510,4360,4400,114800,35200.0,800000.0
1999-04-22,4300,4300,4130,4300,24000,34400.0,800000.0
1999-04-23,4300,4400,4300,4350,48400,34800.0,800000.0
1999-04-26,4410,4410,4300,4310,48900,34480.0,800000.0
1999-04-27,4400,4500,4400,4500,113300,36000.0,800000.0
1999-04-28,4360,4500,4360,4500,33800,36000.0,800000.0
1999-04-29,4500,4790,4500,4600,122700,36800.0,800000.0
1999-04-30,4700,4860,4610,4800,122500,38400.0,800000.0
1999-05-03,4850,5200,4850,5200,122300,41600.0,800000.0
1999-05-04,5300,5800,5300,5490,202500,43920.0,800000.0
1999-05-06,5650,5880,5490,5780,161400,46240.0,800000.0
1999-05-07,5900,6000,5600,5650,204500,45200.0,800000.0
1999-05-10,5750,6490,5700,6490,544600,51920.0,800000.0
1999-05-11,6640,7300,6510,6700,293100,53600.0,800000.0
1999-05-12,6770,7100,6360,6720,184000,53760.0,800000.0
1999-05-13,6720,6720,6520,6600,188900,52800.0,800000.0
1999-05-14,6490,6490,5700,5720,85300,45760.0,800000.0
1999-05-17,5730,5790,5500,5580,80100,44640.0,800000.0
1999-05-18,5600,5680,5400,5590,52100,44720.0,800000.0
1999-05-19,5590,5740,5550,5700,45100,45600.0,800000.0
1999-05-20,5760,5760,5260,5630,93100,45040.0,800000.0
1999-05-21,5060,6200,5060,6000,38800,48000.0,800000.0
1999-05-24,6010,6190,6000,6100,62900,48800.0,800000.0
1999-05-25,6100,6100,5900,6100,43900,48800.0,800000.0
1999-05-26,6150,6800,6150,6800,80500,54400.0,800000.0
1999-05-27,7000,7180,6770,7000,133000,56000.0,800000.0
1999-05-28,7050,7050,6800,7050,35200,56400.0,800000.0
1999-05-31,7000,7050,6840,7050,34300,56400.0,800000.0
1999-06-01,6800,7000,6800,7000,11200,56000.0,800000.0
1999-06-02,7000,7000,6900,7000,44600,56000.0,800000.0
1999-06-03,6760,7050,6760,6950,30600,55600.0,800000.0
1999-06-04,6950,7000,6700,7000,95100,56000.0,800000.0
1999-06-07,6990,8050,6900,8050,135000,64400.0,800000.0
1999-06-08,8000,8000,7510,7600,15500,60800.0,800000.0
1999-06-09,7700,7700,7300,7500,50300,60000.0,800000.0
1999-06-10,7500,7700,7300,7700,38100,61600.0,800000.0
1999-06-11,7600,7800,7400,7800,11400,62400.0,800000.0
1999-06-14,7570,7570,7570,7570,0,60560.0,800000.0
1999-06-15,6630,7520,6630,7520,18300,60160.0,800000.0
1999-06-16,7550,7600,7500,7500,7000,60000.0,800000.0
1999-06-17,7500,7600,7200,7260,6500,58080.0,800000.0
1999-06-18,7280,7350,7280,7310,3300,58480.0,800000.0
1999-06-21,7310,7310,7100,7250,14600,58000.0,800000.0
1999-06-22,7190,7500,7190,7400,13200,59200.0,800000.0
1999-06-23,7210,7400,7130,7130,13400,57040.0,800000.0
1999-06-24,7350,7380,7130,7140,3000,57120.0,800000.0
1999-06-25,7140,7290,6800,7000,24000,56000.0,800000.0
1999-06-28,7100,8000,7100,7250,63300,58000.0,800000.0
1999-06-29,7250,7500,7110,7500,10300,60000.0,800000.0
1999-06-30,7500,7500,7200,7300,14500,58400.0,800000.0
1999-07-01,7400,7400,7200,7200,7300,57600.0,800000.0
1999-07-02,7100,7700,7000,7000,80300,56000.0,800000.0
1999-07-05,7100,7300,7100,7300,21700,58400.0,800000.0
1999-07-06,6570,7300,6570,7300,26100,58400.0,800000.0
1999-07-07,7250,7300,7100,7100,26600,56800.0,800000.0
1999-07-08,7200,7200,7000,7100,23400,56800.0,800000.0
1999-07-09,7200,7500,7000,7450,47700,59600.0,800000.0
1999-07-12,7500,7990,7500,7800,40800,62400.0,800000.0
1999-07-13,7350,7800,7350,7700,13300,61600.0,800000.0
1999-07-14,7500,7700,7310,7460,9300,59680.0,800000.0
1999-07-15,7210,7500,6950,7490,7700,59920.0,800000.0
1999-07-16,7010,7490,7010,7400,24400,59200.0,800000.0
1999-07-19,7300,7500,7150,7200,16600,57600.0,800000.0
1999-07-20,7250,7500,7200,7200,15700,57600.0,800000.0
1999-07-21,7200,7200,7020,7150,9300,57200.0,800000.0
1999-07-22,7200,7200,6800,7100,14100,56800.0,800000.0
1999-07-23,7090,7090,6750,6800,34500,54400.0,800000.0
1999-07-26,5800,6260,5780,5780,44600,46240.0,800000.0
1999-07-27,5580,6040,5580,5990,17300,47920.0,800000.0
1999-07-28,6200,6200,5800,6100,20700,48800.0,800000.0
1999-07-29,6100,7010,5810,6100,156900,48800.0,800000.0
1999-07-30,6290,6300,5900,5900,36500,47200.0,800000.0
1999-08-02,6050,6600,6000,6600,111000,52800.0,800000.0
1999-08-03,6700,6800,6220,6390,16700,51120.0,800000.0
1999-08-04,6500,6530,6210,6400,69000,51200.0,800000.0
1999-08-05,6280,6400,6150,6300,19400,50400.0,800000.0
1999-08-06,5750,6250,5750,6240,5800,49920.0,800000.0
1999-08-09,5860,6100,5860,6010,26200,48080.0,800000.0
1999-08-10,6050,6170,6010,6100,16400,48800.0,800000.0
1999-08-11,6100,6200,6050,6050,76200,48400.0,800000.0
1999-08-12,6100,6100,5900,6080,8200,48640.0,800000.0
1999-08-13,6100,6180,6050,6180,11000,49440.0,800000.0
1999-08-16,6300,6400,6200,6200,30900,49600.0,800000.0
1999-08-17,6300,6700,6300,6300,31500,50400.0,800000.0
1999-08-18,6300,6400,6200,6200,2600,49600.0,800000.0
1999-08-19,6700,6700,6200,6500,14600,52000.0,800000.0
1999-08-20,6500,6500,6300,6500,13100,52000.0,800000.0
1999-08-23,6400,6500,6350,6400,63600,51200.0,800000.0
1999-08-24,6500,7000,6450,6830,96700,54640.0,800000.0
1999-08-25,7140,7140,6570,6960,19600,55680.0,800000.0
1999-08-26,6700,6950,6700,6750,9200,54000.0,800000.0
1999-08-27,6830,6830,6310,6600,22300,52800.0,800000.0
1999-08-30,6500,6590,6350,6590,35000,52720.0,800000.0
1999-08-31,6590,6590,6300,6400,9800,51200.0,800000.0
1999-09-01,6400,6600,6250,6600,51500,52800.0,800000.0
1999-09-02,6400,6650,6400,6600,58300,52800.0,800000.0
1999-09-03,6450,6660,6450,6600,34900,52800.0,800000.0
1999-09-06,6420,6460,6420,6450,3000,51600.0,800000.0
1999-09-07,6600,6800,6370,6790,29900,54320.0,800000.0
1999-09-08,6990,6990,6200,6310,12300,50480.0,800000.0
1999-09-09,6400,6500,6100,6500,9200,52000.0,800000.0
1999-09-10,6450,6500,6290,6300,9200,50400.0,800000.0
1999-09-13,6300,6400,6200,6390,33100,51120.0,800000.0
1999-09-14,6210,6430,6210,6410,2900,51280.0,800000.0
1999-09-15,6220,6480,6100,6480,145400,51840.0,800000.0
1999-09-16,6440,6480,6430,6480,23100,51840.0,800000.0
