아시아나IDT(267850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-23,14300,16150,12400,12450,3505346,138195.0,11100000.0
2018-11-26,12450,12800,11900,12650,592046,140415.0,11100000.0
2018-11-27,12900,13400,12500,12500,478586,138750.0,11100000.0
2018-11-28,12500,12750,12000,12300,286603,136530.0,11100000.0
2018-11-29,12600,12700,12100,12100,237434,134310.0,11100000.0
2018-11-30,12150,12200,11700,11900,132814,132090.0,11100000.0
2018-12-03,12150,12800,12000,12700,315879,140970.0,11100000.0
2018-12-04,12700,13600,12550,13550,343867,150405.0,11100000.0
2018-12-05,13300,13800,13050,13500,188405,149850.0,11100000.0
2018-12-06,13400,13600,12950,13500,156848,149850.0,11100000.0
2018-12-07,13800,13850,13150,13250,93401,147075.0,11100000.0
2018-12-10,13050,13150,12400,12550,76690,139305.0,11100000.0
2018-12-11,12700,12700,12250,12400,28283,137640.0,11100000.0
2018-12-12,13100,13250,12650,12900,107760,143190.0,11100000.0
2018-12-13,12800,13000,12400,12500,61124,138750.0,11100000.0
2018-12-14,12500,12600,12050,12150,73045,134865.0,11100000.0
2018-12-17,12200,13100,12050,12900,81325,143190.0,11100000.0
2018-12-18,12850,13150,12650,12850,57941,142635.0,11100000.0
2018-12-19,12750,13000,12600,12800,41941,142080.0,11100000.0
2018-12-20,12550,12800,12250,12500,77725,138750.0,11100000.0
2018-12-21,12350,12500,12300,12500,32423,138750.0,11100000.0
2018-12-24,12450,12450,12200,12300,31290,136530.0,11100000.0
2018-12-26,12050,12300,11800,12200,61643,135420.0,11100000.0
2018-12-27,11900,12100,11550,11650,80071,129315.0,11100000.0
2018-12-28,11800,11900,11650,11650,57179,129315.0,11100000.0
2019-01-02,11700,11850,10850,10900,113858,120990.0,11100000.0
2019-01-03,11050,11250,10750,11250,61898,124875.0,11100000.0
2019-01-04,11000,11350,10900,11300,37968,125430.0,11100000.0
2019-01-07,11250,11750,11150,11650,61460,129315.0,11100000.0
2019-01-08,11750,11750,11450,11600,23292,128760.0,11100000.0
