조선선재(120030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-02-19,6740,7750,6740,7750,6224,9747.0,1257651.0
2010-02-22,8910,8910,8910,8910,2094,11206.0,1257651.0
2010-02-23,10200,10200,10200,10200,110,12828.0,1257651.0
2010-02-24,11700,11700,11700,11700,19470,14715.0,1257651.0
2010-02-25,13450,13450,13450,13450,450,16915.0,1257651.0
2010-02-26,15450,15450,15450,15450,301,19431.0,1257651.0
2010-03-02,17750,17750,17750,17750,286,22323.0,1257651.0
2010-03-03,20400,20400,20050,20400,42733,25656.0,1257651.0
2010-03-04,23450,23450,23450,23450,2333,29492.0,1257651.0
2010-03-05,26950,26950,26950,26950,1870,33894.0,1257651.0
2010-03-08,30950,30950,30950,30950,1451,38924.0,1257651.0
2010-03-09,35550,35550,35550,35550,1371,44709.0,1257651.0
2010-03-10,40850,40850,36500,40850,73805,51375.0,1257651.0
2010-03-11,45800,46950,43000,46950,12361,59047.0,1257651.0
2010-03-12,53900,53900,53900,53900,7258,67787.0,1257651.0
2010-03-15,61900,61900,61900,61900,2724,77849.0,1257651.0
2010-03-16,71100,71100,67000,71100,21881,89419.0,1257651.0
2010-03-17,0,0,0,71100,0,89419.0,1257651.0
2010-03-18,73500,77000,60500,60500,18853,76088.0,1257651.0
2010-03-19,51500,51500,51500,51500,1242,64769.0,1257651.0
2010-03-22,52000,59200,52000,59200,32633,74453.0,1257651.0
2010-03-23,68000,68000,65100,68000,15232,85520.0,1257651.0
2010-03-24,73000,78200,61200,78200,112100,98348.0,1257651.0
2010-03-25,84000,89900,83500,89900,16465,113063.0,1257651.0
2010-03-26,98000,103000,98000,103000,57886,129538.0,1257651.0
2010-03-29,0,0,0,103000,0,129538.0,1257651.0
2010-03-30,118000,118000,118000,118000,1446,148403.0,1257651.0
2010-03-31,135500,135500,135500,135500,845,170412.0,1257651.0
2010-04-01,155500,155500,155500,155500,1720,195565.0,1257651.0
2010-04-02,178500,178500,132500,178500,127775,224491.0,1257651.0
2010-04-05,0,0,0,178500,0,224491.0,1257651.0
2010-04-06,167500,203000,152000,152000,207836,191163.0,1257651.0
2010-04-07,129500,129500,129500,129500,3266,162866.0,1257651.0
2010-04-08,110500,146000,110500,120000,485536,150918.0,1257651.0
2010-04-09,126000,127000,104500,107500,261116,135197.0,1257651.0
