용평리조트(070960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-27,9000,11700,8990,11700,20147129,563160.0,48133333.0
2016-05-30,15200,15200,11000,11500,15900980,553533.0,48133333.0
2016-05-31,11500,11900,10400,10900,20874621,524653.0,48133333.0
2016-06-01,10900,10950,9840,10100,12092754,486147.0,48133333.0
2016-06-02,9930,10300,9530,9600,7485108,462080.0,48133333.0
2016-06-03,9840,9920,9220,9610,6861708,462561.0,48133333.0
2016-06-07,9550,9620,9210,9230,2927958,444271.0,48133333.0
2016-06-08,9230,10050,9110,9650,8276357,464487.0,48133333.0
2016-06-09,9740,9750,9190,9250,2792829,445233.0,48133333.0
2016-06-10,9280,9440,9180,9280,1715222,446677.0,48133333.0
2016-06-13,9390,9570,9230,9230,2003678,444271.0,48133333.0
2016-06-14,9320,9520,9270,9380,2344332,451491.0,48133333.0
2016-06-15,9450,9550,9320,9360,1811278,450528.0,48133333.0
2016-06-16,9400,9470,8660,8730,3845889,420204.0,48133333.0
2016-06-17,8800,8910,8290,8350,2968010,401913.0,48133333.0
2016-06-20,8460,8580,8370,8400,1028414,404320.0,48133333.0
2016-06-21,8420,8630,8390,8500,1227078,409133.0,48133333.0
2016-06-22,8480,8580,8230,8230,1161204,396137.0,48133333.0
2016-06-23,8230,8250,7880,7970,1215413,383623.0,48133333.0
2016-06-24,8050,8080,7110,7250,2036164,348967.0,48133333.0
2016-06-27,7000,7750,7000,7690,1811944,370145.0,48133333.0
2016-06-28,7580,7780,7530,7700,1069244,370627.0,48133333.0
2016-06-29,7750,8090,7720,7850,1192356,377847.0,48133333.0
2016-06-30,7940,8020,7800,7800,686500,375440.0,48133333.0
2016-07-01,7880,8020,7860,7900,567278,380253.0,48133333.0
2016-07-04,7910,8970,7890,8420,3521218,405283.0,48133333.0
2016-07-05,8440,8750,8360,8580,1563560,412984.0,48133333.0
2016-07-06,8640,8640,8290,8310,835098,399988.0,48133333.0
2016-07-07,8330,8640,8320,8480,735594,408171.0,48133333.0
2016-07-08,8480,8570,8290,8290,483412,399025.0,48133333.0
2016-07-11,8290,8300,8100,8110,580414,390361.0,48133333.0
2016-07-12,8140,8200,8000,8020,512656,386029.0,48133333.0
2016-07-13,8040,8110,8000,8000,430652,385067.0,48133333.0
2016-07-14,8000,8070,7900,7940,382559,382179.0,48133333.0
2016-07-15,7940,7990,7720,7750,531849,373033.0,48133333.0
2016-07-18,7690,7850,7680,7780,265487,374477.0,48133333.0
2016-07-19,7730,7800,7700,7700,288611,370627.0,48133333.0
2016-07-20,7710,7920,7690,7800,365510,375440.0,48133333.0
2016-07-21,7800,7950,7770,7780,314405,374477.0,48133333.0
2016-07-22,7780,7780,7660,7720,240301,371589.0,48133333.0
