비상교육(100220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-06-30,22543,23795,19166,19166,648215,247223.0,9791000.0
2008-07-01,18596,22011,18140,22013,287333,283939.0,9791000.0
2008-07-02,22885,23302,20190,20836,155269,268763.0,9791000.0
2008-07-03,20114,21443,19166,20798,65880,268273.0,9791000.0
2008-07-04,21215,21215,17836,18217,88004,234984.0,9791000.0
2008-07-07,17647,18975,17115,17458,74713,225193.0,9791000.0
2008-07-08,17875,19127,16774,17762,114458,229109.0,9791000.0
2008-07-09,17836,18861,17836,18217,34487,234984.0,9791000.0
2008-07-10,17571,19355,17571,19280,22518,248691.0,9791000.0
2008-07-11,19659,19734,18861,19622,44665,253097.0,9791000.0
2008-07-14,19734,19962,19431,19659,24120,253587.0,9791000.0
2008-07-15,19696,19734,19013,19052,13655,245754.0,9791000.0
2008-07-16,18975,19279,18520,18596,11474,239880.0,9791000.0
2008-07-17,18748,20114,18671,19128,50356,246733.0,9791000.0
2008-07-18,19734,19734,18596,18596,19675,239880.0,9791000.0
2008-07-21,18596,18861,18217,18255,39661,235474.0,9791000.0
2008-07-22,18292,20569,18292,18938,114454,244285.0,9791000.0
2008-07-23,19583,20418,19317,19545,88952,252118.0,9791000.0
2008-07-24,20190,20455,19848,20305,18250,261909.0,9791000.0
2008-07-25,20227,20341,19659,20305,27106,261909.0,9791000.0
2008-07-28,20494,21176,20227,20532,60591,264847.0,9791000.0
2008-07-29,20341,20494,19506,20266,38090,261420.0,9791000.0
2008-07-30,20873,20873,20341,20418,29220,263378.0,9791000.0
2008-07-31,20873,21176,20114,20418,46090,263378.0,9791000.0
2008-08-01,20569,20835,20114,20836,19652,268763.0,9791000.0
2008-08-04,21176,21252,20569,20646,4505,266315.0,9791000.0
2008-08-05,20835,20835,20266,20494,7930,264357.0,9791000.0
2008-08-06,20494,20494,19734,20115,26063,259462.0,9791000.0
2008-08-07,20114,20114,19620,19773,6525,255056.0,9791000.0
2008-08-08,19810,19810,18975,19394,12272,250160.0,9791000.0
2008-08-11,19431,19734,19013,19128,6985,246733.0,9791000.0
2008-08-12,19583,19659,19203,19622,9165,253097.0,9791000.0
2008-08-13,20722,20722,18975,18976,19130,244775.0,9791000.0
2008-08-14,18975,19317,18368,18445,37428,237921.0,9791000.0
2008-08-18,18482,18482,17836,18141,22290,234005.0,9791000.0
2008-08-19,17685,18292,17685,18217,12399,234984.0,9791000.0
2008-08-20,18217,18292,17761,18255,12010,235474.0,9791000.0
2008-08-21,17913,18254,16394,16889,28519,217850.0,9791000.0
2008-08-22,16394,16774,14952,15029,55009,193862.0,9791000.0
2008-08-25,15484,15484,14800,14802,17560,190924.0,9791000.0
2008-08-26,14497,14800,14079,14802,23470,190924.0,9791000.0
2008-08-27,14877,15180,14270,15181,13982,195820.0,9791000.0
2008-08-28,15180,15408,14497,14498,23250,187008.0,9791000.0
2008-08-29,14497,14724,14270,14384,3445,185539.0,9791000.0
2008-09-01,14270,14270,12258,12258,33162,158125.0,9791000.0
2008-09-02,11954,13586,11916,12904,34000,166447.0,9791000.0
2008-09-03,12827,13282,12295,13132,12230,169384.0,9791000.0
2008-09-04,14042,14042,13282,13283,8186,171342.0,9791000.0
2008-09-05,12600,13472,12600,13246,6445,170853.0,9791000.0
2008-09-08,13282,13852,13282,13814,14755,178196.0,9791000.0
2008-09-09,13662,13662,13282,13473,11910,173790.0,9791000.0
2008-09-10,13435,14573,13435,14270,23830,184071.0,9791000.0
2008-09-11,13662,14952,13662,14498,28440,187008.0,9791000.0
2008-09-12,14952,14991,14497,14535,6631,187498.0,9791000.0
2008-09-16,12600,13890,12600,13891,10192,179175.0,9791000.0
2008-09-17,15484,15939,14649,15675,22550,202184.0,9791000.0
2008-09-18,15521,16243,13358,15940,17829,205611.0,9791000.0
2008-09-19,17799,17799,16243,16623,10755,214423.0,9791000.0
2008-09-22,16433,17609,15939,15940,6223,205611.0,9791000.0
2008-09-23,16470,16470,15635,16130,6074,208059.0,9791000.0
2008-09-24,15712,15939,15256,15826,6000,204142.0,9791000.0
