카카오(035720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-11,4979,4979,4979,4979,12,67201.0,6000050.0
1999-11-12,5557,5557,5557,5557,140,75001.0,6000050.0
1999-11-15,6224,6224,6224,6223,405,84001.0,6000050.0
1999-11-16,6957,6957,6957,6957,214,93901.0,6000050.0
1999-11-17,7780,7780,7780,7779,191,105001.0,6000050.0
1999-11-18,8713,8713,8713,8713,772,117601.0,6000050.0
1999-11-19,9758,9758,9758,9758,253,131701.0,6000050.0
1999-11-22,10914,10914,10914,10913,199,147301.0,6000050.0
1999-11-23,12203,12203,12203,12203,119,164701.0,6000050.0
1999-11-24,13648,13648,13648,13648,226,184202.0,6000050.0
1999-11-25,15271,15271,15271,15270,74,206102.0,6000050.0
1999-11-26,17093,17093,17093,17093,138,230702.0,6000050.0
1999-11-29,19138,19138,19138,19138,722,258302.0,6000050.0
1999-11-30,21428,21428,21428,21427,675,289202.0,6000050.0
1999-12-01,23962,23962,23962,23961,498,323403.0,6000050.0
1999-12-02,26807,26807,26807,26807,26283,361803.0,6000050.0
1999-12-03,30008,30008,30008,30007,4204,405003.0,6000050.0
1999-12-06,33609,33609,33609,33608,2279,453604.0,6000050.0
1999-12-07,37610,37610,37610,37609,1858,507604.0,6000050.0
1999-12-08,42100,42100,42100,42100,530,568205.0,6000050.0
1999-12-09,47124,47124,47124,47123,303,636005.0,6000050.0
1999-12-10,52681,52681,52681,52680,919,711006.0,6000050.0
1999-12-13,58904,58904,58904,58904,281,795007.0,6000050.0
1999-12-14,65795,65795,65795,65795,338,888007.0,6000050.0
1999-12-15,73575,73575,73575,73574,1665,993008.0,6000050.0
1999-12-16,82244,82244,82244,82243,445900,1110009.0,6000050.0
1999-12-17,92024,92024,76020,86244,816998,1164010.0,6000050.0
1999-12-20,84022,96470,82244,96469,389360,1302011.0,6000050.0
1999-12-21,105806,108029,88912,97803,402655,1320011.0,6000050.0
1999-12-22,102249,109362,102249,109362,504048,1476012.0,6000050.0
1999-12-23,122477,122477,118253,122476,137005,1653014.0,6000050.0
1999-12-24,122032,137147,115586,137147,306559,1851015.0,6000050.0
1999-12-27,135591,153596,132702,153596,363146,2073017.0,6000050.0
1999-12-28,162487,171823,158264,171823,179437,2319019.0,6000050.0
2000-01-04,177825,180714,151373,151373,299705,2043017.0,6000050.0
2000-01-05,133369,133369,133369,133368,11735,1800015.0,6000050.0
2000-01-06,126700,132924,117364,117364,287096,1584013.0,6000050.0
2000-01-07,103361,103361,103361,103360,12935,1395012.0,6000050.0
2000-01-10,103361,108918,91135,104472,748874,1410012.0,6000050.0
2000-01-11,116920,116920,111585,116919,158638,1578013.0,6000050.0
2000-01-12,102916,130479,102916,109806,835796,1482012.0,6000050.0
2000-01-13,103583,109807,96692,96692,481144,1305011.0,6000050.0
2000-01-14,100026,108251,85134,103805,685501,1401012.0,6000050.0
2000-01-17,111140,116253,99582,116252,498122,1569013.0,6000050.0
2000-01-18,117809,130034,116920,130034,257945,1755015.0,6000050.0
2000-01-19,144038,145149,114475,115141,748278,1554013.0,6000050.0
2000-01-20,115586,127589,104472,124921,678076,1686014.0,6000050.0
2000-01-21,124922,132479,117809,122254,539470,1650014.0,6000050.0
2000-01-24,120476,126256,120254,121365,303779,1638014.0,6000050.0
2000-01-25,108918,114697,106917,106917,254165,1443012.0,6000050.0
2000-01-26,108918,111140,94692,97803,394786,1320011.0,6000050.0
2000-01-27,91135,93358,86245,86244,247224,1164010.0,6000050.0
2000-01-28,80466,96470,78687,96469,515977,1302011.0,6000050.0
2000-01-31,94692,108029,91580,108028,206802,1458012.0,6000050.0
2000-02-01,120921,120921,120921,120920,35182,1632014.0,6000050.0
2000-02-02,124700,132924,120032,124032,578226,1674014.0,6000050.0
2000-02-03,138703,138703,132479,138703,201794,936008.0,6000050.0
2000-02-07,155152,155152,155152,155152,12519,1047009.0,6000050.0
2000-02-08,173379,173379,150262,173379,600859,1170010.0,6000050.0
2000-02-09,182270,193829,177825,193828,225518,1308011.0,6000050.0
2000-02-10,203609,216946,195607,216946,163733,1464012.0,6000050.0
2000-02-11,242731,242731,242731,242730,55360,1638014.0,6000050.0
2000-02-14,234729,264959,213834,219613,1254125,1482012.0,6000050.0
2000-02-15,222281,230283,193384,193384,648619,1305011.0,6000050.0
2000-02-16,186716,216502,177825,216501,871486,1461012.0,6000050.0
2000-02-17,218724,237841,208944,216501,1019885,1461012.0,6000050.0
2000-02-18,222725,228060,200053,202720,912308,1368011.0,6000050.0
2000-02-21,186716,202720,179158,183604,588638,1239010.0,6000050.0
2000-02-22,191162,197385,169823,174268,481754,1176010.0,6000050.0
2000-02-23,166266,171601,153374,160042,461574,1080009.0,6000050.0
2000-02-24,176936,179158,168933,179158,198168,1209010.0,6000050.0
2000-02-25,195163,196941,176046,177824,505172,1200010.0,6000050.0
2000-02-28,168933,182270,163154,163598,472014,1104009.0,6000050.0
2000-02-29,169823,173379,158709,163598,277474,1104009.0,6000050.0
2000-03-02,168933,173379,153818,159597,309043,1077009.0,6000050.0
2000-03-03,140482,146705,140482,140481,616721,1896016.0,12000100.0
2000-03-06,146705,148928,126256,130701,476923,1764015.0,12000100.0
2000-03-07,125811,141371,120032,138703,583977,1872016.0,12000100.0
2000-03-08,131590,148484,130701,142259,765858,1920016.0,12000100.0
2000-03-09,145816,159153,137814,159153,657180,2148018.0,12000100.0
2000-03-10,164488,174268,150262,157374,805770,2124018.0,12000100.0
2000-03-13,157375,160042,138703,139592,480702,1884016.0,12000100.0
2000-03-14,127145,137814,125366,129367,432507,1746015.0,12000100.0
2000-03-15,124477,136925,119143,126700,620710,1710014.0,12000100.0
2000-03-16,128923,140926,123144,130701,1060110,1764015.0,12000100.0
2000-03-17,127145,128923,115141,115141,354337,1554013.0,12000100.0
2000-03-20,111140,111140,101360,101360,282628,1368011.0,12000100.0
2000-03-21,90691,104472,89357,97803,721601,1320011.0,12000100.0
2000-03-22,102249,109362,100471,101804,663165,1374011.0,12000100.0
2000-03-23,106250,109362,94247,97803,479646,1320011.0,12000100.0
2000-03-24,100916,103138,93358,96914,294750,1308011.0,12000100.0
2000-03-27,98693,105806,93803,102693,626061,1386012.0,12000100.0
2000-03-28,103138,106250,101360,102693,272204,1386012.0,12000100.0
2000-03-29,97804,101360,90691,91579,239908,1236010.0,12000100.0
