현대일렉트릭(267260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-05-10,71089,79104,62958,65049,543239,1038830.0,3710107.0
2017-05-11,65048,67837,64003,64468,165670,1029555.0,3710107.0
2017-05-12,65281,65862,62145,62146,115797,992454.0,3710107.0
2017-05-15,61448,61448,58428,58660,117696,936802.0,3710107.0
2017-05-16,57847,59008,55291,56918,191568,908976.0,3710107.0
2017-05-17,58892,64584,58892,62726,221770,1001729.0,3710107.0
2017-05-18,62726,67372,62028,66095,158513,1055525.0,3710107.0
2017-05-19,65397,67139,64816,67024,64424,1070366.0,3710107.0
2017-05-22,66210,68185,65629,67024,46891,1070366.0,3710107.0
2017-05-23,67488,68882,66210,67489,70118,1077786.0,3710107.0
2017-05-24,67953,68882,66907,68767,40340,1098192.0,3710107.0
2017-05-25,69695,74690,69579,73761,124733,1177959.0,3710107.0
2017-05-26,72715,74457,72483,72948,36934,1164974.0,3710107.0
2017-05-29,72947,73412,71321,72019,34025,1150133.0,3710107.0
2017-05-30,71554,71786,68533,69696,60997,1113032.0,3710107.0
2017-05-31,68998,69927,67488,68070,53253,1087061.0,3710107.0
2017-06-01,68069,73296,67837,72367,44739,1155698.0,3710107.0
2017-06-02,72831,72831,70624,71322,30714,1139003.0,3710107.0
2017-06-05,71321,72715,70044,71670,20213,1144568.0,3710107.0
2017-06-07,71321,73645,71089,73297,34730,1170539.0,3710107.0
2017-06-08,73296,77826,72483,77595,66817,1239176.0,3710107.0
2017-06-09,77013,79220,75271,77246,49857,1233611.0,3710107.0
2017-06-12,77362,77362,74225,75387,39903,1203930.0,3710107.0
2017-06-13,73528,75735,72947,73994,85036,1181669.0,3710107.0
2017-06-14,73993,76200,73877,75155,40726,1200220.0,3710107.0
2017-06-15,75155,75155,73180,74110,29348,1183524.0,3710107.0
2017-06-16,73877,73993,72018,72484,41163,1157553.0,3710107.0
2017-06-19,72599,73877,71669,73761,26738,1177959.0,3710107.0
2017-06-20,73296,73528,71437,72484,30890,1157553.0,3710107.0
2017-06-21,72715,72715,70624,71438,25799,1140858.0,3710107.0
2017-06-22,70857,72135,69230,71555,43097,1142713.0,3710107.0
2017-06-23,71554,72599,70973,72600,22168,1159408.0,3710107.0
2017-06-26,72599,72831,71089,72019,22408,1150133.0,3710107.0
2017-06-27,71437,72831,71205,71322,20793,1139003.0,3710107.0
2017-06-28,70857,72018,70857,71555,23160,1142713.0,3710107.0
2017-06-29,71554,72250,71321,71787,23162,1146423.0,3710107.0
2017-06-30,71437,72483,71437,72367,22156,1155698.0,3710107.0
2017-07-03,72367,73877,71786,72716,18812,1161263.0,3710107.0
2017-07-04,72483,73412,72367,72948,13764,1164974.0,3710107.0
2017-07-05,72483,73412,72367,72948,10004,1164974.0,3710107.0
2017-07-06,72483,73528,72367,73413,14302,1172394.0,3710107.0
2017-07-07,73528,73993,72715,72948,20872,1164974.0,3710107.0
2017-07-10,73760,73760,70740,71438,21937,1140858.0,3710107.0
2017-07-11,71437,71554,69695,70045,21790,1118597.0,3710107.0
2017-07-12,70159,70857,67837,68883,19462,1100047.0,3710107.0
2017-07-13,68998,70044,68998,69580,16745,1111177.0,3710107.0
2017-07-14,68882,70857,68301,70741,9553,1129728.0,3710107.0
2017-07-17,71089,71554,70276,71322,15854,1139003.0,3710107.0
2017-07-18,71437,71437,70159,71090,10582,1135293.0,3710107.0
2017-07-19,70973,71786,70508,71787,13832,1146423.0,3710107.0
2017-07-20,72135,74574,71554,74342,68169,1187234.0,3710107.0
2017-07-21,74341,75967,73645,75620,44082,1207640.0,3710107.0
2017-07-24,74922,75038,72715,72948,22900,1164974.0,3710107.0
2017-07-25,72947,74457,72947,73413,24920,1172394.0,3710107.0
2017-07-26,74341,76200,73877,75620,48466,1207640.0,3710107.0
2017-07-27,75619,76781,74341,76433,40838,1220625.0,3710107.0
2017-07-28,76548,77013,74109,75736,22196,1209495.0,3710107.0
2017-07-31,75619,76548,73760,75272,24227,1202075.0,3710107.0
2017-08-01,75038,79685,72483,77014,77008,1229900.0,3710107.0
2017-08-02,77129,80033,77013,78059,44676,1246596.0,3710107.0
2017-08-03,78987,81427,77710,80963,44945,1292972.0,3710107.0
2017-08-04,80265,81775,79685,81544,19601,1302248.0,3710107.0
2017-08-07,81427,81427,76548,76549,22369,1222480.0,3710107.0
2017-08-08,77129,78058,76084,76665,14047,1224335.0,3710107.0
2017-08-09,76432,76665,74922,76085,12208,1215060.0,3710107.0
2017-08-10,76084,76200,71321,74110,28834,1183524.0,3710107.0
2017-08-11,73645,74109,72018,73413,7005,1172394.0,3710107.0
2017-08-14,72947,74341,70159,70509,16696,1126017.0,3710107.0
2017-08-16,70857,71554,68649,69580,24151,1111177.0,3710107.0
2017-08-17,69811,70740,68882,70393,18600,1124162.0,3710107.0
2017-08-18,69927,70508,68998,70277,311224,1122307.0,3710107.0
2017-08-21,69579,72483,69579,70741,15257,1129728.0,3710107.0
2017-08-22,71437,71554,70508,71322,9597,1139003.0,3710107.0
2017-08-23,71902,71902,69463,69580,16355,1111177.0,3710107.0
2017-08-24,70159,70159,68766,69347,11447,1107467.0,3710107.0
2017-08-25,69695,69695,68998,68999,9836,1101902.0,3710107.0
2017-08-28,68766,69347,68417,68534,8429,1094482.0,3710107.0
2017-08-29,68069,68533,66210,67024,17421,1070366.0,3710107.0
2017-08-30,66791,66907,63422,63888,79985,1020279.0,3710107.0
2017-08-31,64236,64351,62726,63075,35400,1007294.0,3710107.0
2017-09-01,63422,63771,60402,61100,87253,975758.0,3710107.0
2017-09-04,59124,64351,59008,64120,55025,1023990.0,3710107.0
2017-09-05,64236,64236,58079,58428,126079,933092.0,3710107.0
2017-09-06,58428,59357,57847,58312,22548,931237.0,3710107.0
2017-09-07,58428,58660,56569,56686,35415,905266.0,3710107.0
2017-09-08,56801,57150,52968,53782,78783,858890.0,3710107.0
2017-09-11,54130,55175,52620,54363,39160,868165.0,3710107.0
2017-09-12,54362,55059,53665,54479,21108,870020.0,3710107.0
2017-09-13,54246,55059,53432,53782,13289,858890.0,3710107.0
2017-09-14,54013,56104,53897,55524,18960,886716.0,3710107.0
2017-09-15,55175,57266,54594,57267,29064,914541.0,3710107.0
2017-09-18,57498,57498,56220,56918,13155,908976.0,3710107.0
2017-09-19,56801,59124,56453,59125,26949,944222.0,3710107.0
2017-09-20,59124,59473,56337,59358,25494,947932.0,3710107.0
2017-09-21,59357,59357,57963,58893,12135,940512.0,3710107.0
2017-09-22,59008,60750,58311,59938,24667,957208.0,3710107.0
2017-09-25,60518,60635,57963,58080,21384,927527.0,3710107.0
2017-09-26,57847,61215,57498,61100,43493,975758.0,3710107.0
2017-09-27,61099,61983,58827,59206,22098,870020.0,3710107.0
2017-09-28,59458,59458,55923,57439,24193,844049.0,3710107.0
2017-09-29,57438,58827,57438,58070,11259,853325.0,3710107.0
2017-10-10,59206,60594,58448,60469,14322,888571.0,3710107.0
2017-10-11,60468,60847,58827,60216,15899,884861.0,3710107.0
2017-10-12,60216,61478,59585,61100,7100,897846.0,3710107.0
2017-10-13,61478,61478,60468,61226,6579,899701.0,3710107.0
2017-10-16,61478,64507,60720,63246,15918,929382.0,3710107.0
2017-10-17,62488,64255,62235,63877,11726,938657.0,3710107.0
2017-10-18,64129,64129,61604,61605,11229,905266.0,3710107.0
2017-10-19,61604,62235,60720,61858,9381,908976.0,3710107.0
2017-10-20,62109,62109,60594,61605,3921,905266.0,3710107.0
2017-10-23,61604,61983,60089,61731,9827,907121.0,3710107.0
2017-10-24,60720,60847,58448,58575,28164,860745.0,3710107.0
2017-10-25,58827,59332,58196,58954,14316,866310.0,3710107.0
2017-10-26,58953,58953,57691,58449,13021,858890.0,3710107.0
2017-10-27,58069,59332,58069,59333,9857,871875.0,3710107.0
2017-10-30,59332,59458,58575,58702,8932,862600.0,3710107.0
2017-10-31,58953,59963,58448,59585,14488,875585.0,3710107.0
2017-11-01,59837,60342,58827,59711,14394,877440.0,3710107.0
2017-11-02,59963,60594,59963,60595,15992,890426.0,3710107.0
