한국금융지주(071050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-07-21,7500,7500,6380,6380,2100405,337350.0,52876205.0
2003-07-22,6210,6570,6150,6400,1153562,338408.0,52876205.0
2003-07-23,6400,6490,6180,6190,725706,327304.0,52876205.0
2003-07-24,6050,6300,6010,6240,743783,329948.0,52876205.0
2003-07-25,6100,7170,6100,7030,1568701,371720.0,52876205.0
2003-07-28,7210,7240,6850,7050,805350,372777.0,52876205.0
2003-07-29,6980,7170,6880,7150,420740,378065.0,52876205.0
2003-07-30,7030,7320,7030,7170,586598,379122.0,52876205.0
2003-07-31,7230,7230,7070,7090,254064,374892.0,52876205.0
2003-08-01,7150,7220,7080,7080,427769,374364.0,52876205.0
2003-08-04,6990,7130,6850,6950,294272,367490.0,52876205.0
2003-08-05,6950,7020,6840,6840,344016,361673.0,52876205.0
2003-08-06,6660,6700,6580,6620,352514,350040.0,52876205.0
2003-08-07,6620,6650,6410,6530,369612,345282.0,52876205.0
2003-08-08,6550,6620,6520,6560,309686,346868.0,52876205.0
2003-08-11,6450,6630,6400,6610,242124,349512.0,52876205.0
2003-08-12,6660,6670,6530,6590,148617,348454.0,52876205.0
2003-08-13,6580,6730,6550,6660,223360,352156.0,52876205.0
2003-08-14,6740,6930,6670,6780,297742,358501.0,52876205.0
2003-08-18,6850,6980,6820,6850,371476,362202.0,52876205.0
2003-08-19,6980,6980,6780,6790,350596,359029.0,52876205.0
2003-08-20,6790,6820,6530,6600,420021,348983.0,52876205.0
2003-08-21,6620,7140,6600,7050,1116868,372777.0,52876205.0
2003-08-22,7000,7000,6810,6900,467886,364846.0,52876205.0
2003-08-25,6980,7050,6860,6890,330728,364317.0,52876205.0
2003-08-26,6810,6860,6610,6670,294348,352684.0,52876205.0
2003-08-27,6730,7050,6700,6700,818753,354271.0,52876205.0
2003-08-28,6810,6950,6720,6750,419999,356914.0,52876205.0
2003-08-29,6840,6840,6640,6760,366062,357443.0,52876205.0
2003-09-01,6710,6870,6710,6740,293947,356386.0,52876205.0
