삼성화재해상보험(000810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,41336,41336,37906,39225,66900,1172784.0,2629561.0
1999-01-05,39577,39577,37818,38697,148760,1157007.0,2629561.0
1999-01-06,38698,38874,37818,38258,67500,1143859.0,2629561.0
1999-01-07,38258,38258,35444,36147,187500,1080750.0,2629561.0
1999-01-08,36147,36147,32981,33860,284400,1012381.0,2629561.0
1999-01-11,35180,35180,33421,33772,259700,1009751.0,2629561.0
1999-01-12,34300,35180,33861,34564,193000,1033417.0,2629561.0
1999-01-13,34828,36059,34564,35883,212600,1072861.0,2629561.0
1999-01-14,34916,35180,30958,34740,149200,1038677.0,2629561.0
1999-01-15,31310,35620,31310,35619,133760,1064972.0,2629561.0
1999-01-18,35664,37818,34476,37818,214800,1130711.0,2629561.0
1999-01-19,37291,37730,36235,36938,123400,1104416.0,2629561.0
1999-01-20,36939,39401,36103,38521,521700,1151748.0,2629561.0
1999-01-21,37818,38698,37554,38170,203660,1141229.0,2629561.0
1999-01-22,37730,38082,36411,36411,162310,1088638.0,2629561.0
1999-01-25,36411,36411,34124,34916,86700,1043936.0,2629561.0
1999-01-26,34960,35400,32629,32629,64000,975567.0,2629561.0
1999-01-27,32981,34476,32981,34300,127300,1025529.0,2629561.0
1999-01-28,33509,35708,33509,34300,177100,1025529.0,2629561.0
1999-01-29,33949,34037,33421,33772,182300,1009751.0,2629561.0
1999-02-01,32981,33773,32981,33420,229090,1393004.0,3665800.0
1999-02-02,33421,33421,32102,32541,150070,1356346.0,3665800.0
1999-02-03,32102,32102,30870,30958,179340,1290362.0,3665800.0
1999-02-04,30958,31662,30782,30958,138670,1290362.0,3665800.0
1999-02-05,30958,33157,30431,31793,257800,1325187.0,3665800.0
1999-02-08,31838,32541,31706,32541,153150,1356346.0,3665800.0
1999-02-09,32453,32453,30606,31046,45000,1294027.0,3665800.0
1999-02-10,30782,30782,29727,30782,92030,1283030.0,3665800.0
1999-02-11,30782,32981,30782,32541,176200,1356346.0,3665800.0
1999-02-12,32453,34960,32146,34300,243500,1429662.0,3665800.0
1999-02-18,34476,35488,32541,34520,317300,1438826.0,3665800.0
1999-02-19,34168,34168,32981,33860,326630,1411333.0,3665800.0
1999-02-22,33861,33861,33069,33684,55220,1404001.0,3665800.0
1999-02-23,33333,34124,33069,33420,87800,1393004.0,3665800.0
1999-02-24,33421,33949,32981,33684,80600,1404001.0,3665800.0
