이건산업(008250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4868,5160,4868,5110,36990,21756.0,4144005.0
1999-01-05,5160,5500,5072,5432,74030,23124.0,4144005.0
1999-01-06,5549,5938,5452,5646,157400,24035.0,4144005.0
1999-01-07,5890,5938,5646,5753,151580,24491.0,4144005.0
1999-01-08,5841,5938,5656,5841,72440,24864.0,4144005.0
1999-01-11,5841,6717,5792,6717,204200,28594.0,4144005.0
1999-01-12,7097,7545,6863,7398,454900,31494.0,4144005.0
1999-01-13,7496,8508,7496,8508,462730,36219.0,4144005.0
1999-01-14,8508,8723,7233,7447,284810,31702.0,4144005.0
1999-01-15,7496,8177,6912,7982,264640,33981.0,4144005.0
1999-01-18,9151,9151,8275,8576,219850,36509.0,4144005.0
1999-01-19,8567,8664,7632,7632,130760,32489.0,4144005.0
1999-01-20,7662,7788,7009,7320,126860,31163.0,4144005.0
1999-01-21,6815,7593,6620,6717,89300,28594.0,4144005.0
1999-01-22,6717,7009,6299,6415,197210,27309.0,4144005.0
1999-01-25,6474,6707,6328,6327,74780,26936.0,4144005.0
1999-01-26,6523,7204,6338,6911,254190,29422.0,4144005.0
1999-01-27,7204,7496,6922,7281,229520,30997.0,4144005.0
1999-01-28,7331,7691,7107,7350,165810,31287.0,4144005.0
1999-01-29,7399,7593,7068,7203,75390,30666.0,4144005.0
1999-02-01,7009,8177,7009,8060,210540,34312.0,4144005.0
1999-02-02,8547,8664,8061,8274,325460,35224.0,4144005.0
1999-02-03,8275,8275,7496,7496,114690,31909.0,4144005.0
1999-02-04,7301,7788,7107,7496,82500,31909.0,4144005.0
1999-02-05,7496,7788,7399,7525,75310,32033.0,4144005.0
1999-02-08,6834,7788,6834,7106,74180,30251.0,4144005.0
1999-02-09,6824,7009,6532,6532,53510,27806.0,4144005.0
1999-02-10,6328,6795,6182,6795,44860,28925.0,4144005.0
1999-02-11,6824,7009,6532,6814,38710,29008.0,4144005.0
1999-02-12,6951,7000,6717,6960,41700,29630.0,4144005.0
1999-02-18,7009,7009,6727,6756,26940,28759.0,4144005.0
1999-02-19,6523,6571,6328,6571,62390,27972.0,4144005.0
1999-02-22,6610,6805,6328,6327,16580,26936.0,4144005.0
1999-02-23,6338,6425,5861,5860,43380,24947.0,4144005.0
1999-02-24,6007,6007,5744,5743,35380,24450.0,4144005.0
1999-02-25,6036,6133,5753,5850,54000,24905.0,4144005.0
1999-02-26,5938,6221,5938,6084,35980,25900.0,4144005.0
1999-03-02,6133,6415,6133,6308,41740,26853.0,4144005.0
1999-03-03,6328,6328,6045,6064,28940,25817.0,4144005.0
1999-03-04,6230,6620,6133,6308,43440,26853.0,4144005.0
1999-03-05,6143,6620,6143,6619,52200,28179.0,4144005.0
1999-03-08,7009,7233,6834,7126,96550,30334.0,4144005.0
1999-03-09,7204,7253,6737,6804,53700,28967.0,4144005.0
