효성티앤씨(298020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-13,228000,296000,228000,247500,858526,1071101.0,4327682.0
2018-07-16,246500,247000,219500,221500,331498,958582.0,4327682.0
2018-07-17,214000,219500,206000,217000,228068,939107.0,4327682.0
2018-07-18,214000,225500,203000,203000,154226,878519.0,4327682.0
2018-07-19,208500,223000,206000,214000,188354,926124.0,4327682.0
2018-07-20,213000,215000,202500,208000,87319,900158.0,4327682.0
2018-07-23,208000,209500,195000,198500,92693,859045.0,4327682.0
2018-07-24,198500,206500,197500,205500,55170,889339.0,4327682.0
2018-07-25,206000,212000,199000,207000,61153,895830.0,4327682.0
2018-07-26,206500,210000,202500,209000,37175,904486.0,4327682.0
2018-07-27,208500,217500,207000,215500,44328,932615.0,4327682.0
2018-07-30,214000,221500,214000,221500,36129,958582.0,4327682.0
2018-07-31,219000,223000,214000,222500,32084,962909.0,4327682.0
2018-08-01,221000,224500,219000,223000,17186,965073.0,4327682.0
2018-08-02,222000,222000,213000,214500,28712,928288.0,4327682.0
2018-08-03,216000,217500,209000,215000,20363,930452.0,4327682.0
2018-08-06,216500,217500,212000,213000,14843,921796.0,4327682.0
2018-08-07,212500,214500,206000,209000,32215,904486.0,4327682.0
2018-08-08,208000,211500,204000,204500,26860,885011.0,4327682.0
2018-08-09,204500,206500,203000,204500,33837,885011.0,4327682.0
2018-08-10,204500,209000,202500,208500,14960,902322.0,4327682.0
2018-08-13,206000,208000,196500,202000,30039,874192.0,4327682.0
2018-08-14,203000,204000,200500,203500,16943,880683.0,4327682.0
2018-08-16,200500,200500,196000,198000,21318,856881.0,4327682.0
2018-08-17,199500,200000,189500,199000,46663,861209.0,4327682.0
2018-08-20,199000,200000,194500,199000,21011,861209.0,4327682.0
2018-08-21,199000,203500,196500,199500,30693,863373.0,4327682.0
2018-08-22,198000,198000,184500,187000,114151,809277.0,4327682.0
2018-08-23,185500,187500,175000,177000,66146,766000.0,4327682.0
2018-08-24,179000,185000,173500,182500,61610,789802.0,4327682.0
2018-08-27,182500,183000,176500,180000,40291,778983.0,4327682.0
2018-08-28,179000,183000,179000,182500,22599,789802.0,4327682.0
2018-08-29,181000,187000,181000,183000,32022,791966.0,4327682.0
2018-08-30,184000,192500,182000,189000,46902,817932.0,4327682.0
2018-08-31,189000,190000,185000,190000,19820,822260.0,4327682.0
2018-09-03,191500,193000,182500,184000,34419,796293.0,4327682.0
2018-09-04,186000,186000,180500,184000,28664,796293.0,4327682.0
2018-09-05,185000,188500,179500,180500,30520,781147.0,4327682.0
2018-09-06,182500,183000,179000,180000,12328,778983.0,4327682.0
2018-09-07,180500,183000,176000,181500,25820,785474.0,4327682.0
2018-09-10,182000,182000,176000,177500,11622,768164.0,4327682.0
2018-09-11,177500,178500,175000,177500,19093,768164.0,4327682.0
2018-09-12,179500,187500,177000,181500,29812,785474.0,4327682.0
2018-09-13,181500,188000,181000,187000,14423,809277.0,4327682.0
2018-09-14,189000,193500,188500,192000,32258,830915.0,4327682.0
2018-09-17,194000,194000,190000,191000,17200,826587.0,4327682.0
2018-09-18,192000,192000,186000,186500,13662,807113.0,4327682.0
2018-09-19,186500,188500,183000,188500,21590,815768.0,4327682.0
2018-09-20,188000,188500,181000,182000,28148,787638.0,4327682.0
2018-09-21,183000,186500,181000,185000,21192,800621.0,4327682.0
2018-09-27,184000,187500,181000,187500,28478,811440.0,4327682.0
2018-09-28,187000,188000,183000,186000,21793,804949.0,4327682.0
2018-10-01,187000,187000,179500,183500,20848,794130.0,4327682.0
2018-10-02,183500,184000,180500,184000,18567,796293.0,4327682.0
2018-10-04,183000,184500,174500,175500,34848,759508.0,4327682.0
2018-10-05,175500,176500,169000,176500,24145,763836.0,4327682.0
