쿠쿠홈시스(284740),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-01-11,49800,49800,39500,40200,109013,901981.0,4487466.0
2018-01-12,40200,40800,35300,37900,79579,850375.0,4487466.0
2018-01-15,38700,40200,36200,36600,47466,821206.0,4487466.0
2018-01-16,36600,37500,35400,35500,29257,796525.0,4487466.0
2018-01-17,35600,36100,33700,33900,55657,760625.0,4487466.0
2018-01-18,34000,34200,32600,32800,43571,735944.0,4487466.0
2018-01-19,32800,36000,32400,35000,88014,785307.0,4487466.0
2018-01-22,35100,38600,35100,36900,102422,827937.0,4487466.0
2018-01-23,37500,39300,35300,37900,47273,850375.0,4487466.0
2018-01-24,38000,39600,37500,38500,21604,863837.0,4487466.0
2018-01-25,38700,39500,37600,38300,24323,859350.0,4487466.0
2018-01-26,38100,38800,37100,38600,20492,866081.0,4487466.0
2018-01-29,38700,40000,37800,39900,27478,895249.0,4487466.0
2018-01-30,39900,39900,38500,39000,29889,875056.0,4487466.0
2018-01-31,38600,39400,37900,38500,19297,863837.0,4487466.0
2018-02-01,38500,38800,38200,38600,9631,866081.0,4487466.0
2018-02-02,38500,38600,37000,37900,18835,850375.0,4487466.0
2018-02-05,36700,37700,36500,36600,12870,821206.0,4487466.0
2018-02-06,35500,36700,34600,36700,20150,823450.0,4487466.0
2018-02-07,37000,37500,35900,36900,17974,827937.0,4487466.0
2018-02-08,36900,37300,36100,36600,10468,821206.0,4487466.0
2018-02-09,35600,39000,35600,38000,13235,852619.0,4487466.0
2018-02-12,39000,41600,37900,41100,30744,922174.0,4487466.0
2018-02-13,41100,42700,38700,39000,32577,875056.0,4487466.0
2018-02-14,38600,38900,36400,37200,25856,834669.0,4487466.0
2018-02-19,37200,37900,36800,37400,9235,839156.0,4487466.0
2018-02-20,37400,37800,36800,36800,5492,825694.0,4487466.0
2018-02-21,36700,37100,36400,37000,10521,830181.0,4487466.0
2018-02-22,37100,37200,36300,36900,2936,827937.0,4487466.0
2018-02-23,36800,37500,36400,37000,6638,830181.0,4487466.0
2018-02-26,37000,37400,36500,36700,3538,823450.0,4487466.0
2018-02-27,36600,36800,35900,36200,6936,812231.0,4487466.0
2018-02-28,35900,36000,35200,35600,3885,798769.0,4487466.0
2018-03-02,35500,40000,34600,38300,16208,859350.0,4487466.0
2018-03-05,38400,38600,36800,37700,5153,845887.0,4487466.0
2018-03-06,37400,38100,37000,37600,5461,843644.0,4487466.0
2018-03-07,37500,38100,37200,37400,11849,839156.0,4487466.0
2018-03-08,38100,38100,36400,36400,10963,816719.0,4487466.0
2018-03-09,36500,36600,35400,36400,31918,816719.0,4487466.0
