토니모리(214420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-07-10,42666,46866,32666,33667,2831780,593880.0,11760000.0
2015-07-13,35733,36999,33533,34133,695410,602112.0,11760000.0
2015-07-14,34866,34933,32766,33300,344197,587412.0,11760000.0
2015-07-15,33300,43266,33300,43267,1523762,763224.0,11760000.0
2015-07-16,44333,54600,44266,46000,1844145,811440.0,11760000.0
2015-07-17,48000,53200,46066,47000,821545,829080.0,11760000.0
2015-07-20,47133,51266,44933,45200,306955,797328.0,11760000.0
2015-07-21,46533,47333,42466,42867,251702,756168.0,11760000.0
2015-07-22,42333,42666,39866,40333,221848,711480.0,11760000.0
2015-07-23,40600,44600,40533,42667,306370,752640.0,11760000.0
2015-07-24,43333,43600,40533,41133,147914,725592.0,11760000.0
2015-07-27,41333,42133,38733,38733,169408,683256.0,11760000.0
2015-07-28,38133,38200,36000,37200,138606,656208.0,11760000.0
2015-07-29,36933,37266,34133,35000,141335,617400.0,11760000.0
2015-07-30,34999,37666,34933,34933,125485,616224.0,11760000.0
2015-07-31,35333,36799,35133,36533,85529,644448.0,11760000.0
2015-08-03,36600,36933,34133,34400,69078,606816.0,11760000.0
2015-08-04,33533,35333,33300,35000,64222,617400.0,11760000.0
2015-08-05,34866,41000,34399,36733,364682,647976.0,11760000.0
2015-08-06,37800,38333,35999,36333,101987,640920.0,11760000.0
2015-08-07,36533,37733,36333,36933,79778,651504.0,11760000.0
2015-08-10,34866,35933,34600,34733,174546,612696.0,11760000.0
2015-08-11,35266,35466,33999,34133,91665,602112.0,11760000.0
2015-08-12,33933,34000,30833,31933,155712,563304.0,11760000.0
2015-08-13,31699,35266,31666,33333,160933,588000.0,11760000.0
2015-08-17,34000,34000,32666,32800,35598,578592.0,11760000.0
2015-08-18,32700,33066,30833,30933,64031,545664.0,11760000.0
2015-08-19,29800,30266,27666,28633,98467,505092.0,11760000.0
2015-08-20,28166,29600,27633,27633,60015,487452.0,11760000.0
2015-08-21,24933,33200,24933,29333,462248,517440.0,11760000.0
2015-08-24,28466,32666,28266,30967,161118,546252.0,11760000.0
2015-08-25,31333,32600,30333,32100,143723,566244.0,11760000.0
2015-08-26,31733,32666,31433,32167,89979,567420.0,11760000.0
2015-08-27,32300,35800,32300,32767,237019,578004.0,11760000.0
2015-08-28,33599,34066,32833,32833,62269,579180.0,11760000.0
2015-08-31,32500,33133,31100,31333,64544,552720.0,11760000.0
2015-09-01,30933,32366,30933,31000,46265,546840.0,11760000.0
2015-09-02,30333,32000,30333,31200,43086,550368.0,11760000.0
2015-09-03,31933,34533,31866,32667,220307,576240.0,11760000.0
2015-09-04,33300,33300,31000,31200,63254,550368.0,11760000.0
2015-09-07,31000,31566,30233,30533,54710,538608.0,11760000.0
2015-09-08,30400,31800,29999,30467,33835,537432.0,11760000.0
2015-09-09,31200,33066,31033,32600,91218,575064.0,11760000.0
2015-09-10,32266,32766,31800,32633,37564,575652.0,11760000.0
2015-09-11,32600,32600,31866,32267,41141,569184.0,11760000.0
2015-09-14,32866,32866,31433,31533,30044,556248.0,11760000.0
2015-09-15,31366,33000,31200,32200,58473,568008.0,11760000.0
2015-09-16,32700,32866,32266,32633,37201,575652.0,11760000.0
2015-09-17,33400,34733,32733,32933,115008,580944.0,11760000.0
2015-09-18,33133,34133,33133,33933,68360,598584.0,11760000.0
2015-09-21,33233,33733,33000,33733,38454,595056.0,11760000.0
2015-09-22,34266,36733,33666,36267,278195,639744.0,11760000.0
2015-09-23,36266,39000,35666,36667,189496,646800.0,11760000.0
2015-09-24,38200,41733,37466,41467,411897,731472.0,11760000.0
2015-09-25,42000,45266,41733,42600,292132,751464.0,11760000.0
2015-09-30,41800,42333,40266,42133,125298,743232.0,11760000.0
2015-10-01,42733,43333,40133,40267,166066,710304.0,11760000.0
2015-10-02,40600,41133,38599,39333,132276,693840.0,11760000.0
2015-10-05,39666,40133,38600,38867,92945,685608.0,11760000.0
2015-10-06,39333,39333,37733,38400,144110,677376.0,11760000.0
2015-10-07,39266,39266,36733,36933,99866,651504.0,11760000.0
2015-10-08,37333,37933,35800,36800,91787,649152.0,11760000.0
2015-10-12,34666,35333,31500,31533,788309,556248.0,11760000.0
2015-10-13,31266,32300,31033,31533,243882,556248.0,11760000.0
2015-10-14,31666,32033,31000,31000,152436,546840.0,11760000.0
2015-10-15,30666,31366,30500,30867,86638,544488.0,11760000.0
2015-10-16,31200,31400,30666,30700,128399,541548.0,11760000.0
2015-10-19,30733,30900,30066,30133,94866,531552.0,11760000.0
2015-10-20,30333,30400,29300,29567,135624,521556.0,11760000.0
2015-10-21,29900,30600,29666,29667,119215,523320.0,11760000.0
2015-10-22,29700,30800,29666,30633,142633,540372.0,11760000.0
2015-10-23,30866,31000,29699,29967,98144,528612.0,11760000.0
2015-10-26,30066,30266,29400,29600,76774,522144.0,11760000.0
2015-10-27,29600,29600,28833,28867,92010,509208.0,11760000.0
2015-10-28,28866,29600,28866,29600,62914,522144.0,11760000.0
2015-10-29,29999,30600,29600,29667,97287,523320.0,11760000.0
2015-10-30,29299,29633,28700,28867,62652,509208.0,11760000.0
2015-11-02,28700,29166,27666,28200,101347,497448.0,11760000.0
2015-11-03,28033,28400,27666,27900,67085,492156.0,11760000.0
2015-11-04,27666,29600,27666,29400,78829,518616.0,11760000.0
2015-11-05,29399,29399,28666,29100,51124,513324.0,11760000.0
2015-11-06,28999,29600,28766,29467,63152,519792.0,11760000.0
2015-11-09,29666,29733,28266,28333,57881,499800.0,11760000.0
2015-11-10,27899,28233,26666,26700,75109,470988.0,11760000.0
