아세아시멘트(183190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-06,88481,88481,75208,82189,193536,275530.0,3295809.0
2013-11-07,83073,85531,79927,80518,77324,269927.0,3295809.0
2013-11-08,80222,82582,78748,81501,43072,273223.0,3295809.0
2013-11-11,80714,82385,74717,77667,48218,260369.0,3295809.0
2013-11-12,79337,79337,75503,76585,12895,256744.0,3295809.0
2013-11-13,75995,76585,72554,74816,28246,250811.0,3295809.0
2013-11-14,74717,76388,73635,76094,20076,255096.0,3295809.0
2013-11-15,76880,80124,75700,78551,40898,263335.0,3295809.0
2013-11-18,78748,79141,75307,75504,17246,253118.0,3295809.0
2013-11-19,74520,75503,73734,74422,23268,249493.0,3295809.0
2013-11-20,74717,77175,74520,76487,16610,256414.0,3295809.0
2013-11-21,76683,78158,76191,77077,10103,258391.0,3295809.0
2013-11-22,76781,79927,75897,79043,16591,264983.0,3295809.0
2013-11-25,78944,80616,78059,79535,24274,266631.0,3295809.0
2013-11-26,79534,80222,77666,80223,9203,268938.0,3295809.0
2013-11-27,79731,80419,78059,80124,11777,268608.0,3295809.0
2013-11-28,80026,82385,78944,81599,19544,273552.0,3295809.0
2013-11-29,81795,84056,81599,83565,24941,280144.0,3295809.0
2013-12-02,83663,83762,81599,82287,12105,275859.0,3295809.0
2013-12-03,82287,82287,80124,81009,6408,271575.0,3295809.0
2013-12-04,80419,82090,77863,79535,12494,266631.0,3295809.0
2013-12-05,80517,81009,79632,80026,7107,268279.0,3295809.0
2013-12-06,80321,80321,78158,79928,16140,267949.0,3295809.0
2013-12-09,79829,80419,78354,78551,8154,263335.0,3295809.0
2013-12-10,77470,79043,75798,79043,9546,264983.0,3295809.0
2013-12-11,79141,80517,76880,78945,4390,264653.0,3295809.0
2013-12-12,78944,80321,78354,80026,4736,268279.0,3295809.0
2013-12-13,79141,81894,77961,79928,10599,267949.0,3295809.0
2013-12-16,78354,79927,77470,79731,8895,267290.0,3295809.0
2013-12-17,79731,79829,77666,79633,8009,266961.0,3295809.0
2013-12-18,80124,80124,78354,79535,5049,266631.0,3295809.0
2013-12-19,78944,81304,77666,80124,15946,268608.0,3295809.0
2013-12-20,80222,81009,78944,80026,7265,268279.0,3295809.0
2013-12-23,81500,81500,79337,80321,7611,269268.0,3295809.0
2013-12-24,79927,81107,79534,80714,3780,270586.0,3295809.0
2013-12-26,80714,82090,79927,81599,16067,273552.0,3295809.0
2013-12-27,79829,82189,79829,80813,11530,270915.0,3295809.0
2013-12-30,80812,82582,80616,82582,11261,276848.0,3295809.0
2014-01-02,82582,83368,81402,81992,10190,274870.0,3295809.0
2014-01-03,82090,86514,81795,86515,109335,290031.0,3295809.0
2014-01-06,86514,86809,83860,85925,12018,288054.0,3295809.0
2014-01-07,85728,87989,85040,87498,16058,293327.0,3295809.0
2014-01-08,87497,89759,87006,89366,14966,299589.0,3295809.0
2014-01-09,89365,90938,88087,89464,11596,299919.0,3295809.0
2014-01-10,88972,90250,86711,90251,8044,302555.0,3295809.0
2014-01-13,90250,90250,87792,88973,5986,298271.0,3295809.0
2014-01-14,88972,88972,86121,86122,6374,288713.0,3295809.0
2014-01-15,86416,86416,84056,84745,13028,284099.0,3295809.0
2014-01-16,85236,89464,84548,88383,17285,296293.0,3295809.0
2014-01-17,88284,89464,85335,88579,14166,296952.0,3295809.0
2014-01-20,86908,88284,86613,87301,4323,292668.0,3295809.0
2014-01-21,85924,87202,85531,85925,4671,288054.0,3295809.0
2014-01-22,86613,86613,84646,85925,4739,288054.0,3295809.0
2014-01-23,87006,89070,85924,87793,14827,294316.0,3295809.0
2014-01-24,87792,88874,83958,86908,23053,291350.0,3295809.0
2014-01-27,84253,86908,84253,86416,5042,289702.0,3295809.0
2014-01-28,85728,88186,85728,86416,2037,289702.0,3295809.0
2014-01-29,85826,87497,84941,86810,11025,291020.0,3295809.0
2014-02-03,86514,88481,85138,86613,6947,290361.0,3295809.0
2014-02-04,85040,87399,85040,87006,5936,291679.0,3295809.0
2014-02-05,86809,88874,86219,87400,8460,292997.0,3295809.0
2014-02-06,88382,88481,86711,87793,8107,294316.0,3295809.0
2014-02-07,87792,88087,86318,87400,6949,292997.0,3295809.0
2014-02-10,87399,87399,85335,85630,8990,287065.0,3295809.0
2014-02-11,86023,87596,85531,86515,8424,290031.0,3295809.0
2014-02-12,87006,89759,86318,89661,19576,300578.0,3295809.0
2014-02-13,90447,92118,90054,90447,16043,303214.0,3295809.0
2014-02-14,91332,92216,87989,90447,21271,303214.0,3295809.0
2014-02-17,89464,94871,89464,93397,18563,313102.0,3295809.0
2014-02-18,93101,94379,92413,93298,10162,312772.0,3295809.0
2014-02-19,93396,94379,92905,94183,15284,315739.0,3295809.0
2014-02-20,94478,95854,93101,95658,11480,320682.0,3295809.0
2014-02-21,95657,96051,93396,96051,10412,322001.0,3295809.0
2014-02-24,96149,99295,95559,97526,17993,326944.0,3295809.0
2014-02-25,98312,98803,96542,98312,9118,329581.0,3295809.0
2014-02-26,99295,99295,93986,96149,15492,322330.0,3295809.0
2014-02-27,96837,96837,93494,95953,15218,321671.0,3295809.0
2014-02-28,95952,96542,94379,95166,4810,319034.0,3295809.0
2014-03-03,93494,95756,93396,94576,9241,317057.0,3295809.0
2014-03-04,94773,94969,92905,94576,9418,317057.0,3295809.0
2014-03-05,94871,99786,94871,97821,20118,327933.0,3295809.0
2014-03-06,97427,98803,93888,97526,19079,326944.0,3295809.0
2014-03-07,99295,101753,96935,98312,11346,329581.0,3295809.0
2014-03-10,97820,98803,95461,98214,11314,329251.0,3295809.0
2014-03-11,98115,102244,97329,102245,17636,342764.0,3295809.0
2014-03-12,104210,104210,97918,97919,26149,328263.0,3295809.0
2014-03-13,97525,102736,97427,101753,8881,341116.0,3295809.0
2014-03-14,99786,104210,98312,99787,18392,334525.0,3295809.0
2014-03-17,99786,100278,95559,95854,25362,321341.0,3295809.0
2014-03-18,96837,97132,94084,95559,18409,320353.0,3295809.0
2014-03-19,96247,98312,92708,96149,19118,322330.0,3295809.0
2014-03-20,96149,97918,94183,94970,12221,318375.0,3295809.0
2014-03-21,95461,95461,93789,94478,8392,316727.0,3295809.0
2014-03-24,94379,94379,91921,94380,9494,316398.0,3295809.0
2014-03-25,94379,95952,93003,94380,11200,316398.0,3295809.0
2014-03-26,94772,94772,91430,92610,24476,310465.0,3295809.0
2014-03-27,92610,95854,90447,94970,14508,318375.0,3295809.0
2014-03-28,95362,96444,93593,96346,13965,322989.0,3295809.0
2014-03-31,96444,98017,95854,97722,8993,327603.0,3295809.0
2014-04-01,97624,98312,96346,97329,11328,326285.0,3295809.0
2014-04-02,97034,97918,95952,96051,10572,322001.0,3295809.0
2014-04-03,95854,95854,92905,95068,20301,318705.0,3295809.0
2014-04-04,94379,95264,93101,95068,10413,318705.0,3295809.0
2014-04-07,94084,95067,93396,93790,7330,314420.0,3295809.0
2014-04-08,93888,93888,91430,91627,14700,307169.0,3295809.0
2014-04-09,92020,92020,88972,89857,16627,301237.0,3295809.0
2014-04-10,90348,93593,89365,93397,12994,313102.0,3295809.0
2014-04-11,92315,95264,92315,94380,9491,316398.0,3295809.0
2014-04-14,94379,95559,93691,94281,7687,316068.0,3295809.0
2014-04-15,95166,96837,94379,95854,10040,321341.0,3295809.0
2014-04-16,95854,102244,94871,100278,14702,336173.0,3295809.0
2014-04-17,100278,104702,99295,104211,16588,349356.0,3295809.0
2014-04-18,104210,104210,102244,103719,5075,347708.0,3295809.0
2014-04-21,104210,107160,101261,103228,9451,346060.0,3295809.0
2014-04-22,101753,106668,100278,103719,15517,347708.0,3295809.0
2014-04-23,104702,112075,104702,109127,19079,365835.0,3295809.0
2014-04-24,109126,114533,104210,113551,18049,380666.0,3295809.0
2014-04-25,110109,112567,105685,107160,18165,359243.0,3295809.0
2014-04-28,108143,108143,103719,106177,13523,355947.0,3295809.0
2014-04-29,103719,109126,103719,107652,8642,360891.0,3295809.0
2014-04-30,107160,110109,106668,108143,6434,362539.0,3295809.0
2014-05-02,108635,112567,106177,112568,10803,377370.0,3295809.0
2014-05-07,112567,113550,108143,113551,16726,380666.0,3295809.0
2014-05-08,113550,117483,111584,115517,16978,387258.0,3295809.0
2014-05-09,116008,120924,113550,116992,13363,392201.0,3295809.0
2014-05-12,117483,118466,114042,114042,5619,382314.0,3295809.0
2014-05-13,114042,114533,107160,109127,29285,365835.0,3295809.0
2014-05-14,109126,110601,107651,110110,13780,369131.0,3295809.0
2014-05-15,110109,111092,107651,108143,12187,362539.0,3295809.0
2014-05-16,107651,111092,107160,111093,13408,372426.0,3295809.0
2014-05-19,111584,111584,107651,111093,13397,372426.0,3295809.0
2014-05-20,110601,111092,106177,110601,16082,370779.0,3295809.0
2014-05-21,110601,112075,105194,106669,14278,357595.0,3295809.0
2014-05-22,106668,107651,103719,105686,8953,354299.0,3295809.0
2014-05-23,105685,108635,103227,108635,14004,364187.0,3295809.0
2014-05-26,109126,109126,104210,105194,10852,352652.0,3295809.0
2014-05-27,103719,105194,103227,103719,4262,347708.0,3295809.0
2014-05-28,104702,106177,102244,103719,11089,347708.0,3295809.0
2014-05-29,103719,104210,102244,102245,9520,342764.0,3295809.0
2014-05-30,102736,105194,101753,105194,7208,352652.0,3295809.0
2014-06-02,104210,105685,99786,105194,16779,352652.0,3295809.0
2014-06-03,105194,108143,101753,107160,14549,359243.0,3295809.0
2014-06-05,105194,106668,102244,103228,13216,346060.0,3295809.0
2014-06-09,102244,105685,102244,102245,3885,342764.0,3295809.0
2014-06-10,103227,103719,101261,103719,3908,347708.0,3295809.0
2014-06-11,103719,103719,100770,103719,9830,347708.0,3295809.0
2014-06-12,103719,110109,103227,110110,12812,369131.0,3295809.0
2014-06-13,111092,111092,107651,109618,6368,367483.0,3295809.0
2014-06-16,110109,110601,108635,109618,3367,367483.0,3295809.0
2014-06-17,109618,111092,108143,109127,7259,365835.0,3295809.0
2014-06-18,109618,109618,106668,109127,8346,365835.0,3295809.0
2014-06-19,108635,109618,106668,106669,4740,357595.0,3295809.0
2014-06-20,106177,108143,104210,106669,7407,357595.0,3295809.0
2014-06-23,105685,110109,105685,107652,7531,360891.0,3295809.0
2014-06-24,108143,108635,105194,107652,9876,360891.0,3295809.0
2014-06-25,106177,107651,105194,106177,6584,355947.0,3295809.0
2014-06-26,106177,107651,105685,107160,4308,359243.0,3295809.0
2014-06-27,107160,107160,105194,106177,3258,355947.0,3295809.0
2014-06-30,106177,106668,102736,106669,8756,357595.0,3295809.0
2014-07-01,106668,107160,104702,107160,3822,359243.0,3295809.0
2014-07-02,107651,112075,107160,111584,14176,374074.0,3295809.0
2014-07-03,111584,112567,109126,111093,10219,372426.0,3295809.0
2014-07-04,110109,113059,110109,112568,8227,377370.0,3295809.0
2014-07-07,114533,114533,111584,113059,4340,379018.0,3295809.0
2014-07-08,113550,114533,112075,113551,4936,380666.0,3295809.0
2014-07-09,113550,117974,113550,114534,14640,383962.0,3295809.0
2014-07-10,115516,116499,114042,116500,4250,390553.0,3295809.0
2014-07-11,116500,116991,114042,115517,6336,387258.0,3295809.0
2014-07-14,115516,116008,113059,114534,7038,383962.0,3295809.0
2014-07-15,115025,116499,98312,101753,85616,341116.0,3295809.0
2014-07-16,101753,102244,95657,101753,37030,341116.0,3295809.0
2014-07-17,101753,101753,98312,100770,21672,337820.0,3295809.0
2014-07-18,99786,103719,99786,103228,12900,346060.0,3295809.0
2014-07-21,103227,105685,100770,104211,14633,349356.0,3295809.0
2014-07-22,104210,107160,102736,107160,11456,359243.0,3295809.0
2014-07-23,107160,107651,104210,106669,9768,357595.0,3295809.0
2014-07-24,107160,107160,100770,102736,18683,344412.0,3295809.0
2014-07-25,101261,107160,101261,106669,11925,357595.0,3295809.0
2014-07-28,106668,107160,104702,106177,9824,355947.0,3295809.0
2014-07-29,106668,106668,101753,106669,21066,357595.0,3295809.0
2014-07-30,104702,107651,104210,106669,7009,357595.0,3295809.0
2014-07-31,107160,108143,105194,108143,4556,362539.0,3295809.0
2014-08-01,106668,111584,106668,111093,9455,372426.0,3295809.0
2014-08-04,111584,113059,109618,112568,7399,377370.0,3295809.0
2014-08-05,113059,115025,110109,112076,12242,375722.0,3295809.0
2014-08-06,111584,112567,110109,112076,10401,375722.0,3295809.0
2014-08-07,112567,114533,110109,111584,10025,374074.0,3295809.0
2014-08-08,111584,112567,109126,112076,14135,375722.0,3295809.0
2014-08-11,111092,112567,110601,112076,5632,375722.0,3295809.0
2014-08-12,111584,111584,110109,111584,7013,374074.0,3295809.0
2014-08-13,111092,113550,110109,113059,4748,379018.0,3295809.0
2014-08-14,112075,113550,111092,112568,4006,377370.0,3295809.0
2014-08-18,112567,113059,110601,111584,4291,374074.0,3295809.0
2014-08-19,111584,112075,110109,111584,8818,374074.0,3295809.0
2014-08-20,110601,111092,107651,109127,21392,365835.0,3295809.0
2014-08-21,109126,109618,106668,109127,4282,365835.0,3295809.0
2014-08-22,108143,109618,108143,109127,2728,365835.0,3295809.0
2014-08-25,108635,111092,107651,109127,7781,365835.0,3295809.0
2014-08-26,109618,110601,108143,110601,5591,370779.0,3295809.0
2014-08-27,109618,111092,107160,108635,19651,364187.0,3295809.0
2014-08-28,107651,110109,105194,109618,15660,367483.0,3295809.0
2014-08-29,108635,115516,108635,114042,17067,382314.0,3295809.0
2014-09-01,116500,116991,112075,115025,10670,385610.0,3295809.0
2014-09-02,114533,117974,113550,117975,7022,395497.0,3295809.0
2014-09-03,117974,117974,116008,117483,3577,393849.0,3295809.0
2014-09-04,116499,117483,113550,116500,10132,390553.0,3295809.0
2014-09-05,115516,118466,114533,115025,6761,385610.0,3295809.0
2014-09-11,114042,115025,111092,112568,8995,377370.0,3295809.0
2014-09-12,112567,113059,109618,111584,6838,374074.0,3295809.0
2014-09-15,111584,112075,109126,112076,7568,375722.0,3295809.0
2014-09-16,112075,113059,110109,112568,5068,377370.0,3295809.0
2014-09-17,112567,113550,110601,112568,6197,377370.0,3295809.0
2014-09-18,112567,113550,110601,112076,8416,375722.0,3295809.0
2014-09-19,112075,112567,109126,110110,15247,369131.0,3295809.0
2014-09-22,108635,110601,108635,110110,5666,369131.0,3295809.0
2014-09-23,110601,112075,108635,111584,15015,374074.0,3295809.0
2014-09-24,111092,112075,110601,111584,9419,374074.0,3295809.0
2014-09-25,111092,111584,106668,108143,24337,362539.0,3295809.0
2014-09-26,107160,108143,104210,108143,18144,362539.0,3295809.0
2014-09-29,107160,108143,104210,106669,23888,357595.0,3295809.0
2014-09-30,106668,107651,104702,107160,10524,359243.0,3295809.0
2014-10-01,106177,107651,104210,104211,8592,349356.0,3295809.0
2014-10-02,103227,105685,102244,105686,8504,354299.0,3295809.0
2014-10-06,105194,106177,100278,103719,19448,347708.0,3295809.0
2014-10-07,103719,106177,101753,105194,14107,352652.0,3295809.0
2014-10-08,104210,104702,103227,104211,1449,349356.0,3295809.0
2014-10-10,103227,105194,102244,104211,8716,349356.0,3295809.0
2014-10-13,102736,105194,102244,104211,6578,349356.0,3295809.0
2014-10-14,103719,104702,102736,104211,8359,349356.0,3295809.0
2014-10-15,103227,105685,103227,103719,4256,347708.0,3295809.0
2014-10-16,103227,106177,102736,106177,6643,355947.0,3295809.0
2014-10-17,104210,106177,103719,104211,7660,349356.0,3295809.0
2014-10-20,104210,104210,101753,102736,14055,344412.0,3295809.0
2014-10-21,103719,103719,101261,102736,5062,344412.0,3295809.0
2014-10-22,102736,104702,101261,103719,9470,347708.0,3295809.0
2014-10-23,102736,104702,101261,102736,8003,344412.0,3295809.0
2014-10-24,102244,103719,100770,102245,6867,342764.0,3295809.0
2014-10-27,101753,110601,101753,108635,23205,364187.0,3295809.0
2014-10-28,108635,108635,104210,106669,14568,357595.0,3295809.0
2014-10-29,106177,108143,103719,107652,13933,360891.0,3295809.0
2014-10-30,106177,107651,104702,105686,10483,354299.0,3295809.0
2014-10-31,105685,107160,104210,107160,8736,359243.0,3295809.0
2014-11-03,106668,106668,105194,105194,6159,352652.0,3295809.0
2014-11-04,104702,106177,103719,103719,9098,347708.0,3295809.0
2014-11-05,103719,106177,103227,106177,8845,355947.0,3295809.0
2014-11-06,105194,110601,104702,110110,30917,369131.0,3295809.0
2014-11-07,109618,111584,108635,109127,16792,365835.0,3295809.0
