신한(005450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,50766,58382,50766,58381,170800,29263.0,8208333.0
1999-01-05,67060,67060,58462,65505,474880,32833.0,8208333.0
1999-01-06,65341,65341,59773,63867,262000,32012.0,8208333.0
1999-01-07,65505,68780,61575,62230,264630,31192.0,8208333.0
1999-01-08,60592,67143,60592,64522,260190,32341.0,8208333.0
1999-01-11,67143,67143,61575,67143,342990,33654.0,8208333.0
1999-01-12,65504,68779,60592,63704,240910,31930.0,8208333.0
1999-01-13,63049,65341,60592,63867,299320,32012.0,8208333.0
1999-01-14,59773,62230,54286,55679,160840,27908.0,8208333.0
1999-01-15,53222,59938,53222,59937,192710,30042.0,8208333.0
1999-01-18,60592,63867,55762,57808,152650,28975.0,8208333.0
1999-01-19,56662,66406,55843,64850,374740,32505.0,8208333.0
1999-01-20,64686,65505,55352,57317,133880,28729.0,8208333.0
1999-01-21,57317,58136,49128,49129,227840,24625.0,8208333.0
1999-01-22,49293,53223,44380,50766,236720,25446.0,8208333.0
1999-01-25,52404,53878,46673,47000,121330,23558.0,8208333.0
1999-01-26,50275,50766,45035,45198,132300,22655.0,8208333.0
1999-01-27,44216,48474,40122,47655,281800,23886.0,8208333.0
1999-01-28,47983,49129,45035,47655,132080,23886.0,8208333.0
1999-01-29,47491,51585,45853,49129,363150,24625.0,8208333.0
1999-02-01,49128,51913,48146,49456,271550,24789.0,8208333.0
1999-02-02,49456,50603,46673,47491,270560,23804.0,8208333.0
1999-02-03,47492,49129,45854,46672,229190,23394.0,8208333.0
1999-02-04,48147,48474,44216,45853,102700,22983.0,8208333.0
1999-02-05,46017,48310,45035,45362,86260,22737.0,8208333.0
1999-02-08,42906,46182,39468,40941,347710,20521.0,8208333.0
1999-02-09,41269,41269,34800,34800,208840,17443.0,8208333.0
1999-02-10,35618,39959,34390,39958,448040,20028.0,8208333.0
1999-02-11,40285,45608,40285,43561,834990,21834.0,8208333.0
1999-02-12,43561,46509,43561,45853,426220,22983.0,8208333.0
1999-02-18,49128,52731,46181,52732,489290,26431.0,8208333.0
1999-02-19,52731,52731,48310,51585,1002360,25856.0,8208333.0
1999-02-22,50112,56498,47983,53714,1158620,26923.0,8208333.0
1999-02-23,53715,55352,50276,51585,640560,25856.0,8208333.0
1999-02-24,51585,53059,45771,45772,623070,22942.0,8208333.0
1999-02-25,42578,47163,41595,43479,574230,21793.0,8208333.0
1999-02-26,43725,47492,43725,47491,542300,23804.0,8208333.0
1999-03-02,49948,51749,49948,50521,394230,25323.0,8208333.0
1999-03-03,50521,51586,47492,47982,355930,24050.0,8208333.0
1999-03-04,49293,55106,49293,51585,787800,25856.0,8208333.0
1999-03-05,50767,52323,49293,50766,327060,25446.0,8208333.0
1999-03-08,55516,58382,54041,58381,1038180,29263.0,8208333.0
1999-03-09,63703,66324,60838,63867,1334050,32012.0,8208333.0
1999-03-10,63049,67142,60428,66815,902450,33490.0,8208333.0
1999-03-11,68617,72875,67962,70745,1046330,35460.0,8208333.0
1999-03-12,72056,73530,67962,69927,755450,35050.0,8208333.0
1999-03-15,72056,73529,67143,67961,613540,34065.0,8208333.0
1999-03-16,65668,69599,65668,68780,543390,34475.0,8208333.0
1999-03-17,70418,72056,58463,58463,2124290,29304.0,8208333.0
1999-03-18,54041,56826,49701,49702,1348530,24912.0,8208333.0
1999-03-19,50767,52568,46673,52076,1285110,26102.0,8208333.0
1999-03-22,49210,53304,49128,49948,664090,25035.0,8208333.0
1999-03-23,51586,53878,50767,52076,687640,26102.0,8208333.0
1999-03-24,50275,51994,49947,51913,463520,26020.0,8208333.0
1999-03-25,51913,53222,50438,50439,425350,25282.0,8208333.0
1999-03-26,50767,51586,49129,49538,388940,24830.0,8208333.0
1999-03-29,49129,50276,47983,48474,301860,24297.0,8208333.0
1999-03-30,50275,50603,48309,48310,307540,24215.0,8208333.0
1999-03-31,47491,49047,45362,46836,441610,23476.0,8208333.0
1999-04-01,46836,48310,46182,46427,330710,23271.0,8208333.0
1999-04-02,46508,47492,39467,43397,557230,21752.0,8208333.0
1999-04-06,40285,46181,39467,43479,589990,21793.0,8208333.0
1999-04-07,45526,45853,43396,44462,349200,22286.0,8208333.0
1999-04-08,44053,44216,41924,42742,346200,21424.0,8208333.0
1999-04-09,44544,44544,42742,43070,416430,21588.0,8208333.0
1999-04-12,43397,44216,41105,42742,384070,21424.0,8208333.0
1999-04-13,42742,48966,42251,48965,849660,24543.0,8208333.0
1999-04-14,49129,50767,44216,44871,566460,22491.0,8208333.0
1999-04-15,45690,48310,44707,47000,631880,23558.0,8208333.0
1999-04-16,49129,51586,46345,46672,632760,23394.0,8208333.0
1999-04-19,47000,49947,46017,47327,575490,23722.0,8208333.0
1999-04-20,49048,49048,45363,46181,353710,23147.0,8208333.0
1999-04-21,45198,47491,41104,41104,486730,20603.0,8208333.0
1999-04-22,42414,44216,41269,42578,273500,21342.0,8208333.0
1999-04-23,43889,44216,41760,41759,252940,20931.0,8208333.0
1999-04-26,42659,44134,41104,41432,357140,20767.0,8208333.0
1999-04-27,42578,43561,40285,41432,439660,20767.0,8208333.0
1999-04-28,42251,42414,40285,40286,421710,20192.0,8208333.0
1999-04-29,40449,41595,39793,39876,311280,19987.0,8208333.0
1999-04-30,40121,42742,39630,40122,347030,20110.0,8208333.0
1999-05-03,41268,42578,40613,42414,384420,21260.0,8208333.0
1999-05-04,44216,44871,42414,43070,383370,21588.0,8208333.0
1999-05-06,43070,47001,42906,45853,642070,22983.0,8208333.0
1999-05-07,47491,48146,44215,47327,561200,23722.0,8208333.0
1999-05-10,44543,47164,44543,45198,304070,22655.0,8208333.0
1999-05-11,45854,47001,42743,42742,357710,21424.0,8208333.0
1999-05-12,42906,43725,40122,40449,342810,20275.0,8208333.0
1999-05-13,40940,41759,39302,39303,280720,19700.0,8208333.0
1999-05-14,38566,40449,37992,38484,173740,19290.0,8208333.0
1999-05-17,37093,37993,36028,36028,184740,18058.0,8208333.0
1999-05-18,34881,37256,32753,34226,195850,17155.0,8208333.0
1999-05-19,35373,37338,34390,36028,324520,18058.0,8208333.0
1999-05-20,36028,36519,32425,32752,164360,16417.0,8208333.0
1999-05-21,32753,33571,31115,31934,163820,16006.0,8208333.0
1999-05-24,32097,32097,28658,30296,198400,15185.0,8208333.0
1999-05-25,29477,30950,29149,29969,176260,15021.0,8208333.0
1999-05-26,29968,33816,29313,33326,393290,16704.0,8208333.0
1999-05-27,34555,34555,31934,31934,244820,16006.0,8208333.0
1999-05-28,31607,34881,30951,34226,349600,17155.0,8208333.0
1999-05-31,34390,37502,34390,36601,355320,18346.0,8208333.0
1999-06-01,36027,37992,34635,35209,238730,17648.0,8208333.0
1999-06-02,35209,35700,32916,34063,235920,17073.0,8208333.0
1999-06-03,32916,36028,32916,34390,265450,17237.0,8208333.0
1999-06-04,34881,35700,33080,33080,254130,16581.0,8208333.0
1999-06-07,33571,34390,33326,33981,216000,17032.0,8208333.0
1999-06-08,34226,34881,33571,33899,197150,16991.0,8208333.0
1999-06-09,33408,35537,32753,32752,242420,16417.0,8208333.0
1999-06-10,32916,33490,32589,32752,107740,16417.0,8208333.0
1999-06-11,32097,33244,32097,32097,163990,16088.0,8208333.0
1999-06-14,32097,33489,32097,32097,116900,16088.0,8208333.0
1999-06-15,32097,33080,30050,30460,155910,15267.0,8208333.0
1999-06-16,31198,32426,30460,31606,141100,15842.0,8208333.0
1999-06-17,31443,32260,29477,29477,99240,14775.0,8208333.0
1999-06-18,31934,32753,30705,31197,174910,15637.0,8208333.0
1999-06-21,31115,33080,30459,31197,182380,15637.0,8208333.0
1999-06-22,31116,32589,31116,31606,208830,15842.0,8208333.0
1999-06-23,31689,32098,30133,31442,181240,15760.0,8208333.0
1999-06-24,31934,34226,31934,32097,308130,16088.0,8208333.0
1999-06-25,32097,34389,32097,33408,422330,16745.0,8208333.0
1999-06-28,34063,34063,31361,31361,195260,15719.0,8208333.0
1999-06-29,31197,35700,31197,33571,442850,16827.0,8208333.0
1999-06-30,33080,34227,31115,31688,209670,15883.0,8208333.0
1999-07-01,31934,33162,31278,31279,182890,15678.0,8208333.0
1999-07-02,31934,32097,31197,31770,216540,15924.0,8208333.0
1999-07-05,31278,33735,31115,32589,230340,16335.0,8208333.0
1999-07-06,33571,34555,32426,32916,261800,16499.0,8208333.0
1999-07-07,34390,34390,32425,32752,300070,16417.0,8208333.0
1999-07-08,32916,37666,32753,37665,957800,18879.0,8208333.0
1999-07-09,38649,40778,36683,39139,813080,19618.0,8208333.0
1999-07-12,39631,44953,39631,44380,941910,22245.0,8208333.0
1999-07-13,44380,45853,38811,39303,408320,19700.0,8208333.0
1999-07-14,39302,43724,39139,41923,648930,21013.0,8208333.0
1999-07-15,42742,45198,39467,39958,488700,20028.0,8208333.0
1999-07-16,40778,40941,37993,40449,364840,20275.0,8208333.0
1999-07-19,42579,43397,38894,39631,398960,19864.0,8208333.0
1999-07-20,39139,39794,33735,36437,722540,18264.0,8208333.0
1999-07-21,33736,36028,32180,32425,417570,16252.0,8208333.0
1999-07-22,33245,34390,32015,34226,401650,17155.0,8208333.0
1999-07-23,35209,37502,32753,32752,589140,16417.0,8208333.0
1999-07-26,33571,36028,30296,31934,611230,16006.0,8208333.0
1999-07-27,32753,34390,31934,32589,342450,16335.0,8208333.0
1999-07-28,31279,32753,31115,31934,384170,16006.0,8208333.0
1999-07-29,31934,33490,31198,32671,638970,16376.0,8208333.0
1999-07-30,32753,32753,30378,30460,419060,15267.0,8208333.0
1999-08-02,29477,30787,28822,28904,347390,14488.0,8208333.0
1999-08-03,28166,30213,28166,28986,455300,14529.0,8208333.0
1999-08-04,29314,32425,29314,30132,474950,15103.0,8208333.0
1999-08-05,30297,31607,28495,28495,317210,14282.0,8208333.0
1999-08-06,30132,30132,28658,29477,178930,14775.0,8208333.0
1999-08-09,29477,31115,28986,29969,366930,15021.0,8208333.0
1999-08-10,29149,30378,28658,29477,280730,14775.0,8208333.0
1999-08-11,29805,30214,28412,28413,223330,14241.0,8208333.0
1999-08-12,28658,29232,27921,28331,203010,14200.0,8208333.0
1999-08-13,28332,28659,25056,26202,899280,13133.0,8208333.0
1999-08-16,26202,27512,25465,25547,487870,12805.0,8208333.0
1999-08-17,25384,25547,21781,21780,534640,10917.0,8208333.0
1999-08-18,18669,19651,18587,18587,404250,9316.0,8208333.0
1999-08-19,18915,21290,17196,21289,1093000,10671.0,8208333.0
1999-08-20,20961,22354,19814,21207,364000,10630.0,8208333.0
1999-08-23,21618,22681,21453,21780,477620,10917.0,8208333.0
1999-08-24,21780,24892,21780,23746,713400,11902.0,8208333.0
1999-08-25,23745,24892,22354,22354,562260,11204.0,8208333.0
1999-08-26,22599,23745,21617,22272,593580,11163.0,8208333.0
1999-08-27,21453,22681,19651,20307,435730,10178.0,8208333.0
1999-08-30,20470,21371,19979,20307,360910,10178.0,8208333.0
1999-08-31,19652,21290,19652,20798,472370,10425.0,8208333.0
1999-09-01,20633,23254,20061,22272,835390,11163.0,8208333.0
1999-09-02,23746,23746,20634,21289,637690,10671.0,8208333.0
1999-09-03,20634,23991,20471,22599,915990,11327.0,8208333.0
1999-09-06,22600,22600,22600,22599,0,11327.0,8208333.0
1999-09-07,19243,19243,19243,19242,4490,9645.0,8208333.0
1999-09-08,16377,16377,16377,16376,4160,8208.0,8208333.0
1999-09-09,14165,14656,13919,13920,2551390,6977.0,8208333.0
1999-09-10,13592,13592,12282,13183,1262490,6608.0,8208333.0
1999-09-13,12283,12364,11709,11791,892870,5910.0,8208333.0
1999-09-14,12201,13511,12201,13510,691240,6772.0,8208333.0
1999-09-15,13101,13593,12446,12528,699430,6279.0,8208333.0
1999-09-16,12774,12774,12037,12282,287010,6156.0,8208333.0
1999-09-17,11955,11955,11464,11463,538750,5746.0,8208333.0
1999-09-20,11544,13182,11463,13183,896510,6608.0,8208333.0
1999-09-21,12855,13019,11790,11791,632810,5910.0,8208333.0
1999-09-22,11545,11710,11300,11709,331930,5869.0,8208333.0
1999-09-27,11627,11627,11218,11300,213550,5664.0,8208333.0
1999-09-28,11053,11463,11053,11381,261770,5705.0,8208333.0
1999-09-29,11627,11627,10973,10972,271160,5500.0,8208333.0
1999-09-30,10808,10972,10317,10317,140640,5171.0,8208333.0
1999-10-01,10317,10317,9580,9908,416990,4966.0,8208333.0
1999-10-04,10317,11382,9826,10153,458500,5089.0,8208333.0
1999-10-05,10153,10481,9825,9826,276620,4925.0,8208333.0
1999-10-06,9497,10153,9497,9826,126870,4925.0,8208333.0
1999-10-07,9989,10154,9826,10153,208630,5089.0,8208333.0
1999-10-08,10645,10645,9989,10153,215940,5089.0,8208333.0
1999-10-11,10153,10153,9908,10071,198310,5048.0,8208333.0
1999-10-12,9908,10317,9826,10153,221640,5089.0,8208333.0
1999-10-13,10154,10482,10072,10153,274730,5089.0,8208333.0
1999-10-14,10153,10153,9908,10071,205040,5048.0,8208333.0
1999-10-15,9989,10154,9908,9908,248260,4966.0,8208333.0
1999-10-18,9743,9825,9497,9580,179600,4802.0,8208333.0
1999-10-19,9580,9989,9498,9662,268920,4843.0,8208333.0
1999-10-20,9826,9826,9662,9744,121320,4884.0,8208333.0
1999-10-21,9826,9989,9663,9662,166400,4843.0,8208333.0
1999-10-22,9825,9825,9580,9580,110000,4802.0,8208333.0
1999-10-25,9663,9663,8761,8843,149980,4432.0,8208333.0
1999-10-26,8679,8679,8352,8516,142670,4268.0,8208333.0
1999-10-27,8434,9335,8434,9334,339370,4679.0,8208333.0
1999-10-28,9416,9416,9006,9007,259000,4515.0,8208333.0
1999-10-29,8434,8844,8434,8843,142760,4432.0,8208333.0
1999-11-01,8925,10153,8598,9498,246470,4761.0,8208333.0
1999-11-02,9417,9417,9172,9334,206730,4679.0,8208333.0
1999-11-03,9007,9171,8926,8925,127230,4474.0,8208333.0
1999-11-04,8761,9171,8761,9007,114480,4515.0,8208333.0
1999-11-05,9171,9171,8761,9007,80080,4515.0,8208333.0
1999-11-08,9089,9089,8844,8843,113370,4432.0,8208333.0
1999-11-09,8761,8926,8598,8843,122000,4432.0,8208333.0
1999-11-10,8926,9007,8679,8679,154190,4350.0,8208333.0
1999-11-11,8679,8679,8352,8434,271580,4227.0,8208333.0
1999-11-12,8352,8679,8352,8352,124060,4186.0,8208333.0
