동부건설(005960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,101077,111467,98433,111467,111750,47155.0,6196392.0
1999-01-05,115873,120127,108256,112785,158320,47712.0,6196392.0
1999-01-06,112803,114264,106203,109124,122630,46163.0,6196392.0
1999-01-07,106937,111337,106937,107805,125420,45605.0,6196392.0
1999-01-08,108403,114264,108403,109124,132020,46163.0,6196392.0
1999-01-11,111181,119961,109129,114250,190230,48332.0,6196392.0
1999-01-12,117177,119377,108543,109856,171160,46473.0,6196392.0
1999-01-13,108397,112057,106936,109710,95220,46411.0,6196392.0
1999-01-14,105631,105631,95220,95941,97510,40586.0,6196392.0
1999-01-15,92298,101819,92298,101800,93380,43065.0,6196392.0
1999-01-18,103994,106935,99614,100335,88730,42445.0,6196392.0
1999-01-19,100335,111337,96822,103997,113400,43994.0,6196392.0
1999-01-20,104738,105480,98009,98138,51720,41516.0,6196392.0
1999-01-21,94477,97419,87896,88617,44220,37488.0,6196392.0
1999-01-22,83498,90820,79097,86420,95090,36559.0,6196392.0
1999-01-25,88049,90820,80727,80708,40580,34142.0,6196392.0
1999-01-26,84964,87906,76181,76606,48020,32407.0,6196392.0
1999-01-27,73388,84096,73261,84076,65090,35567.0,6196392.0
1999-01-28,82184,85844,80576,81000,55840,34266.0,6196392.0
1999-01-29,82028,86281,81287,85541,47930,36187.0,6196392.0
1999-02-01,84961,89215,82040,88031,90390,37240.0,6196392.0
1999-02-02,90808,90808,83489,83637,42280,35381.0,6196392.0
1999-02-03,84383,86435,81293,81293,43340,34390.0,6196392.0
1999-02-04,81436,84800,76168,79829,43810,33770.0,6196392.0
1999-02-05,79827,83190,76314,79975,36410,33832.0,6196392.0
1999-02-08,77631,82032,77631,77632,32550,32841.0,6196392.0
1999-02-09,83500,83500,73257,73237,38900,30982.0,6196392.0
1999-02-10,74131,82045,70322,82026,115030,34700.0,6196392.0
1999-02-11,82041,86294,80580,80561,112300,34080.0,6196392.0
1999-02-12,83489,85391,80864,83637,74010,35381.0,6196392.0
1999-02-18,86430,86430,82030,83491,50310,35319.0,6196392.0
1999-02-19,80716,83489,76908,81733,29780,34576.0,6196392.0
