CJ제일제당(097950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-09-28,221000,254000,221000,230000,509746,2593638.0,11276688.0
2007-10-01,230000,233000,220000,220000,267416,2480871.0,11276688.0
2007-10-02,229000,247500,226000,245000,239345,2762789.0,11276688.0
2007-10-04,247000,263000,241000,255000,221795,2875555.0,11276688.0
2007-10-05,255000,257000,245000,252500,112563,2847364.0,11276688.0
2007-10-08,257500,257500,243000,247000,123858,2785342.0,11276688.0
2007-10-09,246500,246500,234000,239000,179313,2695128.0,11276688.0
2007-10-10,241500,255000,241000,252000,138813,2841725.0,11276688.0
2007-10-11,252000,262000,250500,256500,127912,2892470.0,11276688.0
2007-10-12,261000,274000,258000,271000,224055,3055982.0,11276688.0
2007-10-15,278500,278500,265000,273500,89375,3084174.0,11276688.0
2007-10-16,268500,276000,267000,273000,78480,3078536.0,11276688.0
2007-10-17,268500,271500,258500,268000,134568,3022152.0,11276688.0
2007-10-18,272000,292000,268000,289500,243934,3264601.0,11276688.0
2007-10-19,295000,296000,284500,289500,135169,3264601.0,11276688.0
2007-10-22,270500,286500,266500,285000,89734,3213856.0,11276688.0
2007-10-23,291500,299000,282000,297500,207455,3354815.0,11276688.0
2007-10-24,300000,305000,290500,290500,152206,3275878.0,11276688.0
2007-10-25,292000,297000,279000,291500,117261,3287155.0,11276688.0
2007-10-26,290000,309500,284000,307500,225373,3467582.0,11276688.0
2007-10-29,312000,318500,300000,302000,167023,3405560.0,11276688.0
2007-10-30,310000,310000,296500,300000,97325,3383006.0,11276688.0
2007-10-31,298500,302000,295000,298500,64175,3366091.0,11276688.0
2007-11-01,303000,309500,298000,309500,113152,3490135.0,11276688.0
2007-11-02,300000,304500,289000,299000,89542,3371730.0,11276688.0
2007-11-05,295000,299500,287000,299500,59702,3377368.0,11276688.0
2007-11-06,299500,300000,281000,290000,181969,3270240.0,11276688.0
2007-11-07,291000,300000,281000,300000,114666,3383006.0,11276688.0
2007-11-08,290500,295000,272500,275500,130040,3106728.0,11276688.0
2007-11-09,286500,297000,284500,296500,142926,3343538.0,11276688.0
2007-11-12,295000,295000,281500,287000,71911,3236409.0,11276688.0
2007-11-13,289000,290500,275000,281000,49832,3168749.0,11276688.0
2007-11-14,285000,288000,281500,281500,53071,3174388.0,11276688.0
2007-11-15,281500,283000,270500,274000,72344,3089813.0,11276688.0
2007-11-16,269500,276500,264000,276500,70375,3118004.0,11276688.0
2007-11-19,276500,283000,272000,280000,63665,3157473.0,11276688.0
2007-11-20,272500,278000,266000,268500,63117,3027791.0,11276688.0
2007-11-21,268500,273000,261000,262500,67616,2960131.0,11276688.0
2007-11-22,260000,273000,257000,267000,50409,3010876.0,11276688.0
2007-11-23,267000,272000,259000,265000,56780,2988322.0,11276688.0
2007-11-26,269000,269000,264000,265000,87036,2988322.0,11276688.0
2007-11-27,259000,262500,254000,254000,69824,2864279.0,11276688.0
2007-11-28,258000,271500,258000,265500,69587,2993961.0,11276688.0
2007-11-29,271000,278000,266000,277000,82257,3123643.0,11276688.0
2007-11-30,276500,285000,273000,282000,52669,3180026.0,11276688.0
2007-12-03,282000,285500,277000,282500,32640,3185664.0,11276688.0
2007-12-04,277500,284000,277000,282500,36307,3185664.0,11276688.0
2007-12-05,280000,286000,278500,285000,31394,3213856.0,11276688.0
2007-12-06,286000,291500,278500,282500,60945,3185664.0,11276688.0
2007-12-07,285000,285000,277000,278000,55477,3134919.0,11276688.0
2007-12-10,280000,288000,275000,285000,47345,3213856.0,11276688.0
2007-12-11,285000,285500,279000,284500,47396,3208218.0,11276688.0
2007-12-12,278000,289500,276000,283000,34189,3191303.0,11276688.0
2007-12-13,283500,294000,280000,290000,106784,3270240.0,11276688.0
2007-12-14,290000,295000,287000,288500,34937,3253324.0,11276688.0
2007-12-17,285000,292000,278000,280000,39567,3157473.0,11276688.0
2007-12-18,276000,288000,273000,288000,27203,3247686.0,11276688.0
2007-12-20,284500,287500,281000,285000,38831,3213856.0,11276688.0
2007-12-21,283000,285000,275500,285000,56381,3213856.0,11276688.0
2007-12-24,285000,289000,282000,289000,43062,3258963.0,11276688.0
2007-12-26,289000,296000,285500,294000,71080,3315346.0,11276688.0
2007-12-27,295000,295000,288500,295000,25512,3326623.0,11276688.0
