LG화학(051910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-04-25,20621,20621,17563,18489,3094940,837526.0,64425064.0
2001-04-26,17918,18416,17492,17636,1197840,798871.0,64425064.0
2001-04-27,17280,18204,17066,18062,854340,818198.0,64425064.0
2001-04-30,17706,18275,17706,18204,803230,824641.0,64425064.0
2001-05-02,18345,18843,17990,18489,851580,837526.0,64425064.0
2001-05-03,18631,21262,18417,21262,3525520,963155.0,64425064.0
2001-05-04,21262,21475,20266,21191,1314760,959933.0,64425064.0
2001-05-07,21617,21617,20693,21120,977780,956712.0,64425064.0
2001-05-08,20621,22114,20550,20978,569580,950270.0,64425064.0
2001-05-09,20480,21048,20480,20764,384160,940606.0,64425064.0
2001-05-10,20763,21403,20407,20836,488110,943827.0,64425064.0
2001-05-11,20977,21546,20906,21191,587790,959933.0,64425064.0
2001-05-14,21333,21475,20906,21120,242770,956712.0,64425064.0
2001-05-15,21475,21475,20764,21120,257460,956712.0,64425064.0
2001-05-16,20977,21120,20124,20622,613630,934163.0,64425064.0
2001-05-17,21119,22327,20763,22258,1695490,1008252.0,64425064.0
2001-05-18,23182,25528,22968,24960,2393500,1130660.0,64425064.0
2001-05-21,26310,26310,24887,25956,1283130,1175757.0,64425064.0
2001-05-22,25954,26167,25101,25316,750020,1146766.0,64425064.0
2001-05-23,25883,26950,25456,26169,718120,1185421.0,64425064.0
2001-05-24,25600,26595,25315,26453,311830,1198306.0,64425064.0
2001-05-25,26880,27591,26453,27093,475520,1227297.0,64425064.0
2001-05-28,27022,27235,26524,27022,318730,1224076.0,64425064.0
2001-05-29,26453,26880,26097,26880,401790,1217634.0,64425064.0
2001-05-30,26453,27733,26311,27520,464750,1246625.0,64425064.0
2001-05-31,26310,26950,26238,26596,413890,1204749.0,64425064.0
2001-06-01,26737,26880,25173,25173,381340,1140324.0,64425064.0
2001-06-04,24461,25456,24176,24747,383570,1120996.0,64425064.0
2001-06-05,25030,25385,24745,24747,602130,1120996.0,64425064.0
2001-06-07,24745,25172,23963,24036,434610,1088784.0,64425064.0
2001-06-08,24176,25954,24034,25956,457780,1175757.0,64425064.0
2001-06-11,25314,26239,25030,26169,201760,1185421.0,64425064.0
2001-06-12,26026,26026,25600,25813,92040,1169315.0,64425064.0
2001-06-13,25812,26310,25314,25316,173600,1146766.0,64425064.0
2001-06-14,25173,25884,25031,25884,286680,1172536.0,64425064.0
2001-06-15,25456,25527,24674,25529,214990,1156430.0,64425064.0
2001-06-18,24887,25527,24816,25316,130650,1146766.0,64425064.0
2001-06-19,24960,25031,24106,24604,393790,1114554.0,64425064.0
2001-06-20,23892,24319,23679,24036,212080,1088784.0,64425064.0
2001-06-21,23607,23963,22754,23609,596900,1069456.0,64425064.0
2001-06-22,23323,24816,23323,24178,381200,1095226.0,64425064.0
2001-06-25,23536,24887,23536,24747,319530,1120996.0,64425064.0
2001-06-26,24745,25385,24176,25316,358010,1146766.0,64425064.0
2001-06-27,25315,25600,24675,25600,170960,1159651.0,64425064.0
2001-06-28,25314,25599,24674,24818,216140,1124217.0,64425064.0
2001-06-29,25031,25244,24462,24604,450970,1114554.0,64425064.0
2001-07-02,24533,24960,24462,24533,151680,1111332.0,64425064.0
2001-07-03,24603,24745,24319,24676,298710,1117775.0,64425064.0
2001-07-04,24320,24604,23964,24604,199000,1114554.0,64425064.0
2001-07-05,23963,24461,23963,24178,181250,1095226.0,64425064.0
2001-07-06,23679,24176,23679,24036,210850,1088784.0,64425064.0
2001-07-09,23751,23822,22471,23040,536740,1043686.0,64425064.0
2001-07-10,23182,23253,22328,22542,280310,1021137.0,64425064.0
2001-07-11,22044,23040,21404,22613,624470,1024359.0,64425064.0
2001-07-12,23039,23679,23039,23609,372000,1069456.0,64425064.0
2001-07-13,23607,23963,22612,23609,328090,1069456.0,64425064.0
2001-07-16,22897,23466,22826,23111,194520,1046907.0,64425064.0
2001-07-18,22541,23039,21616,22756,502080,1030801.0,64425064.0
2001-07-19,21831,22328,21760,22044,117500,998588.0,64425064.0
2001-07-20,22044,22755,21973,22044,271140,998588.0,64425064.0
2001-07-23,21545,22043,21403,21618,136980,979261.0,64425064.0
2001-07-24,21475,21475,20124,20764,333950,940606.0,64425064.0
2001-07-25,19911,20906,19911,20764,189010,940606.0,64425064.0
2001-07-26,20906,20906,20266,20764,241270,940606.0,64425064.0
2001-07-27,20976,21687,20834,21476,267560,972818.0,64425064.0
2001-07-30,21047,21047,20763,20907,65660,947048.0,64425064.0
2001-07-31,20408,20764,20266,20622,351100,934163.0,64425064.0
2001-08-01,20621,21261,20407,21049,574350,953491.0,64425064.0
2001-08-02,21261,21261,20407,20409,386170,924500.0,64425064.0
2001-08-03,20480,22186,20480,21831,901040,988925.0,64425064.0
2001-08-06,21333,21973,21333,21831,242990,988925.0,64425064.0
2001-08-07,21333,21831,21333,21831,173010,988925.0,64425064.0
2001-08-08,22043,22541,21901,22258,547240,1008252.0,64425064.0
2001-08-09,21760,22257,21120,21191,317110,959933.0,64425064.0
2001-08-10,21332,21474,20905,21049,151480,953491.0,64425064.0
2001-08-13,21119,21830,20834,21689,435870,982482.0,64425064.0
2001-08-14,21760,22542,21688,22471,436100,1017916.0,64425064.0
2001-08-16,22185,23750,21901,22969,572860,1040465.0,64425064.0
2001-08-17,23111,23822,22968,23751,750110,1075899.0,64425064.0
2001-08-20,23323,23323,22754,22898,164060,1037244.0,64425064.0
2001-08-21,22755,23324,22684,23040,154860,1043686.0,64425064.0
2001-08-22,23039,23181,22683,22898,138040,1037244.0,64425064.0
2001-08-23,23111,23324,22826,23182,132710,1050129.0,64425064.0
2001-08-24,23466,23466,22684,23040,93410,1043686.0,64425064.0
2001-08-27,23324,23964,22897,23751,222180,1075899.0,64425064.0
2001-08-28,23751,23893,23466,23751,131150,1075899.0,64425064.0
