엔케이물산(009810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1146853,1181606,1113838,1145116,1062000,18274.0,2773024.0
1999-01-05,1179875,1249381,1138171,1216365,1973700,19411.0,2773024.0
1999-01-06,1216366,1344954,1198990,1285873,2650100,20520.0,2773024.0
1999-01-07,1322360,1336261,1233739,1251116,1800900,19966.0,2773024.0
1999-01-08,1251113,1337996,1216361,1337997,2859600,21352.0,2773024.0
1999-01-11,1407504,1537828,1397078,1537829,5587700,24541.0,2773024.0
1999-01-12,1616028,1702911,1529145,1598651,5706300,25512.0,2773024.0
1999-01-13,1598651,1685534,1477014,1598651,3705900,25512.0,2773024.0
1999-01-14,1530879,1544780,1358850,1358851,1898000,21685.0,2773024.0
1999-01-15,1390132,1450951,1338002,1442262,2657400,23016.0,2773024.0
1999-01-18,1503077,1650779,1459636,1643829,4330200,26233.0,2773024.0
1999-01-19,1685534,1685534,1459638,1468326,2322100,23432.0,2773024.0
1999-01-20,1477010,1581270,1423143,1423143,2269300,22711.0,2773024.0
1999-01-21,1390128,1459634,1303245,1355375,1328200,21630.0,2773024.0
1999-01-22,1372752,1372752,1251116,1251116,1053600,19966.0,2773024.0
1999-01-25,1268490,1285867,1218098,1226786,961100,19578.0,2773024.0
1999-01-26,1235477,1303245,1216362,1225051,1385900,19550.0,2773024.0
1999-01-27,1174660,1268494,1155546,1268494,1221500,20243.0,2773024.0
1999-01-28,1226788,1355374,1218099,1289343,2071800,20576.0,2773024.0
1999-01-29,1294559,1320624,1252855,1268494,1238300,20243.0,2773024.0
1999-02-01,1303247,1311935,1270232,1294559,1162300,20659.0,2773024.0
1999-02-02,1318885,1355376,1268493,1287608,1416000,20548.0,2773024.0
1999-02-03,1289343,1289343,1218099,1233738,1163400,19688.0,2773024.0
1999-02-04,1233737,1251114,1185083,1207673,870000,19273.0,2773024.0
1999-02-05,1195509,1232000,1181608,1204197,798900,19217.0,2773024.0
1999-02-08,1204198,1238950,1181607,1181608,814000,18857.0,2773024.0
1999-02-09,1153810,1153810,1042600,1059976,674500,16915.0,2773024.0
1999-02-10,1059975,1096465,1007844,1079089,723900,17220.0,2773024.0
1999-02-11,1129479,1129479,1086038,1103414,739100,17609.0,2773024.0
1999-02-12,1103417,1129482,1099942,1112106,603400,17747.0,2773024.0
1999-02-18,1129479,1160757,1077349,1077349,406100,17193.0,2773024.0
1999-02-19,1044337,1066927,1007847,1059976,461400,16915.0,2773024.0
1999-02-22,1044333,1086038,1009580,1028695,347500,16416.0,2773024.0
1999-02-23,1042599,1042599,990469,990468,229600,15806.0,2773024.0
1999-02-24,990469,1016534,981781,981782,323500,15668.0,2773024.0
1999-02-25,955715,973092,938339,941814,408200,15030.0,2773024.0
1999-02-26,941810,1000891,941810,992203,481100,15834.0,2773024.0
1999-03-02,1025219,1047809,1007842,1025219,584700,16361.0,2773024.0
1999-03-03,1042599,1051288,992207,1000895,251200,15973.0,2773024.0
1999-03-04,1013056,1103414,985254,1080825,648700,17248.0,2773024.0
