S&T모티브(064960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-03-11,10000,11500,10000,11500,1863,15820.0,1375693.0
2002-03-12,13200,13200,13200,13200,826,18159.0,1375693.0
2002-03-13,15150,15150,15150,15150,576,20842.0,1375693.0
2002-03-14,17400,17400,17400,17400,624,23937.0,1375693.0
2002-03-15,20000,20000,20000,20000,894,27514.0,1375693.0
2002-03-18,23000,23000,23000,23000,9063,31641.0,1375693.0
2002-03-19,26450,26450,26450,26450,4854,36387.0,1375693.0
2002-03-20,30400,30400,30400,30400,2014,41821.0,1375693.0
2002-03-21,34950,34950,34950,34950,1996,48080.0,1375693.0
2002-03-22,40150,40150,38100,40150,118992,55234.0,1375693.0
2002-03-25,37550,46150,35450,46150,177679,63488.0,1375693.0
2002-03-26,49800,53000,48000,53000,30471,72912.0,1375693.0
2002-03-27,60900,60900,55000,60900,118595,83780.0,1375693.0
2002-03-28,64500,70000,63900,70000,118523,96299.0,1375693.0
2002-03-29,74600,80500,65100,77000,288914,105928.0,1375693.0
2002-04-01,77000,81900,65500,65500,164340,90108.0,1375693.0
2002-04-02,60000,74000,56100,64200,447651,88319.0,1375693.0
2002-04-03,67200,73800,67100,73800,139543,101526.0,1375693.0
2002-04-04,84800,84800,84800,84800,16044,116659.0,1375693.0
2002-04-08,90000,97400,75000,78100,409601,107442.0,1375693.0
2002-04-09,80300,85300,74000,79500,168583,109368.0,1375693.0
2002-04-10,83000,84800,67600,68000,171593,93547.0,1375693.0
2002-04-11,60200,71300,60200,64500,179245,88732.0,1375693.0
2002-04-12,64500,67000,54900,54900,113804,75526.0,1375693.0
2002-04-15,54900,57000,46750,50000,145221,68785.0,1375693.0
2002-04-16,51500,57500,51000,57500,117015,79102.0,1375693.0
2002-04-17,61500,65500,58700,58900,200795,81028.0,1375693.0
2002-04-18,57000,59500,51500,53000,112731,72912.0,1375693.0
2002-04-19,56100,56100,50400,52800,69321,72637.0,1375693.0
2002-04-22,50300,52800,48050,49000,83087,67409.0,1375693.0
2002-04-23,46000,48700,42500,43500,72751,59843.0,1375693.0
2002-04-24,44000,48000,41000,44050,84133,60599.0,1375693.0
2002-04-25,41550,42950,38300,39000,60301,53652.0,1375693.0
2002-04-26,38200,42400,38200,40000,72176,55028.0,1375693.0
2002-04-29,36400,39000,34200,34550,50470,47530.0,1375693.0
2002-04-30,35200,36000,31300,32800,69690,45123.0,1375693.0
2002-05-02,33600,37700,33600,37700,19089,51864.0,1375693.0
2002-05-03,43350,43350,43350,43350,14944,59636.0,1375693.0
2002-05-06,49400,49850,45000,49850,218909,68578.0,1375693.0
2002-05-07,49850,56600,44000,44650,302821,61425.0,1375693.0
2002-05-08,46850,51300,46000,51300,273645,70573.0,1375693.0
2002-05-09,54100,56000,49600,51200,193201,70435.0,1375693.0
2002-05-10,50400,54400,50200,52100,156719,71674.0,1375693.0
2002-05-13,51500,55500,51500,52300,136102,71949.0,1375693.0
2002-05-14,53000,54300,46900,48500,125019,66721.0,1375693.0
2002-05-15,51600,51800,46500,49500,79980,68097.0,1375693.0
2002-05-16,44000,50000,44000,46300,68642,63695.0,1375693.0
2002-05-17,48000,49100,45850,46500,86720,63970.0,1375693.0
2002-05-20,47100,47700,46050,46050,52121,63351.0,1375693.0
2002-05-21,44450,46900,43250,43400,57915,59705.0,1375693.0
2002-05-22,42550,43400,41000,41450,71652,57022.0,1375693.0
2002-05-23,41500,47650,41500,47650,271765,65552.0,1375693.0
2002-05-24,47600,49450,42650,42850,99157,58948.0,1375693.0
2002-05-27,43500,44850,40600,42550,60334,58536.0,1375693.0
2002-05-28,42050,42900,41250,41400,41023,56954.0,1375693.0
2002-05-29,40050,40900,38150,38300,46242,52689.0,1375693.0
2002-05-30,36100,38300,34400,34900,37057,48012.0,1375693.0
2002-05-31,33500,40100,33400,37050,162842,50969.0,1375693.0
2002-06-03,35750,37700,34500,35400,51905,48700.0,1375693.0
2002-06-04,34600,37650,34600,35200,33318,48424.0,1375693.0
