한전기술(052690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-14,27000,31050,27000,31050,3861833,1186731.0,38220000.0
2009-12-15,31900,35050,30150,31700,4067595,1211574.0,38220000.0
2009-12-16,32150,32750,31350,31950,815744,1221129.0,38220000.0
2009-12-17,31700,33100,31500,32450,776968,1240239.0,38220000.0
2009-12-18,32150,33850,32150,33500,666739,1280370.0,38220000.0
2009-12-21,34200,36450,33850,36150,821025,1381653.0,38220000.0
2009-12-22,37800,41550,37100,41550,1554101,1588041.0,38220000.0
2009-12-23,42750,47750,42500,47750,1474584,1825005.0,38220000.0
2009-12-24,51100,54700,48050,49250,2035500,1882335.0,38220000.0
2009-12-28,56600,56600,56600,56600,68576,2163252.0,38220000.0
2009-12-29,61100,64900,57800,62300,2179387,2381106.0,38220000.0
2009-12-30,60700,61600,56200,57100,1533503,2182362.0,38220000.0
2010-01-04,55200,62200,52700,59400,2219720,2270268.0,38220000.0
2010-01-05,59000,62400,56500,56600,866838,2163252.0,38220000.0
2010-01-06,56500,62600,55000,60900,1770613,2327598.0,38220000.0
2010-01-07,61300,61600,58600,58600,556639,2239692.0,38220000.0
2010-01-08,60400,67300,59500,67300,1366725,2572206.0,38220000.0
2010-01-11,71200,77300,71000,74300,2193834,2839746.0,38220000.0
2010-01-12,73100,77100,69600,72500,2058270,2770950.0,38220000.0
2010-01-13,72400,82200,71400,75500,4142694,2885610.0,38220000.0
2010-01-14,77000,80500,76400,78300,2093977,2992626.0,38220000.0
2010-01-15,79600,79900,75800,76100,1010958,2908542.0,38220000.0
2010-01-18,80600,87500,80300,87500,1973112,3344250.0,38220000.0
2010-01-19,89100,91400,82700,86000,1851605,3286920.0,38220000.0
2010-01-20,88200,96400,86000,89300,1968563,3413046.0,38220000.0
2010-01-21,86300,89300,78300,84500,1165146,3229590.0,38220000.0
2010-01-22,81900,87500,81700,85400,656285,3263988.0,38220000.0
2010-01-25,85800,87800,73500,75500,843025,2885610.0,38220000.0
2010-01-26,76000,78600,64200,65800,1426384,2514876.0,38220000.0
2010-01-27,67400,71200,62800,69100,1290345,2641002.0,38220000.0
2010-01-28,70100,70600,63600,65600,698810,2507232.0,38220000.0
2010-01-29,63900,64500,58700,59000,618039,2254980.0,38220000.0
2010-02-01,59400,67800,59300,67800,1069994,2591316.0,38220000.0
2010-02-02,69200,70700,65400,66000,1227818,2522520.0,38220000.0
2010-02-03,67800,69000,66100,67000,371785,2560740.0,38220000.0
2010-02-04,68100,69400,66100,67600,359479,2583672.0,38220000.0
2010-02-05,63700,64900,62400,64000,366452,2446080.0,38220000.0
2010-02-08,64900,65300,61000,61600,257773,2354352.0,38220000.0
2010-02-09,61000,64400,60000,64400,417775,2461368.0,38220000.0
2010-02-10,65600,70400,65200,68000,1222109,2598960.0,38220000.0
2010-02-11,67500,69600,67400,68400,362123,2614248.0,38220000.0
2010-02-12,69600,74700,69000,74000,901655,2828280.0,38220000.0
2010-02-16,74000,77300,72800,75100,624639,2870322.0,38220000.0
2010-02-17,78000,83800,77700,79200,1171621,3027024.0,38220000.0
2010-02-18,80500,80600,77700,78500,473055,3000270.0,38220000.0
2010-02-19,78200,80500,77500,78800,520447,3011736.0,38220000.0
2010-02-22,81000,81000,78100,78600,311226,3004092.0,38220000.0
2010-02-23,78500,79700,77300,78300,229362,2992626.0,38220000.0
2010-02-24,77500,79500,76700,79500,290857,3038490.0,38220000.0
2010-02-25,80500,80600,77500,77600,254593,2965872.0,38220000.0
2010-02-26,77800,78600,76700,78000,148569,2981160.0,38220000.0
2010-03-02,78600,78600,75300,76000,279219,2904720.0,38220000.0
2010-03-03,78800,80100,76900,76900,523511,2939118.0,38220000.0
2010-03-04,79500,80200,77700,80200,496000,3065244.0,38220000.0
2010-03-05,80800,81400,79200,81400,422235,3111108.0,38220000.0
2010-03-08,81500,82000,80300,82000,308732,3134040.0,38220000.0
2010-03-09,83000,89100,82200,85800,1003489,3279276.0,38220000.0
2010-03-10,86300,87400,84600,86900,468168,3321318.0,38220000.0
2010-03-11,88100,88300,85500,85600,392177,3271632.0,38220000.0
2010-03-12,85100,86000,83000,83400,495443,3187548.0,38220000.0
2010-03-15,82400,82600,79300,80600,514708,3080532.0,38220000.0
2010-03-16,81000,81800,80500,81000,269113,3095820.0,38220000.0
2010-03-17,81100,81600,79800,81500,221765,3114930.0,38220000.0
2010-03-18,81500,84300,80600,83100,342979,3176082.0,38220000.0
2010-03-19,83900,83900,82300,82900,153870,3168438.0,38220000.0
2010-03-22,82600,82700,81000,81500,131943,3114930.0,38220000.0
2010-03-23,81800,82800,80900,80900,156509,3091998.0,38220000.0
2010-03-24,81200,81500,78100,78200,393155,2988804.0,38220000.0
2010-03-25,77600,81500,77100,80500,388916,3076710.0,38220000.0
2010-03-26,80900,81300,79100,79400,168705,3034668.0,38220000.0
2010-03-29,78100,79900,78100,78600,132177,3004092.0,38220000.0
2010-03-30,79500,81900,78700,80300,248687,3069066.0,38220000.0
2010-03-31,79300,79900,78000,78000,274495,2981160.0,38220000.0
2010-04-01,77600,79000,76500,77200,271136,2950584.0,38220000.0
2010-04-02,78000,78000,73100,73300,446335,2801526.0,38220000.0
2010-04-05,73700,74000,67700,70300,350085,2686866.0,38220000.0
2010-04-06,69800,72300,69700,71900,166680,2748018.0,38220000.0
2010-04-07,72300,72500,70200,70400,142590,2690688.0,38220000.0
2010-04-08,70600,71100,69400,70100,93686,2679222.0,38220000.0
2010-04-09,70200,70500,68300,70000,144817,2675400.0,38220000.0
2010-04-12,71000,75000,71000,75000,410434,2866500.0,38220000.0
2010-04-13,75500,75800,72600,73100,167534,2793882.0,38220000.0
2010-04-14,74800,75200,73100,73100,138524,2793882.0,38220000.0
2010-04-15,72900,73700,70800,71300,125124,2725086.0,38220000.0
2010-04-16,71300,71900,70300,71700,118670,2740374.0,38220000.0
2010-04-19,70100,70900,70000,70000,71363,2675400.0,38220000.0
2010-04-20,70200,71500,70100,71200,80353,2721264.0,38220000.0
2010-04-21,72100,72700,71700,72300,96198,2763306.0,38220000.0
2010-04-22,72400,72600,70900,71600,94188,2736552.0,38220000.0
2010-04-23,72000,73100,71800,72500,108489,2770950.0,38220000.0
2010-04-26,72600,72600,70900,71700,148643,2740374.0,38220000.0
2010-04-27,71200,79300,71200,78200,878356,2988804.0,38220000.0
2010-04-28,76800,83300,76200,80500,790219,3076710.0,38220000.0
2010-04-29,81500,83100,79100,80900,318876,3091998.0,38220000.0
2010-04-30,81500,81600,79800,81400,255711,3111108.0,38220000.0
2010-05-03,82000,84400,80900,83000,442521,3172260.0,38220000.0
2010-05-04,84200,85500,83100,85000,365309,3248700.0,38220000.0
2010-05-06,83200,85400,82200,85000,247832,3248700.0,38220000.0
2010-05-07,83100,83900,81900,83700,228898,3199014.0,38220000.0
2010-05-10,84100,88600,84000,87900,356372,3359538.0,38220000.0
2010-05-11,88200,88600,83300,85300,469426,3260166.0,38220000.0
2010-05-12,85300,85500,83400,84900,163260,3244878.0,38220000.0
2010-05-13,84800,86900,83400,86400,309074,3302208.0,38220000.0
2010-05-14,85800,87200,84100,86100,142629,3290742.0,38220000.0
2010-05-17,85800,85800,80300,80300,158351,3069066.0,38220000.0
2010-05-18,81900,83800,80700,83000,202389,3172260.0,38220000.0
2010-05-19,82100,85800,81900,85600,187060,3271632.0,38220000.0
2010-05-20,85600,86900,81100,81900,150268,3130218.0,38220000.0
2010-05-24,80000,81400,77700,80700,86724,3084354.0,38220000.0
2010-05-25,80300,80300,76300,78600,107650,3004092.0,38220000.0
2010-05-26,78300,80800,77800,80100,51391,3061422.0,38220000.0
2010-05-27,79900,85300,79100,84800,160879,3241056.0,38220000.0
2010-05-28,84600,85900,84100,85800,126138,3279276.0,38220000.0
2010-05-31,85400,97200,84000,96700,660895,3695874.0,38220000.0
2010-06-01,96400,101500,95000,95000,865205,3630900.0,38220000.0
2010-06-03,95200,96400,92800,93700,244380,3581214.0,38220000.0
2010-06-04,93600,98400,93600,94100,399939,3596502.0,38220000.0
2010-06-07,91600,98200,91600,98200,273868,3753204.0,38220000.0
2010-06-08,99500,102000,96900,99600,255004,3806712.0,38220000.0
2010-06-09,100500,112500,99200,106500,841529,4070430.0,38220000.0
2010-06-10,106500,109000,103000,108000,272424,4127760.0,38220000.0
2010-06-11,107000,108000,99800,103500,523917,3955770.0,38220000.0
2010-06-14,103500,107500,102000,107500,170204,4108650.0,38220000.0
2010-06-15,106500,109500,97200,99300,640438,3795246.0,38220000.0
2010-06-16,100500,102000,96200,100000,387100,3822000.0,38220000.0
2010-06-17,100000,101500,97300,97300,181132,3718806.0,38220000.0
2010-06-18,96500,101000,96200,100000,218674,3822000.0,38220000.0
2010-06-21,102000,106500,101000,106000,271876,4051320.0,38220000.0
2010-06-22,104500,114000,104500,110500,482905,4223310.0,38220000.0
2010-06-23,112500,113000,108000,109500,222472,4185090.0,38220000.0
