두산밥캣(241560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-18,36000,38950,33900,35900,20007019,3598945.0,100249166.0
2016-11-21,35800,36400,34400,34500,4133962,3458596.0,100249166.0
2016-11-22,35400,37300,34500,36900,4432520,3699194.0,100249166.0
2016-11-23,36250,36450,35300,35350,2028435,3543808.0,100249166.0
2016-11-24,35600,36350,35350,35400,1381254,3548820.0,100249166.0
2016-11-25,35700,36050,34600,34900,1331139,3498696.0,100249166.0
2016-11-28,35000,35200,34400,35000,803050,3508721.0,100249166.0
2016-11-29,34550,35150,34550,34850,668216,3493683.0,100249166.0
2016-11-30,34850,35100,33450,33450,1004454,3353335.0,100249166.0
2016-12-01,33850,34800,33350,34100,749451,3418497.0,100249166.0
2016-12-02,34200,34250,32650,33400,932763,3348322.0,100249166.0
2016-12-05,33500,35100,33400,34800,827683,3488671.0,100249166.0
2016-12-06,34900,35400,34350,34900,442595,3498696.0,100249166.0
2016-12-07,34800,35350,34300,34800,456565,3488671.0,100249166.0
2016-12-08,35000,35700,34800,35600,675789,3568870.0,100249166.0
2016-12-09,35700,36500,35450,36400,762544,3649070.0,100249166.0
2016-12-12,36600,37150,36050,37050,677993,3714232.0,100249166.0
2016-12-13,36850,37000,35950,36000,430253,3608970.0,100249166.0
2016-12-14,36350,36400,35450,35550,326736,3563858.0,100249166.0
2016-12-15,35850,36250,35450,35550,294079,3563858.0,100249166.0
2016-12-16,35800,36300,35400,35900,338946,3598945.0,100249166.0
2016-12-19,35950,35950,34900,35000,328479,3508721.0,100249166.0
2016-12-20,35050,35750,34650,34800,414926,3488671.0,100249166.0
2016-12-21,35200,35550,33900,34050,534943,3413484.0,100249166.0
2016-12-22,34200,35200,34150,35000,518874,3508721.0,100249166.0
2016-12-23,34900,35450,34900,35300,228060,3538796.0,100249166.0
2016-12-26,35100,35550,34800,35000,222362,3508721.0,100249166.0
2016-12-27,34700,35050,34500,35050,256961,3513733.0,100249166.0
2016-12-28,34850,35650,34700,35600,234724,3568870.0,100249166.0
2016-12-29,35500,35950,35300,35850,143474,3593933.0,100249166.0
2017-01-02,35600,35800,35150,35400,169698,3548820.0,100249166.0
2017-01-03,35300,35950,34950,34950,289959,3503708.0,100249166.0
2017-01-04,35300,36000,35050,35600,326835,3568870.0,100249166.0
2017-01-05,35850,36150,35650,36000,356017,3608970.0,100249166.0
2017-01-06,36000,36950,36000,36450,489562,3654082.0,100249166.0
2017-01-09,36700,37000,36600,36850,378344,3694182.0,100249166.0
2017-01-10,36750,37100,36250,37000,551778,3709219.0,100249166.0
2017-01-11,37200,38000,36800,36900,482966,3699194.0,100249166.0
2017-01-12,37150,37150,36000,36050,476870,3613982.0,100249166.0
2017-01-13,36250,36300,36000,36200,256722,3629020.0,100249166.0
2017-01-16,36300,36550,35850,36550,364354,3664107.0,100249166.0
2017-01-17,36550,36700,35900,36100,296441,3618995.0,100249166.0
2017-01-18,36000,36050,35250,35250,339913,3533783.0,100249166.0
2017-01-19,35250,35400,34800,34900,302177,3498696.0,100249166.0
2017-01-20,35050,35750,34900,35650,297584,3573883.0,100249166.0
2017-01-23,35750,35750,34450,34650,374972,3473634.0,100249166.0
2017-01-24,34650,34850,34100,34400,243454,3448571.0,100249166.0
2017-01-25,34650,35150,34400,34700,329759,3478646.0,100249166.0
2017-01-26,35100,37850,35050,37450,1125650,3754331.0,100249166.0
2017-01-31,37450,37650,36800,37000,286897,3709219.0,100249166.0
2017-02-01,36850,37100,36200,36750,303592,3684157.0,100249166.0
2017-02-02,36600,38200,36100,36200,560216,3629020.0,100249166.0
2017-02-03,36400,37600,36150,37250,379194,3734281.0,100249166.0
2017-02-06,37500,38000,37150,37650,361782,3774381.0,100249166.0
2017-02-07,37800,38300,37100,37900,280490,3799443.0,100249166.0
2017-02-08,37500,37800,37100,37500,324772,3759344.0,100249166.0
2017-02-09,37250,37450,35450,35850,614183,3593933.0,100249166.0
2017-02-10,36200,36700,35700,36100,449485,3618995.0,100249166.0
2017-02-13,36350,36400,35400,35500,382714,3558845.0,100249166.0
2017-02-14,35700,36250,35250,35900,385727,3598945.0,100249166.0
2017-02-15,36150,37150,35900,36850,633872,3694182.0,100249166.0
2017-02-16,35850,36000,34650,35400,1489517,3548820.0,100249166.0
2017-02-17,35500,35900,35200,35650,272106,3573883.0,100249166.0
2017-02-20,35650,35650,35100,35200,255590,3528771.0,100249166.0
2017-02-21,35100,35450,35100,35250,302835,3533783.0,100249166.0
2017-02-22,35400,36150,35250,35850,321454,3593933.0,100249166.0
2017-02-23,35900,36150,35400,35650,314634,3573883.0,100249166.0
2017-02-24,35500,35500,35050,35300,384796,3538796.0,100249166.0
2017-02-27,35400,35950,35200,35900,273379,3598945.0,100249166.0
2017-02-28,35650,36950,35500,36900,550678,3699194.0,100249166.0
2017-03-02,37800,37800,36250,36300,584725,3639045.0,100249166.0
2017-03-03,36200,36200,35600,35950,327058,3603958.0,100249166.0
2017-03-06,35850,36300,35600,36050,121508,3613982.0,100249166.0
2017-03-07,36100,37200,35900,36900,411346,3699194.0,100249166.0
2017-03-08,36900,37000,36400,36500,249673,3659095.0,100249166.0
2017-03-09,36500,36800,36100,36250,329282,3634032.0,100249166.0
2017-03-10,36250,36800,36050,36650,207350,3674132.0,100249166.0
2017-03-13,36650,36950,36400,36900,172560,3699194.0,100249166.0
2017-03-14,36800,37150,36500,37150,262164,3724257.0,100249166.0
2017-03-15,36950,37550,36850,37500,307607,3759344.0,100249166.0
2017-03-16,37800,38700,37800,38600,631488,3869618.0,100249166.0
2017-03-17,38250,40250,38150,40200,743734,4030016.0,100249166.0
2017-03-20,40400,40800,39550,39850,408966,3994929.0,100249166.0
2017-03-21,39650,39850,38550,38600,523740,3869618.0,100249166.0
2017-03-22,37950,38300,37350,38000,491760,3809468.0,100249166.0
2017-03-23,37800,38450,37750,38050,307058,3814481.0,100249166.0
2017-03-24,38100,38350,37500,37650,265593,3774381.0,100249166.0
2017-03-27,37750,37750,36000,36200,584304,3629020.0,100249166.0
2017-03-28,36300,36750,36050,36350,385187,3644057.0,100249166.0
2017-03-29,36700,37000,36400,36850,327055,3694182.0,100249166.0
2017-03-30,37200,37200,36550,37100,206329,3719244.0,100249166.0
2017-03-31,36950,37100,36500,36700,136500,3679144.0,100249166.0
2017-04-03,36650,36650,36000,36350,150914,3644057.0,100249166.0
2017-04-04,36350,36600,35800,35800,227896,3588920.0,100249166.0
2017-04-05,36200,36850,36150,36850,243073,3694182.0,100249166.0
2017-04-06,36650,37400,36600,37250,253300,3734281.0,100249166.0
2017-04-07,37300,37550,36950,37450,180823,3754331.0,100249166.0
2017-04-10,37300,37550,36550,36850,198120,3694182.0,100249166.0
2017-04-11,36850,37800,36850,37700,261079,3779394.0,100249166.0
2017-04-12,37700,37700,37250,37350,117825,3744306.0,100249166.0
2017-04-13,37150,37500,37150,37450,157608,3754331.0,100249166.0
2017-04-14,37450,37550,36100,36400,400994,3649070.0,100249166.0
2017-04-17,36300,36650,36050,36350,262434,3644057.0,100249166.0
2017-04-18,36550,36950,36400,36950,151914,3704207.0,100249166.0
2017-04-19,36650,36900,36000,36150,369193,3624007.0,100249166.0
2017-04-20,36100,37000,36100,37000,248176,3709219.0,100249166.0
2017-04-21,37050,37550,37000,37450,272665,3754331.0,100249166.0
2017-04-24,37600,37750,37200,37500,169558,3759344.0,100249166.0
2017-04-25,37850,38650,37850,38650,602873,3874630.0,100249166.0
2017-04-26,39250,40500,39250,39800,768510,3989917.0,100249166.0
2017-04-27,39350,39600,38700,38800,360444,3889668.0,100249166.0
2017-04-28,39000,39350,38800,39150,252908,3924755.0,100249166.0
2017-05-02,38800,38800,37550,38800,293842,3889668.0,100249166.0
2017-05-04,38500,38750,38050,38300,261294,3839543.0,100249166.0
2017-05-08,38300,38500,38000,38200,174533,3829518.0,100249166.0
2017-05-10,38200,39050,38200,39000,298223,3909717.0,100249166.0
2017-05-11,39000,39000,38300,38600,247604,3869618.0,100249166.0
2017-05-12,38800,38900,38350,38700,200080,3879643.0,100249166.0
2017-05-15,38600,38900,38200,38700,199060,3879643.0,100249166.0
2017-05-16,39000,39900,38300,38450,586623,3854580.0,100249166.0
2017-05-17,39000,39050,38150,38800,289571,3889668.0,100249166.0
2017-05-18,37650,37700,36500,36900,974183,3699194.0,100249166.0
2017-05-19,37250,37300,36700,36850,271605,3694182.0,100249166.0
2017-05-22,37100,37150,36400,36500,333106,3659095.0,100249166.0
2017-05-23,36450,37700,36450,37200,472967,3729269.0,100249166.0
2017-05-24,37200,37300,36700,37200,400858,3729269.0,100249166.0
2017-05-25,37250,37600,37150,37600,383354,3769369.0,100249166.0
2017-05-26,37750,37900,37350,37400,341307,3749319.0,100249166.0
2017-05-29,37800,37850,36550,37150,445161,3724257.0,100249166.0
2017-05-30,37000,37250,36650,36850,345240,3694182.0,100249166.0
2017-05-31,37100,37350,36300,37300,3673293,3739294.0,100249166.0
2017-06-01,37000,37000,36200,36650,871744,3674132.0,100249166.0
2017-06-02,36650,36700,35950,36150,610343,3624007.0,100249166.0
2017-06-05,36300,36700,36300,36550,262309,3664107.0,100249166.0
2017-06-07,36550,36700,36050,36650,265152,3674132.0,100249166.0
2017-06-08,36550,36550,36050,36250,281308,3634032.0,100249166.0
2017-06-09,36300,36400,35650,35950,363880,3603958.0,100249166.0
2017-06-12,35950,36250,35850,36100,237668,3618995.0,100249166.0
2017-06-13,36200,36500,36100,36300,322762,3639045.0,100249166.0
2017-06-14,36600,37250,36150,37250,418983,3734281.0,100249166.0
2017-06-15,36950,37100,36300,36300,240413,3639045.0,100249166.0
2017-06-16,36350,36450,35650,35850,879136,3593933.0,100249166.0
2017-06-19,35900,36050,34500,34650,619780,3473634.0,100249166.0
2017-06-20,35000,35450,34800,35000,347374,3508721.0,100249166.0
2017-06-21,34750,35000,34400,34650,292223,3473634.0,100249166.0
2017-06-22,34400,35750,34400,35750,317490,3583908.0,100249166.0
2017-06-23,35650,35650,34900,35200,197760,3528771.0,100249166.0
2017-06-26,35450,35650,35050,35200,210216,3528771.0,100249166.0
2017-06-27,35400,35750,35100,35750,151056,3583908.0,100249166.0
2017-06-28,35650,35650,35200,35400,116009,3548820.0,100249166.0
2017-06-29,35400,35900,35350,35700,176032,3578895.0,100249166.0
