현대상선(011200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,72321,79707,72321,75100,1718500,792184.0,48600230.0
1999-01-05,77840,82448,76009,79935,3104750,843214.0,48600230.0
1999-01-06,82002,87293,78316,86153,2254310,908824.0,48600230.0
1999-01-07,86150,88458,82928,85004,1925010,896674.0,48600230.0
1999-01-08,82929,84315,80629,81551,1526170,860249.0,48601616.0
1999-01-11,79700,82691,77394,82473,1188440,869969.0,48601616.0
1999-01-12,82923,87080,80158,80629,1143870,850528.0,48601616.0
1999-01-13,80623,82923,79005,79702,587250,840808.0,48601616.0
1999-01-14,76939,78318,71635,73717,517000,777626.0,48601616.0
1999-01-15,74169,77166,72326,75794,665800,799588.0,48607167.0
1999-01-18,80621,82006,75774,76709,712800,809309.0,48607167.0
1999-01-19,76015,76697,73707,74172,302700,782575.0,48607167.0
1999-01-20,72775,73465,70707,70952,386930,748550.0,48607167.0
1999-01-21,69330,70485,65186,65883,377250,695082.0,48607167.0
1999-01-22,65882,67500,64961,64968,864780,685454.0,48613730.0
1999-01-25,65412,65882,63118,64968,340760,685454.0,48613730.0
1999-01-26,66337,69572,65409,67266,1082980,709760.0,48613730.0
1999-01-27,67262,71876,67262,71420,1006390,753513.0,48613730.0
1999-01-28,70485,74165,69093,74172,1222560,782681.0,48613730.0
1999-01-29,73256,76942,70723,76943,5193930,811849.0,48613730.0
1999-02-01,76469,80155,74626,79247,3299570,836156.0,48613730.0
1999-02-02,77848,79704,77164,79247,2203870,836156.0,48613730.0
1999-02-03,77848,79001,76939,78325,1613890,826433.0,48613730.0
1999-02-04,76701,79930,76243,79247,4800380,836156.0,48613730.0
1999-02-05,77846,77846,75314,75327,206170,794868.0,48615775.0
1999-02-08,75324,75324,70491,70491,235530,743821.0,48615775.0
1999-02-09,71174,71406,65877,65883,247790,695206.0,48615775.0
1999-02-10,66122,70260,63692,69293,229620,692775.0,48615775.0
1999-02-11,68057,71949,68057,70984,193890,709790.0,48615775.0
1999-02-12,72433,72433,70976,70984,216420,709790.0,48615775.0
1999-02-18,71222,71222,70005,70025,87030,700067.0,48615775.0
1999-02-19,70003,70003,63688,68077,148410,680621.0,48615775.0
1999-02-22,68546,69758,68057,69527,112710,695206.0,48615775.0
1999-02-23,70508,70991,68065,68568,154410,685482.0,48615775.0
1999-02-24,69519,70493,68798,69527,179130,695206.0,48615775.0
1999-02-25,69038,70494,69038,70025,166210,700067.0,48615775.0
1999-02-26,70980,73893,70252,73668,377880,736529.0,48615775.0
1999-03-02,72932,79500,72688,78289,1320050,782714.0,48615775.0
1999-03-03,77300,77783,75592,77797,546790,777852.0,48615775.0
1999-03-04,75832,78274,75594,78036,545240,780283.0,48615775.0
1999-03-05,77793,77793,73907,73907,171490,738960.0,48615775.0
