동양피스톤(092780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-12-08,5130,5300,4430,4845,4161146,63801.0,13168460.0
2017-12-11,4910,5140,4650,4930,508595,64921.0,13168460.0
2017-12-12,4930,4990,4740,4780,249244,62945.0,13168460.0
2017-12-13,4745,4815,4605,4700,303636,61892.0,13168460.0
2017-12-14,4655,4695,4625,4645,141253,61167.0,13168460.0
2017-12-15,4645,4755,4605,4625,165812,60904.0,13168460.0
2017-12-18,4630,4665,4450,4470,168694,58863.0,13168460.0
2017-12-19,4475,4490,4175,4235,270389,55768.0,13168460.0
2017-12-20,4280,4440,4125,4310,144807,56756.0,13168460.0
2017-12-21,4350,4350,4190,4240,121182,55834.0,13168460.0
2017-12-22,4200,4400,4200,4240,120348,55834.0,13168460.0
2017-12-26,4295,4295,4200,4265,120203,56163.0,13168460.0
2017-12-27,4275,4500,4140,4235,296964,55768.0,13168460.0
2017-12-28,4220,4290,4100,4100,250660,53991.0,13168460.0
2018-01-02,4105,4150,4020,4085,152781,53793.0,13168460.0
2018-01-03,4095,4170,4065,4120,131801,54254.0,13168460.0
2018-01-04,4120,4320,4120,4195,251269,55242.0,13168460.0
2018-01-05,4200,4265,4170,4240,108275,55834.0,13168460.0
2018-01-08,4245,4350,4235,4265,101658,56163.0,13168460.0
2018-01-09,4285,4290,4145,4190,91252,55176.0,13168460.0
2018-01-10,4185,4245,4095,4160,87638,54781.0,13168460.0
2018-01-11,4160,4230,4100,4130,124299,54386.0,13168460.0
2018-01-12,4195,4220,4010,4115,178943,54188.0,13168460.0
2018-01-15,4165,4165,4040,4125,84341,54320.0,13168460.0
2018-01-16,4115,4310,4095,4295,189789,56559.0,13168460.0
2018-01-17,4350,4355,4205,4270,114503,56229.0,13168460.0
2018-01-18,4240,4455,4240,4455,296360,58665.0,13168460.0
2018-01-19,4480,4750,4410,4605,255145,60641.0,13168460.0
2018-01-22,4610,4635,4420,4495,65228,59192.0,13168460.0
2018-01-23,4455,4610,4400,4535,86897,59719.0,13168460.0
2018-01-24,4615,4615,4500,4535,61534,59719.0,13168460.0
2018-01-25,4535,4630,4450,4505,80065,59324.0,13168460.0
2018-01-26,4550,4605,4505,4555,80229,59982.0,13168460.0
2018-01-29,4670,4670,4560,4600,46350,60575.0,13168460.0
2018-01-30,4645,4725,4560,4700,101015,61892.0,13168460.0
2018-01-31,4730,4780,4650,4660,69464,61365.0,13168460.0
2018-02-01,4710,4710,4555,4620,109509,60838.0,13168460.0
2018-02-02,4620,4680,4415,4450,61145,58600.0,13168460.0
2018-02-05,4400,4540,4350,4475,31025,58929.0,13168460.0
2018-02-06,4385,4490,4190,4480,67257,58995.0,13168460.0
2018-02-07,4495,4590,4305,4360,22597,57414.0,13168460.0
2018-02-08,4300,4500,4300,4365,15565,57480.0,13168460.0
2018-02-09,4365,4480,4250,4455,27511,58665.0,13168460.0
2018-02-12,4370,4550,4370,4470,28265,58863.0,13168460.0
2018-02-13,4415,4550,4360,4360,17759,57414.0,13168460.0
2018-02-14,4360,4600,4290,4550,28270,59916.0,13168460.0
2018-02-19,4620,4620,4500,4580,38615,60312.0,13168460.0
2018-02-20,4575,4585,4500,4565,19228,60114.0,13168460.0
2018-02-21,4500,4590,4500,4570,57494,60180.0,13168460.0
2018-02-22,4480,4630,4465,4540,37566,59785.0,13168460.0
2018-02-23,4540,4650,4500,4565,40695,60114.0,13168460.0
2018-02-26,4470,4645,4470,4615,18600,60772.0,13168460.0
2018-02-27,4545,4670,4500,4655,38111,61299.0,13168460.0
2018-02-28,4660,4785,4660,4725,75753,62221.0,13168460.0
2018-03-02,4725,5700,4625,5020,613926,66106.0,13168460.0
2018-03-05,5120,5120,4805,4805,138792,63274.0,13168460.0
2018-03-06,4810,4935,4625,4700,102195,61892.0,13168460.0
2018-03-07,4660,4700,4625,4670,30921,61497.0,13168460.0
2018-03-08,4670,4775,4660,4720,24254,62155.0,13168460.0
2018-03-09,4730,4765,4660,4660,22005,61365.0,13168460.0
2018-03-12,4710,4710,4600,4695,46570,61826.0,13168460.0
2018-03-13,4825,5300,4795,5000,366549,65842.0,13168460.0
2018-03-14,5000,5150,4900,5070,124535,66764.0,13168460.0
2018-03-15,5050,5160,4930,5090,83200,67027.0,13168460.0
2018-03-16,5090,5230,5000,5000,81529,65842.0,13168460.0
2018-03-19,5110,5110,4850,4855,62995,63933.0,13168460.0
2018-03-20,4910,4990,4775,4980,47700,65579.0,13168460.0
2018-03-21,4930,5080,4895,4895,30299,64460.0,13168460.0
2018-03-22,4865,4955,4830,4870,25079,64130.0,13168460.0
2018-03-23,4800,5040,4735,4895,75086,64460.0,13168460.0
2018-03-26,4930,5040,4835,5000,41484,65842.0,13168460.0
2018-03-27,5000,5070,4920,4995,42199,65776.0,13168460.0
2018-03-28,4975,5090,4900,4905,40185,64591.0,13168460.0
2018-03-29,4900,4995,4850,4960,34029,65316.0,13168460.0
2018-03-30,4960,5020,4890,4910,35975,64657.0,13168460.0
2018-04-02,4910,4980,4740,4835,52515,63670.0,13168460.0
2018-04-03,4795,4795,4695,4735,59351,62353.0,13168460.0
2018-04-04,4720,4810,4670,4670,22278,61497.0,13168460.0
2018-04-05,4750,4870,4745,4835,26276,63670.0,13168460.0
2018-04-06,4905,4905,4785,4785,54495,63011.0,13168460.0
2018-04-09,4870,4870,4550,4710,37218,62023.0,13168460.0
2018-04-10,4710,4865,4630,4860,37540,63999.0,13168460.0
2018-04-11,4860,4945,4815,4850,18724,63867.0,13168460.0
2018-04-12,4860,4930,4690,4710,54207,62023.0,13168460.0
2018-04-13,4720,4790,4690,4695,19503,61826.0,13168460.0
2018-04-16,4645,4725,4555,4580,51662,60312.0,13168460.0
2018-04-17,4645,4685,4500,4595,42075,60509.0,13168460.0
2018-04-18,4750,4750,4600,4645,30443,61167.0,13168460.0
2018-04-19,4665,4665,4565,4630,29942,60970.0,13168460.0
2018-04-20,4595,4690,4550,4595,21172,60509.0,13168460.0
2018-04-23,4665,4680,4600,4640,28090,61102.0,13168460.0
2018-04-24,4680,4735,4635,4690,15094,61760.0,13168460.0
2018-04-25,4720,4720,4620,4625,12758,60904.0,13168460.0
2018-04-26,4675,4690,4530,4670,64912,61497.0,13168460.0
2018-04-27,4700,4700,4600,4650,16417,61233.0,13168460.0
