제일연마(001560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-12-09,4250,4885,4250,4885,713428,48850.0,5000000.0
2005-12-12,4955,5600,4950,5600,142745,56000.0,5000000.0
2005-12-13,6425,6425,6425,6425,20202,64250.0,5000000.0
2005-12-14,7375,7375,7375,7375,18447,73750.0,5000000.0
2005-12-15,8475,8475,7050,8475,675032,84750.0,5000000.0
2005-12-16,8000,9725,7750,9725,394800,97250.0,5000000.0
2005-12-19,10000,10500,8275,8275,300547,82750.0,5000000.0
2005-12-20,7425,8725,7050,7050,241604,70500.0,5000000.0
2005-12-21,7400,8025,6825,7100,378046,71000.0,5000000.0
2005-12-22,7025,7200,6050,6050,197071,60500.0,5000000.0
2005-12-23,5700,5750,5150,5300,241313,53000.0,5000000.0
2005-12-26,5050,5775,5050,5300,216610,53000.0,5000000.0
2005-12-27,5275,5525,5100,5100,179459,51000.0,5000000.0
2005-12-28,5025,5075,4600,4620,144431,46200.0,5000000.0
2005-12-29,4600,4875,4570,4575,84306,45750.0,5000000.0
2006-01-02,4625,4850,4530,4675,85919,46750.0,5000000.0
2006-01-03,4700,5375,4680,5375,74129,53750.0,5000000.0
2006-01-04,5975,6175,5775,6175,112343,61750.0,5000000.0
2006-01-05,6650,7000,5700,5825,276108,58250.0,5000000.0
2006-01-06,5750,6050,5275,5275,184616,52750.0,5000000.0
2006-01-09,5150,5150,4760,4770,467017,47700.0,5000000.0
2006-01-10,4770,4995,4600,4730,317027,47300.0,5000000.0
2006-01-11,4700,5150,4630,4910,404293,49100.0,5000000.0
2006-01-12,4855,4900,4680,4725,213578,47250.0,5000000.0
2006-01-13,4725,4800,4625,4625,195371,46250.0,5000000.0
2006-01-16,4605,4750,4550,4600,259941,46000.0,5000000.0
2006-01-17,4625,4885,4590,4590,325742,45900.0,5000000.0
2006-01-18,4590,4720,3940,4225,306888,42250.0,5000000.0
2006-01-19,4225,4335,4025,4060,167541,40600.0,5000000.0
2006-01-20,4065,4220,3685,3685,180977,36850.0,5000000.0
2006-01-23,3365,3545,3135,3145,205347,31450.0,5000000.0
2006-01-24,3140,3210,2905,3205,160189,32050.0,5000000.0
2006-01-25,3205,3550,3205,3305,205837,33050.0,5000000.0
2006-01-26,3320,3585,3290,3350,154851,33500.0,5000000.0
2006-01-27,3590,3590,3450,3515,127387,35150.0,5000000.0
2006-01-31,3570,4040,3570,4040,107710,40400.0,5000000.0
2006-02-01,4145,4475,3525,3765,540789,37650.0,5000000.0
2006-02-02,3950,4045,3750,3865,157394,38650.0,5000000.0
2006-02-03,3700,3705,3540,3570,112660,35700.0,5000000.0
