한솔제지(213500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-01-26,16590,17603,14565,16253,3031885,278640.0,16536509.0
2015-01-27,16253,16494,15433,16060,552482,275333.0,16536509.0
2015-01-28,16108,18423,16012,18231,1987758,312540.0,16536509.0
2015-01-29,18375,19388,17748,18520,1036549,317501.0,16536509.0
2015-01-30,18375,19291,17941,18858,594423,323289.0,16536509.0
2015-02-02,19146,19822,18616,18616,472109,319155.0,16536509.0
2015-02-03,19050,19918,18327,19919,425853,341479.0,16536509.0
2015-02-04,20063,21461,19677,20787,640907,356362.0,16536509.0
2015-02-05,21027,21027,19773,20401,326386,349747.0,16536509.0
2015-02-06,20835,20835,19050,19629,423667,336518.0,16536509.0
2015-02-09,19677,19918,18375,18520,497747,317501.0,16536509.0
2015-02-10,18520,18905,17941,18568,320326,318328.0,16536509.0
2015-02-11,18520,18954,18085,18231,351882,312540.0,16536509.0
2015-02-12,18278,20111,18278,20015,537479,343133.0,16536509.0
2015-02-13,19966,20545,19581,20015,311595,343133.0,16536509.0
2015-02-16,20111,20545,19725,19870,172220,340652.0,16536509.0
2015-02-17,20015,20159,19388,20160,128874,345613.0,16536509.0
2015-02-23,20159,20304,19581,20063,101253,343959.0,16536509.0
2015-02-24,20063,20159,19629,20015,105284,343133.0,16536509.0
2015-02-25,19966,20111,19050,19099,270428,327423.0,16536509.0
2015-02-26,18954,19436,18520,19051,257805,326596.0,16536509.0
2015-02-27,19050,19677,18857,19581,215445,335691.0,16536509.0
2015-03-02,19388,19773,19098,19436,195667,333211.0,16536509.0
2015-03-03,19677,20208,19388,20208,224829,346440.0,16536509.0
2015-03-04,20208,21365,20111,20690,612457,354708.0,16536509.0
2015-03-05,20786,20786,19966,20015,364697,343133.0,16536509.0
2015-03-06,20111,20545,19918,20256,125103,347267.0,16536509.0
2015-03-09,20208,20786,19870,20642,157493,353881.0,16536509.0
2015-03-10,20593,20738,19918,20208,116014,346440.0,16536509.0
2015-03-11,19773,19966,19243,19774,232006,338998.0,16536509.0
2015-03-12,19773,19918,19291,19774,118211,338998.0,16536509.0
2015-03-13,19677,20690,19677,20546,181473,352228.0,16536509.0
2015-03-16,20545,20786,20159,20690,128951,354708.0,16536509.0
2015-03-17,20835,20979,20304,20642,203745,353881.0,16536509.0
2015-03-18,20497,20593,19870,20063,146974,343959.0,16536509.0
2015-03-19,20400,20545,20015,20497,200348,351401.0,16536509.0
2015-03-20,20497,20786,19677,20015,308667,343133.0,16536509.0
2015-03-23,19966,20449,19822,20256,122363,347267.0,16536509.0
2015-03-24,20208,21944,20063,21414,447547,367110.0,16536509.0
2015-03-25,21510,22667,21365,22185,613064,380340.0,16536509.0
2015-03-26,21992,22137,21124,21221,311003,363803.0,16536509.0
2015-03-27,21269,21847,20786,21076,246840,361323.0,16536509.0
2015-03-30,20931,21896,20738,21800,239097,373725.0,16536509.0
2015-03-31,21992,21992,21172,21462,138299,367937.0,16536509.0
2015-04-01,21365,22281,21076,22234,283854,381167.0,16536509.0
2015-04-02,22426,22426,21510,21607,224514,370418.0,16536509.0
2015-04-03,21799,21944,21124,21607,147215,370418.0,16536509.0
2015-04-06,21365,21606,20786,20835,237817,357189.0,16536509.0
2015-04-07,20835,21896,20497,21800,307397,373725.0,16536509.0
2015-04-08,21751,22040,21558,21800,135562,373725.0,16536509.0
2015-04-09,21944,22137,21510,21655,123192,371245.0,16536509.0
2015-04-10,21654,22378,21510,21751,274236,372898.0,16536509.0
2015-04-13,22040,23005,21703,22571,217476,386954.0,16536509.0
2015-04-14,22474,23005,21413,21655,222182,371245.0,16536509.0
2015-04-15,21896,22330,21461,22234,172287,381167.0,16536509.0
2015-04-16,22330,22715,21703,21800,189585,373725.0,16536509.0
2015-04-17,21799,21896,20931,21607,269075,370418.0,16536509.0
2015-04-20,21269,21413,20835,21366,251303,366284.0,16536509.0
2015-04-21,21413,21510,20931,21028,155944,360496.0,16536509.0
2015-04-22,21027,21606,20593,21414,311160,367110.0,16536509.0
2015-04-23,21461,22088,21124,21993,195422,377032.0,16536509.0
2015-04-24,22088,22812,22088,22571,487599,386954.0,16536509.0
2015-04-27,22571,23198,22426,22957,318510,393569.0,16536509.0
2015-04-28,23101,23246,22571,23005,164450,394396.0,16536509.0
2015-04-29,23053,23632,22812,23536,182047,403491.0,16536509.0
2015-04-30,23728,23921,22715,23102,139545,396049.0,16536509.0
2015-05-04,23198,23198,22088,22571,148401,386954.0,16536509.0
2015-05-06,22571,22571,21896,22089,146525,378686.0,16536509.0
2015-05-07,21896,22426,21510,22427,80906,384474.0,16536509.0
2015-05-08,22474,22860,21992,22427,155341,384474.0,16536509.0
2015-05-11,22571,22764,22330,22716,93507,389435.0,16536509.0
2015-05-12,22764,23150,22571,23150,56989,396876.0,16536509.0
2015-05-13,23246,23294,22908,23005,89609,394396.0,16536509.0
2015-05-14,22908,23198,22715,23005,75466,394396.0,16536509.0
2015-05-15,23246,23391,21413,22427,393230,384474.0,16536509.0
2015-05-18,22860,22860,21461,21896,229918,375379.0,16536509.0
2015-05-19,21896,22281,21461,22089,200034,378686.0,16536509.0
2015-05-20,22281,22330,21558,21848,178187,374552.0,16536509.0
2015-05-21,22040,22715,21799,21993,208715,377032.0,16536509.0
2015-05-22,22185,22667,21992,22185,188739,380340.0,16536509.0
2015-05-26,22426,22426,21654,21703,114394,372071.0,16536509.0
2015-05-27,21654,22040,21124,21703,141102,372071.0,16536509.0
2015-05-28,22088,22378,21220,21414,241372,367110.0,16536509.0
2015-05-29,21413,22281,21172,22282,241911,381993.0,16536509.0
2015-06-01,22281,22378,21558,22089,148650,378686.0,16536509.0
2015-06-02,22281,22281,21269,21703,131046,372071.0,16536509.0
2015-06-03,21461,22137,21365,21896,84318,375379.0,16536509.0
2015-06-04,21654,22088,21269,21993,100343,377032.0,16536509.0
2015-06-05,22281,22860,21944,22282,189763,381993.0,16536509.0
2015-06-08,22667,22764,21944,22427,168485,384474.0,16536509.0
2015-06-09,22378,22860,22137,22812,130171,391088.0,16536509.0
2015-06-10,22812,22908,21992,22282,210857,381993.0,16536509.0
2015-06-11,22378,22571,21896,22234,118554,381167.0,16536509.0
2015-06-12,22426,22523,21269,21848,144672,374552.0,16536509.0
2015-06-15,21992,21992,20497,20546,265527,352228.0,16536509.0
2015-06-16,20642,20642,19339,19870,274107,340652.0,16536509.0
2015-06-17,19966,20497,19629,20160,135273,345613.0,16536509.0
2015-06-18,19532,20497,19532,20449,124331,350574.0,16536509.0
2015-06-19,20449,20449,19822,20015,95412,343133.0,16536509.0
2015-06-22,20159,20352,19581,19678,129775,337345.0,16536509.0
2015-06-23,19725,19966,19388,19726,148102,338172.0,16536509.0
2015-06-24,19773,19870,19581,19774,68763,338998.0,16536509.0
2015-06-25,19629,20159,19581,20063,90118,343959.0,16536509.0
2015-06-26,20159,20690,19870,20546,87178,352228.0,16536509.0
2015-06-29,20015,20449,19773,20256,77871,347267.0,16536509.0
2015-06-30,20256,20545,19773,20112,83781,344786.0,16536509.0
2015-07-01,20063,21027,20063,20931,128288,358842.0,16536509.0
