삼천리(004690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,26248,26248,25229,25483,66230,90000.0,3000000.0
1999-01-05,25229,27183,25059,27182,107790,96000.0,3000000.0
1999-01-06,28202,29731,27607,29561,145120,104400.0,3000000.0
1999-01-07,29986,30411,28797,29900,107310,105600.0,3000000.0
1999-01-08,29561,29561,28287,29221,57500,103200.0,3000000.0
1999-01-11,29051,29986,28881,29221,97470,103200.0,3000000.0
1999-01-12,29646,30156,27692,28116,87970,99300.0,3000000.0
1999-01-13,28287,29731,27268,29051,111980,102600.0,3000000.0
1999-01-14,28797,28797,27352,27777,60550,98100.0,3000000.0
1999-01-15,27183,28881,27183,28796,44720,101700.0,3000000.0
1999-01-18,29476,29646,27777,29051,53660,102600.0,3000000.0
1999-01-19,29051,29051,26333,27182,38830,96000.0,3000000.0
1999-01-20,27862,28032,26758,27862,40340,98400.0,3000000.0
1999-01-21,26461,27862,25654,26248,31900,92700.0,3000000.0
1999-01-22,25484,25908,24379,24804,22250,87600.0,3000000.0
1999-01-25,23785,24634,23445,23869,24040,84300.0,3000000.0
1999-01-26,23360,24634,23105,23105,43480,81600.0,3000000.0
1999-01-27,23275,25059,23275,25058,45350,88500.0,3000000.0
1999-01-28,24974,24974,24379,24973,20990,88200.0,3000000.0
1999-01-29,24634,25229,24294,25228,34960,89100.0,3000000.0
1999-02-01,25484,25739,24634,25483,21170,90000.0,3000000.0
1999-02-02,25059,25484,24634,25058,8500,88500.0,3000000.0
1999-02-03,24634,24634,23955,24039,17840,84900.0,3000000.0
1999-02-04,24549,24549,22935,23275,19580,82200.0,3000000.0
1999-02-05,23360,24209,23063,23614,11330,83400.0,3000000.0
1999-02-08,23615,24464,23615,23954,15230,84600.0,3000000.0
1999-02-09,23445,23615,22426,22935,19300,81000.0,3000000.0
1999-02-10,22935,23360,22511,22765,14240,80400.0,3000000.0
1999-02-11,22935,23785,22935,23190,12720,81900.0,3000000.0
1999-02-12,23615,24464,23403,23784,23550,84000.0,3000000.0
1999-02-18,23870,24125,23105,23105,18300,81600.0,3000000.0
1999-02-19,22723,22723,21831,22298,13850,78750.0,3000000.0
1999-02-22,22426,22765,21661,22510,17490,79500.0,3000000.0
1999-02-23,22596,22935,21831,22170,14000,78300.0,3000000.0
1999-02-24,22171,22511,21406,21406,12740,75600.0,3000000.0
1999-02-25,21491,21789,20982,21066,16590,74400.0,3000000.0
1999-02-26,21236,21916,21236,21831,13750,77100.0,3000000.0
1999-03-02,22596,22850,22086,22807,23080,80550.0,3000000.0
1999-03-03,22765,22808,21746,22000,13130,77700.0,3000000.0
1999-03-04,22086,24379,21746,23699,54450,83700.0,3000000.0
1999-03-05,23785,25059,23530,24804,68110,87600.0,3000000.0
1999-03-08,25314,26673,24634,24804,55780,87600.0,3000000.0
1999-03-09,25059,25484,24549,25058,29640,88500.0,3000000.0
1999-03-10,24634,25314,24379,24634,25150,87000.0,3000000.0
1999-03-11,24634,24974,24209,24634,21710,87000.0,3000000.0
1999-03-12,25059,26248,24677,25483,36740,90000.0,3000000.0
1999-03-15,25993,25993,25059,25058,9640,88500.0,3000000.0
1999-03-16,25059,26673,25059,26672,83110,94200.0,3000000.0
1999-03-17,26588,26758,25823,25823,14060,91200.0,3000000.0
1999-03-18,25739,26673,25314,25483,32500,90000.0,3000000.0
1999-03-19,25484,26163,25059,25908,15380,91500.0,3000000.0
1999-03-22,26078,26588,25611,26503,43610,93600.0,3000000.0
1999-03-23,26758,28712,26503,28032,120050,99000.0,3000000.0
1999-03-24,28032,29136,27268,28796,119140,101700.0,3000000.0
1999-03-25,28457,29221,28414,28881,70100,102000.0,3000000.0
1999-03-26,27692,29221,27692,28541,25960,100800.0,3000000.0
1999-03-29,28287,28372,27352,27352,17010,96600.0,3000000.0
1999-03-30,27437,28712,27183,28371,60520,100200.0,3000000.0
1999-03-31,28032,28627,28032,28032,10030,99000.0,3000000.0
1999-04-01,28117,29986,28117,29476,58240,104100.0,3000000.0
1999-04-02,29731,30071,29051,29730,40890,105000.0,3000000.0
1999-04-06,29901,32279,29901,31769,95340,112200.0,3000000.0
