서연(007860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,487,522,487,521,108600,20300.0,1000000.0
1999-01-05,510,538,500,534,53300,20800.0,1000000.0
1999-01-06,525,525,513,513,29100,20000.0,1000000.0
1999-01-07,513,513,487,498,133000,19400.0,1000000.0
1999-01-08,497,497,474,487,82500,19000.0,1000000.0
1999-01-11,487,500,477,487,58300,19000.0,1000000.0
1999-01-12,492,492,474,485,51800,18900.0,1000000.0
1999-01-13,484,523,477,505,106200,19700.0,1000000.0
1999-01-14,474,497,463,466,25000,18150.0,1000000.0
1999-01-15,436,461,436,449,49000,17500.0,1000000.0
1999-01-18,448,484,448,475,94500,18500.0,1000000.0
1999-01-19,477,495,464,492,74500,19200.0,1000000.0
1999-01-20,487,487,461,462,30900,18000.0,1000000.0
1999-01-21,406,456,406,418,21100,16300.0,1000000.0
1999-01-22,418,436,387,398,15000,15500.0,1000000.0
1999-01-25,363,422,363,408,23300,15900.0,1000000.0
1999-01-26,468,468,374,405,38300,15800.0,1000000.0
1999-01-27,384,410,374,387,29100,15100.0,1000000.0
1999-01-28,389,433,389,426,90300,16600.0,1000000.0
1999-01-29,430,456,430,454,85900,17700.0,1000000.0
1999-02-01,461,477,440,462,136700,18000.0,1000000.0
1999-02-02,461,474,456,464,73100,18100.0,1000000.0
1999-02-03,461,461,445,459,56700,17900.0,1000000.0
1999-02-04,466,466,461,462,58500,18000.0,1000000.0
1999-02-05,513,513,456,457,23300,17800.0,1000000.0
1999-02-08,443,448,410,410,14700,16000.0,1000000.0
1999-02-09,432,451,418,436,28700,17000.0,1000000.0
1999-02-10,436,461,410,457,40800,17800.0,1000000.0
1999-02-11,436,466,436,462,19600,18000.0,1000000.0
1999-02-12,459,459,459,459,3000,17900.0,1000000.0
1999-02-18,459,459,448,449,14200,17500.0,1000000.0
1999-02-19,437,448,423,449,34600,17500.0,1000000.0
1999-02-22,425,461,425,457,27000,17800.0,1000000.0
1999-02-23,430,456,430,439,6200,17100.0,1000000.0
1999-02-24,438,454,438,439,5100,17100.0,1000000.0
1999-02-25,436,474,436,464,139500,18100.0,1000000.0
1999-02-26,474,477,464,469,121400,18300.0,1000000.0
1999-03-02,469,474,464,475,34300,18500.0,1000000.0
1999-03-03,484,487,464,487,57200,19000.0,1000000.0
1999-03-04,487,487,468,485,33700,18900.0,1000000.0
1999-03-05,474,474,464,472,20800,18400.0,1000000.0
1999-03-08,471,474,456,467,19400,18200.0,1000000.0
1999-03-09,456,469,456,459,9100,17900.0,1000000.0
1999-03-10,460,469,450,467,89200,18200.0,1000000.0
1999-03-11,466,466,445,449,2100,17500.0,1000000.0
1999-03-12,448,461,448,462,25200,18000.0,1000000.0
1999-03-15,461,464,456,462,15000,18000.0,1000000.0
1999-03-16,454,470,448,462,101200,18000.0,1000000.0
1999-03-17,456,461,450,462,25300,18000.0,1000000.0
1999-03-18,438,471,438,439,77400,17100.0,1000000.0
1999-03-19,443,464,443,464,24700,18100.0,1000000.0
1999-03-22,464,464,448,449,16200,17500.0,1000000.0
1999-03-23,447,461,447,454,38800,17700.0,1000000.0
1999-03-24,444,458,444,448,53300,17450.0,1000000.0
1999-03-25,454,487,454,475,108900,18500.0,1000000.0
1999-03-26,474,525,461,526,244500,20500.0,1000000.0
1999-03-29,538,604,528,578,242000,22550.0,1000000.0
1999-03-30,582,595,551,567,127900,22100.0,1000000.0
1999-03-31,579,615,564,603,104700,23500.0,1000000.0
1999-04-01,602,602,581,585,45200,22800.0,1000000.0
1999-04-02,569,582,564,577,200700,22500.0,1000000.0
1999-04-06,553,582,553,577,151500,22500.0,1000000.0
1999-04-07,577,615,566,613,134800,23900.0,1000000.0
1999-04-08,610,618,595,595,63200,23200.0,1000000.0
1999-04-09,589,605,587,587,56600,22900.0,1000000.0
1999-04-12,587,615,579,580,36200,22600.0,1000000.0
1999-04-13,579,610,564,582,38700,22700.0,1000000.0
1999-04-14,589,602,566,590,61200,23000.0,1000000.0
1999-04-15,577,579,577,577,38800,22500.0,1000000.0
1999-04-16,579,589,577,590,117300,23000.0,1000000.0
1999-04-19,589,602,582,582,35700,22700.0,1000000.0
1999-04-20,589,641,589,641,171800,25000.0,1000000.0
1999-04-21,659,666,592,654,250300,25500.0,1000000.0
1999-04-22,654,654,602,641,97100,25000.0,1000000.0
1999-04-23,640,640,605,610,83000,23800.0,1000000.0
1999-04-26,612,638,589,598,30200,23300.0,1000000.0
1999-04-27,601,615,595,616,84600,24000.0,1000000.0
1999-04-28,615,615,579,580,95100,22600.0,1000000.0
1999-04-29,564,603,564,571,102400,22250.0,1000000.0
1999-04-30,554,586,554,577,19100,22500.0,1000000.0
1999-05-03,577,589,569,569,76600,22200.0,1000000.0
1999-05-04,569,602,569,577,91100,22500.0,1000000.0
1999-05-06,600,607,595,603,94800,23500.0,1000000.0
1999-05-07,602,613,589,613,79200,23900.0,1000000.0
1999-05-10,613,641,602,603,67400,23500.0,1000000.0
1999-05-11,602,641,597,600,114300,23400.0,1000000.0
1999-05-12,577,624,554,557,73800,21700.0,1000000.0
1999-05-13,583,583,515,551,18400,21500.0,1000000.0
1999-05-14,563,563,538,539,24700,21000.0,1000000.0
1999-05-17,458,561,458,562,41200,21900.0,1000000.0
1999-05-18,505,536,500,536,13200,20900.0,1000000.0
1999-05-19,556,563,507,536,14800,20900.0,1000000.0
1999-05-20,513,515,487,500,29600,19500.0,1000000.0
1999-05-21,477,513,477,487,24100,19000.0,1000000.0
1999-05-24,500,500,474,475,3400,18500.0,1000000.0
1999-05-25,525,525,520,521,11000,20300.0,1000000.0
1999-05-26,538,538,489,495,7400,19300.0,1000000.0
1999-05-27,495,513,495,513,3300,20000.0,1000000.0
1999-05-28,487,487,487,487,1200,19000.0,1000000.0
1999-05-31,489,518,489,518,4100,20200.0,1000000.0
1999-06-01,518,518,518,518,4000,20200.0,1000000.0
1999-06-02,515,518,487,490,20400,19100.0,1000000.0
1999-06-03,517,517,494,513,61400,20000.0,1000000.0
1999-06-04,500,500,500,500,5500,19500.0,1000000.0
1999-06-07,500,525,492,513,40800,20000.0,1000000.0
1999-06-08,513,527,497,516,136300,20100.0,1000000.0
1999-06-09,536,592,533,593,167100,23100.0,1000000.0
1999-06-10,628,681,615,659,607900,25700.0,1000000.0
1999-06-11,656,679,654,675,95500,26300.0,1000000.0
1999-06-14,743,743,646,657,116300,25600.0,1000000.0
1999-06-15,644,667,603,655,118400,25550.0,1000000.0
