샘표식품(248170),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-09,50000,63900,42400,53000,2272412,242119.0,4568286.0
2016-08-10,55100,58500,50800,51700,1377689,236180.0,4568286.0
2016-08-11,50600,53200,44250,44300,937660,202375.0,4568286.0
2016-08-12,49800,57500,49800,57500,659195,262676.0,4568286.0
2016-08-16,68700,72300,58600,62100,1700474,283691.0,4568286.0
2016-08-17,66200,70600,57800,63200,1113633,288716.0,4568286.0
2016-08-18,61300,61800,57000,57600,292225,263133.0,4568286.0
2016-08-19,56100,57700,52300,53200,374514,243033.0,4568286.0
2016-08-22,54000,54000,48650,48850,287478,223161.0,4568286.0
2016-08-23,48200,49800,47100,48350,241228,220877.0,4568286.0
2016-08-24,47900,49100,47550,48350,134182,220877.0,4568286.0
2016-08-25,48000,48300,46650,46650,78808,213111.0,4568286.0
2016-08-26,46150,47000,45300,46500,82608,212425.0,4568286.0
2016-08-29,46100,46100,43250,43250,95497,197578.0,4568286.0
2016-08-30,42800,47250,42800,43700,190176,199634.0,4568286.0
2016-08-31,44300,44400,40400,41450,145281,189355.0,4568286.0
2016-09-01,40750,41450,40000,40200,68023,183645.0,4568286.0
2016-09-02,40500,41800,40500,41000,52748,187300.0,4568286.0
2016-09-05,41450,41850,40400,41000,30844,187300.0,4568286.0
2016-09-06,40950,41200,39850,40000,42753,182731.0,4568286.0
2016-09-07,39900,41500,39500,41000,67756,187300.0,4568286.0
2016-09-08,45100,46000,39850,39850,217379,182046.0,4568286.0
2016-09-09,39800,40000,38150,38300,60300,174965.0,4568286.0
2016-09-12,37150,37650,36700,36900,41053,168570.0,4568286.0
2016-09-13,36850,37350,36200,37100,43332,169483.0,4568286.0
2016-09-19,36650,37100,36050,36200,24798,165372.0,4568286.0
2016-09-20,35550,36800,35550,36150,36722,165144.0,4568286.0
2016-09-21,36600,36750,36000,36050,32090,164687.0,4568286.0
2016-09-22,35900,37150,35850,36200,43981,165372.0,4568286.0
2016-09-23,36500,37150,36100,36500,28638,166742.0,4568286.0
2016-09-26,36950,41800,36950,39600,177032,180904.0,4568286.0
2016-09-27,39000,39350,37000,39000,44247,178163.0,4568286.0
2016-09-28,39000,39350,38000,38000,30394,173595.0,4568286.0
2016-09-29,37700,40000,37500,38500,53233,175879.0,4568286.0
2016-09-30,37800,38200,37150,37150,31002,169712.0,4568286.0
2016-10-04,37150,37650,37000,37150,12057,169712.0,4568286.0
2016-10-05,37050,37200,36600,36650,18210,167428.0,4568286.0
2016-10-06,36300,36800,36300,36600,14665,167199.0,4568286.0
