유니드(014830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-03,12535,14390,12461,14390,334214,127750.0,6585069.0
2004-12-06,16541,16541,16541,16541,32176,146847.0,6585069.0
2004-12-07,18989,18989,17468,18989,566101,168578.0,6585069.0
2004-12-08,19656,20695,16170,16170,497301,143555.0,6585069.0
2004-12-09,16318,16763,14798,15577,181113,138286.0,6585069.0
2004-12-10,14872,15799,13388,13945,150245,123799.0,6585069.0
2004-12-13,13945,15577,13796,14094,233732,125116.0,6585069.0
2004-12-14,14241,14316,13055,13203,122696,117214.0,6585069.0
2004-12-15,13203,13611,13055,13166,120206,116885.0,6585069.0
2004-12-16,13574,14316,13277,13611,139205,120836.0,6585069.0
2004-12-17,13685,14019,12832,13129,119477,116556.0,6585069.0
2004-12-20,13017,13055,12721,12870,84500,114251.0,6585069.0
2004-12-21,12832,13796,12535,12536,174800,111288.0,6585069.0
2004-12-22,12387,12498,11868,12313,93240,109312.0,6585069.0
2004-12-23,12239,12350,11794,11831,59530,105032.0,6585069.0
2004-12-24,11682,11942,11460,11720,52810,104044.0,6585069.0
2004-12-27,11571,13055,11460,12462,223970,110629.0,6585069.0
2004-12-28,11868,12535,11868,12313,73555,109312.0,6585069.0
2004-12-29,11942,12090,11682,11794,39829,104703.0,6585069.0
2004-12-30,11534,11942,11534,11794,35104,104703.0,6585069.0
2005-01-03,11905,11905,11571,11720,246919,104044.0,6585069.0
2005-01-04,11756,11868,11460,11572,68885,102727.0,6585069.0
2005-01-05,11497,11497,11015,11164,140040,99105.0,6585069.0
2005-01-06,11200,11682,10681,11683,221157,103715.0,6585069.0
2005-01-07,11756,12943,11756,12499,388596,110958.0,6585069.0
2005-01-10,12980,13017,12127,12313,191349,109312.0,6585069.0
2005-01-11,12535,13017,12313,13018,415090,115568.0,6585069.0
2005-01-12,13203,13833,12980,13500,411806,119848.0,6585069.0
2005-01-13,13648,13648,13092,13203,207052,117214.0,6585069.0
2005-01-14,13277,13463,12610,12647,245892,112275.0,6585069.0
2005-01-17,12832,13574,12684,13574,229842,120507.0,6585069.0
